COREF,start_token,end_token,prop,cat,text
0,9,9,PRON,PER,I
0,14,14,PRON,PER,I
200,19,20,NOM,PER,these boys
0,25,25,PRON,PER,I
200,31,31,PRON,PER,they
0,34,34,PRON,PER,me
0,42,42,PRON,PER,I
0,47,47,PRON,PER,me
0,50,50,PRON,PER,I
201,65,69,NOM,PER,no one to buy it
0,72,72,PRON,PER,I
202,76,77,NOM,PER,a gay
203,82,83,NOM,PER,a guy
0,85,85,PRON,PER,My
0,93,93,PRON,PER,I
56,101,102,PROP,PER,DAVID LEVITHAN
204,104,110,NOM,PER,Boy Meets Boy The Realm of Possibility
205,112,112,PRON,PER,We
57,116,116,PROP,PER,Marly
58,122,123,PROP,PER,Brian Selznick
59,125,125,PROP,PER,Nick
60,127,127,PROP,PER,Norah
61,133,134,PROP,PER,Rachel Cohn
62,138,138,PROP,PER,Naomi
63,140,140,PROP,PER,Ely
61,147,148,PROP,PER,Rachel Cohn
206,151,151,PRON,PER,They
70,163,163,PROP,GPE,Grayson
70,166,166,PROP,GPE,Grayson
64,169,170,PROP,PER,John Green
65,172,172,PROP,PER,Dash
66,174,174,PROP,PER,Lily
61,181,182,PROP,PER,Rachel Cohn
207,184,185,NOM,PER,The Lover
208,189,189,PRON,PER,You
0,192,192,PRON,PER,Me
67,197,198,PROP,PER,Jonathan Farmer
68,205,206,PROP,PER,Andrea Cremer
209,208,212,NOM,PER,Two Boys Kissing Another Day
0,214,214,PRON,PER,ME
69,217,219,PROP,PER,The Tiny Cooper
56,236,237,PROP,PER,David Levithan
70,243,244,PROP,PER,Will Grayson
70,247,247,PROP,PER,Grayson
64,249,250,PROP,PER,John Green
56,252,255,PROP,PER,David Levithan speak SPEAK
71,259,261,PROP,PER,Penguin Random House
2,264,267,PROP,GPE,Hudson Street New York
3,269,270,PROP,GPE,New York
210,275,279,NOM,GPE,the United States of America
72,281,282,PROP,PER,Dutton Books
4,287,288,PROP,ORG,Penguin Group
5,290,290,PROP,GPE,USA
211,299,305,NOM,PER,an imprint of Penguin Random House LLC
64,312,313,PROP,PER,John Green
73,315,317,PROP,PER,David Levithan Penguin
212,340,340,PRON,PER,you
212,373,373,PRON,PER,You
213,376,376,NOM,PER,writers
73,379,379,PROP,PER,Penguin
214,386,387,NOM,PER,every reader
215,389,392,NOM,FAC,THE LIBRARY OF CONGRESS
6,396,398,PROP,FAC,DUTTON BOOKS EDITION
73,402,402,PROP,PER,Levithan
73,404,404,PROP,PER,David
0,407,407,PRON,PER,me
69,411,412,PROP,PER,Tiny Cooper
73,416,417,PROP,PER,David Levithan
70,425,425,PROP,PER,Grayson
70,427,428,PROP,PER,Will Grayson
64,430,431,PROP,PER,John Green
73,433,434,PROP,PER,David Levithan
69,444,445,PROP,PER,Tiny Cooper
