start_token,end_token,supersense_category,text
4,4,noun.person,Sondheimian
5,5,noun.state,frenzy
10,10,verb.creation,do
15,15,verb.communication,say
20,20,noun.person,boys
22,23,verb.motion,go away
26,26,verb.social,tried
29,29,verb.stative,be
33,33,verb.emotion,want
36,36,verb.stative,be
45,45,verb.social,help
46,46,verb.stative,being
58,59,verb.social,work on
61,61,noun.communication,package
68,68,verb.possession,buy
77,77,noun.person,gay
83,83,noun.person,guy
87,87,noun.state,life
90,91,noun.artifact,train wreck
97,97,verb.motion,fly
101,102,noun.person,DAVID LEVITHAN
104,106,noun.person,Boy Meets Boy
110,113,noun.person,Possibility Are We There
116,116,noun.person,Marly
120,120,verb.creation,illustrated
122,123,noun.person,Brian Selznick
127,127,noun.person,Norah
133,134,noun.person,Rachel Cohn
147,148,noun.person,Rachel Cohn
156,156,noun.communication,Stories
162,163,noun.location,Will Grayson
165,166,noun.location,Will Grayson
169,170,noun.person,John Green
174,174,noun.person,Lily
181,182,noun.person,Rachel Cohn
195,195,noun.artifact,photographs
197,198,noun.person,Jonathan Farmer
205,206,noun.person,Andrea Cremer
219,220,noun.person,Cooper Story
225,225,noun.communication,form
230,230,noun.communication,novel
233,233,noun.communication,form
236,237,noun.person,David Levithan
239,239,noun.person,companion
242,242,noun.communication,novel
249,250,noun.person,John Green
252,253,noun.person,David Levithan
257,257,noun.cognition,imprint
259,262,noun.person,Penguin Random House LLC
264,265,noun.location,Hudson Street
266,267,noun.location,New York
269,270,noun.location,New York
273,273,verb.creation,published
276,277,noun.location,United States
279,279,noun.location,America
281,282,noun.group,Dutton Books
285,285,noun.cognition,imprint
287,288,noun.group,Penguin Group
290,290,noun.location,USA
295,295,verb.creation,Published
300,300,noun.cognition,imprint
302,305,noun.group,Penguin Random House LLC
308,308,noun.communication,Copyright
312,313,noun.person,John Green
315,317,noun.group,David Levithan Penguin
318,318,verb.social,supports
319,319,noun.communication,copyright
321,321,noun.communication,Copyright
322,322,verb.change,fuels
323,323,noun.cognition,creativity
325,325,verb.social,encourages
327,327,noun.attribute,voices
329,329,verb.social,promotes
330,331,noun.communication,free speech
334,334,verb.creation,creates
337,337,noun.group,culture
339,339,noun.communication,Thank
342,342,verb.possession,buying
345,345,noun.communication,edition
348,348,noun.communication,book
351,351,verb.social,complying
353,353,noun.communication,copyright
354,354,noun.communication,laws
357,357,verb.cognition,reproducing
359,359,verb.perception,scanning
362,362,verb.possession,distributing
364,364,noun.artifact,part
369,369,noun.communication,form
371,371,noun.communication,permission
375,375,verb.social,supporting
376,376,noun.person,writers
378,378,verb.social,allowing
379,379,noun.group,Penguin
381,381,verb.stative,continue
383,383,verb.creation,publish
384,384,noun.communication,books
387,387,noun.person,reader
390,392,noun.group,LIBRARY OF CONGRESS
394,394,verb.possession,CATALOGED
396,398,noun.group,DUTTON BOOKS EDITION
402,402,noun.person,Levithan
404,404,noun.person,David
411,412,noun.person,Tiny Cooper
413,413,noun.communication,story
416,417,noun.person,David Levithan
418,419,noun.group,pages cm
420,421,noun.communication,Companion book
424,425,noun.person,Will Grayson
427,428,noun.group,Will Grayson
430,431,noun.person,John Green
433,434,noun.person,David Levithan
436,436,noun.communication,Summary
444,445,noun.group,Tiny Cooper
449,449,verb.communication,tell
451,451,noun.communication,story
456,456,noun.time,birth
458,458,noun.time,childhood
461,461,noun.act,quest
464,464,noun.feeling,love
468,468,noun.group,parade
470,470,noun.person,ex
472,472,noun.person,boyfriends
476,476,noun.attribute,form
479,479,noun.communication,musical
481,481,verb.creation,wrote
486,486,noun.group,publisher
497,497,noun.quantity,8
499,499,noun.artifact,hardcover
504,504,noun.person,Gays
506,506,noun.communication,Fiction
513,513,noun.communication,customs)—Fiction
519,519,noun.communication,Fiction
525,525,noun.communication,Fiction
547,547,verb.creation,Printed
550,551,noun.location,United States
553,553,noun.group,America
554,554,verb.creation,Edited
556,557,noun.person,Julie Strauss
562,563,noun.person,Irene Vandervoort
574,574,noun.person,star
577,577,noun.communication,musical
585,585,verb.emotion,like
588,588,verb.motion,sitting
593,593,verb.perception,see
599,600,noun.person,Tiny Cooper
606,606,verb.communication,meant
608,608,verb.stative,be
615,615,noun.relation,part
617,617,noun.group,people
618,618,verb.stative,keep
619,619,verb.motion,bursting
621,621,noun.communication,song
631,631,noun.communication,names
634,634,verb.change,changed
639,639,noun.person,person
640,640,verb.change,got
642,642,verb.emotion,annoyed
648,649,verb.communication,writing about
652,652,verb.communication,asked
655,655,verb.change,change
659,659,verb.communication,said
664,664,noun.person,boyfriends
669,669,verb.cognition,decide
674,674,noun.communication,names
677,677,verb.consumption,used
683,683,noun.state,problem
691,691,verb.communication,dumped
702,702,noun.communication,musical
704,704,verb.communication,meant
706,706,verb.stative,be
713,713,verb.stative,are
717,717,noun.time,moments
719,719,noun.group,People
723,723,verb.cognition,understand
724,725,noun.communication,musical theater
732,732,noun.group,family
737,737,noun.relation,portion
741,742,noun.location,Chicago area
744,744,verb.stative,tend
746,747,verb.cognition,think of
750,750,verb.stative,being
754,754,verb.communication,disagree
758,758,verb.stative,is
759,759,noun.cognition,life
763,763,noun.group,series
768,768,noun.event,moments
769,769,verb.contact,shuffled
773,773,noun.communication,music
774,775,verb.change,thrown in
778,778,noun.communication,point
779,779,verb.stative,being
783,784,verb.body,put on
786,786,noun.communication,production
788,788,verb.cognition,Hold
797,798,noun.group,high school
799,799,noun.artifact,auditorium
802,802,noun.location,Broadway
808,808,verb.cognition,realize
811,811,noun.state,truth
812,812,verb.stative,is
818,818,noun.event,times
821,821,verb.stative,'s
832,832,verb.cognition,choose
834,834,noun.attribute,form
836,836,verb.stative,takes
840,841,verb.social,get ahead
849,850,verb.cognition,think of
857,857,noun.act,show
861,861,verb.possession,have
862,862,noun.quantity,lots
865,865,noun.group,people
870,870,verb.cognition,know
876,876,verb.stative,be
882,882,verb.creation,star
885,885,noun.communication,production
889,889,verb.communication,ask
894,894,verb.change,start
896,896,noun.communication,casting
897,897,noun.act,process
900,900,noun.communication,musical
903,903,verb.change,changed
909,909,noun.communication,production
914,914,noun.cognition,thing
916,916,noun.time,life
918,918,noun.feeling,love
921,921,noun.event,time
923,923,verb.social,take
925,925,noun.act,look
936,936,verb.cognition,revised
941,941,verb.communication,let
944,944,verb.communication,say
948,948,noun.communication,name
949,949,verb.stative,is
950,951,noun.person,Tiny Cooper
956,956,noun.time,time
958,958,verb.change,raise
960,960,noun.artifact,curtain
970,970,noun.communication,story
972,972,noun.person,CHARACTERS
977,977,noun.cognition,appearance
979,980,noun.person,TINY COOPER
982,982,noun.time,age
985,985,noun.quantity,sixteen
986,986,noun.person,MOM
988,988,noun.person,Tiny
990,991,noun.person,mother DAD
993,993,noun.person,Tiny
995,996,noun.person,father LYNDA
1001,1003,noun.person,babysitter PHIL WRAYSON
1005,1005,noun.person,Tiny
1008,1008,noun.person,friend
1013,1013,noun.time,time
1015,1016,noun.person,COACH FRYE
1019,1019,noun.person,jerkface
1023,1024,noun.person,OSCAR WILDE
1055,1055,noun.person,DJANE
1057,1057,noun.person,Tiny
1059,1059,noun.person,friend
1062,1064,noun.person,girl Phil Wrayson
1065,1065,verb.stative,is
1071,1071,verb.communication,admitting
1074,1074,noun.group,ENSEMBLE
1076,1076,noun.person,townspeople
1078,1078,noun.group,church
1079,1079,noun.group,choir
1080,1080,noun.person,members
1082,1082,noun.act,baseball
1083,1083,noun.person,teammates
1085,1085,noun.group,Pride
1086,1086,noun.event,parade
1087,1087,noun.person,participants
1113,1115,noun.person,"Baby!"" .......... Tiny"
1117,1117,noun.person,Mom
1119,1119,noun.person,Dad
1121,1121,noun.person,Ensemble
1123,1125,noun.person,"Religion"" .......................... Tiny"
1127,1127,noun.person,Mom
1131,1131,noun.group,Ensemble
1138,1140,noun.person,"Babysitter"" ............. Lynda"
1142,1142,noun.person,Tiny
1148,1150,noun.person,....................... Phil Wrayson
1152,1152,noun.person,Tiny
