COREF,start_token,end_token,prop,cat,text
83,2,4,PROP,PER,SARAH J. MAAS
105,6,10,PROP,FAC,COURT OF THORNS AND ROSES
83,13,13,PROP,PER,Maas
105,15,15,PRON,PER,her
3826,21,21,NOM,PER,people
3827,24,24,NOM,PER,someone
105,27,27,PRON,PER,her
3826,29,29,PRON,PER,they
3826,37,37,PRON,PER,them
2,42,42,PROP,GPE,York
84,46,47,PROP,PER,Christina Lauren
2,62,62,PROP,GPE,York
85,66,67,PROP,PER,Sarah MacLean
3828,148,155,NOM,PER,"fans of dark , lush , sexy fantasy"
225,186,196,NOM,FAC,THE COURT OF THORNS AND ROSES SERIES A Court of Thorns
3,198,198,PROP,GPE,Roses
226,199,202,NOM,GPE,A Court of Mist
4,204,204,PROP,GPE,Fury
227,205,208,NOM,GPE,A Court of Wings
5,210,210,PROP,GPE,Ruin
228,211,227,NOM,PER,A Court of Frost and Starlight A Court of Silver Flames A Court of Thorns and Roses
229,230,232,NOM,GPE,THE CRESCENT CITY
230,234,289,NOM,PER,House of Earth and Blood House of Sky and Breath THE THRONE OF GLASS SERIES The Assassins Blade Throne of Glass Crown of Midnight Heir of Fire Queen of Shadows Empire of Storms Tower of Dawn Kingdom of Ash The Throne of Glass Coloring Book A COURT OF THORNS AND ROSES SARAH J. MAAS BLOOMSBURY PUBLISHING
6,290,291,PROP,GPE,NEW YORK
7,293,293,PROP,GPE,LONDON
8,295,295,PROP,GPE,OXFORD
9,297,298,PROP,GPE,NEW DELHI
10,300,300,PROP,GPE,SYDNEY
11,307,307,PROP,FAC,Broadway
6,309,310,PROP,GPE,New York
12,312,313,PROP,FAC,NY 10018
13,317,318,PROP,FAC,Earlsfort Terrace
14,320,320,PROP,GPE,Dublin
15,323,324,PROP,GPE,Ireland BLOOMSBURY
16,326,327,PROP,FAC,BLOOMSBURY PUBLISHING
17,336,338,PROP,FAC,Bloomsbury Publishing Pic
18,342,344,PROP,GPE,the United States
86,353,355,PROP,PER,Sarah J. Maas
87,361,363,PROP,PER,Kelly de Groot
231,411,412,NOM,PER,the publishers
232,457,458,NOM,PER,The author
233,460,460,NOM,PER,publisher
19,551,552,PROP,GPE,Great Britain
20,556,556,PROP,GPE,UK
21,560,560,PROP,GPE,Croydon
234,569,569,PRON,PER,our
235,569,570,NOM,PER,our authors
234,580,580,PRON,PER,our
236,617,617,PRON,PER,you
22,621,622,PROP,LOC,the Mountain
0,624,624,PRON,PER,me
0,626,626,PRON,PER,I
236,628,628,PRON,PER,you
237,635,636,NOM,LOC,The forest
238,639,644,NOM,LOC,a labyrinth of snow and ice
0,646,646,PRON,PER,I
0,660,660,PRON,PER,my
0,683,683,PRON,PER,my
0,700,700,PRON,PER,me
239,703,703,NOM,FAC,home
0,705,705,PRON,PER,I
240,725,726,NOM,LOC,the woods
0,728,728,PRON,PER,I
0,733,733,PRON,PER,me
241,743,743,PRON,PER,they
241,749,749,PRON,PER,They
0,753,753,PRON,PER,I
0,755,755,PRON,PER,my
0,759,759,PRON,PER,my
0,768,768,PRON,PER,my
241,787,787,PRON,PER,they
241,794,794,PRON,PER,They
242,807,808,NOM,PER,the wolves
243,807,810,NOM,FAC,the wolves ’ territory
244,814,818,NOM,GPE,the faerie lands of Prythian
23,818,818,PROP,GPE,Prythian
245,821,822,NOM,PER,no mortals
