start_token,end_token,supersense_category,text
2,4,noun.group,SARAH J. MAAS
6,8,noun.group,COURT OF THORNS
11,11,noun.communication,SERIES
13,13,noun.person,Maas
14,14,verb.change,transcends
16,16,noun.cognition,genre
21,21,noun.group,people
22,22,verb.communication,ask
26,26,verb.cognition,read
30,30,verb.communication,ask
32,32,noun.communication,book
33,33,verb.change,started
41,42,noun.location,New York
45,45,noun.person,author
46,47,noun.person,Christina Lauren
61,63,noun.group,New York Times
65,65,noun.person,author
66,67,noun.person,Sarah MacLean
80,80,verb.emotion,dazzles
87,87,noun.act,review
102,102,noun.communication,Suspense
104,104,noun.state,romance
106,106,noun.feeling,intrigue
108,108,noun.act,action
111,111,verb.stative,is
114,114,noun.communication,book
134,134,noun.event,feast
137,137,noun.cognition,senses
141,141,noun.location,USA
146,146,noun.location,spot
148,148,noun.person,fans
155,155,noun.cognition,fantasy
166,166,noun.communication,read
170,171,noun.group,Publishers Weekly
180,181,noun.group,Bustle BOOKS
183,185,noun.person,SARAH J. MAAS
202,202,noun.substance,Mist
212,212,noun.location,Court
214,214,noun.substance,Frost
218,218,noun.location,Court
220,221,noun.substance,Silver Flames
231,232,noun.location,CRESCENT CITY
234,235,noun.group,House of
236,236,noun.substance,Earth
238,239,noun.substance,Blood House
243,243,noun.substance,Breath
245,248,noun.group,THRONE OF GLASS SERIES
250,252,noun.group,Assassins Blade Throne
254,255,noun.group,Glass Crown
258,264,noun.person,Heir of Fire Queen of Shadows Empire
266,267,noun.location,Storms Tower
269,270,noun.location,Dawn Kingdom
272,274,noun.location,Ash The Throne
276,278,noun.group,Glass Coloring Book
280,282,noun.group,COURT OF THORNS
284,289,noun.group,ROSES SARAH J. MAAS BLOOMSBURY PUBLISHING
290,291,noun.location,NEW YORK
293,293,noun.location,LONDON
295,295,noun.location,OXFORD
297,298,noun.location,NEW DELHI
300,301,noun.location,SYDNEY BLOOMSBURY
302,306,noun.group,PUBLISHING Bloomsbury Publishing Inc. 1385
307,307,noun.location,Broadway
309,310,noun.location,New York
312,312,noun.location,NY
315,315,noun.location,USA
317,318,noun.location,Earlsfort Terrace
320,320,noun.location,Dublin
323,323,noun.location,Ireland
326,327,noun.location,BLOOMSBURY PUBLISHING
331,331,noun.person,Diana
332,332,noun.communication,logo
333,333,verb.stative,are
336,337,noun.group,Bloomsbury Publishing
340,340,verb.creation,published
343,344,noun.location,United States
347,347,noun.communication,paperback
348,348,noun.communication,edition
349,349,verb.creation,published
351,351,noun.communication,Copyright
353,355,noun.person,Sarah J. Maas
359,359,noun.communication,copyright
361,363,noun.person,Kelly de Groot
371,371,noun.relation,part
374,374,noun.communication,publication
377,377,verb.contact,reproduced
379,379,verb.contact,transmitted
382,382,noun.cognition,form
392,392,verb.stative,including
393,393,verb.contact,photocopying
395,395,noun.artifact,recording
399,400,noun.artifact,information storage
402,403,noun.artifact,retrieval system
407,407,noun.communication,permission
409,409,verb.communication,writing
412,412,noun.person,publishers
414,416,noun.group,Bloomsbury Publishing Pic
419,419,verb.possession,have
421,421,noun.relation,control
425,425,noun.act,responsibility
431,431,noun.group,party
432,432,noun.artifact,websites
433,433,verb.communication,referred
438,438,noun.communication,book
442,442,noun.location,addresses
443,443,verb.possession,given
446,446,noun.communication,book
447,447,verb.stative,were
451,451,noun.event,time
453,454,verb.motion,going to
455,455,noun.communication,press
458,458,noun.person,author
460,460,noun.person,publisher
461,461,verb.emotion,regret
463,463,noun.state,inconvenience
464,464,verb.creation,caused
466,466,noun.communication,addresses
468,468,verb.change,changed
470,470,noun.location,sites
472,472,verb.change,ceased
478,478,verb.possession,accept
480,480,noun.act,responsibility
484,484,noun.event,changes
488,488,noun.communication,HB
500,500,noun.person,PB
510,510,noun.quantity,9
523,525,noun.group,Library of Congress
532,532,verb.stative,is
542,542,noun.communication,Typeset
551,552,noun.location,Great Britain
554,556,noun.location,CPI ( UK
560,561,noun.location,Croydon CR0
566,566,verb.cognition,learn
570,570,noun.person,authors
572,572,noun.communication,books
577,578,verb.communication,sign up
581,583,noun.location,Sarah J. Maas
584,584,noun.communication,newsletter
586,586,noun.location,Bloomsbury
587,587,noun.artifact,books
590,590,verb.possession,purchased
598,598,noun.communication,information
601,601,noun.possession,purchases
603,603,verb.communication,contact
604,609,noun.group,Macmillan Corporate and Premium Sales Department
611,611,noun.group,specialmarkets@macmillan.com
619,619,verb.motion,go
622,623,noun.location,Mountain for
627,627,verb.emotion,love
633,633,noun.communication,CHAPTER
638,638,verb.stative,become
640,640,noun.artifact,labyrinth
642,642,noun.substance,snow
644,644,noun.substance,ice
649,649,verb.perception,monitoring
651,651,noun.cognition,parameters
654,654,noun.group,thicket
657,657,noun.time,hour
661,662,noun.location,vantage point
665,665,noun.artifact,crook
668,668,noun.plant,tree
669,669,noun.plant,branch
671,671,verb.change,turned
676,676,noun.phenomenon,wind
677,677,verb.contact,blew
679,679,noun.act,flurries
681,681,verb.motion,sweep
684,684,noun.body,tracks
687,687,verb.contact,buried
692,692,noun.communication,signs
695,695,noun.person,quarry
697,697,noun.feeling,Hunger
699,699,verb.contact,brought
703,703,noun.location,home
707,707,verb.stative,risked
710,710,noun.time,winter
711,711,verb.stative,was
714,714,noun.event,time
717,717,noun.animal,animals
719,720,verb.motion,pulled in
722,722,verb.motion,going
726,726,noun.group,woods
730,730,verb.motion,follow
732,732,verb.change,leaving
735,735,verb.motion,pick
737,737,noun.person,stragglers
742,742,verb.cognition,praying
745,745,verb.stative,last
747,747,noun.time,spring
754,754,verb.contact,wiped
757,757,noun.body,fingers
760,760,noun.body,eyes
762,763,verb.contact,brushing away
765,765,noun.substance,flakes
766,766,verb.contact,clinging
769,769,noun.body,lashes
773,773,verb.stative,were
776,776,noun.plant,trees
777,777,verb.change,stripped
779,779,noun.plant,bark
781,781,verb.communication,mark
783,783,noun.animal,deer
785,785,verb.motion,passing
791,792,verb.motion,moved on
796,796,verb.stative,remain
799,799,noun.plant,bark
800,801,verb.motion,ran out
804,804,verb.motion,travel
808,808,noun.animal,wolves
810,810,noun.location,territory
816,816,noun.location,lands
818,818,noun.location,Prythian
822,822,noun.person,mortals
824,824,verb.social,dare
825,825,verb.motion,go
830,830,verb.perception,had
832,833,noun.communication,death wish
836,836,noun.feeling,shudder
837,837,verb.motion,skittered
840,840,noun.body,spine
843,843,noun.cognition,thought
847,847,verb.motion,shoved
851,852,verb.stative,focusing on
854,854,noun.state,surroundings
858,858,noun.act,task
862,862,verb.stative,was
865,867,noun.person,SARAH J. MAAS
869,869,verb.social,do
877,877,verb.social,do
879,879,noun.time,years
881,881,verb.cognition,focus
883,883,verb.stative,surviving
885,885,noun.time,week
888,888,noun.time,day
891,891,noun.time,hour
899,899,noun.phenomenon,snow
903,903,verb.stative,be
906,906,verb.perception,spot
912,912,noun.location,position
916,916,noun.plant,tree
921,921,verb.perception,see
923,923,noun.quantity,feet
926,926,verb.communication,Stifling
928,928,noun.communication,groan
932,932,noun.body,limbs
933,933,verb.social,protested
936,936,noun.act,movement
939,939,verb.contact,unstrung
941,941,noun.artifact,bow
943,944,verb.motion,easing off
946,946,noun.plant,tree
950,950,noun.substance,snow
951,951,verb.perception,crunched
955,955,noun.body,boots
959,959,verb.contact,ground
961,961,noun.body,teeth
964,964,noun.attribute,visibility
967,967,noun.event,noise
970,970,verb.stative,was
974,974,noun.act,way
979,979,noun.act,hunt
984,984,noun.time,hours
986,986,noun.time,daylight
987,987,verb.stative,remained
993,993,verb.motion,leave
1000,1000,verb.motion,navigate
1002,1002,noun.quantity,way
1003,1003,noun.location,home
1006,1006,noun.state,dark
1010,1010,noun.communication,warnings
1013,1013,noun.location,town
1014,1014,noun.person,hunters
1016,1016,verb.perception,rang
1020,1020,noun.cognition,mind
1022,1023,noun.animal,giant wolves
1024,1024,verb.stative,were
1031,1031,noun.quantity,numbers
1035,1035,verb.communication,mention
1036,1036,noun.communication,whispers
1039,1039,noun.person,folk
1040,1040,verb.possession,spotted
1043,1043,noun.location,area
1053,1053,noun.animal,faeries
1056,1056,noun.person,hunters
1058,1058,verb.communication,beseeched
1063,1063,noun.person,gods
1069,1069,verb.communication,prayed
1076,1076,noun.time,years
1080,1080,verb.stative,living
1083,1083,noun.group,village
1086,1086,noun.time,days
1088,1088,noun.act,journey
1092,1092,noun.location,border
1094,1094,noun.location,Prythian
1099,1099,verb.cognition,spared
1101,1101,noun.act,attack
1105,1105,noun.person,peddlers
1107,1107,verb.contact,brought
1108,1108,noun.communication,stories
1111,1112,noun.location,border towns
1113,1113,verb.change,left
1115,1115,noun.substance,splinters
1117,1117,noun.body,bones
1119,1119,noun.substance,ashes
1122,1122,noun.communication,accounts
1129,1129,verb.cognition,dismissed
1132,1132,noun.location,village
1133,1133,noun.person,elders
1135,1135,noun.communication,hearsay
1140,1140,noun.time,months
1141,1141,verb.change,become
1143,1143,noun.communication,whisperings
1146,1147,noun.time,market day
1151,1151,verb.stative,risked
1154,1154,verb.motion,coming
1159,1159,noun.group,forest
1164,1164,verb.change,finished
1167,1169,noun.food,loaf of bread
1170,1170,noun.time,yesterday
1174,1174,noun.relation,remainder
1178,1178,noun.food,meat
1180,1180,noun.time,day
1189,1189,verb.stative,spent
1191,1191,noun.time,night
1195,1195,noun.body,belly
1197,1197,verb.perception,found
1199,1199,verb.consumption,satisfying
1201,1201,noun.feeling,appetite
1204,1204,noun.animal,wolf
1208,1208,noun.person,faerie
1213,1213,verb.stative,was
1214,1214,noun.quantity,much
1218,1218,verb.consumption,feast
1223,1223,verb.change,turned
1227,1227,noun.event,time
1230,1230,noun.time,year
1234,1234,verb.communication,count
1237,1237,noun.attribute,number
1240,1240,noun.body,ribs
1242,1242,verb.motion,Moving
1252,1252,noun.plant,trees
1255,1255,verb.contact,pushed
1257,1257,noun.body,hand
1263,1263,noun.body,stomach
1266,1266,verb.cognition,knew
1268,1268,noun.attribute,expression
1271,1271,verb.stative,be
1275,1276,noun.person,elder sisters
1278,1278,noun.body,faces
1281,1281,verb.motion,returned
1284,1284,noun.artifact,cottage
1293,1295,noun.location,COURT OF THORNS
1297,1297,noun.plant,ROSES
1301,1301,noun.time,minutes
1304,1304,noun.act,searching
1307,1307,verb.contact,crouched
1310,1310,noun.group,cluster
1312,1312,noun.substance,snow
1315,1315,noun.plant,brambles
1319,1319,noun.plant,thorns
1322,1322,verb.perception,had
1327,1327,noun.cognition,view
1330,1330,noun.location,clearing
1334,1334,noun.object,brook
1335,1335,verb.motion,flowing
1341,1341,noun.object,holes
1344,1344,noun.substance,ice
1345,1345,verb.communication,suggested
1350,1350,verb.consumption,used
1355,1356,verb.motion,come by
1361,1361,verb.body,sighed
1364,1364,noun.body,nose
1366,1366,verb.contact,digging
1368,1368,noun.location,tip
1371,1371,noun.artifact,bow
1374,1374,noun.object,ground
1377,1377,verb.contact,leaned
1379,1379,noun.body,forehead
1383,1383,noun.shape,curve
1385,1385,noun.substance,wood
1390,1390,verb.stative,last
1392,1392,noun.time,week
1394,1394,noun.food,food
1399,1399,noun.group,families
1402,1402,verb.change,started
1403,1403,verb.communication,begging
1407,1407,verb.emotion,hope
1409,1409,noun.act,handouts
1413,1413,noun.group,townsfolk
1417,1417,verb.perception,witnessed
1423,1423,noun.act,charity
1424,1424,verb.motion,went
1427,1428,verb.motion,eased into
1432,1432,noun.location,position
1434,1434,verb.emotion,calmed
1436,1436,noun.act,breathing
1438,1438,verb.social,straining
1440,1440,verb.perception,listen
1443,1443,noun.group,forest
1446,1446,noun.phenomenon,wind
1449,1449,noun.phenomenon,snow
1450,1450,verb.motion,fell
1452,1452,verb.motion,fell
