COREF,start_token,end_token,prop,cat,text
1,3,7,PROP,FAC,ASHLEY HOPE PEREZ Holiday House
132,15,19,PROP,PER,Ashley Hope Perez HOLIDAY HOUSE
2,37,38,PROP,FAC,Maple Press
3,40,40,PROP,GPE,York
4,42,42,PROP,GPE,PA
5,44,44,PROP,GPE,USA
116,58,59,PROP,ORG,Carolrhoda Lab
404,61,66,NOM,ORG,a division of Lerner Publishing Group
7,64,66,PROP,FAC,Lerner Publishing Group
8,71,73,PROP,FAC,First Avenue North
9,75,75,PROP,GPE,Minneapolis
10,77,77,PROP,GPE,MN
7,126,128,PROP,ORG,Lerner Publishing Group
405,142,142,PRON,PER,their
406,142,144,NOM,PER,their respective owners
12,146,148,PROP,ORG,Library of Congress
132,157,158,PROP,PER,Ashley Hope
132,165,167,PROP,FAC,Ashley Hope Perez
14,183,184,PROP,GPE,New London
15,186,186,PROP,GPE,Texas
407,196,197,NOM,PER,two teenagers
138,199,199,PROP,PER,Naomi
408,203,204,NOM,PER,Mexican American
138,207,207,PROP,PER,Wash
407,214,214,PRON,PER,their
409,228,228,NOM,PER,people
16,267,267,PROP,GPE,London
410,295,296,NOM,PER,African Americans
0,333,333,PRON,PER,MY
411,333,334,NOM,PER,MY GRANDMOTHER
134,336,337,PROP,PER,VICTORIA RAY
0,347,347,PRON,PER,ME
17,349,352,PROP,FAC,THE NEW LONDON EXPLOSION
16,351,351,PROP,GPE,LONDON
0,356,356,PRON,PER,MY
412,356,357,NOM,PER,MY PARENTS
15,362,362,PROP,GPE,TEXAS
413,372,372,PRON,PER,you
135,387,388,PROP,PER,Langston Hughes
136,408,409,PROP,PER,James Joyce
414,414,415,NOM,PER,the Artist
18,421,424,PROP,GPE,"NEW LONDON , TEXAS"
16,422,422,PROP,GPE,LONDON
15,424,424,PROP,GPE,TEXAS
415,455,455,NOM,VEH,cars
416,457,457,NOM,VEH,ambulances
417,481,484,NOM,FAC,the football field nearby
418,486,486,NOM,PER,Men
419,490,490,NOM,FAC,tents
420,492,494,NOM,PER,Thousands of spectators
418,518,518,NOM,PER,men
422,525,527,NOM,FAC,a collapsed school
418,529,529,PRON,PER,They
423,536,536,NOM,PER,survivors
418,539,539,PRON,PER,their
424,539,540,NOM,PER,their children
418,546,546,PRON,PER,they
418,554,554,PRON,PER,They
418,562,562,PRON,PER,they
418,571,571,PRON,PER,their
418,578,578,PRON,PER,They
425,585,586,NOM,PER,A man
425,600,600,PRON,PER,he
425,609,609,PRON,PER,He
425,635,635,PRON,PER,he
425,642,642,PRON,PER,he
426,644,645,NOM,PER,a child
427,665,670,NOM,PER,Red Cross volunteers with white armbands
428,676,678,NOM,FAC,the work site
427,686,686,PRON,PER,They
429,719,720,NOM,PER,no one
430,723,724,NOM,FAC,the tents
431,726,727,NOM,PER,Some men
431,730,730,PRON,PER,their
431,736,736,PRON,PER,their
19,745,746,PROP,GPE,East Texas
432,753,754,NOM,FAC,the school
418,776,776,PRON,PER,their
433,782,783,NOM,PER,later people
433,786,786,PRON,PER,they
434,803,805,NOM,FAC,the school grounds
435,808,809,NOM,LOC,the woods
436,812,812,NOM,FAC,backyards
437,815,819,NOM,LOC,every corner of the county
438,818,819,NOM,GPE,the county
439,821,821,NOM,PER,pumpjacks
439,823,823,PRON,PER,their
440,829,830,NOM,LOC,the earth
439,836,836,PRON,PER,they
441,843,844,NOM,FAC,this school
442,854,856,NOM,FAC,the collapsed building
423,863,863,NOM,PER,survivors
444,868,870,NOM,PER,The rescue workers
444,877,877,PRON,PER,their
444,881,881,PRON,PER,They
444,889,889,PRON,PER,they
445,892,892,NOM,VEH,trucks
446,895,895,NOM,FAC,home
447,902,904,NOM,PER,armies of undertakers
448,904,904,NOM,PER,undertakers
449,906,906,NOM,PER,volunteers
450,910,911,NOM,FAC,makeshift morgues
444,919,919,PRON,PER,they
451,937,937,NOM,PER,Mothers
452,939,939,NOM,PER,fathers
453,984,984,NOM,PER,carpenters
454,990,991,NOM,FAC,the lumberyard
455,1016,1016,NOM,FAC,graves
456,1033,1033,NOM,PER,families
456,1035,1035,PRON,PER,their
424,1035,1036,NOM,PER,their children
456,1038,1038,PRON,PER,their
458,1038,1039,NOM,PER,their neighbors
459,1038,1041,NOM,PER,their neighbors ’ children
460,1052,1052,NOM,FAC,churches
137,1070,1070,PROP,PER,Consolation
456,1079,1079,PRON,PER,they
461,1096,1098,NOM,PER,Someone to blame
462,1100,1103,NOM,PER,Someone to make pay
138,1118,1119,PROP,PER,WASH Wash
463,1121,1121,PRON,PER,his
463,1138,1138,PRON,PER,he
463,1149,1149,PRON,PER,He
464,1153,1154,NOM,PER,the superintendent
465,1153,1156,NOM,FAC,the superintendent ’s place
432,1162,1163,NOM,FAC,the school
139,1167,1168,PROP,PER,Mr. Crane
463,1171,1171,PRON,PER,him
463,1184,1184,PRON,PER,he
467,1194,1196,NOM,LOC,the Mexican border
463,1205,1205,PRON,PER,his
468,1205,1206,NOM,PER,his girl
463,1208,1208,PRON,PER,He
463,1218,1218,PRON,PER,his
463,1221,1221,PRON,PER,his
463,1224,1224,PRON,PER,He
139,1249,1250,PROP,PER,Mr. Crane
463,1253,1253,PRON,PER,him
463,1271,1271,PRON,PER,his
469,1271,1272,NOM,PER,his wife
469,1278,1278,PRON,PER,her
469,1281,1281,PRON,PER,her
138,1330,1330,PROP,PER,Wash
463,1335,1335,PRON,PER,He
139,1340,1341,PROP,PER,Mr. Crane
139,1346,1346,PRON,PER,his
463,1351,1351,PRON,PER,him
463,1358,1358,PRON,PER,his
468,1358,1359,NOM,PER,his girl
471,1364,1364,NOM,FAC,school
472,1366,1366,PRON,PER,they
463,1376,1376,PRON,PER,He
463,1380,1380,PRON,PER,his
468,1384,1384,PRON,PER,her
468,1392,1392,PRON,PER,her
468,1401,1401,PRON,PER,her
463,1409,1409,PRON,PER,his
473,1412,1413,NOM,LOC,The ground
463,1419,1419,PRON,PER,him
138,1426,1426,PROP,PER,Wash
138,1428,1428,PRON,PER,himself
463,1435,1435,PRON,PER,he
474,1437,1441,NOM,FAC,the corner of the house
475,1440,1441,NOM,FAC,the house
463,1443,1443,PRON,PER,he
432,1450,1451,NOM,FAC,the school
463,1454,1454,PRON,PER,He
477,1458,1460,NOM,FAC,the muddy schoolyard
463,1476,1476,PRON,PER,him
463,1479,1479,PRON,PER,He
432,1485,1486,NOM,FAC,the school
479,1494,1496,NOM,FAC,the main hallway
463,1498,1498,PRON,PER,His
463,1507,1507,PRON,PER,his
463,1510,1510,PRON,PER,He
480,1515,1516,NOM,FAC,the schoolyard
481,1518,1519,NOM,FAC,The building
463,1522,1522,PRON,PER,him
463,1532,1532,PRON,PER,He
432,1536,1537,NOM,FAC,the school
463,1544,1544,PRON,PER,he
483,1559,1560,NOM,FAC,the hall
463,1587,1587,PRON,PER,He
484,1619,1621,NOM,FAC,the second floor
463,1640,1640,PRON,PER,He
485,1650,1651,NOM,FAC,a classroom
463,1653,1653,PRON,PER,he
486,1655,1655,PRON,FAC,it
463,1671,1671,PRON,PER,he
487,1678,1679,PROP,PER,BETO Beto
487,1684,1684,PRON,PER,his
488,1684,1685,NOM,PER,his twin
489,1694,1694,PRON,PER,our
487,1699,1699,PRON,PER,he
140,1702,1702,PROP,PER,Cari
487,1704,1704,PRON,PER,him
489,1709,1709,PRON,PER,their
490,1709,1711,NOM,PER,their older sister
138,1712,1712,PROP,PER,Naomi
489,1717,1717,PRON,PER,we
141,1721,1721,PROP,PER,Daddy
142,1725,1725,PRON,PER,He
138,1744,1744,PROP,PER,Naomi
140,1749,1749,PROP,PER,Cari
491,1753,1754,NOM,FAC,the path
140,1756,1756,PRON,PER,She
489,1765,1765,PRON,PER,They
489,1787,1787,PRON,PER,them
142,1790,1790,PROP,PER,Beto
138,1792,1792,PROP,PER,Naomi
138,1796,1796,PRON,PER,Her
138,1802,1802,PRON,PER,her
142,1806,1806,PROP,PER,Beto
138,1808,1808,PRON,PER,she
138,1816,1816,PRON,PER,She
489,1839,1839,PRON,PER,they
492,1842,1844,NOM,FAC,the new house
493,1846,1848,NOM,FAC,the new school
494,1850,1852,NOM,GPE,the new town
495,1854,1856,NOM,PER,a new daddy
141,1858,1858,PROP,PER,Daddy
489,1861,1861,PRON,PER,their
496,1861,1862,NOM,PER,their daddy
496,1867,1867,PRON,PER,he
497,1871,1871,NOM,FAC,there
489,1873,1873,PRON,PER,they
140,1878,1878,PROP,PER,Cari
489,1880,1880,PRON,PER,they
496,1884,1884,PRON,PER,him
142,1886,1886,PROP,PER,Beto
489,1888,1888,PRON,PER,they
142,1891,1891,PRON,PER,He
142,1893,1893,PRON,PER,his
435,1898,1899,NOM,LOC,The woods
142,1901,1901,PRON,PER,him
499,1925,1926,NOM,FAC,a church
20,1930,1930,PROP,GPE,Mass.
21,1933,1934,PROP,GPE,San Antonio
500,1938,1939,NOM,LOC,no woods
501,1942,1942,PRON,PER,you
501,1946,1946,PRON,PER,you
140,1966,1966,PROP,PER,Cari
138,1969,1969,PROP,PER,Naomi
140,1973,1973,PROP,PER,Cari
140,1978,1978,PRON,PER,she
138,1991,1991,PROP,PER,Naomi
489,1994,1994,PRON,PER,they
138,1998,1998,PRON,PER,her
142,2008,2008,PROP,PER,Beto
489,2020,2020,PRON,PER,We
489,2023,2023,PRON,PER,ourselves
489,2025,2025,PRON,PER,We
489,2031,2031,PRON,PER,We
3651,2034,2034,NOM,FAC,church
489,2036,2036,PRON,PER,We
471,2040,2040,NOM,FAC,school
138,2049,2049,PROP,PER,Naomi
142,2051,2051,PRON,PER,him
140,2054,2054,PRON,PER,I
138,2060,2060,PRON,PER,her
140,2063,2063,PROP,PER,Cari
138,2066,2066,PROP,PER,Naomi
143,2083,2083,PROP,PER,Despot
