start_token,end_token,supersense_category,text
3,7,noun.group,ASHLEY HOPE PEREZ Holiday House
8,9,noun.location,New York
10,10,noun.communication,Text
11,11,noun.communication,copyright
15,15,noun.person,Ashley
21,21,verb.social,registered
24,28,noun.group,U.S. Patent and Trademark Office
34,34,noun.time,September
37,38,noun.location,Maple Press
40,40,noun.location,York
42,42,noun.location,PA
44,44,noun.location,USA
46,46,noun.communication,www.holidayhouse.com
52,52,noun.communication,editions
54,54,verb.creation,published
56,56,noun.cognition,arrangement
58,59,noun.group,Carolrhoda Lab
62,62,noun.cognition,division
64,68,noun.group,"Lerner Publishing Group , Inc."
70,73,noun.group,241 First Avenue North
75,75,noun.location,Minneapolis
77,77,noun.location,MN
79,79,noun.location,U.S.A.
81,81,noun.attribute,rights
85,85,noun.relation,part
88,88,noun.communication,edition
91,91,verb.contact,reproduced
93,93,verb.contact,stored
96,97,noun.artifact,retrieval system
100,100,verb.contact,transmitted
103,103,noun.cognition,form
113,113,verb.contact,photocopying
115,115,noun.act,recording
124,124,noun.communication,permission
126,128,noun.group,Lerner Publishing Group
130,131,noun.group,Inc. All
132,132,noun.possession,copyrights
134,134,noun.communication,logos
137,137,noun.communication,trademarks
138,138,verb.stative,are
140,140,noun.possession,property
144,144,noun.person,owners
146,148,noun.group,Library of Congress
153,155,noun.group,Publication Data Perez
157,158,noun.location,Ashley Hope
162,162,noun.state,darkness
165,167,noun.location,Ashley Hope Perez
169,169,noun.communication,pages
171,171,noun.communication,Summary
177,177,noun.group,school
178,178,noun.event,explosion
180,181,verb.change,took place
183,184,noun.location,New London
186,186,noun.location,Texas
192,192,verb.stative,is
194,194,noun.communication,story
197,197,noun.person,teenagers
199,199,noun.person,Naomi
202,202,verb.stative,is
203,204,noun.person,Mexican American
207,207,noun.person,Wash
210,210,verb.stative,is
215,215,noun.act,dealings
217,217,noun.group,race
219,219,noun.state,segregation
221,221,noun.feeling,love
225,225,noun.group,forces
227,227,verb.creation,destroy
228,228,noun.group,people
242,243,noun.communication,hard cover
247,247,noun.communication,paper
261,261,noun.communication,pdf
266,267,noun.location,New London
269,269,noun.location,Tex.)—History—20th
270,270,noun.time,century
272,272,noun.communication,Fiction
276,276,noun.act,Explosions
278,278,noun.communication,Fiction
282,282,noun.location,Schools
284,284,noun.communication,Fiction
288,289,noun.act,Race relations
291,291,noun.communication,Fiction
298,298,noun.communication,Fiction
302,303,noun.group,Mexican Americans
305,305,noun.communication,Fiction
328,328,noun.communication,paperback
336,337,noun.location,VICTORIA RAY
346,346,verb.communication,TELL
