COREF,start_token,end_token,prop,cat,text
103,2,3,PROP,PER,JASON REYNOLDS
0,5,5,PRON,PER,I
301,7,15,NOM,PER,the Greatest Boy in the Black Suit As Brave
302,17,17,PRON,PER,You
104,32,37,PROP,PER,BRENDAN KIELY The Gospel of Winter
103,46,53,PROP,PER,JASON REYNOLDS BRENDAN KIELY A CAITLYN DLOUHY BOOK
1,54,55,PROP,FAC,atheneum NEW
2,56,56,PROP,GPE,YORK
3,58,58,PROP,GPE,LONDON
4,60,60,PROP,GPE,TORONTO
5,62,62,PROP,GPE,SYDNEY
303,64,65,NOM,GPE,NEW DELHI
0,67,67,PRON,PER,my
304,67,69,NOM,PER,my younger brother
302,74,74,PRON,PER,you
302,83,83,PRON,PER,you
305,98,104,NOM,PER,educators who live and work with love
302,107,107,PRON,PER,you
6,116,122,PROP,FAC,Simon & Schuster Children ’s Publishing Division
7,125,128,PROP,FAC,Avenue of the Americas
8,127,128,PROP,LOC,the Americas
9,130,131,PROP,GPE,New York
9,133,134,PROP,GPE,New York
306,151,152,NOM,PER,real people
307,173,174,NOM,PER,the author
105,203,204,PROP,PER,Brendan Kiely
106,206,207,PROP,PER,Jason Reynolds»Jacket
107,213,214,PROP,PER,Jessica Koscielniak
108,267,269,PROP,PER,Simon & Schuster
308,286,288,NOM,PER,Schuster Speakers Bureau
309,291,291,NOM,PER,authors
302,293,293,PRON,PER,your
310,307,312,NOM,PER,the Simon & Schuster Speakers Bureau
311,323,323,PRON,PER,our
109,340,341,PROP,PER,Dan Potash
10,357,361,PROP,GPE,the United States of America
11,373,376,PROP,ORG,The Library of Congress
103,385,385,PROP,PER,Reynolds
103,387,387,PROP,PER,Jason
312,389,389,NOM,PER,author
313,392,394,NOM,PER,All American boys
103,396,397,PROP,PER,Jason Reynolds
105,399,400,PROP,PER,Brendan Kiely
12,407,410,PROP,FAC,A Caitlyn Dlouhy Book
130,422,422,PROP,PER,Rashad
111,429,430,PROP,PER,classmate Quinn
130,432,432,PRON,PER,his
314,439,452,NOM,PER,a police officer who happens to be the older brother of his best friend
130,450,450,PRON,PER,his
315,450,452,NOM,PER,his best friend
130,456,456,PROP,PER,Rashad
112,458,458,PROP,PER,Quinns
130,474,474,PRON,PER,he
316,524,525,NOM,ORG,law enforcement
317,538,539,NOM,PER,African Americans
105,545,545,PROP,PER,Kiely
105,547,547,PROP,PER,Brendan
312,549,549,NOM,PER,author
113,574,575,PROP,PER,Carmelo Soto
319,578,578,PRON,PER,I
319,582,582,PRON,PER,myself
319,588,588,PRON,PER,me
319,592,592,PRON,PER,I
319,596,596,PRON,PER,myself
319,600,600,PRON,PER,I
13,604,604,PROP,GPE,Hillel
319,605,609,NOM,PER,the Elder START OF BOOK
14,610,611,PROP,ORG,Friday Rashad
320,612,612,PRON,PER,your
320,615,615,PRON,PER,Your
320,618,618,PRON,PER,Your
320,625,625,PRON,PER,Your
320,628,628,PRON,PER,Your
320,631,631,PRON,PER,Your
0,644,644,PRON,PER,I
0,647,647,PRON,PER,I
0,650,650,PRON,PER,I
321,656,658,NOM,ORG,that wack school
322,660,666,NOM,PER,that even more wack ROTC drill team
0,674,674,PRON,PER,me
323,678,682,NOM,PER,every other person on Earth
324,694,697,NOM,PER,not everybody on Earth
15,697,697,PROP,GPE,Earth
0,699,699,PRON,PER,I
325,704,717,NOM,PER,a monk somewhere on a mountain who might ’ve been thinking of something else
0,720,720,PRON,PER,I
326,723,724,NOM,PER,no monk
114,727,727,PROP,PER,God
0,731,731,PRON,PER,me
0,733,733,PRON,PER,my
327,733,734,NOM,PER,my friends
0,770,770,PRON,PER,my
328,770,771,NOM,PER,my brother
115,773,773,PROP,PER,Spoony
0,787,787,PRON,PER,I
0,792,792,PRON,PER,I
329,795,799,NOM,FAC,a bathroom stall after school
330,799,799,NOM,FAC,school
0,805,805,PRON,PER,I
331,822,822,PRON,PER,we
332,839,839,PRON,PER,they
0,860,860,PRON,PER,I
333,905,907,NOM,PER,thirty other students
334,909,910,NOM,PER,a teacher
335,920,922,NOM,PER,some other kid
336,927,928,NOM,PER,the principal
337,927,930,NOM,FAC,the principal ’s office
0,935,935,PRON,PER,me
0,940,940,PRON,PER,I
0,946,946,PRON,PER,I
338,954,956,NOM,PER,no military club
116,984,985,PROP,PER,Chief Killabrew
331,993,993,PRON,PER,us
339,1000,1002,NOM,PER,a good person
0,1038,1038,PRON,PER,my
0,1043,1043,PRON,PER,I
0,1045,1045,PRON,PER,my
340,1045,1046,NOM,PER,my pop
341,1058,1059,NOM,ORG,the military
0,1066,1066,PRON,PER,I
0,1073,1073,PRON,PER,I
0,1078,1078,PRON,PER,I
0,1084,1084,PRON,PER,my
342,1084,1085,NOM,PER,my dad
0,1090,1090,PRON,PER,me
342,1092,1092,PRON,PER,He
343,1094,1117,NOM,PER,one of those dudes who feels like there ’s no better opportunity for a black boy in this country than to join the army
344,1107,1112,NOM,PER,a black boy in this country
345,1111,1112,NOM,GPE,this country
346,1116,1117,NOM,ORG,the army
342,1123,1123,PRON,PER,he
342,1134,1134,PRON,PER,me
0,1136,1136,PRON,PER,you
2722,1139,1139,NOM,PER,son
342,1142,1142,PRON,PER,he
0,1151,1151,PRON,PER,my
347,1151,1152,NOM,FAC,my room
0,1154,1154,PRON,PER,I
0,1159,1159,PRON,PER,my
0,1164,1164,PRON,PER,my
0,1182,1182,PRON,PER,my
342,1185,1185,PRON,PER,He
342,1193,1193,PRON,PER,I
342,1199,1199,PRON,PER,my
2723,1199,1200,NOM,PER,my father
342,1203,1203,PRON,PER,me
2724,1208,1218,NOM,PER,The only people who are going to live in this house
2725,1217,1218,NOM,FAC,this house
2726,1220,1220,NOM,PER,people
2727,1220,1225,NOM,PER,people I ’m making love to
342,1221,1221,PRON,PER,I
0,1230,1230,PRON,PER,I
117,1233,1233,PROP,PER,Dad
0,1236,1236,PRON,PER,I
342,1248,1248,PRON,PER,he
0,1257,1257,PRON,PER,My
2723,1257,1258,NOM,PER,My father
349,1260,1263,NOM,PER,the president of predictability
2723,1267,1267,PRON,PER,he
2723,1270,1270,PRON,PER,he
346,1273,1274,NOM,ORG,the army
351,1277,1279,NOM,PER,a police officer
118,1281,1281,PROP,PER,Yep
352,1283,1285,NOM,PER,the old man
352,1293,1293,PRON,PER,he
352,1301,1301,PRON,PER,he
341,1304,1305,NOM,ORG,the military
352,1307,1307,PRON,PER,he
352,1318,1318,PRON,PER,he
354,1327,1328,NOM,ORG,the force
355,1332,1333,NOM,FAC,an office
2726,1336,1336,NOM,PER,people
357,1339,1339,NOM,FAC,offices
117,1349,1349,PRON,PER,I
352,1352,1352,PRON,PER,he
117,1357,1357,PRON,PER,me
117,1364,1364,PROP,PER,Dad
117,1370,1370,PRON,PER,I
117,1375,1375,PRON,PER,I
117,1382,1382,PRON,PER,I
117,1388,1388,PRON,PER,I
0,1413,1413,PRON,PER,you
346,1415,1416,NOM,ORG,the army
0,1421,1421,PRON,PER,your
0,1425,1425,PRON,PER,I
117,1431,1431,PRON,PER,him
0,1437,1437,PRON,PER,my
117,1456,1456,PRON,PER,he
0,1462,1462,PRON,PER,me
0,1469,1469,PRON,PER,I
0,1478,1478,PRON,PER,my
0,1483,1483,PRON,PER,me
0,1485,1485,PRON,PER,I
