start_token,end_token,supersense_category,text
2,3,noun.person,JASON REYNOLDS
45,45,noun.person,boys
55,56,noun.location,NEW YORK
58,58,noun.location,LONDON
60,60,noun.location,TORONTO
62,62,noun.location,SYDNEY
64,66,noun.location,NEW DELHI For
69,69,noun.person,brother
77,77,verb.communication,made
79,79,verb.cognition,feel
85,85,verb.stative,be
88,89,verb.motion,stand up
96,96,noun.person,organizers
98,98,noun.person,educators
100,100,verb.stative,live
102,102,verb.social,work
104,104,noun.feeling,love
106,106,noun.communication,thank
110,112,noun.group,B. K. atheneum
114,114,noun.communication,imprint
118,122,noun.group,Schuster Children ’s Publishing Division
125,128,noun.location,Avenue of the Americas
130,131,noun.location,New York
133,134,noun.location,New York
138,138,noun.communication,book
139,139,verb.stative,is
141,141,noun.artifact,work
143,143,noun.communication,fiction
146,146,noun.communication,references
149,149,noun.event,events
152,152,noun.group,people
156,156,noun.location,places
158,158,verb.consumption,used
162,162,noun.communication,names
164,164,noun.person,characters
166,166,noun.location,places
169,169,noun.event,events
170,170,verb.stative,are
171,171,noun.artifact,products
174,174,noun.person,author
176,176,noun.cognition,imagination
180,180,noun.attribute,resemblance
183,183,noun.event,events
185,185,noun.location,places
187,187,noun.person,persons
189,189,verb.stative,living
191,191,noun.state,dead
193,193,verb.stative,is
198,198,noun.communication,Text
199,199,noun.communication,copyright
203,204,noun.person,Brendan Kiely
206,206,noun.person,Jason
208,208,noun.artifact,photograph
209,209,noun.communication,copyright
213,214,noun.person,Jessica Koscielniak
217,218,noun.artifact,cover photograph
219,219,noun.communication,copyright
229,229,verb.stative,including
231,231,noun.attribute,right
233,233,noun.communication,reproduction
241,241,noun.communication,form
245,245,noun.communication,logo
246,246,verb.stative,is
248,248,noun.attribute,trademark
250,252,noun.group,Simon & Schuster
257,257,noun.communication,information
260,260,noun.quantity,discounts
262,263,noun.possession,bulk purchases
266,266,verb.communication,contact
267,269,noun.group,Simon & Schuster
284,284,noun.person,Simon
286,288,noun.group,Schuster Speakers Bureau
290,290,verb.motion,bring
291,291,noun.person,authors
295,295,noun.event,event
299,299,noun.cognition,information
302,302,verb.creation,book
304,304,noun.event,event
306,306,verb.communication,contact
308,308,noun.person,Simon
310,312,noun.group,Schuster Speakers Bureau
322,322,verb.communication,visit
324,324,noun.communication,website
326,326,noun.person,www.simonspeakers.com
334,334,noun.communication,hardcover
335,335,noun.communication,edition
338,338,noun.act,design
340,341,noun.person,Dan Potash
344,344,noun.communication,text
347,347,noun.communication,book
349,349,verb.creation,set
351,352,noun.group,Minion Pro
358,359,noun.location,United States
361,361,noun.location,America
365,366,noun.communication,paperback edition
367,367,noun.time,August
374,376,noun.group,Library of Congress
378,378,verb.communication,cataloged
380,381,noun.communication,hardcover edition
385,385,noun.person,Reynolds
387,387,noun.person,Jason
389,389,noun.person,author
394,394,noun.person,boys
396,397,noun.person,Jason Reynolds
399,400,noun.person,Brendan Kiely
403,403,noun.communication,pages
414,414,noun.communication,Summary
419,419,noun.time,year
422,422,noun.person,Rashad
425,425,verb.communication,accused
427,427,verb.possession,stealing
429,429,noun.person,classmate
430,430,noun.person,Quinn
431,431,verb.perception,witnesses
434,434,noun.act,beating
437,437,noun.body,hands
440,441,noun.person,police officer
443,443,verb.social,happens
445,445,verb.stative,be
448,448,noun.person,brother
452,452,noun.person,friend
454,454,verb.communication,Told
456,456,noun.group,Rashad
458,458,noun.person,Quinns
460,460,noun.cognition,viewpoints
508,508,noun.event,Race
509,509,noun.Tops,relations
511,511,noun.communication,Fiction
515,515,noun.act,Racism
517,517,noun.communication,Fiction
522,522,noun.communication,profiling
524,525,noun.group,law enforcement
527,527,noun.communication,Fiction
532,532,noun.act,brutality
534,534,noun.communication,Fiction
541,541,noun.communication,Fiction
545,545,noun.person,Kiely
547,547,noun.person,Brendan
549,549,noun.person,author
553,553,noun.communication,Title
561,561,noun.communication,History
564,564,verb.communication,teach
566,566,noun.communication,lesson
570,570,verb.cognition,remembered
574,575,noun.person,Carmelo Soto
579,579,verb.stative,am
586,586,verb.stative,be
593,593,verb.stative,am
599,599,verb.stative,am
604,604,noun.location,Hillel
606,611,noun.group,Elder START OF BOOK Friday Rashad
613,613,noun.location,left
618,619,noun.group,Your left
621,623,noun.attribute,right - left
626,626,noun.location,left
628,629,noun.group,Your left
631,632,noun.group,Your left
651,651,verb.cognition,left
655,655,verb.cognition,left
658,658,noun.group,school
666,666,noun.group,team
669,669,verb.stative,was
670,670,noun.time,Friday
680,680,noun.person,person
684,684,verb.communication,meant
686,686,verb.stative,was
687,687,noun.time,time
689,689,verb.social,party
697,697,noun.location,Earth
703,703,verb.stative,was
705,705,noun.person,monk
709,709,noun.object,mountain
714,715,verb.cognition,thinking of
721,721,verb.stative,was
724,724,noun.person,monk
726,726,verb.communication,Thank
727,727,noun.person,God
734,734,noun.person,friends
736,736,noun.time,Friday
737,737,verb.stative,was
740,740,noun.communication,word
742,742,noun.group,party
744,744,noun.time,Monday
746,746,noun.time,Tuesday
748,749,noun.group,Hump Day
754,754,verb.communication,resist
756,756,noun.communication,word
763,763,noun.time,Thursday
771,771,noun.person,brother
773,773,noun.person,Spoony
777,777,verb.communication,say
780,780,noun.person,Poorty
789,790,verb.cognition,thinking about
793,793,verb.contact,crammed
796,797,noun.artifact,bathroom stall
799,799,noun.group,school
801,801,verb.social,partying
806,806,verb.stative,was
808,808,verb.emotion,wanting
810,810,verb.stative,be
815,815,noun.body,ass
816,816,noun.artifact,uniform
818,818,noun.time,minute
827,827,verb.body,wear
830,830,noun.time,day
834,834,noun.time,Fridays
837,837,verb.stative,was
840,840,verb.communication,called
842,842,noun.artifact,uniform
843,843,noun.time,days
846,846,noun.time,Fridays
850,850,noun.time,days
854,854,noun.cognition,idea
855,855,verb.stative,was
863,863,verb.body,wearing
867,867,noun.time,morning
870,870,noun.artifact,bell
871,871,verb.stative,is
874,874,noun.time,a.m.
877,877,noun.artifact,drill
878,878,noun.act,practice
881,881,verb.stative,is
887,887,noun.group,bunch
889,889,noun.communication,yelling
891,891,noun.act,marching
894,894,verb.stative,is
898,898,noun.event,experience
901,901,verb.contact,sitting
903,903,noun.group,class
907,907,noun.person,students
910,910,noun.person,teacher
916,916,noun.act,tears
918,918,verb.communication,yelling
922,922,noun.person,kid
924,924,verb.motion,head
928,928,noun.person,principal
930,930,noun.artifact,office
934,934,verb.social,Let
936,936,verb.communication,make
943,943,verb.stative,need
944,944,noun.substance,ROTC
949,949,verb.emotion,want
951,951,verb.stative,be
952,952,noun.relation,part
955,955,noun.group,military
956,956,noun.group,club
961,961,verb.stative,was
973,973,verb.stative,was
979,979,noun.group,class
983,983,verb.stative,was
984,985,noun.person,Chief Killabrew
988,989,noun.communication,last name
992,992,verb.communication,teaching
996,997,noun.cognition,life skills
999,999,verb.stative,being
1002,1002,noun.person,person
1010,1010,noun.cognition,math
1015,1015,verb.stative,was
1019,1020,noun.communication,drill crap
1023,1023,noun.artifact,uniform
1030,1030,verb.stative,been
1033,1033,noun.quantity,A
1035,1035,verb.social,offset
1039,1039,noun.communication,Cs
1044,1044,verb.cognition,know
1046,1046,noun.person,pop
1048,1048,verb.social,trying
1050,1050,verb.consumption,use
1054,1054,noun.cognition,sort
1056,1056,noun.artifact,gateway
1059,1059,noun.group,military
1064,1064,verb.change,happen
1069,1069,verb.consumption,need
1079,1079,verb.social,did
1085,1085,noun.person,dad
1089,1089,verb.change,making
1097,1097,noun.person,dudes
1099,1099,verb.cognition,feels
1105,1105,noun.state,opportunity
1108,1109,noun.person,black boy
1112,1112,noun.location,country
1115,1115,verb.social,join
1117,1117,noun.group,army
1125,1125,verb.communication,put
1128,1128,noun.communication,Word
1130,1130,noun.communication,word
1133,1133,verb.social,Let
1135,1135,verb.communication,tell
1139,1139,noun.person,son
1144,1144,verb.communication,say
1146,1146,verb.contact,leaning
1149,1149,noun.artifact,doorway
1152,1152,noun.artifact,room
1157,1157,verb.contact,lying
1160,1160,noun.artifact,bed
1162,1162,verb.contact,doodling
1165,1166,noun.artifact,sketch pad
1168,1168,verb.creation,doing
1175,1175,verb.communication,stop
1176,1176,verb.creation,drawing
1178,1178,verb.contact,jam
1180,1180,noun.artifact,pencils
1183,1183,noun.body,ears
1187,1187,verb.communication,continue
1191,1191,noun.time,weeks
1194,1194,verb.social,graduated
1196,1197,noun.group,high school
1200,1200,noun.person,father
1201,1201,verb.motion,came
1205,1205,verb.communication,said
1210,1210,noun.group,people
1215,1215,verb.stative,live
1218,1218,noun.artifact,house
1219,1219,verb.stative,are
1220,1220,noun.group,people
1223,1224,verb.change,making love
1231,1231,verb.cognition,know
1233,1233,noun.person,Dad
1238,1238,verb.communication,moan
1245,1245,verb.change,coming
1249,1249,verb.communication,said
1255,1255,noun.time,month
1258,1258,noun.person,father
1259,1259,verb.social,was
1261,1261,noun.person,president
1263,1263,noun.attribute,predictability
1268,1268,verb.cognition,learned
1271,1271,verb.stative,was
1274,1274,noun.group,army
1278,1279,noun.person,police officer
1284,1285,noun.person,old man
1286,1286,verb.motion,went
1290,1290,noun.artifact,uniform
1294,1294,verb.body,wore
1298,1298,noun.time,years
1302,1302,verb.communication,talks
1305,1305,noun.group,military
1315,1315,noun.artifact,uniform
1321,1321,verb.body,wore
1324,1324,noun.time,years
1326,1326,verb.social,quitting
1328,1328,noun.group,force
1330,1330,verb.social,work
1333,1333,noun.artifact,office
1334,1334,verb.social,doing
1336,1336,noun.group,people
1337,1337,verb.social,do
1339,1339,noun.artifact,offices
1342,1342,verb.possession,paid
1344,1344,verb.stative,be
1350,1350,verb.cognition,knew
1354,1354,verb.social,trying
1356,1356,verb.communication,tell
1360,1361,verb.motion,get out
1364,1364,noun.person,Dad
1366,1366,verb.communication,drone
1373,1373,verb.cognition,know
1379,1379,verb.motion,go
1386,1386,verb.social,do
1401,1401,noun.group,college
1403,1403,verb.stative,was
1407,1407,noun.artifact,cards
1414,1414,verb.social,joined
1416,1416,noun.group,army
1420,1420,verb.change,saved
1422,1422,noun.state,life
1427,1427,verb.change,finish
1429,1429,noun.communication,story
1433,1433,verb.social,trying
1435,1436,verb.change,water down
1438,1438,noun.attribute,voice
1440,1440,verb.change,take
1444,1444,noun.attribute,sting
1452,1452,verb.stative,be
1458,1458,verb.communication,say
1460,1460,verb.communication,pointing
1465,1465,noun.body,finger
1467,1467,noun.feeling,fury
1471,1471,verb.social,managed
1473,1473,verb.consumption,take
1475,1475,noun.communication,bite
1479,1479,noun.communication,tone
1486,1486,verb.cognition,knew
1489,1489,verb.communication,push
1495,1495,verb.stative,was
1500,1500,verb.cognition,hearing
1503,1503,noun.communication,thing
1513,1513,verb.social,trying
1515,1515,verb.social,be
1521,1521,verb.communication,reply
1523,1523,verb.change,calming
1531,1531,verb.communication,saying
1536,1536,verb.communication,saying
1542,1542,verb.stative,need
1543,1543,noun.attribute,discipline
1550,1550,verb.motion,travel
1552,1552,noun.object,world
1556,1556,noun.person,Dad
1561,1561,verb.change,start
1566,1566,verb.communication,shut
1570,1570,verb.communication,barrel
1577,1577,verb.consumption,need
1580,1580,noun.act,education
1587,1587,verb.competition,fight
1590,1590,noun.location,country
1596,1596,noun.person,Dad
1605,1605,verb.communication,cut
1611,1611,verb.stative,is
1614,1614,noun.person,Rashad
1619,1619,verb.emotion,wanna
1620,1621,verb.cognition,take after
1623,1623,noun.person,father
1625,1626,verb.perception,Look around
1630,1630,noun.communication,voice
1632,1632,verb.motion,lift
1640,1640,verb.contact,fling
1642,1642,noun.body,arms
1646,1646,noun.location,place
1648,1648,noun.attribute,style
1650,1650,verb.communication,pointing
1653,1653,noun.artifact,walls
1655,1655,noun.artifact,windows
1663,1663,noun.artifact,room
1669,1669,verb.cognition,think
1672,1672,verb.social,done
1679,1679,noun.person,brother
1682,1682,verb.possession,had
1684,1684,noun.act,care
1687,1687,noun.object,world
1691,1691,verb.motion,came
1694,1694,noun.communication,saying
1700,1700,verb.emotion,surprised
1706,1706,verb.contact,tattooed
1709,1709,noun.body,chest
1720,1720,noun.state,opportunity
1724,1724,noun.person,boy
1727,1727,noun.location,country
1730,1730,verb.social,join
1732,1732,noun.group,army
1736,1736,noun.person,David
1740,1740,noun.person,mother
1742,1742,noun.attribute,voice
1744,1744,verb.motion,come
1745,1745,verb.motion,sweeping
1748,1748,noun.artifact,hallway
1752,1752,noun.substance,spice
1756,1756,verb.communication,let
1758,1759,noun.person,old man
1760,1760,verb.cognition,know
1767,1767,verb.social,pushed
1772,1772,verb.stative,Leave
1777,1777,verb.stative,stays
1778,1778,verb.motion,out
1780,1780,noun.act,trouble
1783,1783,verb.stative,’s
1786,1786,noun.person,student
1791,1791,noun.person,student
1806,1806,verb.creation,sketching
1808,1808,verb.creation,doodling
1811,1811,verb.communication,call
1814,1814,noun.cognition,distraction
1817,1817,verb.communication,call
1819,1819,noun.attribute,dedication
1825,1825,verb.stative,was
1831,1831,noun.person,father
1833,1833,noun.body,face
1835,1835,verb.change,soften
1837,1837,verb.change,made
1841,1841,noun.person,mother
1843,1843,noun.attribute,tone
1851,1851,verb.social,try
1856,1856,noun.person,Rashad
1860,1861,noun.group,high school
1867,1867,verb.communication,ask
1870,1870,verb.communication,begged
1872,1872,noun.person,brother
1879,1879,verb.consumption,needed
1891,1891,verb.perception,listen
1898,1899,verb.social,working down
1901,1901,noun.group,UPS
1905,1905,noun.attribute,way
1907,1907,verb.communication,said
1909,1909,verb.stative,was
1913,1913,noun.state,lack
1915,1915,noun.group,ROTC
1916,1916,verb.possession,had
1919,1919,noun.relation,connection
1924,1924,noun.person,brother
1925,1926,verb.social,worked at
1927,1927,noun.person,UPS
1935,1935,noun.artifact,uniforms
1936,1936,verb.stative,were
1942,1942,verb.stative,meant
1943,1943,noun.act,failure
1950,1950,noun.act,job
1953,1953,noun.person,boy
1954,1955,verb.social,takes care
1963,1963,noun.person,girlfriend
1964,1964,verb.possession,have
1967,1967,noun.artifact,apartment
1972,1972,verb.possession,got
1976,1976,noun.act,work
1978,1978,verb.social,does
1981,1981,noun.person,boys
1984,1985,noun.artifact,rec center
1988,1988,noun.person,Spoony
1994,1994,noun.person,mother
1995,1995,verb.communication,argued
1998,1998,verb.motion,pushed
2000,2000,noun.person,father
2004,2004,noun.attribute,way
2008,2008,verb.possession,share
2010,2010,noun.location,space
2013,2013,noun.artifact,doorway
2018,2018,verb.perception,see
2023,2023,noun.person,Rashad
2029,2029,noun.person,Dad
2030,2030,verb.motion,shook
2032,2032,noun.body,head
2034,2034,verb.motion,left
2036,2036,noun.artifact,room
2041,2041,noun.communication,conversation
2042,2042,verb.change,happened
2046,2046,noun.event,times
2055,2055,verb.motion,got
2057,2058,noun.group,high school
2062,2062,verb.social,did
2066,2066,verb.social,joined
2067,2067,noun.group,ROTC
2073,2073,noun.communication,JROTC
2077,2077,verb.communication,says
2081,2082,verb.stative,stands for
2084,2085,noun.group,Junior Reserve
2087,2088,noun.group,Training Corps
2091,2091,verb.social,joined
2093,2093,verb.change,get
2095,2095,noun.person,dad
2098,2098,noun.body,back
2101,2101,verb.creation,make
2108,2108,noun.communication,point
2109,2109,verb.stative,is
2112,2112,verb.stative,was
2113,2113,noun.time,Friday
2116,2116,noun.time,uniform
2117,2117,noun.time,day
2125,2125,noun.artifact,bell
2126,2126,verb.perception,rang
2128,2128,verb.motion,ran
2131,2131,noun.artifact,bathroom
2134,2135,noun.artifact,duffel bag
2136,2136,noun.quantity,full
2138,2138,noun.artifact,clothes
2140,2140,verb.change,change
2146,2147,noun.location,Springfield Central
2148,2149,noun.group,High School
2150,2150,noun.artifact,bathrooms
2151,2151,verb.stative,were
2155,2155,verb.stative,was
2162,2162,noun.artifact,mirror
2163,2163,verb.perception,studying
2166,2166,noun.body,hair
2169,2170,verb.motion,coming in
2173,2173,verb.contact,sitting
2176,2176,noun.artifact,sink
2177,2177,verb.change,checking
2179,2180,noun.artifact,cell phone
2182,2182,verb.motion,skipping
2183,2183,noun.group,class
