COREF,start_token,end_token,prop,cat,text
125,4,5,PROP,FAC,ADAM SILVERA
125,12,13,PROP,PER,Adam Silvera
126,19,20,PROP,PER,Angie Thomas
356,41,42,NOM,PER,the author
357,78,80,NOM,GPE,the United States
2,82,83,PROP,FAC,Soho Teen
3,87,88,PROP,FAC,Soho Press
4,92,96,PROP,FAC,W 17th Street New York
5,100,102,PROP,ORG,Library of Congress
125,111,111,PROP,PER,Adam
125,120,121,PROP,FAC,Adam Silvera
358,173,176,NOM,PER,Single - parent families
6,182,182,PROP,GPE,Bronx
7,184,185,PROP,GPE,New York
7,191,192,PROP,GPE,New York
359,198,198,NOM,PER,Youths
127,213,214,PROP,PER,Janine Agro
3,216,217,PROP,FAC,Soho Press
8,222,226,PROP,LOC,the United States of America
9,226,226,PROP,GPE,America
10,247,247,PROP,GPE,Luis
128,249,249,PROP,PER,Corey
0,254,254,PRON,PER,my
360,254,278,NOM,PER,"my favorites who sucker punched me in the best ways . MORE HAPPY THAN NOT INTRODUCTION Without question , More Happy Than Not changed me"
0,259,259,PRON,PER,me
0,278,278,PRON,PER,me
129,289,290,PROP,PER,Aaron Soto
0,292,292,PRON,PER,me
0,295,295,PRON,PER,I
361,304,306,NOM,FAC,a local bookstore
0,314,314,PRON,PER,I
0,334,334,PRON,PER,me
0,347,347,PRON,PER,I
0,351,351,PRON,PER,I
0,366,366,PRON,PER,me
0,371,371,PRON,PER,I
129,374,374,PROP,PER,Aaron
130,376,376,PROP,PER,Genevieve
131,378,378,PROP,PER,Brendan
132,380,381,PROP,PER,Baby Freddy
0,385,385,PRON,PER,Me
362,385,387,NOM,PER,Me - Crazy
363,389,396,NOM,PER,all people I knew from my own neighborhood
0,391,391,PRON,PER,I
0,394,394,PRON,PER,my
364,394,396,NOM,FAC,my own neighborhood
0,400,400,PRON,PER,I
365,404,405,NOM,GPE,the Bronx
0,407,407,PRON,PER,I
366,409,413,NOM,LOC,a world away in Mississippi
11,413,413,PROP,GPE,Mississippi
367,416,418,NOM,FAC,subways and bodegas
368,424,425,NOM,PER,these characters
368,432,432,PRON,PER,their
368,435,435,PRON,PER,their
0,440,440,PRON,PER,my
0,459,459,PRON,PER,I
369,475,475,PRON,PER,his
130,478,479,PROP,PER,Adam Silvera
0,482,482,PRON,PER,me
130,493,494,PROP,PER,ADAM SILVERA
370,497,507,NOM,PER,young people of color who were allowed to be the stars
371,511,512,NOM,PER,the sidekicks
129,514,514,PROP,PER,Aaron
0,529,529,PRON,PER,I
0,538,538,PRON,PER,me
0,544,544,PRON,PER,I
0,552,552,PRON,PER,I
0,555,555,PRON,PER,I
0,563,563,PRON,PER,I
129,567,567,PROP,PER,Aaron
129,569,569,PRON,PER,his
0,573,573,PRON,PER,myself
129,578,578,PRON,PER,him
129,581,581,PRON,PER,he
372,583,585,NOM,PER,an actual person
0,592,592,PRON,PER,my
130,596,596,PROP,PER,Adam
0,598,598,PRON,PER,I
