start_token,end_token,supersense_category,text
4,8,noun.group,ADAM SILVERA ■ TEEN Copyright
12,13,noun.person,Adam Silvera
19,20,noun.person,Angie Thomas
22,22,verb.stative,is
24,24,noun.artifact,work
26,26,noun.communication,fiction
28,28,noun.communication,Names
30,30,noun.communication,characters
32,32,noun.location,places
35,35,noun.event,incidents
37,37,verb.stative,are
39,39,noun.artifact,product
42,42,noun.person,author
44,44,noun.cognition,imagination
47,47,verb.consumption,used
52,52,noun.attribute,resemblance
55,55,noun.person,persons
61,61,noun.group,businesses
63,63,noun.group,companies
65,65,noun.event,events
67,67,noun.location,locales
68,68,verb.stative,is
76,76,verb.creation,Published
79,80,noun.location,United States
82,83,noun.group,Soho Teen
85,85,noun.cognition,imprint
87,88,noun.location,Soho Press
90,96,noun.group,Inc. 227 W 17th Street New York
98,98,noun.location,NY
100,103,noun.group,Library of Congress Cataloging
107,109,noun.group,Publication Data Silvera
120,121,noun.group,Adam Silvera
146,146,noun.cognition,Memory
148,148,noun.communication,Fiction
152,152,noun.location,Dating
161,161,noun.communication,Fiction
165,166,verb.change,Coming out
176,176,noun.group,families
178,178,noun.communication,Fiction
182,182,noun.location,Bronx
184,185,noun.location,New York
187,187,noun.group,N.Y.)—Fiction
191,192,noun.location,New York
194,194,noun.communication,N.Y.)—Fiction
198,198,noun.person,Youths
200,200,noun.communication,writings
211,211,noun.act,design
213,214,noun.person,Janine Agro
216,217,noun.location,Soho Press
223,226,noun.location,United States of America
238,238,noun.attribute,happiness
240,240,verb.stative,be
247,247,noun.location,Luis
249,249,noun.person,Corey
255,255,noun.person,favorites
258,258,verb.communication,punched
263,263,noun.act,ways
277,277,verb.change,changed
284,284,noun.communication,line
287,287,noun.communication,story
289,290,noun.person,Aaron Soto
297,297,verb.cognition,remember
298,299,verb.contact,picking up
301,301,noun.communication,copy
306,306,noun.artifact,bookstore
308,308,verb.motion,flipping
312,312,noun.communication,pages
316,316,verb.cognition,read
319,319,noun.communication,lines
321,321,noun.communication,books
326,326,noun.artifact,jacket
327,327,noun.artifact,flap
331,331,noun.communication,line
332,332,verb.stative,led
335,335,verb.cognition,reading
339,339,noun.communication,page
348,348,verb.stative,was
354,354,verb.change,struck
358,358,verb.cognition,reading
362,362,noun.communication,pages
365,365,verb.emotion,hit
370,370,noun.person,characters
372,372,verb.cognition,knew
374,374,noun.person,Aaron
376,376,noun.person,Genevieve
378,378,noun.person,Brendan
380,381,noun.person,Baby Freddy
388,388,verb.stative,were
390,390,noun.group,people
392,392,verb.cognition,knew
396,396,noun.location,neighborhood
401,401,verb.stative,was
405,405,noun.location,Bronx
408,408,verb.stative,was
410,410,noun.location,world
413,413,noun.location,Mississippi
416,416,noun.artifact,subways
418,418,noun.artifact,bodegas
421,421,verb.stative,exist
425,425,noun.person,characters
426,426,verb.stative,were
430,430,verb.cognition,Reading
433,433,noun.cognition,experiences
436,436,noun.cognition,lives
437,438,verb.emotion,felt like
439,439,verb.perception,seeing
442,442,noun.object,world
447,447,noun.artifact,lens
453,453,noun.attribute,lens
458,458,noun.artifact,thing
461,461,verb.perception,seen
465,465,noun.communication,literature
470,470,verb.creation,crafting
472,472,noun.cognition,world
474,474,verb.stative,resembled
478,479,noun.person,Adam Silvera
481,481,verb.communication,given
483,483,noun.act,permission
485,485,verb.social,do
490,490,verb.stative,was
492,494,noun.person,XIV ADAM SILVERA
495,495,noun.communication,book
498,498,noun.group,people
500,500,noun.attribute,color
503,503,verb.social,allowed
505,505,verb.stative,be
507,507,noun.person,stars
512,512,noun.person,sidekicks
514,514,noun.person,Aaron
516,516,verb.social,allowed
518,518,verb.stative,be
524,524,verb.change,confined
527,527,noun.cognition,stereotype
531,531,verb.communication,admit
536,536,noun.communication,novel
537,537,verb.emotion,gutted
547,547,verb.change,spoil
549,549,noun.communication,ending
554,554,verb.communication,say
556,556,verb.stative,was
558,558,noun.state,mess
560,560,noun.time,days
566,566,verb.communication,shake
567,567,noun.person,Aaron
570,570,noun.communication,story
572,572,verb.perception,found
574,574,verb.emotion,wanting
576,576,verb.cognition,check
582,582,verb.stative,were
585,585,noun.person,person
594,594,noun.communication,conversation
596,596,noun.person,Adam
599,599,verb.communication,asked
603,603,verb.social,going
605,605,noun.person,Aaron
614,614,noun.communication,ending
616,616,noun.person,Adam
617,617,verb.cognition,reminded
627,627,verb.perception,have
633,633,noun.communication,endings
638,638,verb.stative,’s
641,641,noun.state,things
642,642,verb.stative,are
649,649,noun.group,people
653,653,verb.cognition,know
662,662,verb.possession,get
665,666,noun.communication,fairy tale
667,667,noun.event,ending
676,676,verb.stative,is
680,680,noun.time,beginning
686,686,verb.communication,reflects
692,692,noun.event,result
694,694,verb.perception,seeing
698,698,noun.communication,novel
701,701,verb.cognition,decided
703,703,verb.social,do
709,709,noun.communication,novels
712,712,verb.emotion,hope
717,717,verb.communication,reels
721,721,verb.change,guts
725,725,verb.emotion,hope
727,727,verb.cognition,reminds
735,735,verb.stative,be
744,744,verb.emotion,hope
747,747,verb.cognition,forget
753,753,noun.person,Adam
755,755,noun.communication,Thank
765,766,noun.person,Angie Thomas
768,768,noun.person,author
772,776,noun.group,U Give START OF BOOK
778,778,noun.time,TODAY
781,781,noun.time,TOMORROW
786,786,noun.cognition,memories
788,788,verb.communication,Call
790,791,noun.group,Leteo Institute
799,799,verb.cognition,FORGET
801,801,verb.cognition,learn
808,808,noun.cognition,memory
810,810,noun.possession,relief
811,811,noun.act,procedure
818,819,verb.stative,turns out
821,821,noun.group,Leteo
822,822,noun.act,procedure
823,823,verb.stative,is
825,825,noun.communication,bullshit
829,829,noun.event,time
831,831,verb.perception,saw
833,833,noun.communication,poster
836,836,noun.artifact,subway
837,837,verb.communication,promoting
839,839,noun.group,institute
842,842,verb.change,make
844,844,verb.cognition,forget
845,845,noun.cognition,things
848,848,verb.cognition,thought
850,850,verb.stative,was
852,853,noun.act,marketing campaign
857,858,noun.communication,science fiction
859,859,noun.communication,movie
864,864,verb.perception,saw
866,866,noun.communication,headline
869,869,noun.time,Today
872,872,noun.time,Tomorrow
877,877,noun.artifact,cover
880,880,noun.communication,newspaper
883,883,verb.cognition,mistook
891,891,noun.communication,cure
895,895,noun.state,flu
900,900,verb.cognition,think
903,904,verb.communication,talking about
905,905,noun.cognition,memories
908,908,verb.weather,rained
910,910,noun.time,weekend
914,915,verb.body,hung out
918,918,noun.person,friends
921,921,noun.group,Laundromat
923,923,verb.contact,chilling
928,928,noun.artifact,security
929,929,noun.person,guard
936,936,noun.communication,news
937,937,noun.artifact,station
939,939,verb.communication,interviewing
941,941,noun.person,representatives
944,945,noun.group,Leteo Institute
947,948,verb.communication,find out
949,949,noun.quantity,more
954,954,noun.cognition,science
956,956,noun.cognition,memory
957,957,noun.event,alteration
959,959,noun.process,suppression
963,963,verb.communication,called
964,964,noun.communication,bullshit
967,967,noun.cognition,end
975,975,verb.cognition,know
977,977,noun.act,procedure
978,978,verb.stative,is
980,980,noun.relation,percent
984,984,noun.relation,percent
985,985,noun.communication,bullshit
992,993,verb.social,gone through
999,999,noun.person,Brendan
1002,1002,noun.cognition,sort
1004,1005,noun.person,best friend
1007,1007,verb.communication,tells
1013,1013,verb.cognition,know
1019,1019,noun.attribute,honesty
1022,1022,verb.cognition,know
1023,1024,noun.person,Baby Freddy
1026,1026,noun.person,mother
1029,1029,noun.cognition,dedication
1031,1031,verb.cognition,confirming
1033,1033,noun.communication,gossip
1035,1035,verb.change,comes
1036,1036,noun.person,SUCKER
1040,1040,noun.communication,CHAPTER
1043,1044,noun.person,ADAM SILVERA
1046,1046,noun.act,way
1049,1049,noun.communication,Rumor
1054,1054,verb.cognition,learning
1056,1056,noun.communication,French
1059,1059,noun.person,neighbor
1062,1062,noun.artifact,hall
1065,1065,verb.social,having
1067,1067,noun.group,affair
1071,1071,noun.person,superintendent
1075,1075,noun.communication,language
1076,1076,noun.artifact,barrier
