COREF,start_token,end_token,prop,cat,text
1,4,5,PROP,GPE,NEW YORK
330,33,34,NOM,PER,the author
331,46,47,NOM,PER,actual persons
2,64,66,PROP,ORG,Library of Congress
115,73,73,PROP,PER,Andrews
115,75,75,PROP,PER,Jesse
332,77,78,NOM,PER,The Haters
115,81,82,PROP,PER,Jesse Andrews
333,96,109,NOM,PER,"jazz - camp escapees who , against every realistic expectation , become a band"
334,141,146,NOM,PER,Bands ( music ) — Fiction
335,150,152,NOM,PER,Musicians — Fiction
115,179,180,PROP,PER,Jesse Andrews
116,193,195,PROP,PER,Chad W. Beckerman
336,217,220,NOM,ORG,an imprint of ABRAMS
337,266,267,NOM,PER,the publisher
3,278,280,PROP,FAC,Harry N. Abrams
4,333,337,PROP,FAC,ABRAMS 115 West 18th Street
1,338,339,PROP,GPE,New York
115,345,345,PROP,PER,Cory
117,347,347,PROP,PER,Matt
118,350,350,PROP,PER,Victor
119,352,352,PROP,PER,Sam
120,354,354,PROP,PER,Ryin
121,356,356,PROP,PER,Lenng
122,358,358,PROP,PER,George
123,360,360,PROP,PER,Yang
118,363,363,PROP,PER,Victor
119,366,366,PROP,PER,Sam
124,368,368,PROP,PER,Dylan
125,370,370,PROP,PER,Jared
126,374,374,PROP,PER,Jake
127,376,376,PROP,PER,Alec
128,378,378,PROP,PER,Eric
129,380,380,PROP,PER,Danny
130,382,382,PROP,PER,Ari
127,386,386,PROP,PER,Alex
131,388,388,PROP,PER,Brett
132,390,390,PROP,PER,Ben
5,392,392,PROP,GPE,Malaika
133,395,395,PROP,PER,Spencer
132,397,397,PROP,PER,Ben
117,400,400,PROP,PER,Matt
127,402,402,PROP,PER,Alec
131,405,405,PROP,PER,Brett
134,408,408,PROP,PER,Alan
117,410,410,PROP,PER,Matt
135,414,414,PROP,PER,Pete
136,416,416,PROP,PER,Tom
137,418,418,PROP,PER,Jilly
138,421,421,PROP,PER,Gigi
139,423,423,PROP,PER,Joel
140,425,425,PROP,PER,Jack
141,428,428,PROP,PER,Jon
117,430,430,PROP,PER,Matt
142,433,433,PROP,PER,Mike
143,436,436,PROP,PER,Dave
117,438,438,PROP,PER,Matt
144,441,441,PROP,PER,Micah
145,443,443,PROP,PER,Rob
139,445,445,PROP,PER,Joe
146,447,447,PROP,PER,Geoff
147,449,449,PROP,PER,Heather
148,452,452,PROP,PER,Sedgie
144,454,454,PROP,PER,Micah
143,457,457,PROP,PER,Dave
149,459,459,PROP,PER,Nina
150,462,462,PROP,PER,Josh
144,464,464,PROP,PER,Micah
143,467,467,PROP,PER,Dave
338,471,477,NOM,PER,every other bandmate I ’ve ever had
0,474,474,PRON,PER,I
339,485,485,PRON,PER,WE
340,492,496,NOM,FAC,THIS MANY DUDES Jazz camp
341,499,499,NOM,PER,dudes
342,507,510,NOM,PER,way too many dudes
115,512,512,PROP,PER,Corey
0,514,514,PRON,PER,I
6,517,520,PROP,FAC,Shippensburg University Memorial Auditorium
341,536,536,NOM,PER,Dudes
341,541,541,PRON,PER,their
344,550,550,PRON,PER,you
345,553,554,NOM,PER,a dude
346,575,576,NOM,PER,some dude
347,582,586,NOM,FAC,some region of the auditorium
348,585,586,NOM,FAC,the auditorium
349,589,595,NOM,PER,all the other dudes in that region
350,594,595,NOM,GPE,that region
349,607,607,PRON,PER,They
351,623,624,NOM,PER,competitive maniacs
115,626,626,PROP,PER,Corey
