start_token,end_token,supersense_category,text
1,9,noun.group,ANDREWS AMULET BOOKS NEW YORK © ooo n PUBLISHER
11,11,noun.communication,NOTE
14,14,verb.stative,is
16,16,noun.artifact,work
18,18,noun.communication,fiction
20,20,noun.communication,Names
22,22,noun.communication,characters
24,24,noun.location,places
27,27,noun.event,incidents
28,28,verb.stative,are
31,31,noun.artifact,product
34,34,noun.person,author
36,36,noun.cognition,imagination
39,39,verb.consumption,used
44,44,noun.attribute,resemblance
47,47,noun.person,persons
51,51,noun.state,dead
53,54,noun.artifact,business establishments
56,56,noun.event,events
59,59,noun.communication,locales
60,60,verb.stative,is
75,75,noun.person,Jesse
81,82,noun.person,Jesse Andrews
89,90,noun.act,road trip
91,91,noun.act,adventure
94,94,noun.group,trio
96,96,noun.act,jazz
98,98,noun.artifact,camp
99,99,noun.person,escapees
105,105,noun.cognition,expectation
107,107,verb.stative,become
109,109,noun.group,band
120,120,noun.quantity,9
122,122,noun.artifact,hardcover
134,134,noun.quantity,7
136,136,noun.communication,ebook
141,141,noun.group,Bands
143,143,noun.communication,music
146,146,noun.communication,Fiction
150,150,noun.person,Musicians
152,152,noun.communication,Fiction
156,156,noun.state,Friendship
163,163,noun.communication,stories
167,167,noun.communication,Title
169,170,noun.group,PZ7.A56726 Hat
175,175,noun.communication,Text
176,176,noun.communication,copyright
179,181,noun.person,Jesse Andrews Jacket
184,184,noun.communication,illustrations
185,185,noun.communication,copyright
188,189,noun.person,Will Staehle
190,190,noun.communication,Book
191,191,noun.act,design
193,195,noun.person,Chad W. Beckerman
197,197,noun.communication,text
200,200,noun.communication,book
202,202,verb.creation,set
206,208,noun.person,point Adobe Garamond
210,210,verb.creation,Published
214,215,noun.group,Amulet Books
218,218,noun.cognition,imprint
220,220,noun.group,ABRAMS
223,223,noun.communication,rights
227,227,noun.relation,portion
230,230,noun.communication,book
233,233,verb.contact,reproduced
235,235,verb.contact,stored
238,239,noun.artifact,retrieval system
242,242,verb.contact,transmitted
245,245,noun.communication,form
255,255,noun.communication,photocopying
257,257,noun.artifact,recording
264,264,noun.communication,permission
267,267,noun.group,publisher
274,274,verb.stative,are
276,276,noun.communication,trademarks
278,280,noun.group,Harry N. Abrams
287,287,noun.communication,U.S.A.
290,291,noun.communication,Amulet Books
296,296,noun.possession,discounts
298,298,verb.possession,purchased
300,300,noun.Tops,quantity
302,302,noun.possession,premiums
304,304,noun.possession,promotions
308,308,noun.possession,fundraising
311,311,noun.act,use
313,314,noun.communication,Special editions
318,318,verb.creation,created
320,320,noun.communication,specification
323,323,noun.cognition,details
325,325,noun.communication,contact
327,327,noun.group,aabramsbooks.com
330,330,noun.communication,address
333,333,noun.location,ABRAMS
335,337,noun.location,West 18th Street
338,339,noun.location,New York
341,341,noun.location,NY
343,344,noun.location,www.abramsbooks.com To
345,345,noun.person,Cory
347,347,noun.person,Matt
350,350,noun.person,Victor
352,352,noun.person,Sam
354,354,noun.person,Ryin
356,356,noun.person,Lenng
358,358,noun.person,George
360,360,noun.person,Yang
363,363,noun.person,Victor
366,366,noun.person,Sam
368,368,noun.person,Dylan
370,370,noun.person,Jared
372,372,noun.person,Scam
374,374,noun.person,Jake
376,376,noun.person,Alec
378,378,noun.person,Eric
380,380,noun.person,Danny
382,382,noun.person,Ari
384,384,noun.person,Large
386,386,noun.person,Alex
388,388,noun.person,Brett
390,390,noun.person,Ben
392,392,noun.person,Malaika
395,395,noun.person,Spencer
397,397,noun.person,Ben
400,400,noun.person,Matt
402,402,noun.person,Alec
405,405,noun.person,Brett
408,408,noun.person,Alan
410,410,noun.person,Matt
414,414,noun.person,Pete
416,416,noun.person,Tom
418,418,noun.person,Jilly
421,421,noun.person,Gigi
423,423,noun.person,Joel
425,425,noun.person,Jack
428,428,noun.person,Jon
430,430,noun.person,Matt
433,433,noun.person,Mike
436,436,noun.person,Dave
