COREF,start_token,end_token,prop,cat,text
0,5,5,PRON,PER,MY
1,5,6,PROP,FAC,MY SKULL
0,8,8,PRON,PER,I
0,12,12,PRON,PER,my
243,19,20,NOM,PER,party guests
64,27,27,PROP,PER,Amaranthine
0,29,29,PRON,PER,me
64,31,31,PRON,PER,She
244,41,41,NOM,PER,courtiers
245,43,44,NOM,PER,Zumordan merchants
64,49,49,PRON,PER,she
64,56,56,PRON,PER,her
246,56,57,NOM,FAC,her rooms
64,60,60,PRON,PER,her
247,63,64,NOM,LOC,the hills
248,70,71,NOM,GPE,the city
64,73,73,PRON,PER,She
64,80,80,PRON,PER,she
249,86,87,NOM,PER,the king
65,89,89,PROP,PER,Thandilimon
65,96,96,PROP,PER,Thandilimon
64,102,102,PROP,PER,Amaranthine
0,109,109,PRON,PER,me
65,111,111,PRON,PER,he
65,115,115,PRON,PER,he
64,121,121,PRON,PER,her
250,123,127,NOM,PER,Someone as proud as Amaranthine
64,127,127,PROP,PER,Amaranthine
251,132,132,NOM,PER,anyone
64,137,137,PRON,PER,her
252,137,138,NOM,PER,her brother
64,140,140,PRON,PER,her
253,140,141,NOM,PER,her father
64,144,144,PRON,PER,her
254,144,145,NOM,PER,her husband
64,151,151,PRON,PER,her
0,161,161,PRON,PER,my
0,164,164,PRON,PER,I
0,173,173,PRON,PER,me
66,177,183,PROP,PER,AUDREY COULTHURST OF FIRE AND STARS BALZER
67,185,185,PROP,PER,BRAY
2,189,189,PROP,GPE,Balzer
3,191,191,PROP,GPE,Bray
4,196,197,PROP,ORG,HarperCollins Publishers
68,207,209,PROP,PER,Audrey Coulthurst Map
5,214,215,PROP,FAC,Jordan Saia
255,222,226,NOM,GPE,the United States of America
256,267,271,NOM,ORG,a division of HarperCollins Publishers
4,270,271,PROP,FAC,HarperCollins Publishers
7,274,274,PROP,GPE,Broadway
8,276,277,PROP,GPE,New York
69,295,296,PROP,PER,Torborg Davern
257,315,322,NOM,PER,the members of the Austin Java Writing Company
258,318,322,NOM,PER,the Austin Java Writing Company
259,324,324,PRON,PER,you
0,330,330,PRON,PER,my
259,338,338,PRON,PER,You
0,347,347,PRON,PER,my
260,347,348,NOM,LOC,my universe
0,356,356,PRON,PER,I
0,363,363,PRON,PER,MY
261,363,364,NOM,PER,MY MOTHER
0,366,366,PRON,PER,me
0,376,376,PRON,PER,my
9,384,385,PROP,FAC,Spire City
70,397,397,PROP,PER,Havemont
0,417,417,PRON,PER,My
262,417,418,NOM,PER,My sister
71,420,420,PROP,PER,Alisendi
0,423,423,PRON,PER,I
10,426,428,PROP,FAC,the High Adytum
263,430,438,NOM,FAC,the most sacred temple in the four Northern Kingdoms
264,435,438,NOM,GPE,the four Northern Kingdoms
265,443,443,PRON,PER,us
266,446,455,NOM,FAC,the cavernous apse depicting the aspects of the fire god
267,453,455,NOM,PER,the fire god
265,496,496,PRON,PER,We
265,508,508,PRON,PER,our
265,511,511,PRON,PER,our
268,511,512,NOM,PER,our mother
269,514,515,NOM,PER,the queen
265,520,520,PRON,PER,us
265,524,524,PRON,PER,we
265,532,532,PRON,PER,we
71,576,576,PROP,PER,Alisendi
0,585,585,PRON,PER,me
0,593,593,PRON,PER,my
0,597,597,PRON,PER,I
0,619,619,PRON,PER,my
0,626,626,PRON,PER,my
72,634,634,PROP,PER,Ali
0,637,637,PRON,PER,I
0,652,652,PRON,PER,my
0,674,674,PRON,PER,me
0,676,676,PRON,PER,I
0,681,681,PRON,PER,I
0,702,702,PRON,PER,me
0,705,705,PRON,PER,I
0,715,715,PRON,PER,You
71,722,722,PROP,PER,Alisendi
71,736,736,PRON,PER,her
2988,746,748,NOM,PER,the great mages
0,751,751,PRON,PER,I
2989,757,757,NOM,PER,people
2990,777,778,NOM,PER,the fae
2991,781,789,NOM,PER,the people who take on the shapes of animals
0,794,794,PRON,PER,me
270,799,800,NOM,LOC,the world
0,815,815,PRON,PER,I
2992,830,830,PRON,PER,us
71,835,835,PROP,PER,Alisendi
2992,839,839,PRON,PER,We
0,849,849,PRON,PER,I
0,857,857,PRON,PER,my
71,869,869,PRON,PER,I
71,875,875,PRON,PER,she
71,882,882,PRON,PER,Her
71,891,891,PRON,PER,she
271,894,896,NOM,PER,queen of Havemont
