start_token,end_token,supersense_category,text
2,3,noun.location,SUN BEAT
11,11,verb.motion,make
17,17,noun.group,cluster
19,19,noun.group,party
20,20,noun.person,guests
23,23,noun.feeling,stab
25,25,noun.feeling,envy
27,27,noun.person,Amaranthine
28,28,verb.contact,hit
36,36,verb.social,cope
39,39,noun.communication,threats
41,41,noun.person,courtiers
43,43,noun.person,Zumordan
44,44,noun.person,merchants
51,51,verb.stative,be
57,57,noun.artifact,rooms
59,59,verb.motion,riding
61,61,noun.animal,horse
64,64,noun.object,hills
71,71,noun.location,city
74,74,verb.possession,had
76,76,noun.state,freedom
81,81,verb.emotion,wanted
87,87,noun.person,king
89,89,noun.person,Thandilimon
90,90,verb.cognition,thought
96,96,noun.person,Thandilimon
97,97,verb.stative,was
102,102,noun.person,Amaranthine
103,103,verb.stative,was
108,108,verb.emotion,bothered
112,112,verb.body,acted
116,116,verb.cognition,knew
118,118,verb.stative,was
127,127,noun.person,Amaranthine
130,130,verb.communication,bow
136,136,verb.stative,was
138,138,noun.person,brother
141,141,noun.person,father
145,145,noun.person,husband
148,148,verb.stative,was
158,159,verb.social,gone wrong
162,162,noun.act,arrival
166,166,verb.change,starting
168,168,verb.communication,wonder
171,171,verb.stative,was
177,178,noun.person,AUDREY COULTHURST
180,182,noun.group,FIRE AND STARS
183,183,noun.person,BALZER
184,187,noun.group,+ BRAY An Imprint
189,191,noun.group,Balzer + Bray
192,192,verb.stative,is
194,194,noun.cognition,imprint
196,197,noun.group,HarperCollins Publishers
200,203,noun.group,Fire and Stars Copyright
207,209,noun.person,Audrey Coulthurst Map
210,210,noun.communication,copyright
214,215,noun.person,Jordan Saia
223,226,noun.location,United States of America
229,229,noun.relation,part
232,232,noun.communication,book
235,235,verb.consumption,used
237,237,verb.creation,reproduced
240,240,noun.attribute,manner
243,244,noun.communication,written permission
248,248,noun.state,case
251,251,noun.communication,quotations
252,252,verb.communication,embodied
255,255,noun.communication,articles
257,257,noun.communication,reviews
261,261,noun.communication,address
268,268,noun.group,division
270,271,noun.group,HarperCollins Publishers
274,274,noun.location,Broadway
276,277,noun.location,New York
279,279,noun.location,NY
292,292,noun.quantity,8
293,293,noun.communication,Typography
295,296,noun.person,Torborg Davern
310,310,noun.communication,paperback
311,311,noun.communication,edition
316,316,noun.person,members
319,322,noun.group,Austin Java Writing Company
323,324,noun.communication,Thank you
326,326,verb.weather,lighting
328,328,noun.event,fire
331,331,noun.body,ass
333,333,verb.change,made
335,335,noun.communication,book
341,341,verb.stative,be
345,345,noun.object,stars
348,348,noun.group,universe
