COREF,start_token,end_token,prop,cat,text
339,28,32,NOM,PER,Young Adults A Rainbow Book
1,46,58,PROP,FAC,Chicago Public Library ’s Best Teen Fiction A Bank Street College of Education
2,64,68,PROP,FAC,Bank Street College of Education
143,88,88,PROP,PER,Riley
2129,90,98,NOM,PER,"a smart , funny , sharp - eyed force"
144,137,139,PROP,PER,JEFF GARVIN Balzer
3,141,141,PROP,GPE,Bray
4,180,184,PROP,FAC,HarperCollins PU BLIS HERS Balzer
3,186,186,PROP,GPE,Bray
5,191,192,PROP,FAC,HarperCollins Publishers
144,202,203,PROP,PER,Jeff Garvin
6,210,214,PROP,LOC,the United States of America
7,214,214,PROP,GPE,America
340,255,259,NOM,ORG,a division of HarperCollins Publishers
5,258,259,PROP,FAC,HarperCollins Publishers
8,262,262,PROP,GPE,Broadway
9,264,265,PROP,GPE,New York
10,273,273,PROP,GPE,Congress
144,282,282,PROP,PER,Jeff
144,289,290,PROP,PER,Jeff Garvin
2130,301,309,NOM,PER,A gender - fluid teenager who struggles with identity
2131,327,328,NOM,PER,fellow students
341,333,333,NOM,PER,publisher
342,380,381,NOM,ORG,High schools
343,392,392,PRON,PER,I.
0,420,420,PRON,PER,my
344,420,421,NOM,PER,my parents
0,425,425,PRON,PER,me
0,426,426,PRON,PER,I
0,430,430,PRON,PER,I
0,433,433,PRON,PER,I
0,438,438,PRON,PER,I
345,440,440,PRON,PER,you
345,463,463,PRON,PER,you
0,472,472,PRON,PER,me
0,476,476,PRON,PER,I
346,477,478,NOM,PER,a boy
0,482,482,PRON,PER,I
347,483,484,NOM,PER,a girl
0,486,486,PRON,PER,I
0,498,498,PRON,PER,me
0,504,504,PRON,PER,my
143,513,513,PROP,PER,Riley
0,518,518,PRON,PER,my
348,518,519,NOM,PER,my mom
0,522,522,PRON,PER,me
349,524,524,NOM,FAC,downstairs
348,526,526,PRON,PER,her
143,531,531,PRON,PER,Ifyou
143,538,538,PRON,PER,you
0,547,547,PRON,PER,I
0,553,553,PRON,PER,I
0,562,562,PRON,PER,I
350,569,570,NOM,LOC,the land
351,572,573,NOM,FAC,the campus
0,580,580,PRON,PER,I
0,589,589,PRON,PER,I
0,597,597,PRON,PER,my
0,604,604,PRON,PER,my
0,609,609,PRON,PER,I
145,612,613,PROP,PER,Doctor Ann
0,614,614,PRON,PER,I
0,621,621,PRON,PER,I
0,630,630,PRON,PER,myself
0,632,632,PRON,PER,I
0,641,641,PRON,PER,me
0,645,645,PRON,PER,my
352,645,647,NOM,FAC,my new school
0,663,663,PRON,PER,I
0,668,668,PRON,PER,I
0,677,677,PRON,PER,me
0,684,684,PRON,PER,I
0,687,687,PRON,PER,my
0,695,695,PRON,PER,my
349,706,706,NOM,FAC,Downstairs
0,708,708,PRON,PER,my
354,708,709,NOM,PER,my mother
0,711,711,PRON,PER,me
354,721,721,PRON,PER,she
0,724,724,PRON,PER,I
0,733,733,PRON,PER,I
0,750,750,PRON,PER,my
355,750,751,NOM,PER,my dad
11,757,759,PROP,FAC,Park Hills High
355,762,762,PRON,PER,he
355,766,766,PRON,PER,he
355,770,770,PRON,PER,his
355,774,774,PRON,PER,his
355,778,778,PRON,PER,he
0,780,780,PRON,PER,my
0,783,783,PRON,PER,I
0,791,791,PRON,PER,my
