start_token,end_token,supersense_category,text
12,12,noun.person,finalist
34,34,noun.act,selection
46,46,noun.location,Chicago
47,48,noun.group,Public Library
54,58,noun.group,Bank Street College of Education
64,68,noun.group,Bank Street College of Education
71,72,noun.group,From Refugees
74,75,noun.group,Voting Rights
86,86,noun.communication,list
88,88,noun.communication,Riley
89,89,verb.stative,is
98,98,noun.attribute,force
102,103,noun.group,Publishers Weekly
106,106,noun.communication,review
114,114,noun.communication,books
116,116,verb.communication,deal
120,120,noun.cognition,issue
122,122,noun.communication,gender
123,123,noun.attribute,fluidity
131,131,noun.cognition,review
133,135,noun.group,SYMPTOMS OF BEING
136,139,noun.person,HUMAN JEFF GARVIN Balzer
151,151,noun.communication,websites
152,152,verb.communication,mentioned
155,155,noun.communication,book
156,156,verb.stative,are
163,163,noun.act,support
165,165,noun.communication,information
168,168,verb.perception,see
170,170,noun.communication,Resources
171,171,noun.communication,section
174,174,noun.location,end
177,177,noun.communication,book
180,184,noun.group,HarperCollins PU BLIS HERS Balzer
187,187,verb.stative,is
189,189,noun.communication,imprint
191,192,noun.group,HarperCollins Publishers
202,203,noun.person,Jeff Garvin
211,212,noun.location,United States
217,217,noun.relation,part
220,220,noun.communication,book
223,223,verb.consumption,used
225,225,verb.contact,reproduced
228,228,noun.attribute,manner
231,232,noun.communication,written permission
236,236,noun.state,case
239,239,noun.communication,quotations
240,240,verb.stative,embodied
243,243,noun.communication,articles
245,245,noun.communication,reviews
249,249,noun.communication,address
256,256,noun.group,division
258,259,noun.group,HarperCollins Publishers
262,262,noun.location,Broadway
264,265,noun.location,New York
267,268,noun.location,NY 10007
270,273,noun.group,www.epicreads.com Library of Congress
278,280,noun.group,Publication Data Garvin
282,282,noun.group,Jeff
289,290,noun.person,Jeff Garvin
294,294,noun.communication,edition
296,296,noun.communication,pages
305,305,noun.person,teenager
307,307,verb.emotion,struggles
309,309,noun.attribute,identity
310,310,verb.creation,creates
312,312,noun.communication,blog
315,315,noun.communication,topic
317,317,verb.change,goes
321,321,verb.competition,faces
322,322,noun.communication,ridicule
325,325,noun.body,hands
328,328,noun.person,students
333,333,noun.group,publisher
344,344,noun.quantity,0
348,348,noun.communication,Identity
350,350,noun.communication,Fiction
355,355,noun.attribute,identity
357,357,noun.communication,Fiction
362,362,noun.act,role
364,364,noun.communication,Fiction
370,370,noun.communication,Fiction
374,374,noun.artifact,Blogs
376,376,noun.communication,Fiction
380,381,noun.group,High schools
383,383,noun.communication,Fiction
387,387,noun.location,Schools
389,389,noun.communication,Fiction
