COREF,start_token,end_token,prop,cat,text
117,1,2,PROP,PER,GEPHART Lily
118,4,4,PROP,PER,DUNKIN
119,11,12,PROP,PER,Leelah Alcorn
321,24,24,PRON,PER,us
321,37,37,PRON,PER,our
322,37,38,NOM,PER,our son
120,40,41,PROP,PER,Andretv ...
0,43,43,PRON,PER,I
323,70,71,NOM,PER,the publisher
324,80,81,NOM,PER,the author
323,83,84,NOM,PER,the publisher
324,112,113,NOM,PER,the author
327,124,125,NOM,PER,actual persons
121,144,145,PROP,PER,Donna Gephart
122,152,154,PROP,PER,Mary Kate McDevitt
1,161,163,PROP,GPE,the United States
2,170,174,PROP,FAC,Random House Children ’s Books
3,179,182,PROP,FAC,Penguin Random House LLC
4,184,185,PROP,GPE,New York
1,192,194,PROP,LOC,the United States
6,196,197,PROP,FAC,Delacorte Press
2,202,206,PROP,FAC,Random House Children ’s Books
321,227,227,PRON,PER,us
328,235,235,NOM,PER,librarians
321,245,245,PRON,PER,us
329,248,251,NOM,FAC,The Library of Congress
121,263,263,PROP,PER,Gephart
121,265,265,PROP,PER,Donna
123,267,267,PROP,PER,Lily
118,269,269,PROP,PER,Dunkin
121,271,272,PROP,PER,Donna Gephart
330,291,291,PRON,PER,he
331,330,331,NOM,PER,Transgender people
332,337,342,NOM,PER,Manic - depressive illness — Fiction
7,364,364,PROP,GPE,Florida
333,369,369,PRON,PER,I.
8,393,397,PROP,LOC,the United States of America
9,397,397,PROP,GPE,America
334,419,419,PRON,PER,You
334,429,429,PRON,PER,you
124,441,443,PROP,PER,Ralph Waldo Emerson
123,448,449,PROP,PER,Lily Jo
0,452,452,PRON,PER,my
0,458,458,PRON,PER,I
0,467,467,PRON,PER,I
335,470,471,NOM,FAC,the closet
0,475,475,PRON,PER,my
336,475,476,NOM,PER,my mom
337,475,481,NOM,FAC,my mom ’s walk - in closet
125,484,484,PROP,PER,Meatbail
0,486,486,PRON,PER,my
0,489,489,PRON,PER,I
126,492,492,PROP,PER,Meatball
126,497,497,PRON,PER,his
126,506,506,PRON,PER,his
126,509,509,PRON,PER,He
0,519,519,PRON,PER,I
125,521,521,PROP,PER,Meatbail
0,548,548,PRON,PER,I
0,551,551,PRON,PER,my
338,551,553,NOM,PER,my best friend
0,557,557,PRON,PER,my
339,557,559,NOM,PER,my only friend
127,562,562,PROP,PER,Dare
0,565,565,PRON,PER,me
0,572,572,PRON,PER,my
0,582,582,PRON,PER,my
0,587,587,PRON,PER,I
10,597,598,PROP,FAC,Universal Studios
0,600,600,PRON,PER,I
340,603,606,NOM,PER,not one other person
11,609,611,PROP,FAC,Gator Lake Middle
0,616,616,PRON,PER,I
341,620,629,NOM,PER,not one other person in the entire state of Florida
342,625,629,NOM,LOC,the entire state of Florida
7,629,629,PROP,GPE,Florida
0,633,633,PRON,PER,I
0,641,641,PRON,PER,I
126,660,660,PROP,PER,Meatball
126,663,663,PRON,PER,his
126,668,668,PRON,PER,his
0,673,673,PRON,PER,I
343,675,676,NOM,LOC,the world
344,682,682,PRON,PER,They
345,684,684,PRON,PER,you
0,697,697,PRON,PER,I
125,702,702,PRON,PER,you
0,705,705,PRON,PER,I
125,707,707,PROP,PER,Meatbail
0,709,709,PRON,PER,I
1963,729,730,NOM,FAC,a bar
0,733,733,PRON,PER,I
0,746,746,PRON,PER,I
128,750,750,PROP,PER,Mom
128,752,752,PRON,PER,she
126,765,765,PROP,PER,Meatball
0,769,769,PRON,PER,me
126,771,771,PRON,PER,his
0,794,794,PRON,PER,my
0,797,797,PRON,PER,I
1963,812,813,NOM,FAC,a bar
125,823,823,PROP,PER,Meatbail
125,825,825,PRON,PER,his
125,830,830,PRON,PER,he
0,837,837,PRON,PER,I
125,840,840,PRON,PER,his
125,844,844,PRON,PER,him
125,846,846,PRON,PER,he
346,849,851,NOM,PER,a good dog
0,853,853,PRON,PER,I
0,868,868,PRON,PER,I
1965,879,880,NOM,LOC,the valley
