start_token,end_token,supersense_category,text
11,12,noun.person,Leelah Alcorn
19,19,noun.communication,tvhose
23,23,verb.competition,shotv
27,27,noun.state,need
29,29,noun.feeling,empathy
31,31,noun.cognition,understanding
33,33,noun.attribute,kindness
38,38,noun.person,son
40,40,noun.person,Andretv
44,44,verb.communication,promised
46,46,noun.act,Sale
49,49,noun.communication,book
53,53,noun.artifact,cover
55,55,verb.stative,be
60,60,noun.communication,book
61,61,verb.stative,is
68,68,verb.communication,reported
71,71,noun.group,publisher
81,81,noun.person,author
84,84,noun.person,publisher
87,87,verb.possession,received
88,88,noun.possession,payment
93,93,verb.stative,is
95,95,noun.artifact,work
97,97,noun.communication,fiction
99,99,noun.communication,Names
101,101,noun.communication,characters
103,103,noun.location,places
106,106,noun.event,incidents
108,108,verb.stative,are
110,110,noun.artifact,product
113,113,noun.person,author
115,115,noun.cognition,imagination
118,118,verb.consumption,used
122,122,noun.attribute,resemblance
125,125,noun.person,persons
129,129,noun.state,dead
131,131,noun.event,events
134,134,noun.communication,locales
135,135,verb.stative,is
139,139,noun.communication,Text
140,140,noun.communication,copyright
144,145,noun.person,Donna Gephart
146,147,noun.communication,Cover art
148,148,noun.communication,copyright
152,154,noun.person,Mary Kate McDevitt
156,156,noun.attribute,rights
162,163,noun.location,United States
168,168,noun.cognition,imprint
170,171,noun.group,Random House
177,177,noun.cognition,division
179,182,noun.group,Penguin Random House LLC
184,185,noun.location,New York
188,188,verb.creation,published
190,190,noun.artifact,hardcover
193,194,noun.location,United States
196,197,noun.group,Delacorte Press
200,200,noun.cognition,imprint
202,206,noun.group,Random House Children ’s Books
215,215,noun.animal,horse
216,216,noun.act,design
219,219,noun.communication,trademarks
221,224,noun.group,Penguin Random House LLC
232,233,noun.person,rhcbooks.com Educators
235,235,noun.person,librarians
239,239,noun.group,variety
241,242,noun.cognition,teaching tools
244,244,verb.social,visit
249,251,noun.group,Library of Congress
253,253,verb.possession,cataloged
255,255,noun.artifact,hardcover
256,256,noun.communication,edition
259,259,noun.artifact,work
263,263,noun.person,Gephart
265,265,noun.person,Donna
269,269,noun.person,Dunkin
271,272,noun.person,Donna Gephart
278,278,noun.communication,pages
317,317,noun.quantity,8
319,319,noun.communication,ebook
326,326,noun.communication,Fiction
331,331,noun.group,people
333,333,noun.communication,Fiction
339,340,noun.state,depressive illness
342,342,noun.communication,Fiction
346,347,noun.state,Mental illness
349,349,noun.communication,Fiction
353,353,noun.location,Middle
358,358,noun.group,Schools
360,360,noun.communication,Fiction
362,362,noun.quantity,7
364,364,noun.location,Florida
366,366,noun.communication,Fiction
388,388,noun.communication,pbk
394,397,noun.location,United States of America
408,408,verb.stative,supports
413,413,verb.possession,celebrates
415,416,noun.attribute,right to
417,417,verb.communication,read
422,422,verb.social,do
424,424,noun.feeling,fondness
431,431,verb.communication,foiow
436,436,verb.stative,be
441,443,noun.person,Ralph Waldo Emerson
448,449,noun.person,Lily Jo
450,450,verb.stative,is
453,453,noun.communication,name
460,461,verb.social,working on
468,468,verb.stative,’m
471,471,noun.artifact,closet
476,476,noun.person,mom
478,478,noun.act,walk
481,481,noun.artifact,closet
484,484,noun.person,Meatbail
487,487,noun.body,heels
490,490,verb.contact,scratch
492,492,noun.person,Meatball
494,494,noun.body,chin
500,500,noun.body,tongue
501,501,verb.perception,pokes
504,504,noun.location,side
507,507,noun.body,mouth
511,511,verb.body,adorable
516,516,noun.act,Practice
520,520,verb.communication,tell
521,521,noun.person,Meatbail
526,526,noun.time,days
528,528,noun.group,school
529,529,verb.change,starts
535,535,verb.social,do
550,550,verb.emotion,feel
553,553,noun.person,friend
559,559,noun.person,friend
562,562,noun.person,Dare
564,564,verb.motion,push
568,568,noun.artifact,dresses
570,570,noun.communication,Thinking
573,573,noun.cognition,plan
577,577,noun.time,day
580,580,noun.group,grade
581,581,verb.communication,makes
583,583,noun.body,stomach
584,584,verb.motion,drop
588,588,verb.motion,plunged
591,591,noun.location,crest
594,595,noun.artifact,roller coaster
597,598,noun.location,Universal Studios
601,601,verb.stative,’m
606,606,noun.person,person
607,608,verb.motion,going to
609,611,noun.location,Gator Lake Middle
613,613,verb.social,dealing
617,617,verb.stative,am
623,623,noun.person,person
627,627,noun.location,state
629,629,noun.location,Florida
634,634,verb.cognition,know
642,643,verb.communication,looked up
647,647,noun.communication,information
654,654,verb.perception,feels
656,656,noun.attribute,way
660,660,noun.person,Meatball
662,662,verb.contact,wagging
665,665,noun.animal,tail
670,670,noun.body,body
671,671,verb.body,shakes
674,674,verb.emotion,wish
676,676,noun.object,world
