COREF,start_token,end_token,prop,cat,text
1,8,16,PROP,FAC,Penguin Random House LLC New York FIRST VINTAGE BOOKS
2,35,37,PROP,LOC,the United States
521,42,48,NOM,ORG,a division of Penguin Random House LLC
3,45,48,PROP,FAC,Penguin Random House LLC
4,50,51,PROP,GPE,New York
5,55,55,PROP,GPE,Canada
6,57,60,PROP,FAC,Random House of Canada
5,60,60,PROP,GPE,Canada
522,62,67,NOM,ORG,a division of Penguin Random House
7,65,67,PROP,FAC,Penguin Random House
5,68,68,PROP,GPE,Canada
8,71,71,PROP,GPE,Toronto
2,78,80,PROP,LOC,the United States
9,82,84,PROP,FAC,Alfred A. Knopf
521,86,92,NOM,ORG,a division of Penguin Random House LLC
3,89,92,PROP,ORG,Penguin Random House LLC
4,94,95,PROP,GPE,New York
524,133,134,NOM,PER,the author
525,145,146,NOM,PER,actual persons
11,168,170,PROP,ORG,Hal Leonard Corporation
190,179,179,PRON,PER,I
4476,181,181,PRON,PER,You
189,196,197,PROP,PER,George Gershwin
190,201,202,PROP,PER,Dorothy Heyward
191,205,206,PROP,PER,Ira Gershwin
12,220,224,PROP,FAC,Dorothy Heyward Memorial Fund Publishing
189,226,228,PROP,PER,George Gershwin Music
191,243,244,PROP,FAC,Ira Gershwin
14,248,250,PROP,FAC,WB Music Corp.
190,270,271,PROP,PER,Dorothy Heyward
11,292,294,PROP,ORG,Hal Leonard Corporation
15,296,299,PROP,ORG,The Library of Congress
192,310,310,PROP,PER,Gyasi
193,312,312,PROP,PER,Yaa
526,314,314,NOM,PER,author
16,323,324,PROP,LOC,Yaa Gyasi
4,328,329,PROP,GPE,New York
194,407,408,PROP,PER,Soonyoung Kwon
527,412,416,NOM,GPE,the United States of America
17,416,416,PROP,GPE,America
0,427,427,PRON,PER,my
528,427,428,NOM,PER,my parents
0,431,431,PRON,PER,my
529,431,432,NOM,PER,my brothers
195,433,433,PROP,PER,Abusua
530,465,466,NOM,PER,The family
531,469,470,NOM,LOC,the forest
532,473,473,PRON,PER,you
532,481,481,PRON,PER,you
532,484,484,PRON,PER,you
196,498,498,PROP,PER,Otcher
196,505,505,PROP,PER,Otcher
197,507,510,PROP,PER,James Collins Esi Asare
198,513,514,PROP,PER,Quey Collins
18,516,520,PROP,FAC,Nana Yaa Yeboah Ness Stockham
199,524,530,PROP,PER,Richard Collins m. Akosua Mensah Kojo Freeman
199,535,535,PROP,PER,Collins
533,537,560,PROP,PER,Ohene Nyarko Agnes Beulah Cato Daly Eurias Felicity Gracie H Black m. Ethe Jackson Akua Collins m. tsamoah Agyekum Willie Black Hazel Eli Dalton
4477,562,581,PROP,PER,m. Robert Clifton ena Ama Yaw Agyekum m. > ee ” Serwah Esther Amoah Josephine Carson “ Sonny ” Clifton
200,583,588,PROP,PER,Amani Zulema Marjorie Agyekum Marcus Clifton
201,596,597,PROP,PER,effia otcher
19,605,605,PROP,GPE,Fanteland
4478,611,612,NOM,LOC,the woods
201,615,615,PRON,PER,her
4479,615,616,NOM,PER,her father
4480,615,618,NOM,FAC,her father ’s compound
4481,630,630,PRON,PER,It
4482,639,639,NOM,LOC,caves
4481,656,656,PRON,PER,it
4481,661,661,PRON,PER,it
4483,663,665,NOM,GPE,an Asante village
201,678,678,PROP,PER,Effia
4484,678,680,NOM,PER,Effia ’s father
196,682,683,PROP,PER,Cobbe Otcher
4484,686,686,PRON,PER,his
4485,686,688,NOM,PER,his first wife
202,690,690,PROP,PER,Baaba
4486,693,695,NOM,PER,the new baby
4484,698,698,PRON,PER,he
4484,704,704,PRON,PER,his
4487,717,717,NOM,PER,families
196,719,719,PROP,PER,Cobbe
4484,726,726,PRON,PER,he
4484,734,734,PRON,PER,his
4488,734,736,NOM,PER,his own family
4484,738,738,PRON,PER,He
4484,755,755,PRON,PER,him
4484,757,757,PRON,PER,his
4489,757,758,NOM,PER,his children
4484,761,761,PRON,PER,his
4489,761,762,NOM,PER,his children
4491,761,764,NOM,PER,his children ’s children
4484,774,774,PRON,PER,he
202,778,778,PROP,PER,Baaba
4492,778,780,NOM,FAC,Baaba ’s hut
201,783,783,PROP,PER,Effia
4493,785,796,NOM,PER,"the child of the night ’s fire , shrieking into the air"
4484,798,798,PRON,PER,he
4484,801,801,PRON,PER,his
4494,801,802,NOM,PER,his wife
534,807,807,PRON,PER,We
4495,818,819,NOM,PER,The villagers
4496,824,825,NOM,PER,the baby
202,837,837,PROP,PER,Baaba
201,842,842,PROP,PER,Effia
196,846,846,PROP,PER,Cobbe
4497,846,849,NOM,PER,Cobbe ’s second wife
4498,857,858,NOM,PER,a son
201,863,863,PROP,PER,Effia
201,871,871,PRON,PER,she
201,874,874,PRON,PER,her
