start_token,end_token,supersense_category,text
1,2,noun.group,Yaa Gyasi
8,13,noun.group,Penguin Random House LLC New York
19,19,noun.time,APRIL
33,33,verb.creation,Published
36,37,noun.location,United States
39,40,noun.group,Vintage Books
43,43,noun.cognition,division
45,47,noun.group,Penguin Random House
50,51,noun.location,New York
55,55,noun.location,Canada
57,60,noun.group,Random House of Canada
63,63,noun.group,division
65,68,noun.group,Penguin Random House Canada
71,71,noun.location,Toronto
74,74,verb.creation,published
79,80,noun.location,United States
82,84,noun.person,Alfred A. Knopf
87,87,noun.group,division
89,92,noun.group,Penguin Random House LLC
94,95,noun.location,New York
103,103,noun.artifact,colophon
104,104,verb.stative,are
106,106,noun.communication,trademarks
108,111,noun.group,Penguin Random House LLC
114,114,verb.stative,is
116,116,noun.artifact,work
118,118,noun.communication,fiction
120,120,noun.communication,Names
122,122,noun.communication,characters
124,124,noun.location,places
127,127,noun.event,incidents
129,129,verb.stative,are
131,131,noun.artifact,product
134,134,noun.person,author
136,136,noun.cognition,imagination
139,139,verb.consumption,used
143,143,noun.attribute,resemblance
146,146,noun.person,persons
148,148,verb.stative,living
150,150,noun.state,dead
152,152,noun.event,events
155,155,noun.communication,locales
156,156,verb.stative,is
161,161,noun.communication,acknowledgment
163,163,verb.social,made
165,166,noun.group,Alfred Music
168,170,noun.group,Hal Leonard Corporation
172,172,noun.communication,permission
174,174,verb.communication,reprint
176,176,noun.communication,excerpts
187,187,noun.person,Porgy
192,192,noun.communication,Words
194,194,noun.communication,music
196,197,noun.person,George Gershwin
199,199,noun.person,DuBose
201,202,noun.person,Dorothy Heyward
205,206,noun.person,Ira Gershwin
208,208,noun.communication,Copyright
212,212,verb.possession,renewed
214,215,noun.person,Ira Gershwin
218,218,noun.location,DuBose
220,224,noun.group,Dorothy Heyward Memorial Fund Publishing
226,227,noun.person,George Gershwin
234,236,noun.group,Frankie G. Songs
243,245,noun.group,Ira Gershwin Music
246,246,verb.social,administered
248,250,noun.group,WB Music Corp.
252,252,noun.attribute,rights
256,256,verb.social,administered
258,259,noun.person,Imagem Sounds
262,262,noun.attribute,rights
264,266,noun.person,Frankie G. Songs
268,268,noun.location,DuBose
270,271,noun.person,Dorothy Heyward
272,274,noun.group,Memorial Fund Publishing
275,275,verb.creation,administered
277,279,noun.group,Songs Music Publishing
287,287,noun.communication,permission
289,290,noun.group,Alfred Music
292,294,noun.group,Hal Leonard Corporation
297,299,noun.group,Library of Congress
301,301,verb.communication,cataloged
304,304,noun.communication,edition
308,308,noun.communication,Names
310,310,noun.person,Gyasi
312,312,noun.person,Yaa
314,314,noun.person,author
316,316,noun.communication,Title
321,321,noun.communication,novel
326,326,noun.communication,Description
328,329,noun.location,New York
331,331,noun.location,Knopf
335,335,noun.communication,Identifiers
337,337,noun.communication,lccn
339,339,noun.communication,Subjects
344,344,noun.communication,fiction
352,352,noun.communication,fiction
354,354,noun.communication,Sagas
357,357,noun.communication,fiction
361,361,noun.group,Classification
373,373,noun.communication,record
404,404,noun.communication,Book
405,405,noun.act,design
407,408,noun.person,Soonyoung Kwon
413,416,noun.location,United States of America
428,428,noun.person,parents
432,432,noun.person,brothers
433,433,noun.person,Abusua
435,436,noun.person,se kwae
466,466,noun.group,family
467,467,verb.stative,is
470,470,noun.group,forest
474,474,verb.stative,are
477,477,verb.stative,is
482,482,verb.stative,are
485,485,verb.perception,see
488,488,noun.plant,tree
489,489,verb.stative,has
492,492,noun.location,position
495,495,noun.communication,PROVERB
496,498,noun.person,Maame Cobbe Otcher
502,508,noun.person,Man Asare Effia Otcher m. James Collins
513,514,noun.person,Quey Collins
528,535,noun.person,Mensah Kojo Freeman m. Anna Foster Abena Collins
537,537,noun.quantity,Ohene
538,538,noun.location,Nyarko
539,569,noun.person,Agnes Beulah Cato Daly Eurias Felicity Gracie H Black m. Ethe Jackson Akua Collins m. tsamoah Agyekum Willie Black Hazel Eli Dalton + m. Robert Clifton ena Ama Yaw Agyekum m.
573,577,noun.person,Serwah Esther Amoah Josephine Carson
579,581,noun.person,Sonny ” Clifton
583,588,noun.person,Amani Zulema Marjorie Agyekum Marcus Clifton
589,592,noun.group,START OF BOOK Part
595,595,noun.time,night
596,597,noun.person,effia otcher
599,599,verb.change,born
603,603,noun.attribute,heat
605,605,noun.location,Fanteland
608,608,noun.event,fire
609,609,verb.weather,raged
612,612,noun.group,woods
616,616,noun.person,father
618,618,noun.artifact,compound
621,621,verb.motion,moved
624,624,verb.contact,tearing
