COREF,start_token,end_token,prop,cat,text
439,2,2,PRON,PER,we
440,4,5,NOM,PER,the ants
161,28,28,PROP,PER,Hutchinson
2858,82,95,NOM,PER,"characters who become real upon the page . ” — Booklist , starred review"
1,105,106,PROP,FAC,Shelf Awareness
162,119,120,PROP,PER,Nick Burd
2,122,126,PROP,LOC,The Vast Fields of Ordinary
163,135,136,PROP,PER,Kurt Vonnegut
441,150,152,NOM,FAC,School Library Journal
2859,164,172,NOM,PER,someone who is at the top of his craft
2859,171,171,PRON,PER,his
161,180,182,PROP,PER,SHAUN DAVID HUTCHINSON
442,184,186,NOM,LOC,the Edge of
443,187,200,NOM,FAC,the Universe Violent Ends The Five Stages of Andrew Brawley fml The Deathday Letter
3,187,216,PROP,GPE,the Universe Violent Ends The Five Stages of Andrew Brawley fml The Deathday Letter we are the ants shaun david hutchinson Simon Pulse NEW YORK LONDON TORONTO SYDNEY NEW DELHI
439,201,201,PRON,PER,we
440,203,204,NOM,PER,the ants
161,205,207,PROP,PER,shaun david hutchinson
445,208,211,NOM,GPE,Simon Pulse NEW YORK
4,212,212,PROP,GPE,LONDON
5,213,213,PROP,GPE,TORONTO
6,214,214,PROP,GPE,SYDNEY
446,231,232,NOM,PER,real people
447,253,254,NOM,PER,the author
7,285,293,PROP,FAC,Children ’s Publishing Division 1230 Avenue of the Americas
8,292,293,PROP,LOC,the Americas
9,295,296,PROP,GPE,New York
10,298,298,PROP,GPE,New
11,299,299,PROP,GPE,York
161,313,315,PROP,PER,Shaun David Hutchinson
12,365,365,PROP,GPE,Inc.
164,377,377,PROP,PER,Simon
164,394,398,PROP,PER,Simon & Schuster Speakers Bureau
448,401,401,NOM,PER,authors
449,403,403,PRON,PER,your
450,416,421,NOM,PER,the Simon & Schuster Speakers Bureau
451,432,432,PRON,PER,our
165,440,441,PROP,PER,Regina Flath
166,445,446,PROP,PER,Hilary Zarycky
452,461,465,NOM,GPE,the United States of America
13,465,465,PROP,GPE,America
14,475,478,PROP,ORG,The Library of Congress
161,489,489,PROP,PER,Hutchinson
161,491,492,PROP,PER,Shaun David
453,494,494,NOM,PER,author
454,498,498,PRON,PER,We
0,502,502,PRON,PER,I
161,503,505,PROP,PER,Shaun David Hutchinson
9,516,517,PROP,GPE,New York
15,519,520,PROP,FAC,Simon Pulse
455,531,531,PRON,PER,his
456,531,532,NOM,PER,his boyfriend
167,534,534,PROP,PER,Henry
455,546,546,PRON,PER,he
455,552,552,PRON,PER,he
457,561,562,NOM,LOC,the world
167,584,584,PRON,PER,he
0,639,639,PRON,PER,I
0,648,648,PRON,PER,I
0,658,658,PRON,PER,I
458,668,668,PRON,PER,We
168,688,688,PROP,PER,Matt
