start_token,end_token,supersense_category,text
3,3,verb.stative,are
13,13,noun.communication,ray
15,15,noun.feeling,hope
17,17,noun.state,bleakness
25,25,noun.communication,review
30,30,verb.creation,crafted
33,33,noun.communication,portrait
36,36,noun.feeling,pain
38,38,noun.state,confusion
41,41,noun.feeling,love
43,43,noun.feeling,loss
46,46,verb.cognition,exploring
47,47,noun.communication,topics
49,49,noun.state,dementia
51,51,noun.act,abuse
53,53,noun.state,sexuality
56,56,noun.act,suicide
59,59,verb.change,entwine
63,63,noun.act,work
65,66,verb.change,growing up
74,74,noun.communication,review
80,80,verb.emotion,crackling
82,82,noun.cognition,characters
84,84,verb.change,become
88,88,noun.communication,page
95,95,noun.act,review
109,109,noun.communication,review
113,113,verb.change,combines
117,117,noun.cognition,elements
119,120,noun.person,Nick Burd
133,133,noun.attribute,hints
135,136,noun.person,Kurt Vonnegut
140,140,noun.quantity,Five
150,152,noun.group,School Library Journal
155,155,noun.communication,review
161,161,verb.communication,told
162,162,noun.communication,story
166,166,verb.stative,is
172,172,noun.act,craft
176,178,noun.group,Lambda Literary Also
180,182,noun.person,SHAUN DAVID HUTCHINSON
185,185,noun.location,Edge
188,190,noun.location,Universe Violent Ends
193,193,noun.location,Stages
196,197,noun.location,Brawley fml
199,200,noun.location,Deathday Letter
202,202,verb.stative,are
205,208,noun.person,shaun david hutchinson Simon
210,211,noun.location,NEW YORK
212,213,noun.location,LONDON TORONTO
214,215,noun.location,SYDNEY NEW
218,218,noun.communication,book
219,219,verb.stative,is
221,221,noun.artifact,work
223,223,noun.communication,fiction
226,226,noun.communication,references
229,229,noun.event,events
232,232,noun.group,people
236,236,noun.location,places
238,238,verb.consumption,used
242,242,noun.communication,names
244,244,noun.person,characters
246,246,noun.communication,places
249,249,noun.event,events
250,250,verb.stative,are
254,254,noun.person,author
256,256,noun.cognition,imagination
260,260,noun.attribute,resemblance
263,263,noun.event,events
265,265,noun.state,places
267,267,noun.person,persons
269,269,verb.stative,living
271,271,noun.time,dead
273,273,verb.stative,is
280,280,noun.cognition,imprint
282,282,noun.group,Simon
284,285,noun.group,Schuster Children
288,293,noun.location,Division 1230 Avenue of the Americas
295,296,noun.location,New York
298,299,noun.location,New York
302,303,noun.substance,Simon Pulse
305,305,noun.communication,edition
308,308,noun.communication,Text
309,309,noun.communication,copyright
316,317,noun.communication,Cover photograph
318,318,noun.communication,copyright
333,333,noun.communication,edition
336,336,noun.communication,rights
339,339,verb.stative,including
341,341,noun.attribute,right
343,343,noun.communication,reproduction
351,351,noun.communication,form
353,354,noun.person,SIMON PULSE
356,356,noun.artifact,colophon
357,357,verb.stative,are
359,359,noun.communication,trademarks
361,363,noun.group,Simon & Schuster
367,367,noun.communication,information
370,370,noun.possession,discounts
373,373,noun.act,purchases
376,376,verb.communication,contact
377,379,noun.group,Simon & Schuster
394,398,noun.group,Simon & Schuster Speakers Bureau
400,400,verb.motion,bring
401,401,noun.person,authors
405,405,noun.event,event
409,409,noun.communication,information
412,412,verb.social,book
414,414,noun.event,event
415,415,verb.social,contact
417,421,noun.group,Simon & Schuster Speakers Bureau
431,431,verb.social,visit
433,433,noun.communication,website
435,435,noun.person,www.simonspeakers.com
437,437,noun.substance,Cover
438,438,verb.creation,designed
440,441,noun.person,Regina Flath
443,443,verb.creation,designed
445,446,noun.person,Hilary Zarycky
448,448,noun.communication,text
451,451,noun.communication,book
453,453,verb.creation,set
455,455,noun.substance,Adobe
456,457,noun.location,Garamond Pro
459,459,verb.creation,Manufactured
462,465,noun.location,United States of America
476,478,noun.group,Library of Congress
480,480,verb.creation,cataloged
482,482,noun.communication,hardcover
483,483,noun.communication,edition
487,487,noun.communication,Names
491,492,noun.person,Shaun David
494,494,noun.person,author
496,496,noun.communication,Title
499,499,verb.stative,are
503,505,noun.person,Shaun David Hutchinson
507,507,noun.communication,Description
513,513,noun.communication,edition
516,517,noun.location,New York
519,520,noun.group,Simon Pulse
525,525,noun.communication,Summary
529,529,noun.act,suicide
532,532,noun.person,boyfriend
534,534,noun.person,Henry
535,535,verb.cognition,deals
537,537,noun.state,depression
539,539,noun.group,family
540,540,noun.state,issues
544,544,verb.cognition,wondering
549,549,verb.contact,abducted
551,551,verb.communication,told
553,553,verb.possession,has
555,555,noun.time,days
557,557,verb.cognition,decide
562,562,noun.object,world
563,563,verb.stative,is
567,567,noun.communication,Identifiers
572,572,noun.communication,print
610,610,noun.group,Family
611,611,noun.state,problems
613,613,noun.communication,Fiction
617,617,noun.relation,relations
619,619,noun.communication,Fiction
624,624,noun.communication,Fiction
629,629,noun.communication,Fiction
655,655,noun.communication,FICTION
657,657,noun.communication,Issues
671,671,noun.communication,print
683,683,noun.communication,record
695,695,verb.stative,EXIST
715,720,noun.person,Arthur C. Clarke START OF BOOK
721,721,noun.cognition,Chemistry
727,727,verb.stative,is
728,728,noun.communication,bullshit
730,730,verb.cognition,Consider
732,732,noun.time,life
735,735,noun.time,moment
737,738,verb.cognition,Think about
742,742,noun.act,rituals
744,744,verb.stative,sustain
748,748,noun.time,day
752,752,noun.time,moment
754,755,verb.body,wake up
761,761,noun.time,midnight
762,762,noun.time,hour
765,765,verb.consumption,guzzle
767,767,noun.quantity,gallon
769,769,noun.substance,NyQuil
771,772,verb.perception,drown out
775,775,noun.attribute,voice
778,778,noun.body,head
783,783,verb.communication,whispers
786,787,verb.cognition,give up
789,790,verb.cognition,give in
793,793,noun.time,tomorrow
796,796,verb.stative,be
799,799,noun.time,today
801,802,verb.cognition,Think about
804,804,noun.attribute,absurdity
806,806,verb.contact,brushing
808,808,noun.body,teeth
811,811,verb.communication,arguing
814,814,noun.person,mother
817,817,noun.attribute,appropriateness
822,822,verb.body,wearing
824,824,noun.group,school
827,827,noun.act,homework
830,830,noun.time,grade
832,833,noun.cognition,point averages
835,835,noun.person,boyfriends
839,839,noun.food,lunches
842,842,noun.state,life
844,845,verb.cognition,Think about
847,847,noun.communication,absurdity
849,849,noun.state,life
853,854,verb.communication,break down
856,856,noun.act,things
858,858,verb.social,do
860,860,noun.time,day
863,865,noun.person,SHAUN DAVID HUTCHINSON
867,868,noun.artifact,component pieces
871,871,verb.change,begin
873,873,verb.cognition,understand
877,877,verb.stative,are
880,880,verb.contact,kissing
888,888,verb.social,let
890,890,noun.person,stranger
893,893,noun.group,street
894,894,verb.body,spit
897,897,noun.body,mouth
902,902,verb.contact,swap
903,903,noun.body,saliva
906,906,noun.person,boy
908,908,noun.person,girl
910,910,verb.communication,makes
912,912,noun.body,heart
913,913,verb.motion,race
916,916,noun.body,pits
917,917,verb.body,sweat
919,919,verb.possession,gives
921,921,noun.body,boners
926,926,noun.event,times
930,930,verb.contact,stick
932,932,noun.body,tongue
935,935,noun.body,mouth
938,938,noun.body,mouth
941,941,noun.body,mouth
944,944,verb.social,let
946,946,verb.change,reciprocate
948,948,verb.motion,stopping
950,950,verb.communication,consider
954,954,noun.body,tongue
956,956,verb.stative,been
962,962,verb.possession,giving
964,964,noun.body,mouth
965,965,noun.substance,herpes
967,967,noun.substance,mono
970,970,noun.food,morsels
973,973,noun.food,tuna
975,975,noun.food,salad
976,976,noun.food,sandwich
979,979,verb.body,shave
981,981,noun.body,legs
983,983,verb.contact,pluck
985,985,noun.body,eyebrows
987,987,verb.contact,slather
989,989,noun.body,bodies
991,991,noun.substance,creams
993,993,noun.substance,lotions
996,996,verb.consumption,starve
1001,1001,verb.stative,fit
1005,1005,noun.group,pair
1007,1007,noun.artifact,jeans
1010,1010,verb.change,pollute
1012,1012,noun.body,bodies
1014,1014,noun.artifact,drugs
1016,1016,verb.change,increase
1018,1018,noun.body,muscles
1022,1022,verb.perception,look
1026,1026,noun.artifact,shirt
1029,1029,verb.motion,drive
1032,1032,verb.body,party
1035,1035,verb.cognition,study
1037,1037,noun.act,exams
1041,1041,verb.communication,mean
1042,1042,noun.attribute,dick
1046,1046,noun.cognition,scheme
1049,1049,noun.object,cosmos
1051,1051,noun.person,Physicists
1053,1053,verb.cognition,theorized
1056,1056,verb.stative,live
1063,1063,noun.object,universe
1072,1072,verb.communication,repeat
1075,1075,verb.stative,are
1077,1077,noun.artifact,copies
1080,1080,noun.person,mom
1083,1083,noun.person,dad
1086,1086,noun.artifact,clothes
1089,1090,noun.person,little sister
1093,1093,verb.stative,are
1095,1095,noun.artifact,copies
1103,1103,verb.stative,spent
1106,1106,noun.time,life
1107,1107,verb.cognition,believing
1110,1110,verb.stative,are
1114,1114,noun.phenomenon,snowflake
1123,1123,verb.stative,living
1125,1125,noun.time,life
1128,1128,verb.stative,are
1132,1132,verb.body,living
1138,1138,verb.cognition,learning
1140,1140,verb.communication,speak
1141,1141,noun.communication,French
1143,1143,verb.body,screwing
1145,1145,noun.body,brains
1149,1149,noun.person,ANTS
1154,1154,verb.contact,loafing
1157,1157,noun.artifact,couch
1160,1160,noun.artifact,boxers
1162,1162,verb.contact,stuffing
1164,1164,noun.body,face
1166,1166,noun.artifact,bowl
1168,1168,noun.artifact,bowl
1171,1171,noun.communication,Oatholes
1173,1173,verb.cognition,wondering
1176,1176,verb.stative,’re
1181,1181,noun.time,Friday
1182,1182,noun.time,night
1191,1191,noun.relation,part
1198,1198,verb.motion,send
1200,1200,verb.motion,running
1203,1203,noun.artifact,side
1207,1207,noun.artifact,bridge
1208,1208,verb.stative,is
1213,1213,verb.stative,matters
1217,1217,verb.change,die
1221,1221,verb.change,die
1226,1226,verb.change,die
1230,1230,noun.act,things
1233,1233,verb.social,done
1236,1236,noun.act,choices
1239,1239,verb.social,made
1242,1242,verb.stative,amount
1244,1244,noun.quantity,nothing
1249,1249,noun.object,world
1251,1251,verb.motion,crawling
1254,1254,noun.location,field
1257,1257,noun.location,edge
1261,1261,noun.location,town
1264,1264,noun.communication,name
1266,1266,noun.location,Shoshoni
1268,1269,noun.person,Medicine Bow
1271,1271,verb.stative,is
1273,1273,noun.animal,ant
1276,1276,verb.stative,were
1284,1284,verb.cognition,know
1287,1287,verb.stative,was
1289,1289,noun.person,soldier
1292,1292,noun.artifact,drone
1296,1296,noun.animal,queen
1300,1300,verb.emotion,care
1304,1304,verb.perception,scouting
1306,1306,noun.food,food
1308,1308,verb.contact,drag
1312,1312,noun.object,nest
1314,1314,verb.creation,building
1316,1316,noun.artifact,tunnels
1319,1320,noun.animal,ant larvae
1325,1325,noun.animal,ant
1329,1329,verb.stative,exist
1337,1337,verb.communication,mentioned
1343,1344,verb.stative,continued on
1347,1347,noun.state,life
1349,1349,verb.social,pinballing
1353,1353,noun.act,task
1358,1358,verb.contact,shoving
1360,1360,noun.body,tongue
1364,1364,noun.object,minefield
1367,1367,noun.person,girlfriend
1369,1369,noun.body,mouth
1371,1371,verb.communication,doodling
1373,1373,noun.communication,variations
1377,1377,noun.communication,names
1380,1380,noun.artifact,cover
1383,1383,noun.communication,notebook
1385,1385,verb.stative,waiting
1388,1388,noun.relation,bits
1390,1390,verb.motion,zoom
1393,1393,noun.location,air
1395,1395,verb.communication,tell
1400,1401,verb.cognition,thinking about
1408,1408,noun.time,moment
1410,1410,verb.stative,were
1414,1414,noun.person,person
1420,1420,noun.state,life
1425,1425,verb.cognition,knew
1432,1432,noun.animal,ant
1433,1433,verb.stative,is
1437,1437,verb.social,doing
1438,1438,noun.animal,ant
1439,1439,noun.artifact,things
1442,1442,verb.stative,wait
1446,1447,noun.communication,text message
1449,1449,verb.cognition,prove
1455,1455,noun.quantity,billion
1460,1462,noun.person,SHAUN DAVID HUTCHINSON
1463,1463,noun.group,people
1466,1466,noun.object,planet
1469,1469,verb.stative,are
1474,1474,noun.cognition,sense
1476,1478,noun.attribute,self - worth
1480,1480,verb.cognition,predicated
1483,1483,noun.cognition,belief
1486,1486,verb.stative,matter
1490,1491,verb.stative,matter to
1493,1493,noun.object,universe
1502,1502,verb.stative,are
1504,1504,noun.animal,ants
1509,1509,verb.possession,waste
1510,1510,noun.time,time
1511,1512,verb.cognition,thinking about
1514,1514,noun.time,future
1517,1517,noun.time,night
1519,1519,noun.person,sluggers
1520,1520,verb.contact,abducted
1523,1523,verb.communication,told
1526,1526,noun.object,world
1530,1530,verb.stative,end
1533,1533,verb.stative,’m
1539,1539,verb.communication,tell
1543,1543,noun.group,race
1544,1544,verb.stative,is
1550,1550,verb.communication,speaking
1553,1553,noun.attribute,way
1554,1554,noun.group,people
1558,1558,verb.communication,say
1562,1562,verb.change,dying
1565,1565,noun.time,moment
1567,1567,noun.person,mothers
1568,1568,verb.emotion,evict
1572,1572,noun.body,bodies
1575,1575,noun.object,world
1578,1578,verb.perception,feels
1589,1589,verb.communication,telling
1592,1592,noun.time,tomorrow
1594,1594,noun.time,January
1601,1601,verb.contact,kiss
1605,1605,noun.person,Frappuccino
1607,1607,noun.act,drinking
1610,1610,noun.body,ass
1611,1613,noun.communication,good - bye
1619,1619,verb.cognition,believe
1627,1627,noun.cognition,place
1632,1632,verb.possession,had
1634,1634,noun.time,days
1636,1636,verb.change,come
1642,1642,noun.event,destruction
1647,1647,verb.stative,spent
1651,1651,noun.time,days
1652,1653,verb.cognition,thinking about
1655,1655,noun.time,future
1657,1657,verb.cognition,Wondering
1662,1662,verb.emotion,want
1665,1665,verb.social,trying
1667,1667,verb.cognition,decide
1670,1670,noun.event,end
1672,1672,noun.state,existence
1673,1673,verb.stative,is
1675,1675,noun.event,tragedy
1678,1678,noun.communication,comedy
1685,1686,noun.artifact,chem lab
1688,1688,verb.cognition,forgot
1690,1691,verb.communication,turn in
1693,1693,noun.time,week
1698,1698,noun.communication,joke
1699,1699,verb.stative,is
1703,1703,noun.person,sluggers
1704,1704,verb.communication,revealed
1711,1711,noun.person,ANTS
1714,1714,noun.time,date
1716,1716,noun.object,Earth
1718,1718,noun.event,demise
1724,1724,verb.possession,offered
1727,1727,noun.act,choice
1729,1729,verb.social,prevent
1733,1733,verb.communication,asked
1736,1736,noun.communication,story
1741,1741,verb.stative,is
1745,1745,verb.change,begin
1748,1748,noun.time,night
1750,1750,noun.person,sluggers
1751,1751,verb.communication,told
1754,1754,noun.object,world
1755,1755,verb.stative,was
1756,1756,noun.food,toast
1762,1762,verb.change,finished
1766,1766,verb.stative,wait
1769,1769,noun.time,end
1773,1773,noun.time,September
1777,1777,noun.communication,letdown
1780,1780,verb.contact,abducted
1782,1782,noun.artifact,aliens
1783,1783,verb.stative,is
1785,1785,noun.attribute,abundance
1787,1787,noun.phenomenon,gravity
1790,1790,noun.artifact,spaceship
1793,1793,verb.stative,spend
1797,1797,noun.time,months
1799,1799,noun.time,life
1800,1800,verb.motion,floating
1809,1809,noun.substance,sac
1812,1812,verb.stative,become
1813,1813,noun.attribute,gravity
1815,1815,noun.person,bitch
1820,1820,noun.attribute,lure
1822,1822,noun.location,space
1823,1823,noun.act,travel
1824,1824,verb.stative,is
1826,1826,noun.communication,promise
1828,1828,verb.motion,returning
1832,1832,noun.state,state
1834,1834,noun.state,grace
1840,1840,noun.artifact,sham
1842,1842,noun.phenomenon,Gravity
1843,1843,verb.stative,is
1853,1853,verb.cognition,think
1854,1854,noun.phenomenon,gravity
1856,1856,verb.stative,be
1857,1857,noun.state,death
1859,1859,noun.communication,disguise
1862,1862,noun.event,times
1864,1864,verb.cognition,think
1865,1865,noun.phenomenon,gravity
1866,1866,verb.stative,is
1867,1867,noun.feeling,love
1870,1870,verb.stative,is
1872,1872,noun.feeling,love
1875,1875,noun.communication,demand
1876,1876,verb.stative,is
1879,1879,verb.motion,fall
1881,1881,noun.person,Sluggers
1882,1882,verb.stative,are
1889,1889,verb.stative,have
1893,1893,noun.body,eyes
1897,1897,noun.body,mouths
1903,1903,verb.cognition,know
1908,1908,verb.stative,have
1909,1909,noun.body,mouths
1914,1914,noun.body,skin
1915,1915,verb.stative,is
1919,1919,noun.substance,leather
1921,1921,verb.stative,is
1924,1924,noun.attribute,colors
1932,1932,noun.animal,algae
1933,1933,noun.process,bloom
1938,1938,noun.body,eyes
1940,1940,verb.contact,mounted
1943,1943,noun.body,heads
1946,1946,noun.plant,stalks
1950,1950,noun.body,arms
1953,1953,verb.stative,have
1954,1954,noun.body,appendages
1956,1956,verb.change,grow
1959,1959,noun.body,bodies
1965,1966,noun.artifact,UFO keys
1967,1967,verb.motion,fall
1970,1970,noun.artifact,console
1973,1973,noun.body,arm
1979,1979,verb.contact,restrain
1982,1982,verb.change,silence
1985,1985,noun.communication,howls
1989,1989,verb.change,sprout
1992,1992,noun.animal,tentacles
1994,1994,verb.creation,accomplish
1996,1996,noun.act,task
1999,1999,verb.stative,’s
2006,2006,noun.person,sluggers
2008,2008,verb.possession,have
2009,2009,noun.artifact,nipples
2013,2013,noun.artifact,buttons
2015,2015,verb.perception,appear
2017,2017,verb.stative,be
2024,2024,noun.person,men
2031,2031,verb.cognition,know
2037,2037,noun.attribute,differences
2040,2040,noun.time,light
2042,2042,noun.time,years
2044,2044,verb.stative,separate
2046,2046,noun.group,worlds
2051,2051,verb.possession,have
2052,2052,noun.quantity,nipples
2058,2058,verb.contact,slap
2062,2063,noun.artifact,bumper sticker
2065,2065,verb.communication,©
2066,2068,noun.person,henry jerome DENTON
2072,2072,verb.communication,ask
2077,2077,noun.person,sluggers
2080,2080,verb.perception,probed
2082,2082,noun.body,anus
2085,2085,verb.stative,’m
2089,2089,verb.possession,reserve
2092,2092,noun.communication,treat
2094,2094,noun.group,people
2096,2096,verb.communication,talk
2099,2099,noun.artifact,phones
2101,2101,noun.communication,movies
2104,2104,noun.communication,text
2106,2106,verb.motion,driving
2112,2112,verb.change,happens
2114,2114,noun.act,abductions
2116,2116,verb.change,begin
2118,2118,noun.attribute,shadows
2124,2124,noun.artifact,room
2128,2128,noun.artifact,windows
2132,2132,noun.artifact,curtains
2133,2133,verb.contact,drawn
2136,2136,noun.cognition,shadows
2137,2137,verb.motion,descend
2139,2139,verb.motion,circling
2141,2141,noun.animal,buzzards
2145,2145,noun.food,lunch
2149,2149,noun.attribute,heaviness
2152,2152,noun.body,crotch
2157,2157,verb.body,pee
2159,2159,verb.change,growing
2161,2162,noun.person,SHAUN DAVID
2171,2171,verb.communication,beg
2173,2173,noun.cognition,brain
