COREF,start_token,end_token,prop,cat,text
1,11,11,PROP,GPE,America
1599,12,14,PROP,PER,Ibram X. Kendi
2,18,19,PROP,GPE,New York
1599,24,26,PROP,FAC,Ibram X. Kendi
4,47,49,PROP,ORG,Hachette Book Group
3408,69,69,NOM,PER,writers
3409,71,71,NOM,PER,artists
3410,79,79,PRON,PER,our
3411,98,99,NOM,PER,the author
3412,105,105,PRON,PER,you
3412,128,128,PRON,PER,you
3412,130,130,PRON,PER,your
3411,133,134,NOM,PER,the author
5,142,144,PROP,FAC,East 16th Street
6,146,147,PROP,FAC,8th Floor
2,148,149,PROP,GPE,New York
290,157,161,PROP,GPE,the United States of America
3414,186,190,NOM,ORG,an imprint of Perseus Books
3415,194,199,NOM,ORG,a subsidiary of Hachette Book Group
4,197,199,PROP,ORG,Hachette Book Group
3416,212,218,NOM,ORG,the Type Media Center and Perseus Books
3417,220,223,NOM,ORG,The Hachette Speakers Bureau
3418,225,229,NOM,PER,a wide range of authors
3419,251,252,NOM,PER,The publisher
3420,260,260,PRON,PER,their
3419,268,269,NOM,PER,the publisher
1600,276,277,PROP,PER,Jack Lenzo
3422,278,280,NOM,GPE,Library of Congress
1599,289,289,PROP,GPE,Kendi
9,291,291,PROP,GPE,Ibram
3423,294,294,NOM,PER,author
1,310,310,PROP,GPE,America
1599,312,314,PROP,FAC,Ibram X. Kendi
2,317,318,PROP,GPE,New York
0,325,325,PRON,PER,I
0,345,345,PRON,PER,I
3424,434,434,PRON,PER,they
1,464,464,PROP,GPE,America
1601,469,469,PROP,PER,Souls
1978,486,487,PROP,PER,THOMAS JEFFERSON
10,509,510,PROP,FAC,Big Bottoms
11,514,520,PROP,FAC,Colonization 143 PART III WILLIAM LLOYD GARRISON
1603,534,534,PROP,PER,Soul
12,538,540,PROP,FAC,The Impending Crisis
3425,578,579,NOM,GPE,the South
13,583,584,PROP,FAC,Southern Horrors
1604,588,589,PROP,PER,Black Judases
3426,602,603,NOM,GPE,a Nation
1605,627,628,PROP,PER,ANGELA DAVIS
1606,650,650,PROP,PER,Reagan
2669,656,657,PROP,ORG,New Democrats
3427,673,675,NOM,PER,The Extraordinary Negro
0,690,690,PRON,PER,I
1607,705,706,PROP,PER,Barack Obama
3428,708,709,NOM,PER,No one
3429,716,728,NOM,PER,the reality television star trolling Obama about the authenticity of his birth certificate
1607,721,721,PROP,PER,Obama
1607,726,726,PRON,PER,his
1607,731,731,PRON,PER,him
15,733,735,PROP,FAC,the White House
1608,738,739,PROP,PER,Donald Trump
1608,759,759,PRON,PER,his
1607,777,777,PRON,PER,Obama
3430,788,795,NOM,PER,the first woman president of the United States
3431,793,795,NOM,GPE,the United States
1608,797,797,PROP,PER,Trump
3432,801,802,NOM,PER,many Americans
3432,812,812,PRON,PER,their
1608,818,820,PROP,PER,a Donald Trump
1607,822,823,PROP,PER,Barack Obama
3433,830,834,NOM,PER,the candidate of angry bigots
3434,836,837,NOM,PER,the Klan
3435,836,839,NOM,PER,the Klan 's candidate
3436,841,847,NOM,PER,the stop - and - frisk candidate
3437,849,853,NOM,PER,the candidate of border walls
9953,855,878,NOM,PER,"the candidate that said a Latino judge ca n't be objective and that "" African Americans and Hispanics "" live in "" hell """
3438,859,861,NOM,PER,a Latino judge
9954,869,872,NOM,PER,African Americans and Hispanics
3439,882,884,NOM,PER,this birther theorist
3440,886,889,NOM,PER,the first Black president
1608,893,893,PROP,PER,Trump
1607,896,896,PROP,PER,Obama
3441,917,917,NOM,PER,Americans
1608,922,923,PROP,PER,Donald Trump
1608,925,925,PRON,PER,His
3442,929,930,NOM,PER,the Republicans
3443,941,942,NOM,PER,the Democrats
1608,952,952,PRON,PER,His
1608,984,984,PROP,PER,Trump
1608,1017,1017,PROP,PER,Trump
1609,1031,1031,PROP,PER,Americans
3444,1050,1051,NOM,GPE,the nation
1608,1060,1060,PROP,PER,Trump
1607,1106,1106,PROP,PER,Obama
3445,1121,1121,PRON,PER,we
3445,1129,1129,PRON,PER,we
1607,1152,1152,PROP,PER,Obama
1608,1162,1162,PROP,PER,Trump
0,1165,1165,PRON,PER,I
1,1168,1168,PROP,GPE,America
0,1173,1173,PRON,PER,I
3446,1183,1185,NOM,GPE,a postracial America
0,1187,1187,PRON,PER,I
0,1203,1203,PRON,PER,I
3447,1207,1217,NOM,PER,a singular historical force taking steps forward and backward on race
0,1219,1219,PRON,PER,I
0,1226,1226,PRON,PER,I
0,1243,1243,PRON,PER,I
3448,1270,1274,NOM,PER,the Obamas of the nation
3444,1273,1274,NOM,GPE,the nation
3450,1280,1284,NOM,PER,the Trumps of the nation
3444,1283,1284,NOM,GPE,the nation
3450,1289,1289,PRON,PER,their
3452,1289,1293,NOM,FAC,their sunny estates in Florida
16,1293,1293,PROP,GPE,Florida
3450,1295,1295,PRON,PER,They
1609,1331,1332,PROP,PER,Black Americans
3450,1341,1345,NOM,PER,the Trumps of the nation
3444,1344,1345,NOM,GPE,the nation
0,1378,1378,PRON,PER,I
1608,1387,1387,PROP,PER,Trump
3455,1394,1402,NOM,PER,the forty - fifth president of the United States
3431,1400,1402,NOM,GPE,the United States
0,1405,1405,PRON,PER,I
