start_token,end_token,supersense_category,text
12,14,noun.group,Ibram X. Kendi
18,19,noun.location,New York
24,25,noun.group,Ibram X.
28,28,noun.act,design
34,34,noun.cognition,image
35,35,noun.communication,copyright
39,39,noun.communication,copyright
42,44,noun.group,Hachette Book Group
50,50,verb.stative,supports
52,52,noun.attribute,right
54,55,noun.communication,free expression
58,58,noun.possession,value
60,60,noun.communication,copyright
63,63,noun.cognition,purpose
65,65,noun.communication,copyright
66,66,verb.stative,is
68,68,verb.emotion,encourage
69,69,noun.person,writers
71,71,noun.person,artists
73,73,verb.creation,produce
76,76,noun.artifact,works
78,78,verb.change,enrich
80,80,noun.group,culture
83,83,noun.act,scanning
85,85,verb.possession,uploading
88,88,noun.act,distribution
91,91,noun.communication,book
93,93,noun.communication,permission
94,94,verb.stative,is
96,96,noun.act,theft
99,99,noun.person,author
101,102,noun.possession,intellectual property
107,107,verb.emotion,like
108,108,noun.communication,permission
110,110,verb.consumption,use
111,111,noun.communication,material
114,114,noun.communication,book
119,119,noun.cognition,review
120,120,noun.cognition,purposes
124,124,verb.communication,contact
127,127,verb.communication,Thank
131,131,noun.act,support
134,134,noun.person,author
136,136,noun.possession,rights
138,140,noun.person,Bold Type Books
143,144,noun.location,16th Street
146,147,noun.location,8th Floor
148,149,noun.location,New York
151,151,noun.location,NY
153,153,noun.communication,www.boldtypebooks.org
155,155,verb.creation,Printed
158,161,noun.location,United States of America
163,163,verb.creation,published
165,165,noun.communication,hardcover
167,167,noun.communication,ebook
169,170,noun.group,Nation Books
178,178,noun.time,August
187,187,noun.communication,imprint
189,190,noun.group,Perseus Books
195,195,noun.artifact,subsidiary
197,199,noun.group,Hachette Book Group
205,205,verb.stative,is
209,209,noun.communication,publishing
210,210,noun.group,venture
213,215,noun.group,Type Media Center
217,218,noun.group,Perseus Books
224,224,verb.possession,provides
227,227,noun.attribute,range
229,229,noun.person,authors
231,231,noun.communication,speaking
232,232,noun.event,events
235,236,verb.communication,find out
237,237,noun.quantity,more
239,240,verb.communication,go to
243,243,noun.communication,call
252,252,noun.group,publisher
253,253,verb.stative,is
257,257,noun.artifact,websites
261,261,noun.communication,content
266,266,verb.possession,owned
269,269,noun.group,publisher
271,272,noun.communication,Print book
273,273,noun.location,interior
274,274,noun.act,design
276,277,noun.person,Jack Lenzo
278,280,noun.group,Library of Congress
285,287,noun.group,Publication Data Names
291,292,noun.location,Ibram X.
294,294,noun.person,author
296,296,noun.communication,Title
305,305,noun.communication,history
308,308,noun.cognition,ideas
310,310,noun.location,America
312,314,noun.person,Ibram X. Kendi
316,318,noun.location,Description.- New York
320,321,noun.location,Nation Books
328,328,noun.communication,references
330,330,noun.relation,index
332,332,noun.communication,Identifiers
334,334,noun.group,LCCN
339,339,noun.artifact,hardcover
343,343,noun.substance,paper
349,349,noun.communication,ebook
353,353,noun.substance,paper
355,355,noun.communication,Subjects
357,357,noun.location,LCSH
359,359,noun.cognition,Racism
361,362,noun.location,United States
364,364,noun.communication,History
367,368,noun.location,United States
371,371,noun.relation,relations
373,373,noun.act,Classification
375,376,noun.group,LCC E185.61
385,385,noun.communication,record
401,401,noun.communication,"hardcover),-"
410,410,noun.quantity,7
422,422,noun.communication,ebook
424,427,noun.group,LSC - C Printing
433,433,noun.cognition,lives
435,435,verb.communication,said
440,440,noun.communication,Preface
444,444,noun.communication,PART
455,455,noun.communication,Origins
464,464,noun.location,America
466,466,noun.quantity,4
472,472,noun.communication,Bodies
486,487,noun.person,THOMAS JEFFERSON
497,497,noun.quantity,9
502,502,noun.quantity,10
518,520,noun.person,WILLIAM LLOYD GARRISON
557,557,verb.change,Reconstructing
562,562,verb.change,Reconstructing
567,574,noun.group,Contents PART IV W. E. B. DU BO1S
577,577,verb.change,Renewing
579,579,noun.location,South
584,584,noun.location,Horrors
588,589,noun.person,Black Judases
600,603,noun.location,Birth of a Nation
607,608,noun.group,Media Suasion
612,613,noun.group,Old Deal
615,615,noun.quantity,28
617,618,noun.group,Freedom Brand
627,628,noun.person,ANGELA DAVIS
634,635,noun.group,Civil Rights
639,640,noun.group,Black Power
652,652,noun.location,Drugs
659,659,noun.quantity,35
661,662,noun.group,New Republicans
679,679,noun.communication,Acknowledgments
681,681,noun.communication,Notes
685,687,noun.group,Reading Group Guide
689,691,noun.group,Preface I STARTED
692,692,verb.creation,WORKING
695,695,noun.act,project
703,703,noun.time,age
705,706,noun.person,Barack Obama
711,711,verb.cognition,fathom
717,717,noun.state,reality
718,718,noun.communication,television
719,719,noun.person,star
720,720,verb.communication,trolling
721,721,noun.person,Obama
724,724,noun.attribute,authenticity
727,728,noun.communication,birth certificate
730,730,verb.social,succeed
734,735,noun.group,White House
738,739,noun.person,Donald Trump
742,742,noun.person,birther
743,743,noun.cognition,theory
748,748,verb.change,came
753,753,verb.stative,proved
755,755,verb.stative,be
757,757,noun.event,beginning
762,762,noun.event,campaign
764,764,noun.cognition,bigotry
767,767,verb.stative,proved
769,769,verb.stative,be
771,771,noun.time,beginning
774,774,noun.event,end
778,778,noun.time,era
783,783,verb.stative,continue
786,786,noun.act,election
791,791,noun.person,president
794,795,noun.location,United States
797,797,noun.person,Trump
799,799,noun.act,election
800,800,verb.stative,left
802,802,noun.person,Americans
804,804,noun.feeling,shock
807,807,noun.act,search
810,810,noun.communication,answers
814,814,noun.communication,questions
819,820,noun.person,Donald Trump
821,821,verb.motion,follow
822,823,noun.person,Barack Obama
826,826,noun.time,presidency
831,831,noun.person,candidate
834,834,noun.person,bigots
837,837,noun.person,Klan
839,839,noun.person,candidate
847,847,noun.person,candidate
850,850,noun.person,candidate
852,853,noun.act,border walls
856,856,noun.person,candidate
858,858,verb.communication,said
861,861,noun.person,judge
864,864,verb.stative,be
869,870,noun.person,African Americans
874,874,verb.stative,live
877,877,noun.location,hell
884,884,noun.person,theorist
885,885,verb.social,follow
888,889,noun.person,Black president
893,893,noun.person,Trump
894,894,verb.change,rise
896,896,noun.person,Obama
898,898,noun.event,rise
899,899,verb.perception,seemed
901,901,verb.change,make
911,911,noun.time,eras
914,914,noun.communication,histories
915,915,verb.change,prepared
917,917,noun.person,Americans
920,920,noun.act,advent
922,923,noun.person,Donald Trump
926,926,noun.act,election
928,928,verb.stative,fit
930,930,noun.person,Republicans
933,933,noun.communication,narrative
936,936,noun.event,end
939,939,noun.time,history
942,942,noun.person,Democrats
944,944,noun.communication,narrative
947,947,noun.time,march
950,950,noun.event,progress
953,953,noun.act,election
955,955,verb.stative,fit
957,957,noun.act,arrival
958,958,noun.communication,narrative
961,961,noun.time,1960s
965,965,noun.communication,narrative
968,968,noun.cognition,policies
970,970,verb.change,become
975,975,noun.cognition,ideas
977,977,verb.change,become
984,984,noun.person,Trump
989,989,noun.act,election
992,992,verb.stative,fit
995,995,noun.communication,narratives
1002,1002,noun.cognition,ideology
1006,1006,noun.cognition,ideas
1011,1011,noun.act,research
1015,1015,noun.event,storm
1017,1017,noun.person,Trump
1025,1025,noun.cognition,beliefs
1029,1029,noun.communication,tales
1032,1032,verb.stative,need
1036,1036,noun.time,history
1041,1041,noun.act,research
1044,1044,verb.communication,explains
1047,1047,noun.time,present
1049,1049,verb.change,prepares
1051,1051,noun.group,nation
1053,1053,noun.group,world
1057,1057,noun.time,future
1060,1060,noun.person,Trump
1065,1065,noun.location,Beginning
1066,1066,verb.creation,presents
1069,1069,noun.time,history
1074,1074,verb.consumption,use
1075,1075,noun.communication,terms
1086,1086,verb.communication,describe
1089,1089,noun.process,evolution
1091,1091,noun.group,race
1096,1096,verb.communication,present
1099,1099,noun.communication,story
1101,1101,verb.change,ends
1104,1104,noun.act,election
1106,1106,noun.person,Obama
1111,1111,verb.communication,present
1113,1113,noun.communication,story
1116,1116,noun.event,progress
1118,1118,verb.cognition,showing
