COREF,start_token,end_token,prop,cat,text
309,1,3,NOM,PER,FEW GOOD MEN
129,5,5,PRON,PER,You
1637,8,10,NOM,PER,a great dad
129,13,14,PROP,PER,Uncle Paul
129,18,18,PRON,PER,You
1637,22,22,PRON,PER,he
129,29,29,PRON,PER,You
129,31,31,PRON,PER,you
1638,34,35,NOM,PER,a dad
129,40,40,PRON,PER,I
129,46,47,PROP,PER,Uncle Paul
129,58,58,PRON,PER,I
1638,63,64,NOM,PER,a dad
129,73,74,PROP,PER,Uncle Paul
130,80,80,PROP,PER,Jackson
1638,83,84,NOM,PER,a dad
129,88,88,PRON,PER,you
130,90,90,PRON,PER,him
129,99,99,PRON,PER,you
130,103,103,PRON,PER,his
1641,103,104,NOM,FAC,his house
130,106,106,PRON,PER,he
129,109,109,PRON,PER,you
310,114,114,PRON,PER,we
311,118,119,NOM,VEH,the car
129,128,128,PROP,PER,Dad
312,132,133,NOM,FAC,the garage
129,135,135,PROP,PER,Grandpa
129,137,137,PRON,PER,him
129,139,143,PROP,PER,Dad Uncle Paul Grandpa Magill
313,144,144,PRON,PER,These
0,148,148,PRON,PER,I
136,153,156,PROP,PER,ALSO BY RICHARD PECK
314,163,164,NOM,PER,Young Adults
132,165,165,PROP,PER,Amanda
133,167,167,PROP,PER,Miranda
315,169,169,PRON,PER,You
316,171,173,NOM,FAC,the House Alone
1,175,178,PROP,GPE,Bel - Air Bambi
317,180,193,NOM,FAC,the Mall Rats Blossom Culp and the Sleep of Death Close Enough to Touch
318,198,198,PRON,PER,It
319,201,211,NOM,FAC,Hurt The Dreadful Future of Blossom Culp Dreamland Lake Fair Weather
320,212,215,NOM,PER,Father Figure The Ghost
0,218,218,PRON,PER,Me
0,220,220,PRON,PER,I
321,223,235,NOM,PER,The Great Interactive Dream Machine Here Lies the Librarian The Last Safe Place
2,242,242,PROP,GPE,Chicago
3,245,245,PROP,GPE,Cyberspace
322,246,292,NOM,PER,The Mouse with the Question Mark Tail On the Wings of Heroes Princess Ashley Remembering the Good Times Representing Super Doll The River Between Us A Season of Gifts Secrets at Sea Secrets of the Shopping Mall Strays Like Us The Teacher ’s Funeral Those Summer Girls
0,293,293,PRON,PER,I
134,307,308,PROP,PER,Jessica Voices
323,317,318,NOM,PER,Adults Amanda
4,320,333,PROP,FAC,Miranda London Holiday New York Time This Family of Women Short Stories Past Perfect
135,342,342,PROP,PER,Grandma
324,350,351,NOM,LOC,the World
325,352,360,PROP,PER,RICHARD PECK THE BEST MAN PUFFIN BOOKS PUFFIN BOOKS
5,364,367,PROP,FAC,Penguin Random House LLC
6,369,372,PROP,GPE,Hudson Street New York
7,372,372,PROP,GPE,York
8,374,375,PROP,GPE,New York
9,380,384,PROP,GPE,the United States of America
326,389,390,NOM,PER,Young Readers
327,392,398,NOM,ORG,an imprint of Penguin Random House LLC
5,395,398,PROP,FAC,Penguin Random House LLC
10,403,404,PROP,FAC,Puffin Books
327,406,412,NOM,ORG,an imprint of Penguin Random House LLC
136,419,421,PROP,PER,Richard Peck Penguin
329,444,444,PRON,PER,you
329,477,477,PRON,PER,You
330,480,480,NOM,PER,writers
136,483,483,PROP,PER,Penguin
331,490,491,NOM,PER,every reader
11,493,495,PROP,FAC,LIBRARY OF CONGRESS
136,509,509,PROP,PER,Peck
136,511,511,PROP,PER,Richard
332,515,515,NOM,PER,author
333,519,521,NOM,PER,The best man
136,523,524,PROP,PER,Richard Peck
8,528,529,PROP,GPE,New York
137,546,546,PROP,PER,Archer
137,553,553,PRON,PER,his
137,556,556,PRON,PER,his
1642,556,557,NOM,PER,his dad
137,559,559,PRON,PER,his
1643,559,560,NOM,PER,his grandfather
137,562,562,PRON,PER,his
1644,562,563,NOM,PER,his uncle
137,564,564,PROP,PER,Paul
137,567,567,PRON,PER,his
1645,567,569,NOM,PER,his favorite teacher
138,571,572,PROP,PER,Mr. McLeod
138,575,576,PROP,PER,Uncle Paul
138,578,579,PROP,PER,Mr. McLeod
137,583,583,PROP,PER,Archer
137,591,591,PRON,PER,he
334,596,596,NOM,PER,publisher
335,624,625,NOM,PER,Role models
336,686,690,NOM,LOC,the United States of America
139,695,696,PROP,PER,Mina Chung
337,722,723,NOM,PER,the author
338,735,736,NOM,PER,actual persons
339,742,744,NOM,ORG,"businesses , companies"
340,762,762,NOM,PER,Boys
341,770,770,NOM,PER,Girls
340,772,772,PRON,PER,them
342,774,778,NOM,PER,Grown - ups like them
340,778,778,PRON,PER,them
0,781,781,PRON,PER,my
0,792,792,PRON,PER,my
0,799,799,PRON,PER,my
0,809,809,PRON,PER,I
0,838,838,PRON,PER,I
0,856,856,PRON,PER,me
0,860,860,PRON,PER,I
0,868,868,PRON,PER,I
0,876,876,PRON,PER,I
343,894,894,PRON,PER,we
0,931,931,PRON,PER,I
0,945,945,PRON,PER,my
0,948,948,PRON,PER,I
0,955,955,PRON,PER,I
0,960,960,PRON,PER,I
344,973,976,NOM,PER,anybody in our family
343,975,975,PRON,PER,our
345,975,976,NOM,PER,our family
137,979,979,PROP,PER,Archer
1646,981,981,NOM,PER,honey
140,985,985,PROP,PER,Mom
0,989,989,PRON,PER,I
140,992,992,PRON,PER,her
