start_token,end_token,supersense_category,text
3,3,noun.person,MEN
7,7,verb.possession,got
10,10,noun.person,dad
13,14,noun.person,Uncle Paul
15,15,verb.communication,said
21,21,verb.emotion,hope
24,25,verb.social,grows up
30,30,verb.cognition,think
33,33,verb.stative,be
35,35,noun.person,dad
43,43,verb.cognition,know
46,47,noun.person,Uncle Paul
48,48,verb.communication,said
52,52,noun.cognition,things
60,60,verb.emotion,like
62,62,verb.stative,be
64,64,noun.person,dad
70,70,noun.act,thing
73,74,noun.person,Uncle Paul
75,75,verb.communication,waited
80,80,noun.person,Jackson
81,81,verb.emotion,wanted
82,82,verb.stative,was
84,84,noun.person,dad
89,89,verb.possession,gave
92,92,noun.artifact,shirt
101,101,verb.stative,been
104,104,noun.artifact,house
108,108,verb.possession,leave
115,116,verb.motion,got out
119,119,noun.artifact,car
125,125,noun.time,evening
128,128,noun.person,Dad
129,130,verb.change,came out
133,133,noun.artifact,garage
135,135,noun.person,Grandpa
139,143,noun.person,Dad Uncle Paul Grandpa Magill
145,145,verb.stative,were
149,149,verb.emotion,wanted
151,151,verb.stative,be
154,156,noun.person,BY RICHARD PECK
160,161,noun.group,----- Novels
163,164,noun.group,Young Adults
165,165,noun.person,Amanda
167,167,noun.person,Miranda
177,178,noun.location,Air Bambi
181,184,noun.group,Mall Rats Blossom Culp
187,196,noun.group,Sleep of Death Close Enough to Touch Do n’t Look
198,201,noun.group,It Wo n’t Hurt
208,211,noun.location,Dreamland Lake Fair Weather
224,229,noun.person,Great Interactive Dream Machine Here Lies
231,231,noun.person,Librarian
233,235,noun.person,Last Safe Place
239,240,noun.location,Long Way
242,242,noun.location,Chicago
245,245,noun.location,Cyberspace
259,260,noun.location,Ashley Remembering
262,263,noun.location,Good Times
264,266,noun.person,Representing Super Doll
268,269,noun.location,River Between
270,271,noun.group,Us A
272,272,noun.time,Season
274,278,noun.group,Gifts Secrets at Sea Secrets
281,283,noun.group,Shopping Mall Strays
287,287,noun.person,Teacher
292,292,noun.time,Girls
307,308,noun.person,Jessica Voices
312,312,noun.time,Year
323,324,noun.location,New York
325,325,noun.time,Time
362,362,noun.cognition,imprint
364,372,noun.group,Penguin Random House LLC 375 Hudson Street New York
374,375,noun.location,New York
378,378,verb.creation,published
381,382,noun.location,United States
386,387,noun.communication,Dial Books
390,390,noun.person,Readers
393,393,noun.cognition,imprint
395,398,noun.group,Penguin Random House LLC
401,401,verb.social,Published
403,404,noun.group,Puffin Books
407,407,noun.communication,imprint
409,412,noun.group,Penguin Random House LLC
415,415,noun.communication,Copyright
419,420,noun.person,Richard Peck
422,422,verb.social,supports
423,423,noun.communication,copyright
425,425,noun.communication,Copyright
426,426,verb.stative,fuels
427,427,noun.cognition,creativity
429,429,verb.social,encourages
431,431,noun.group,voices
433,433,verb.communication,promotes
434,435,noun.communication,free speech
438,438,verb.creation,creates
441,441,noun.group,culture
443,443,noun.communication,Thank
446,446,verb.possession,buying
449,449,noun.communication,edition
452,452,noun.communication,book
455,455,verb.communication,complying
457,457,noun.communication,copyright
458,458,noun.communication,laws
461,461,verb.communication,reproducing
463,463,verb.perception,scanning
466,466,verb.possession,distributing
468,468,noun.artifact,part
473,473,noun.communication,form
475,475,noun.communication,permission
479,479,verb.social,supporting
480,480,noun.person,writers
482,482,verb.social,allowing
483,483,noun.group,Penguin
485,485,verb.stative,continue
487,487,verb.creation,publish
488,488,noun.communication,books
491,491,noun.person,reader
493,495,noun.group,LIBRARY OF CONGRESS
507,507,noun.communication,Names
509,509,noun.person,Peck
511,511,noun.person,Richard
513,513,noun.time,date
515,515,noun.person,author
517,517,noun.communication,Title
521,521,noun.person,man
523,524,noun.person,Richard Peck
528,529,noun.location,New York
531,531,noun.location,NY
543,543,noun.communication,Summary
546,546,noun.person,Archer
547,547,verb.possession,has
550,550,noun.person,role
551,551,noun.person,models
554,554,noun.time,life
557,557,noun.person,dad
560,560,noun.person,grandfather
563,563,noun.person,uncle
564,564,noun.person,Paul
569,569,noun.person,teacher
571,572,noun.person,Mr. McLeod
575,576,noun.person,Uncle Paul
578,579,noun.person,Mr. McLeod
583,583,noun.person,Archer
587,587,noun.group,grade
588,588,noun.time,year
589,589,verb.stative,becomes
594,594,verb.communication,forget”—Provided
596,596,noun.communication,publisher
598,598,noun.communication,Identifiers
606,606,noun.communication,hardback
608,608,noun.communication,Subjects
613,613,noun.group,Family
614,614,noun.state,life
616,616,noun.communication,Fiction
619,619,noun.group,Schools
621,621,noun.communication,Fiction
625,625,noun.person,models
627,627,noun.communication,Fiction
632,632,noun.communication,Fiction
635,635,noun.group,Gays
651,651,noun.communication,headings
667,668,noun.person,LCC PZ7.P338
676,676,noun.communication,record
684,684,verb.creation,Printed
687,690,noun.location,United States of America
692,693,noun.group,Printing Design
695,696,noun.person,Mina Chung
698,698,noun.communication,Text
699,699,verb.communication,set
701,701,noun.location,Perrywood
703,703,verb.stative,is
705,705,noun.artifact,work
707,707,noun.communication,fiction
709,709,noun.communication,Names
711,711,noun.communication,characters
713,713,noun.location,places
716,716,noun.event,incidents
718,718,verb.stative,are
720,720,noun.artifact,product
723,723,noun.person,author
725,725,noun.cognition,imagination
728,728,verb.consumption,used
733,733,noun.attribute,resemblance
736,736,noun.person,persons
742,742,noun.group,businesses
744,744,noun.group,companies
746,746,noun.state,events
749,749,noun.communication,locales
750,750,verb.stative,is
760,760,noun.communication,CHAPTER
762,762,noun.person,Boys
763,763,verb.stative,are
768,768,noun.communication,weddings
770,770,noun.person,Girls
784,784,noun.group,grade
785,785,noun.time,year
786,786,verb.stative,started
789,789,noun.act,wedding
794,794,verb.stative,ended
798,798,verb.communication,Call
800,800,noun.communication,story
803,803,noun.communication,Tale
810,810,verb.stative,was
819,819,noun.act,weddings
820,820,verb.stative,was
835,835,noun.artifact,cake
839,839,verb.possession,got
843,843,noun.artifact,suit
849,849,noun.artifact,pants
851,851,verb.contact,cuffed
854,854,noun.artifact,coat
855,855,verb.possession,gives
857,857,noun.body,shoulders
862,862,verb.stative,be
865,865,verb.possession,outgrow
871,871,verb.emotion,mind
872,872,verb.stative,being
878,878,verb.emotion,miss
880,880,noun.artifact,suit
885,885,noun.group,pair
887,887,noun.possession,gold
888,889,noun.artifact,cuff links
890,890,verb.stative,are
896,896,verb.motion,come
903,903,noun.act,wedding
909,909,verb.stative,was
911,911,noun.artifact,train
913,913,noun.event,wreck
918,918,verb.change,get
929,929,verb.change,happened
932,932,verb.stative,was
936,936,verb.cognition,know
939,939,verb.change,happening
942,944,verb.competition,stand up for
946,946,noun.attribute,rights
951,951,verb.possession,have
953,953,noun.possession,rights
956,956,verb.stative,was
962,962,verb.cognition,know
964,964,noun.act,weddings
965,965,verb.stative,are
970,970,verb.stative,was
976,976,noun.group,family
979,979,noun.person,Archer
981,981,noun.person,honey
984,984,verb.communication,said
985,985,noun.person,Mom
987,987,noun.time,day
990,990,verb.stative,was
993,993,noun.artifact,office
996,996,noun.motive,reason
1000,1000,verb.perception,see
1003,1003,noun.person,Mom
1005,1006,noun.communication,maiden name
1007,1007,verb.stative,was
1008,1008,noun.person,Archer
1016,1016,noun.person,brother
1018,1019,noun.person,Paul Archer
1021,1021,noun.person,Mom
1025,1025,verb.contact,pull
1029,1029,noun.body,lap
1033,1034,verb.contact,held up
1036,1036,noun.body,hands
1039,1039,verb.stative,were
1042,1042,noun.attribute,black
1044,1047,noun.artifact,touch - up paint
1050,1050,verb.stative,was
1051,1051,noun.artifact,paint
1057,1057,verb.contact,sat
1061,1061,noun.person,Dad
1065,1065,verb.stative,been
1069,1069,noun.artifact,garage
1070,1070,verb.contact,detailing
1079,1079,noun.person,Mom
1080,1081,verb.motion,pulled back
1095,1095,noun.event,wedding
1098,1098,verb.cognition,guess
1104,1104,verb.stative,be
1110,1110,verb.possession,Get
1111,1111,noun.person,Holly
1115,1115,verb.communication,said
1117,1117,noun.person,Holly
1120,1120,noun.person,sister
1123,1123,noun.time,years
1130,1130,verb.stative,been
1138,1138,verb.possession,have
1139,1139,noun.person,Holly
1142,1142,noun.person,Mom
1143,1143,verb.communication,said
1150,1150,verb.stative,be
1153,1153,noun.person,bridesmaid
1157,1157,verb.contact,tickled
1168,1169,noun.person,Ring bearer
1172,1172,noun.person,Mom
1173,1173,verb.communication,said
1184,1184,verb.contact,carry
1186,1186,noun.person,bride
1188,1188,noun.attribute,ring
1191,1191,noun.artifact,aisle
1195,1195,noun.artifact,satin
1196,1196,noun.artifact,pillow
1204,1204,verb.communication,said
1210,1210,verb.stative,be
1214,1214,noun.person,Mom
1215,1215,verb.communication,said
1220,1220,verb.emotion,worry
1228,1228,noun.artifact,ring
1229,1229,noun.person,bearer
1233,1233,verb.contact,carry
1235,1235,noun.person,groom
1237,1237,noun.artifact,ring
1246,1246,noun.person,girl
1247,1247,verb.communication,named
1248,1249,noun.person,Lynette Stanley
1253,1253,noun.person,girl
1257,1257,noun.person,mother
1260,1261,verb.stative,went to
1262,1262,noun.group,college
1266,1266,verb.stative,were
1268,1268,noun.person,buds
1271,1273,noun.group,Tri Delt House
1276,1276,noun.person,Stanleys
1278,1278,verb.motion,moved
1282,1282,noun.group,schools
1287,1287,noun.person,Lynette
1290,1290,verb.social,starting
1291,1292,noun.group,first grade
1299,1299,verb.stative,be
1300,1300,noun.person,friends
1303,1303,noun.person,Mom
1304,1304,verb.communication,beamed
1309,1309,verb.stative,be
1310,1310,noun.person,friends
1313,1313,noun.person,girl
1316,1316,verb.contact,stood
1321,1322,verb.body,wake up
1326,1326,noun.state,dream
1331,1331,verb.body,wear
1334,1334,noun.artifact,clothes
1338,1338,verb.communication,said
1345,1345,noun.person,Archer
1347,1347,noun.person,honey
1352,1352,verb.possession,have
1354,1354,noun.artifact,clothes
1357,1357,noun.person,Mom
1358,1358,verb.communication,said
1368,1368,noun.artifact,stripe
1369,1369,noun.artifact,paint
1372,1373,verb.change,come out
1376,1376,noun.artifact,wash
1379,1379,verb.cognition,suppose
1381,1381,noun.person,dad
1387,1387,noun.state,condition
1396,1396,verb.communication,said
1401,1402,verb.cognition,look at
1406,1406,verb.body,wear
1409,1409,noun.event,wedding
1416,1416,noun.person,Mom
1417,1417,verb.perception,glanced
1426,1426,noun.event,event
1431,1431,verb.contact,racked
1435,1435,noun.time,year
1438,1438,noun.cognition,brain
1443,1443,verb.stative,be
1445,1445,noun.act,way
1469,1469,noun.group,people
1470,1471,verb.change,getting married
1474,1474,noun.person,Mom
1476,1476,verb.perception,looking
1486,1486,noun.person,bride
1487,1487,verb.stative,is
1488,1489,noun.person,Mrs. Ridgley
1491,1491,noun.person,granddaughter
1495,1495,verb.communication,said
1500,1501,noun.person,Mrs. Ridgley
1507,1507,noun.person,friend
1510,1511,noun.person,grandmother Magill
1518,1518,noun.person,buds
1521,1523,noun.group,Tri Delt House
1527,1527,noun.communication,No
1530,1530,noun.person,Mom
1531,1531,verb.communication,said
1535,1535,verb.stative,were
1540,1540,noun.location,Salem
1541,1541,noun.person,witch
1542,1542,noun.act,trials
1546,1546,noun.communication,CHAPTER
1550,1550,noun.time,August
1551,1551,noun.time,day
1552,1552,verb.motion,brought
1554,1554,noun.event,wedding
1558,1558,noun.person,sister
1560,1560,noun.person,Holly
1562,1563,verb.motion,came home
1565,1565,noun.artifact,camp
1567,1568,verb.motion,pounded up
1571,1571,noun.artifact,room
1573,1573,verb.social,try
1578,1578,noun.artifact,dress
1582,1582,verb.body,wore
1587,1587,noun.time,day
1588,1588,verb.change,came
1592,1592,noun.time,day
1593,1593,verb.change,came
1598,1598,noun.artifact,ring
1600,1600,noun.person,bearer
1601,1601,noun.artifact,rig
1606,1606,noun.act,delivery
1608,1610,noun.person,Mrs. Addison Magill
1612,1612,verb.contact,sent
1616,1616,noun.person,Grandma
1621,1621,verb.cognition,read
1625,1625,verb.cognition,knew
1627,1627,noun.quantity,much
1633,1633,noun.person,Mom
1634,1634,verb.communication,said
1639,1639,verb.stative,is
1645,1645,verb.body,wear
1649,1649,verb.social,do
1654,1655,noun.person,grandmother Magill
1666,1666,verb.stative,Be
1669,1669,noun.person,boy
1676,1676,verb.stative,be
1679,1679,noun.artifact,porch
1680,1680,noun.event,wedding
1682,1682,noun.person,Grandma
1684,1684,noun.artifact,porch
1690,1690,verb.consumption,need
1692,1692,noun.communication,rehearsal
1696,1696,verb.stative,was
1704,1704,verb.cognition,know
1707,1707,noun.act,rehearsal
1708,1708,verb.stative,was
1712,1712,noun.group,gathering
1714,1714,noun.person,friends
1717,1717,noun.state,fuss
1726,1726,noun.artifact,chairs
1728,1729,verb.creation,set up
1733,1733,noun.location,lawn
1736,1736,noun.event,wedding
1737,1737,noun.time,day
1738,1738,verb.weather,dawned
1741,1741,verb.stative,live
1744,1744,noun.person,grandparents
1749,1749,noun.artifact,houses
1751,1752,noun.person,Grandpa Magill
1753,1753,verb.creation,built
1756,1756,noun.person,Dad
1757,1758,verb.motion,stayed down
1761,1761,noun.artifact,garage
1769,1769,noun.time,time
1770,1771,verb.motion,ran out
1778,1778,noun.artifact,tie
1782,1782,verb.perception,heard
1784,1784,verb.communication,say
1786,1786,noun.person,Mom
1790,1790,noun.artifact,room
1796,1796,verb.body,wear
1798,1798,noun.artifact,tie
1802,1802,verb.motion,crouched
1805,1805,noun.location,end
1808,1808,noun.artifact,bed
1813,1813,verb.contact,sit
1822,1822,noun.person,bearer
1824,1824,noun.artifact,rig
1827,1827,noun.cognition,idea
1828,1828,verb.emotion,hit
1833,1833,noun.cognition,idea
1837,1837,verb.perception,had
1840,1840,noun.time,life
1844,1844,verb.motion,go
1845,1845,verb.perception,hide
1850,1850,noun.time,while
1853,1854,verb.cognition,forget about
1860,1860,verb.cognition,forget
1864,1864,verb.consumption,had
1870,1870,noun.event,wedding
1874,1874,noun.artifact,rings
1875,1875,verb.stative,were
1878,1878,noun.body,fingers
1882,1883,verb.change,pop out
1889,1889,verb.stative,be
1892,1892,verb.perception,see
1896,1896,verb.cognition,know
1900,1900,noun.time,months
1905,1905,noun.time,weeks
1911,1911,verb.perception,seen
1914,1914,noun.state,bugs
1917,1917,noun.cognition,plan
1921,1921,noun.communication,thing
1923,1923,verb.cognition,learn
1925,1925,noun.group,school
1926,1926,verb.stative,is
1931,1931,noun.location,place
1933,1933,verb.perception,hide
1936,1936,verb.motion,vanished
1939,1939,noun.object,coast
1940,1940,verb.stative,was
1947,1947,noun.artifact,shoes
1951,1951,noun.artifact,soles
1952,1952,verb.perception,seemed
1954,1954,verb.stative,be
1955,1955,noun.communication,patent
1956,1956,noun.substance,leather
1959,1959,verb.motion,skidded
1961,1961,noun.person,Holly
1963,1963,noun.artifact,room
1966,1966,noun.person,Mom
1968,1968,noun.person,Dad
1972,1972,noun.person,Mom
1974,1974,verb.contact,tying
1975,1975,noun.person,Dad
1977,1977,noun.artifact,tie
1981,1981,verb.stative,was
1986,1986,noun.artifact,alley
1988,1988,noun.person,Grandpa
1991,1991,noun.person,Grandma
1994,1994,noun.time,August
1995,1995,noun.phenomenon,sun
1996,1996,verb.perception,glinted
2001,2001,verb.stative,was
2007,2007,noun.person,bride
2010,2011,verb.motion,came across
2012,2013,noun.person,Grandpa Magill
2017,2018,noun.artifact,porch swing
2019,2019,noun.person,Dad
2021,2022,verb.creation,set up
2027,2027,noun.artifact,backyard
2030,2030,verb.body,wore
2032,2032,noun.artifact,seersucker
2033,2033,noun.artifact,suit
2036,2037,noun.artifact,straw hat
2040,2040,verb.stative,was
2044,2045,noun.person,Cleo the
2046,2046,noun.animal,cat
2047,2047,verb.stative,was
2050,2050,noun.body,lap
2053,2053,verb.perception,glanced
2059,2059,verb.perception,stared
2064,2064,noun.animal,cat
2066,2066,verb.perception,looked
2072,2072,noun.artifact,back
2074,2074,noun.person,Grandma
2076,2076,noun.person,Grandpa
2078,2078,noun.artifact,house
2081,2081,noun.group,people
2083,2083,verb.contact,putting
2084,2084,noun.artifact,glasses
2086,2086,noun.artifact,trays
2089,2090,noun.artifact,wedding cake
2091,2091,verb.contact,stood
2094,2094,noun.substance,plastic
2095,2095,noun.communication,sheet
2101,2101,verb.communication,said
2102,2102,noun.communication,no
2105,2105,noun.artifact,piece
2107,2107,noun.artifact,cake
2111,2111,verb.possession,had
2113,2113,noun.act,disappearing
2115,2115,verb.social,do
2120,2120,verb.motion,moving
2123,2123,noun.plant,snowball
2124,2124,noun.plant,bush
2131,2131,noun.artifact,side
2134,2134,noun.artifact,house
2138,2139,noun.artifact,front porch
2142,2142,verb.motion,slid
2145,2145,noun.artifact,piece
2148,2148,noun.artifact,latticework
2152,2152,verb.motion,slipped
2157,2157,verb.perception,see
2172,2172,noun.artifact,porch
2175,2175,verb.creation,making
2177,2177,noun.artifact,fort
2179,2180,verb.possession,messing around
2188,2188,noun.location,place
2191,2191,noun.substance,mud
2194,2194,verb.stative,was
2198,2198,noun.event,wedding
2205,2205,verb.perception,thundered
2208,2208,noun.artifact,porch
2209,2209,noun.artifact,floor
2212,2212,noun.event,Murmuring
2213,2213,verb.motion,came
2216,2217,noun.artifact,folding chairs
2220,2220,noun.artifact,yard
2223,2224,noun.communication,string quartet
2225,2226,verb.communication,tuned up
2230,2230,noun.body,head
2234,2234,verb.perception,got
2237,2237,noun.event,surprise
2240,2240,noun.body,face
2241,2241,verb.change,appeared
2245,2245,noun.location,space
2248,2248,verb.motion,come
2253,2253,verb.motion,jumped
2256,2256,verb.contact,cracked
2258,2258,noun.body,head
2261,2261,noun.act,beam
2264,2264,noun.person,girl
2265,2265,verb.motion,ducked
2269,2269,verb.possession,had
2271,2271,noun.artifact,mop
2274,2274,noun.body,hair
2279,2279,noun.artifact,bow
2286,2287,verb.motion,stand up
2293,2293,verb.stative,were
2297,2297,verb.stative,was
2303,2303,verb.stative,was
2311,2311,noun.artifact,skirt
2312,2312,verb.stative,was
2318,2318,noun.artifact,net
2321,2321,verb.perception,seemed
2324,2324,verb.body,wearing
2326,2326,noun.artifact,shoes
2337,2337,verb.stative,be
2340,2340,noun.artifact,porch
2348,2348,noun.person,girl
2349,2349,verb.communication,said
2353,2353,verb.stative,are
2360,2360,verb.stative,was
2361,2362,noun.person,Lynette Stanley
2371,2371,verb.cognition,know
2373,2373,verb.stative,was
2380,2380,verb.perception,saw
2384,2385,noun.artifact,living room
2386,2386,noun.artifact,window
2390,2390,verb.contact,jerked
2392,2392,noun.body,thumb
2395,2395,noun.body,shoulder
2398,2398,noun.artifact,dress
2399,2399,verb.stative,had
2402,2402,noun.artifact,sleeves
2407,2407,verb.perception,miss
2412,2412,noun.attribute,white
2415,2416,verb.stative,look like
2418,2418,noun.substance,snow
2419,2419,noun.artifact,cone
2423,2423,verb.stative,was
2429,2430,noun.person,Lynette Stanley
2434,2434,noun.communication,look
2440,2441,noun.artifact,velvet shorts
2445,2445,verb.communication,said
2451,2451,verb.cognition,thinking
2455,2456,verb.motion,Shut up
2460,2460,verb.communication,said
2466,2466,verb.stative,’re
2476,2476,verb.cognition,knew
2481,2482,verb.motion,sit down
2486,2486,verb.stative,’re
2488,2488,noun.person,toddler
2490,2490,noun.artifact,shorts
2493,2493,noun.person,Lynette
2494,2494,verb.communication,said
2501,2501,verb.body,wear
2502,2502,noun.act,training
2503,2503,noun.artifact,pants
2511,2511,verb.body,wearing
2522,2522,verb.change,beginning
2524,2524,verb.emotion,chafe
2531,2531,verb.consumption,drink
2535,2536,noun.artifact,sippy cup
2539,2539,verb.perception,look
2542,2542,noun.artifact,shirt
2546,2546,verb.possession,got
2548,2548,noun.artifact,ruffles
2551,2551,noun.location,front
2558,2559,verb.body,held out
2561,2561,noun.artifact,skirt
2566,2567,verb.stative,look like
2568,2569,noun.person,Fancy Nancy
2573,2573,noun.artifact,dress
2574,2574,verb.stative,was
2578,2578,noun.artifact,net
2583,2583,noun.artifact,sash
2586,2586,noun.artifact,ruffles
2592,2592,verb.possession,had
2595,2595,noun.act,delivery
