COREF,start_token,end_token,prop,cat,text
176,1,2,PROP,PER,RIVERA JULIET
1,11,14,PROP,FAC,Penguin Random House LLC
2,16,17,PROP,GPE,New York
472,21,25,NOM,LOC,the United States of America
3,25,25,PROP,GPE,America
4,27,29,PROP,FAC,Riverdale Avenue Books
5,34,35,PROP,FAC,Dial Books
473,37,43,NOM,ORG,an imprint of Penguin Random House LLC
1,40,43,PROP,FAC,Penguin Random House LLC
177,57,59,PROP,PER,Gabrielle Luz Rivera
177,66,69,PROP,PER,Gabrielle Luz Rivera Penguin
474,92,92,PRON,PER,you
474,125,125,PRON,PER,You
475,128,128,NOM,PER,writers
177,131,131,PROP,PER,Penguin
476,138,139,NOM,PER,every reader
477,166,166,PRON,PER,us
478,171,174,NOM,FAC,THE LIBRARY OF CONGRESS
177,185,185,PROP,PER,Rivera
177,187,187,PROP,PER,Gabby
479,189,189,NOM,PER,author
0,191,191,PRON,PER,I
179,194,194,PROP,PER,Juliet
177,199,200,PROP,PER,Gabby Rivera
2,204,205,PROP,GPE,New York
179,224,224,PROP,PER,Juliet
2213,226,238,NOM,PER,"a self - identified queer , Bronx - born Puerto Rican - American"
179,243,243,PRON,PER,her
2214,243,244,NOM,PER,her family
6,253,253,PROP,GPE,Portland
179,257,257,PRON,PER,her
2215,257,259,NOM,PER,her feminist author
179,263,263,PROP,PER,Juliet
2216,274,281,NOM,PER,"women of color "" — Provided by publisher"
0,290,290,PRON,PER,I
0,296,296,PRON,PER,I
0,310,310,PRON,PER,I
7,311,312,PROP,GPE,Puerto Ricans
8,314,314,PROP,GPE,Oregon
0,318,318,PRON,PER,I
0,323,323,PRON,PER,I
0,328,328,PRON,PER,I
0,333,333,PRON,PER,I
0,339,339,PRON,PER,I
9,370,374,PROP,GPE,the United States of America
10,390,390,PROP,GPE,Palatino
480,405,406,NOM,PER,real people
481,427,428,NOM,PER,the author
482,441,441,NOM,PER,persons
483,451,452,NOM,PER,The publisher
479,466,466,NOM,PER,author
485,473,473,PRON,PER,their
11,479,479,PROP,GPE,Santiago
486,483,483,PRON,PER,We
12,491,492,PROP,LOC,the Bronx
487,504,533,NOM,PER,"the round brown girls who are told they are n't enough , who move in the world uncertain if there 's room for their bodies , selves , and hearts"
487,511,511,PRON,PER,they
488,519,520,NOM,LOC,the world
487,527,527,PRON,PER,their
489,539,539,PRON,PER,you
489,556,556,PRON,PER,You
13,574,575,PROP,GPE,Latin America
490,577,581,NOM,LOC,other parts of the Caribbean
14,580,581,PROP,LOC,the Caribbean
491,585,591,NOM,PER,"para adelante , meaning to move forward"
488,597,598,NOM,LOC,the world
486,600,600,PRON,PER,our
493,600,601,NOM,PER,our people
0,616,616,PRON,PER,my
179,619,620,PROP,PER,Juliet Palante
0,622,622,PRON,PER,I
489,626,626,PRON,PER,your
489,632,632,PRON,PER,Your
489,636,636,PRON,PER,Your
0,642,642,PRON,PER,I
0,648,648,PRON,PER,I
494,651,651,NOM,PER,people
495,654,655,NOM,FAC,the subway
0,657,657,PRON,PER,I
496,668,676,NOM,PER,old sour - faced men on the 2 train
497,674,676,NOM,VEH,the 2 train
0,680,680,PRON,PER,me
498,683,683,NOM,PER,men
498,694,694,PRON,PER,their
489,697,697,PRON,PER,you
499,709,710,NOM,PER,some girl
0,715,715,PRON,PER,My
500,715,716,NOM,PER,My grandma
0,718,718,PRON,PER,me
500,728,728,PRON,PER,She
0,732,732,PRON,PER,I
0,742,742,PRON,PER,I
489,746,746,PRON,PER,you
489,752,752,PRON,PER,yours
0,761,761,PRON,PER,my
501,773,775,NOM,PER,white lady feminism
0,783,783,PRON,PER,I
0,785,785,PRON,PER,my
489,790,790,PRON,PER,your
0,793,793,PRON,PER,I
180,799,799,PROP,PER,Harlowe
489,815,815,PRON,PER,you
2217,818,818,PRON,PER,We
2218,820,821,NOM,PER,all women
2217,823,823,PRON,PER,We
2219,825,828,NOM,PER,all of the womb
2217,839,839,PRON,PER,we
489,843,843,PRON,PER,you
489,845,845,PRON,PER,You
0,849,849,PRON,PER,I
489,860,860,PRON,PER,you
0,864,864,PRON,PER,my
0,867,867,PRON,PER,my
502,871,871,PRON,PER,we
503,873,873,NOM,PER,sisters
504,876,881,NOM,PER,a badass white lady like you
489,881,881,PRON,PER,you
0,885,885,PRON,PER,me
0,888,888,PRON,PER,I
489,892,892,PRON,PER,you
0,900,900,PRON,PER,I
489,905,905,PRON,PER,you
0,913,913,PRON,PER,myself
502,919,919,PRON,PER,we
505,925,926,NOM,LOC,this earth
0,935,935,PRON,PER,I
0,941,941,PRON,PER,I
489,945,945,PRON,PER,you
0,947,947,PRON,PER,I
489,956,956,PRON,PER,you
506,959,960,NOM,PER,the patriarchy
0,963,963,PRON,PER,I
489,966,966,PRON,PER,you
0,968,968,PRON,PER,I
0,971,971,PRON,PER,I
0,983,983,PRON,PER,I
507,987,988,NOM,PER,one women
508,997,1002,NOM,PER,a cute girl on my floor
0,1001,1001,PRON,PER,my
509,1008,1009,NOM,PER,This girl
0,1011,1011,PRON,PER,me
0,1013,1013,PRON,PER,my
0,1018,1018,PRON,PER,I
509,1022,1022,PRON,PER,her
509,1027,1027,PRON,PER,her
0,1032,1032,PRON,PER,I
509,1040,1040,PRON,PER,she
0,1042,1042,PRON,PER,my
510,1042,1043,NOM,PER,my girlfriend
0,1050,1050,PRON,PER,me
0,1068,1068,PRON,PER,I
0,1093,1093,PRON,PER,I
0,1098,1098,PRON,PER,I
0,1108,1108,PRON,PER,I
0,1115,1115,PRON,PER,My
511,1115,1116,NOM,PER,My mom
512,1119,1120,NOM,PER,a feminist
511,1123,1123,PRON,PER,she
511,1129,1129,PRON,PER,She
0,1131,1131,PRON,PER,my
513,1131,1133,NOM,PER,my little brother
181,1138,1139,PROP,PER,Ninja Turtles
514,1146,1147,NOM,FAC,the house
511,1149,1149,PRON,PER,She
515,1151,1184,NOM,PER,this lady that never sleeps because she 's working on a master 's degree while raising my little brother and me and pretty much balancing the rhythm of an entire family on her shoulders
511,1157,1157,PRON,PER,she
0,1167,1167,PRON,PER,my
513,1167,1169,NOM,PER,my little brother
0,1171,1171,PRON,PER,me
517,1179,1181,NOM,PER,an entire family
511,1183,1183,PRON,PER,her
512,1188,1189,NOM,PER,a feminist
0,1194,1194,PRON,PER,my
511,1194,1195,NOM,PER,my mom
0,1198,1198,PRON,PER,my
520,1198,1199,NOM,PER,my dad
521,1206,1206,PRON,PER,you
522,1208,1209,NOM,PER,that woman
521,1211,1211,PRON,PER,You
182,1215,1215,PROP,PER,Mom
521,1217,1217,PRON,PER,Your
0,1223,1223,PRON,PER,my
523,1223,1224,NOM,FAC,my neighborhood
0,1227,1227,PRON,PER,my
0,1231,1231,PRON,PER,my
524,1238,1239,NOM,PER,a man
524,1244,1244,PRON,PER,his
0,1248,1248,PRON,PER,I
0,1253,1253,PRON,PER,my
0,1257,1257,PRON,PER,I
0,1266,1266,PRON,PER,me
0,1272,1272,PRON,PER,my
0,1275,1275,PRON,PER,my
0,1278,1278,PRON,PER,my
521,1289,1289,PRON,PER,You
494,1293,1293,NOM,PER,people
0,1302,1302,PRON,PER,I
2220,1314,1317,NOM,PER,A fully realized woman
2220,1322,1322,PRON,PER,her
2221,1322,1324,NOM,PER,her true self
521,1349,1349,PRON,PER,you
0,1366,1366,PRON,PER,I
0,1372,1372,PRON,PER,I
