start_token,end_token,supersense_category,text
1,2,noun.person,RIVERA JULIET
9,9,noun.cognition,imprint
11,13,noun.group,Penguin Random House
16,17,noun.location,New York
19,19,verb.creation,published
22,23,noun.location,United States
25,25,noun.location,America
27,29,noun.location,Riverdale Avenue Books
34,35,noun.communication,Dial Books
38,38,noun.cognition,imprint
40,42,noun.group,Penguin Random House
46,47,noun.communication,Dial Books
48,49,noun.communication,paperback edition
50,50,verb.creation,published
51,51,noun.time,2021
52,52,noun.communication,Text
53,53,noun.communication,copyright
57,59,noun.person,Gabrielle Luz Rivera
61,61,noun.communication,text
62,62,noun.communication,copyright
66,67,noun.person,Gabrielle Luz
70,70,verb.emotion,supports
71,71,noun.communication,copyright
73,73,noun.communication,Copyright
74,74,verb.change,fuels
75,75,noun.cognition,creativity
77,77,verb.emotion,encourages
79,79,noun.person,voices
81,81,verb.communication,promotes
82,83,noun.communication,free speech
86,86,verb.creation,creates
89,89,noun.group,culture
91,91,noun.communication,Thank
94,94,verb.possession,buying
97,97,noun.communication,edition
100,100,noun.communication,book
103,103,verb.communication,complying
105,106,noun.communication,copyright laws
109,109,verb.social,reproducing
111,111,verb.contact,scanning
114,114,verb.possession,distributing
116,116,noun.object,part
121,121,noun.cognition,form
123,123,noun.communication,permission
127,127,verb.social,supporting
128,128,noun.person,writers
130,130,verb.communication,allowing
131,131,noun.person,Penguin
133,133,verb.stative,continue
135,135,verb.creation,publish
136,136,noun.communication,books
139,139,noun.person,reader
141,141,noun.person,Dial
143,143,noun.communication,colophon
146,146,noun.communication,trademarks
148,151,noun.group,Penguin Random House LLC
153,154,noun.group,Penguin Books
156,156,noun.communication,colophon
159,159,noun.communication,trademarks
161,162,noun.group,Penguin Books
169,169,noun.location,pencuinrandomhouse.com
172,174,noun.group,LIBRARY OF CONGRESS
178,178,noun.communication,HARDCOVER
183,183,noun.communication,Names
185,185,noun.person,Rivera
187,187,noun.person,Gabby
189,189,noun.person,author
192,192,noun.communication,Title
199,200,noun.person,Gabby Rivera
202,202,noun.communication,Description
204,205,noun.location,New York
207,208,noun.location,Dial Books
211,211,noun.communication,imprint
221,221,noun.communication,Summary
224,224,noun.person,Juliet
235,236,noun.person,Puerto Rican
240,241,verb.change,comes out
244,244,noun.group,family
247,247,noun.phenomenon,results
249,249,noun.time,night
251,251,verb.motion,flying
253,253,noun.location,Portland
255,255,verb.social,intern
259,259,noun.person,author
260,260,noun.communication,icon
263,263,noun.person,Juliet
265,265,verb.cognition,realizes
266,266,verb.stative,has
269,269,noun.communication,definition
271,271,noun.cognition,feminism
273,273,verb.stative,excludes
274,274,noun.person,women
276,276,noun.attribute,color
281,281,noun.group,publisher
283,283,noun.communication,Identifiers
288,288,noun.communication,print
294,294,noun.communication,ebook
300,300,noun.communication,hardback
302,302,noun.communication,Subjects
306,306,noun.person,Lesbians
308,308,noun.communication,Fiction
311,312,noun.person,Puerto Ricans
314,314,noun.location,Oregon
316,316,noun.communication,Fiction
321,321,noun.communication,Fiction
326,326,noun.communication,Fiction
331,331,noun.communication,Fiction
335,335,noun.group,programs
337,337,noun.communication,Fiction
344,344,noun.time,age
346,346,noun.communication,Fiction
351,351,noun.time,Ju
354,354,noun.communication,print
360,360,noun.communication,ebook
365,365,noun.group,FicJ
371,374,noun.location,United States of America
375,375,noun.communication,ISBN
378,378,noun.quantity,9
380,380,noun.quantity,7
383,383,noun.act,Design
388,388,verb.creation,set
392,392,noun.communication,book
