COREF,start_token,end_token,prop,cat,text
0,3,3,PRON,PER,I
208,5,5,PRON,PER,Your
209,5,6,NOM,PER,Your Girl
61,19,19,PROP,PER,Russo
1653,23,23,NOM,PER,teens
1653,33,33,PRON,PER,themselves
61,45,45,PROP,PER,Russo
1654,51,53,NOM,PER,many trans teens
1655,56,56,NOM,PER,adults
62,142,142,PROP,PER,Amanda
1656,144,146,NOM,LOC,the teenage world
1657,154,154,NOM,PER,readers
61,159,159,PROP,PER,Russo
61,161,161,PRON,PER,herself
1658,162,166,NOM,PER,a trans woman from Tennessee
1,166,166,PROP,GPE,Tennessee
1659,182,183,NOM,PER,support groups
1660,225,228,NOM,PER,any collection serving teens
1653,228,228,NOM,PER,teens
210,232,234,NOM,FAC,School Library Journal
61,244,244,PROP,PER,Russo
1662,246,248,NOM,PER,a trans woman
1663,255,256,NOM,PER,a teenager
1663,258,258,PRON,PER,her
1664,273,273,NOM,PER,women
1665,275,276,NOM,PER,trans people
62,285,285,PROP,PER,Amanda
62,289,289,PRON,PER,her
2,306,308,PROP,FAC,The Washington Post
3,318,321,PROP,FAC,The San Francisco Chronicle
1666,329,330,NOM,LOC,the world
1667,332,332,PRON,PER,we
211,345,347,NOM,PER,Forever Young Adult
61,349,349,PROP,PER,Russo
1662,351,353,NOM,PER,a trans woman
1657,362,362,NOM,PER,readers
62,373,373,PROP,PER,Amanda
62,375,375,PRON,PER,her
1670,397,398,NOM,PER,trans teens
212,414,414,PRON,PER,I
1671,416,416,PRON,PER,Your
209,416,417,NOM,PER,Your Girl
1673,423,433,NOM,PER,"every teen — scratch that , every person — in America"
4,433,433,PROP,GPE,America
1674,440,440,PRON,PER,YA
1667,454,454,PRON,PER,us
212,465,465,PRON,PER,I
212,470,470,PRON,PER,You
5,480,481,PROP,GPE,New York
0,487,487,PRON,PER,Me
63,492,492,PRON,PER,I
212,494,494,PRON,PER,Your
209,494,495,NOM,PER,Your Girl
63,520,521,PROP,PER,Jennifer Niven
5,523,524,PROP,GPE,New York
64,544,545,PROP,PER,Alex Gino
0,555,555,PRON,PER,I
212,557,557,PRON,PER,YOUR
61,559,560,PROP,PER,MEREDITH RUSSO
6,563,563,PROP,GPE,YORK
213,588,589,NOM,PER,the author
0,598,598,PRON,PER,i
212,600,600,PRON,PER,your
209,600,601,NOM,PER,your girl
215,616,620,NOM,GPE,the United States of America
7,626,627,PROP,FAC,Flatiron Books
8,629,631,PROP,FAC,175 Fifth Avenue
5,633,634,PROP,GPE,New York
9,640,643,PROP,ORG,The Library of Congress
61,654,654,PROP,PER,Russo
61,656,656,PROP,PER,Meredith
216,658,658,NOM,PER,author
0,663,663,PRON,PER,I
212,665,665,PRON,PER,your
209,665,666,NOM,PER,your girl
61,668,669,PROP,PER,Meredith Russo
5,677,678,PROP,GPE,New York
7,680,681,PROP,FAC,Flatiron Books
218,716,717,NOM,PER,Transgender people
65,722,722,PROP,PER,BISAC
219,769,769,PRON,PER,Our
220,787,793,NOM,ORG,the Macmillan Corporate and Premium Sales Department
66,823,823,PROP,PER,Vivian
67,825,825,PROP,PER,Darwin
0,829,829,PRON,PER,me
221,834,835,NOM,PER,a mother
68,838,838,PROP,PER,Juniper
68,848,848,PRON,PER,her
0,853,853,PRON,PER,me
0,855,855,PRON,PER,I
0,857,857,PRON,PER,I
0,864,864,PRON,PER,my
222,864,865,NOM,PER,my parents
0,872,872,PRON,PER,I
1664,881,881,NOM,PER,women
0,890,890,PRON,PER,my
224,890,891,NOM,PER,my foremothers
225,893,893,NOM,PER,forefathers
226,895,897,NOM,PER,those in between
227,908,908,NOM,PER,friends
0,914,914,PRON,PER,I
0,921,921,PRON,PER,me
0,926,926,PRON,PER,I
0,931,931,PRON,PER,my
228,931,932,NOM,PER,my brothers
229,934,934,NOM,PER,sisters
226,936,938,NOM,PER,those in between
231,964,965,NOM,PER,the boys
232,967,967,NOM,PER,girls
233,969,1020,NOM,PER,"those in between who feel alone and afraid , who feel like there ’s no way out , who feel like things can never be better than they are now . For all those who did n’t make it , who now rest in power and whose names we will never forget"
234,996,996,PRON,PER,they
235,1017,1017,PRON,PER,we
236,1028,1028,PRON,PER,you
237,1035,1036,NOM,VEH,The bus
10,1050,1050,PROP,GPE,Atlanta
235,1054,1054,PRON,PER,us
0,1056,1056,PRON,PER,I
0,1058,1058,PRON,PER,my
0,1068,1068,PRON,PER,my
0,1077,1077,PRON,PER,me
0,1079,1079,PRON,PER,I
238,1086,1086,NOM,FAC,home
0,1090,1090,PRON,PER,I
11,1101,1101,PROP,GPE,Smyrna
0,1105,1105,PRON,PER,I
0,1112,1112,PRON,PER,my
239,1112,1114,NOM,FAC,my own bedroom
69,1120,1120,PROP,PER,Mom
69,1128,1128,PRON,PER,She
0,1131,1131,PRON,PER,me
235,1133,1133,PRON,PER,we
69,1145,1145,PRON,PER,she
0,1165,1165,PRON,PER,I
0,1170,1170,PRON,PER,I
0,1179,1179,PRON,PER,my
61,1183,1184,PROP,PER,MEREDITH RUSSO
240,1186,1188,NOM,FAC,a mall bathroom
241,1191,1192,NOM,GPE,the city
242,1203,1207,NOM,PER,A girl from my school
0,1206,1206,PRON,PER,my
243,1206,1207,NOM,FAC,my school
242,1209,1209,PRON,PER,her
242,1212,1212,PRON,PER,she
0,1214,1214,PRON,PER,me
242,1216,1216,PRON,PER,Her
244,1216,1217,NOM,PER,Her father
244,1221,1221,PRON,PER,his
0,1227,1227,PRON,PER,my
0,1232,1232,PRON,PER,My
0,1239,1239,PRON,PER,You
0,1248,1248,PRON,PER,my
0,1251,1251,PRON,PER,I
245,1256,1259,NOM,PER,a guy wearing earbuds
245,1261,1261,PRON,PER,his
0,1273,1273,PRON,PER,me
245,1275,1275,PRON,PER,He
0,1277,1277,PRON,PER,me
245,1282,1282,PRON,PER,he
0,1298,1298,PRON,PER,I
245,1301,1301,PRON,PER,He
0,1304,1304,PRON,PER,me
245,1307,1307,PRON,PER,his
0,1313,1313,PRON,PER,I
0,1316,1316,PRON,PER,I
0,1322,1322,PRON,PER,I
0,1326,1326,PRON,PER,my
0,1331,1331,PRON,PER,me
0,1336,1336,PRON,PER,you
245,1340,1340,PRON,PER,He
245,1342,1342,PRON,PER,himself
245,1347,1347,PRON,PER,his
245,1353,1353,PRON,PER,his
0,1357,1357,PRON,PER,my
0,1360,1360,PRON,PER,I
0,1362,1362,PRON,PER,I
0,1375,1375,PRON,PER,my
12,1379,1379,PROP,GPE,Lambertville
0,1382,1382,PRON,PER,I
13,1389,1390,PROP,GPE,Hecate County
245,1394,1394,PRON,PER,I
14,1398,1398,PROP,GPE,Knoxville
245,1401,1401,PRON,PER,he
