start_token,end_token,supersense_category,text
12,12,noun.act,debut
13,13,verb.stative,guided
15,15,noun.feeling,hope
17,17,noun.attribute,kindness
19,19,noun.person,Russo
20,20,verb.perception,demonstrates
22,22,noun.state,challenges
23,23,noun.person,teens
24,24,verb.communication,face
26,26,verb.possession,finding
31,31,noun.cognition,version
37,38,noun.group,Publishers Weekly
41,41,noun.communication,review
45,45,noun.person,Russo
47,47,verb.creation,written
49,49,noun.communication,story
53,53,noun.person,teens
56,56,noun.person,adults
60,60,verb.emotion,wanting
66,66,noun.communication,romance
68,68,verb.change,stokes
70,70,noun.process,fires
72,72,noun.feeling,hope
74,74,verb.change,devolving
77,77,noun.state,perfection
80,80,noun.event,tragedy
86,86,verb.stative,is
91,91,noun.communication,story
93,93,verb.cognition,feeling
97,97,noun.feeling,prejudices
104,104,noun.feeling,love
106,106,noun.feeling,hope
109,109,noun.act,writing
112,112,noun.state,truth
120,120,noun.communication,review
124,124,verb.stative,is
131,131,noun.time,age
132,132,noun.communication,novel
134,134,verb.stative,be
142,142,noun.person,Amanda
143,143,verb.communication,navigates
146,146,noun.group,world
150,150,noun.attribute,bravery
153,153,verb.contact,grip
154,154,noun.person,readers
157,157,noun.body,heart
159,159,noun.person,Russo
164,164,noun.person,woman
166,166,noun.location,Tennessee
168,168,verb.communication,handles
170,170,noun.communication,issue
173,173,noun.communication,story
176,176,noun.artifact,pot
178,178,noun.communication,promposals
180,180,noun.act,hormones
182,182,noun.act,support
183,183,noun.group,groups
188,188,noun.body,hand
196,196,noun.phenomenon,result
197,197,verb.stative,is
199,199,noun.communication,narrative
201,201,verb.stative,transcends
205,205,noun.communication,issue
207,207,noun.communication,novel
209,209,verb.stative,be
212,212,noun.communication,tale
223,223,noun.act,purchase
226,226,noun.group,collection
227,227,verb.social,serving
228,228,noun.person,teens
232,234,noun.group,School Library Journal
242,242,noun.communication,novel
248,248,noun.person,woman
250,250,verb.possession,offers
253,253,noun.communication,portrait
256,256,noun.person,teenager
257,257,verb.possession,finding
259,259,noun.cognition,place
262,262,noun.group,world
273,273,noun.person,women
276,276,noun.group,people
281,282,noun.communication,love story
283,283,verb.change,unfolds
285,285,noun.person,Amanda
287,287,noun.communication,assertion
295,295,noun.cognition,self
296,296,verb.change,becomes
300,300,noun.communication,story
307,308,noun.group,Washington Post
314,314,noun.communication,novel
319,320,noun.location,San Francisco
327,327,noun.attribute,justice
330,330,noun.object,world
335,335,verb.perception,witnessing
337,337,noun.person,YA
338,338,noun.person,powerhouse
349,349,noun.person,Russo
353,353,noun.person,woman
355,355,verb.communication,writes
357,357,noun.attribute,authority
359,359,noun.feeling,empathy
361,361,verb.possession,giving
362,362,noun.person,readers
371,371,noun.cognition,understanding
373,373,noun.person,Amanda
377,377,noun.communication,story
383,383,noun.act,debut
384,384,verb.stative,is
387,387,noun.act,contribution
392,392,verb.change,growing
393,393,noun.cognition,body
395,395,noun.communication,literature
398,398,noun.person,teens
421,421,noun.cognition,reading
424,424,noun.person,teen
430,430,noun.person,person
433,433,noun.location,America
436,436,noun.communication,book
437,437,verb.stative,is
441,441,verb.stative,is
445,445,verb.change,break
449,450,verb.change,break hearts
453,453,verb.communication,teach
455,455,noun.feeling,empathy
458,458,verb.possession,find
466,466,verb.emotion,loved
468,468,noun.communication,word
478,478,noun.person,Buxbaum
480,481,noun.location,New York
484,484,noun.person,author
486,486,verb.communication,Tell
496,496,verb.stative,is
509,509,verb.cognition,Read
512,512,noun.communication,book
515,515,verb.cognition,read
520,521,noun.person,Jennifer Niven
523,524,noun.location,New York
525,525,noun.group,Times
527,527,noun.person,author
531,532,noun.location,Bright Places
544,545,noun.person,Alex Gino
551,551,noun.person,author
563,563,noun.location,YORK
565,565,verb.stative,is
567,567,noun.artifact,work
569,569,noun.communication,fiction
574,574,noun.cognition,characters
576,576,noun.group,organizations
579,579,noun.event,events
580,580,verb.perception,portrayed
583,583,noun.communication,novel
584,584,verb.stative,are
586,586,noun.artifact,products
589,589,noun.person,author
591,591,noun.cognition,imagination
594,594,verb.consumption,used
599,599,verb.stative,was
601,601,noun.person,girl
603,603,noun.communication,Copyright
607,608,noun.group,Alloy Entertainment
617,620,noun.location,United States of America
623,623,noun.communication,information
625,627,noun.group,address Flatiron Books
630,631,noun.location,Fifth Avenue
633,634,noun.location,New York
