COREF,start_token,end_token,prop,cat,text
66,3,6,PROP,PER,ROBIN TALLEY HARPER TEEN
66,26,27,PROP,PER,Robin Talley
199,34,38,NOM,LOC,the United States of America
1,38,38,PROP,GPE,America
200,79,83,NOM,ORG,a division of HarperCollins Publishers
2,82,83,PROP,FAC,HarperCollins Publishers
3,86,86,PROP,GPE,Broadway
4,88,89,PROP,GPE,New York
67,114,115,PROP,PER,Torborg Davern
68,129,129,PROP,PER,Julia
68,133,133,PRON,PER,she
69,154,154,PROP,PER,Lily
96,158,158,PROP,PER,Maria
69,160,160,PRON,PER,her
69,169,169,PROP,PER,Lily
69,174,174,PRON,PER,She
96,179,179,PROP,PER,Maria
69,189,189,PRON,PER,she
69,199,199,PRON,PER,she
69,205,205,PRON,PER,she
96,209,209,PROP,PER,Maria
91,211,211,PROP,PER,Brandon
69,214,214,PRON,PER,she
2077,220,220,PRON,PER,you
201,230,230,NOM,PER,everyone
69,232,232,PRON,PER,her
202,238,238,PRON,PER,they
72,249,249,PROP,PER,Delilah
91,260,260,PROP,PER,Brandon
96,262,262,PROP,PER,Maria
2077,270,270,PRON,PER,you
69,283,283,PROP,PER,Lily
69,295,295,PRON,PER,her
69,301,301,PROP,PER,Lily
69,310,310,PRON,PER,she
69,334,334,PRON,PER,she
96,337,337,PROP,PER,Maria
73,339,339,PROP,PER,Mariah
73,343,344,PROP,PER,Mariah Carey
91,346,346,PROP,PER,Brandon
69,348,348,PRON,PER,her
96,351,351,PROP,PER,Maria
69,356,356,PROP,PER,Lily
69,360,360,PRON,PER,She
69,372,372,PROP,PER,Lily
69,376,376,PRON,PER,she
69,383,383,PRON,PER,her
69,387,387,PRON,PER,she
203,399,399,PRON,PER,their
204,399,400,NOM,PER,their friends
69,402,402,PRON,PER,her
205,408,409,NOM,PER,no one
203,413,413,PRON,PER,their
206,413,416,NOM,FAC,their plush dormroom carpet
96,420,420,PROP,PER,Maria
69,429,429,PROP,PER,Lily
203,432,432,PRON,PER,their
207,432,433,NOM,FAC,their room
69,436,436,PRON,PER,her
69,445,445,PRON,PER,her
69,455,455,PRON,PER,she
96,467,467,PROP,PER,Maria
69,472,472,PROP,PER,Lily
96,484,484,PRON,PER,her
96,493,493,PROP,PER,Maria
208,521,522,NOM,FAC,the dorm
209,525,528,NOM,PER,the three of them
209,528,528,PRON,PER,them
209,530,530,PRON,PER,their
201,535,535,NOM,PER,Everyone
201,541,541,PRON,PER,their
211,541,542,NOM,FAC,their rooms
201,550,550,PRON,PER,they
212,559,567,NOM,PER,one of the dorm monitors who prowled the halls
213,561,567,NOM,PER,the dorm monitors who prowled the halls
214,566,567,NOM,FAC,the halls
215,569,572,NOM,PER,None of the staff
216,575,578,NOM,FAC,the old dining hall
217,582,585,NOM,PER,Most of the students
218,584,585,NOM,PER,the students
219,588,588,NOM,FAC,here
220,596,597,NOM,FAC,the room
221,601,603,NOM,PER,the younger kids
96,609,609,PROP,PER,Maria
222,632,633,NOM,PER,little kids
69,638,638,PROP,PER,Lily
216,641,644,NOM,FAC,the old dining hall
209,650,650,PRON,PER,their
96,655,655,PROP,PER,Maria
69,663,663,PROP,PER,Lily
96,669,669,PROP,PER,Maria
209,671,671,PRON,PER,they
96,682,682,PRON,PER,she
69,697,697,PRON,PER,She
69,709,709,PRON,PER,she
96,721,721,PROP,PER,Maria
96,726,726,PROP,PER,Maria
96,739,739,PRON,PER,she
69,743,743,PROP,PER,Lily
96,754,754,PRON,PER,she
96,756,756,PRON,PER,she
69,761,761,PROP,PER,Lily
96,765,765,PRON,PER,her
224,765,766,NOM,PER,her girlfriend
224,774,774,PRON,PER,she
96,778,778,PROP,PER,Maria
96,792,792,PROP,PER,Maria
225,799,800,NOM,PER,the spirits
225,803,803,PRON,PER,they
96,806,806,PRON,PER,her
209,811,811,PRON,PER,they
69,821,821,PROP,PER,Lily
91,823,823,PROP,PER,Brandon
96,828,828,PROP,PER,Maria
209,831,831,PRON,PER,they
96,843,843,PROP,PER,Maria
96,851,851,PRON,PER,Her
91,855,855,PROP,PER,Brandon
91,857,857,PRON,PER,he
209,860,860,PRON,PER,them
91,865,865,PRON,PER,he
74,871,871,PROP,PER,Mateo
91,874,874,PRON,PER,him
209,876,876,PRON,PER,their
91,883,883,PRON,PER,his
91,895,895,PRON,PER,he
96,912,912,PRON,PER,her
96,922,922,PROP,PER,Maria
91,935,935,PROP,PER,Brandon
91,938,938,PRON,PER,his
69,941,941,PROP,PER,Lily
69,948,948,PRON,PER,her
209,955,955,PRON,PER,we
96,959,959,PROP,PER,Maria
96,964,964,PRON,PER,She
91,968,968,PROP,PER,Brandon
91,975,975,PRON,PER,his
96,978,978,PROP,PER,Maria
69,983,983,PROP,PER,Lily
69,986,986,PRON,PER,her
96,992,992,PROP,PER,Maria
69,1010,1010,PROP,PER,Lily
96,1013,1013,PRON,PER,her
96,1025,1025,PRON,PER,her
91,1027,1027,PROP,PER,Brandon
91,1029,1029,PRON,PER,his
96,1032,1032,PROP,PER,Maria
69,1040,1040,PROP,PER,Lily
91,1047,1047,PROP,PER,Brandon
226,1050,1052,NOM,PER,the note taker
91,1060,1060,PRON,PER,His
91,1072,1072,PROP,PER,Brandon
227,1080,1081,NOM,PER,a kid
91,1100,1100,PRON,PER,he
91,1116,1116,PRON,PER,he
228,1123,1123,PRON,PER,their
229,1128,1131,NOM,PER,all the popular seniors
230,1139,1139,NOM,PER,someone
231,1139,1141,NOM,FAC,someone ’s room
91,1147,1147,PROP,PER,Brandon
232,1157,1159,NOM,PER,The other guys
91,1163,1163,PRON,PER,his
91,1167,1167,PRON,PER,his
91,1172,1172,PROP,PER,Brandon
232,1182,1182,PRON,PER,they
91,1184,1184,PRON,PER,him
91,1187,1187,PRON,PER,his
69,1190,1190,PROP,PER,Lily
91,1203,1203,PROP,PER,Brandon
233,1213,1213,PRON,PER,You
234,1236,1236,PRON,FAC,it
91,1325,1325,PROP,PER,Brandon
