start_token,end_token,supersense_category,text
3,4,noun.person,ROBIN TALLEY
10,11,noun.group,HarperCoHinsPad//s/?ers HarperTeen
12,12,verb.stative,is
14,14,noun.cognition,imprint
16,17,noun.group,HarperCollins Publishers
26,26,noun.person,Robin
30,30,verb.possession,reserved
35,36,noun.location,United States
38,38,noun.location,America
41,41,noun.relation,part
44,44,noun.communication,book
47,47,verb.consumption,used
49,49,verb.contact,reproduced
52,52,noun.attribute,manner
55,56,noun.communication,written permission
60,60,noun.state,case
63,63,noun.communication,quotations
64,64,verb.stative,embodied
67,67,noun.communication,articles
69,69,noun.communication,reviews
72,72,noun.cognition,information
73,73,verb.communication,address
80,80,noun.cognition,division
82,83,noun.group,HarperCollins Publishers
86,86,noun.location,Broadway
88,89,noun.location,New York
91,92,noun.location,NY 10007
95,99,noun.group,Library of Congress Control Number
111,111,noun.quantity,2
112,112,noun.communication,Typography
114,115,noun.person,Torborg Davern
134,134,verb.emotion,prefers
135,136,noun.location,Hamlet START
143,143,noun.communication,CHAPTER
151,152,noun.artifact,Ouija board
153,153,verb.stative,was
154,154,noun.person,Lily
156,156,noun.cognition,idea
158,158,noun.person,Maria
159,159,verb.communication,warned
163,164,verb.social,go through
169,169,noun.person,Lily
172,172,verb.perception,listen
175,176,verb.motion,went onto
179,179,noun.person,Maria
180,180,verb.stative,was
182,183,noun.artifact,soccer practice
185,185,verb.possession,bought
188,188,noun.substance,board
191,191,verb.possession,find
196,196,noun.artifact,antique
200,200,verb.communication,called
206,206,verb.communication,showed
209,209,noun.person,Maria
211,211,noun.person,Brandon
213,213,noun.time,night
215,215,verb.communication,pronounced
222,222,noun.food,wine
225,226,verb.change,showing off
229,229,noun.communication,drawl
231,231,verb.communication,teased
239,239,verb.contact,opened
241,241,noun.artifact,bottle
244,244,noun.substance,white
245,245,noun.food,wine
246,247,verb.change,left over
249,249,noun.person,Delilah
252,252,noun.time,birthday
253,253,noun.group,party
258,258,noun.time,minutes
260,260,noun.person,Brandon
262,262,noun.person,Maria
264,264,verb.communication,utter
266,266,noun.communication,words
272,272,noun.food,wine
275,275,noun.communication,TEEK
279,279,verb.body,collapse
281,281,noun.communication,giggles
283,283,noun.person,Lily
284,284,verb.communication,pretended
286,287,verb.communication,take offense
291,291,noun.event,times
297,298,noun.artifact,Styrofoam cup
301,301,noun.person,Lily
303,303,verb.change,adding
309,309,noun.communication,word
311,311,verb.communication,said
316,316,verb.stative,became
318,318,verb.perception,See
324,324,noun.artifact,Drink
326,326,verb.stative,was
335,335,verb.change,started
336,336,verb.communication,calling
337,337,noun.person,Maria
339,339,noun.person,Mariah
343,344,noun.person,Mariah Carey
346,346,noun.person,Brandon
347,347,verb.possession,confiscated
349,349,noun.artifact,cup
351,351,noun.person,Maria
354,354,verb.emotion,worried
356,356,noun.person,Lily
358,358,noun.time,day
372,372,noun.person,Lily
374,374,verb.consumption,drank
380,380,verb.emotion,like
382,382,verb.consumption,take
384,384,noun.substance,painkillers
388,388,verb.contact,sat
391,391,noun.location,edge
394,394,noun.group,party
395,395,verb.consumption,sipping
396,396,noun.food,seltzer
398,398,verb.perception,watching
400,400,noun.person,friends
404,404,noun.body,eyes
406,406,verb.change,make
410,410,verb.consumption,spilled
415,415,noun.artifact,dormroom
416,416,noun.artifact,carpet
420,420,noun.person,Maria
421,421,verb.emotion,wanted
423,423,verb.communication,declare
425,425,noun.time,evening
428,428,verb.motion,escort
429,429,noun.person,Lily
433,433,noun.artifact,room
435,435,verb.contact,put
438,438,noun.artifact,bed
441,442,verb.perception,keep an
443,443,verb.social,eye
448,448,noun.relation,rest
451,451,noun.time,night
453,453,verb.change,make
458,458,verb.social,do
467,467,noun.person,Maria
470,470,verb.cognition,focus
472,472,noun.person,Lily
479,480,noun.artifact,Ouija board
481,481,verb.contact,sitting
487,487,noun.substance,board
488,488,verb.stative,was
491,491,noun.act,deal
493,493,noun.person,Maria
499,499,verb.stative,was
504,504,noun.substance,plastic
505,506,noun.person,Milton Bradley
507,507,noun.substance,crap
510,510,noun.substance,board
511,511,verb.communication,meant
512,512,noun.act,business
515,515,verb.stative,was
522,522,noun.artifact,dorm
526,526,noun.quantity,three
529,529,verb.stative,kept
531,531,noun.communication,laughter
533,533,noun.communication,whispers
539,539,verb.stative,be
542,542,noun.artifact,rooms
543,543,verb.contact,tucked
545,545,noun.artifact,bed
548,548,noun.time,p.m.
553,553,verb.emotion,want
556,557,verb.communication,written up
562,562,noun.artifact,dorm
563,563,noun.artifact,monitors
565,565,verb.motion,prowled
567,567,noun.artifact,halls
572,572,noun.group,staff
574,574,verb.cognition,checked
577,578,noun.artifact,dining hall
585,585,noun.person,students
587,587,verb.motion,ventured
590,590,noun.time,dark
594,594,noun.communication,rumors
597,597,noun.artifact,room
600,600,noun.communication,stories
603,603,noun.person,kids
604,604,verb.communication,whispered
607,607,noun.act,sleepovers
609,609,noun.person,Maria
611,611,verb.perception,seen
614,614,verb.cognition,know
616,616,noun.cognition,kinds
618,618,noun.communication,stories
619,619,verb.stative,were
622,622,noun.communication,bullshit
625,625,noun.communication,truth
626,626,verb.stative,was
633,633,noun.person,kids
635,635,verb.creation,imagine
638,638,noun.person,Lily
640,640,verb.cognition,thought
643,644,noun.artifact,dining hall
645,645,verb.stative,was
648,648,noun.location,place
652,652,noun.group,seance
655,655,noun.person,Maria
657,658,verb.competition,given up
659,659,verb.communication,arguing
663,663,noun.person,Lily
664,664,verb.stative,was
669,669,noun.person,Maria
679,679,noun.location,beginning
685,685,verb.cognition,know
688,688,noun.cognition,thing
692,692,noun.act,Ouija
693,693,noun.group,board
695,695,verb.social,do
699,699,verb.communication,begged
704,704,verb.communication,begged
711,711,verb.body,smiled
714,714,verb.communication,said
715,716,noun.attribute,pretty things
721,721,noun.person,Maria
723,724,verb.communication,given in
726,726,noun.person,Maria
730,731,verb.social,put up
733,733,noun.act,fight
736,736,verb.stative,was
740,740,verb.emotion,hated
741,741,verb.competition,fighting
743,743,noun.person,Lily
750,750,verb.stative,was
755,755,verb.cognition,knew
758,758,verb.perception,glance
761,761,noun.person,Lily
766,766,noun.person,girlfriend
768,768,verb.body,smile
773,773,noun.communication,smile
775,775,verb.possession,saved
778,778,noun.person,Maria
785,785,verb.social,work
789,789,verb.stative,been
790,790,noun.time,years
792,792,noun.person,Maria
795,795,verb.social,tried
797,797,verb.communication,talk
800,800,noun.person,spirits
805,805,verb.cognition,forgotten
810,810,noun.event,time
813,814,verb.motion,poured out
819,819,noun.food,wine
821,821,noun.person,Lily
823,823,noun.person,Brandon
825,825,verb.body,giggling
828,828,noun.person,Maria
829,829,verb.cognition,wondered
833,833,verb.cognition,remembered
835,835,noun.substance,board
837,837,verb.contact,sitting
840,840,noun.substance,cardboard
841,841,noun.artifact,box
843,843,noun.person,Maria
846,846,verb.cognition,forget
852,852,noun.body,eyes
853,854,verb.stative,were on
855,855,noun.person,Brandon
859,859,verb.communication,telling
864,864,noun.animal,beetle
867,867,verb.possession,found
870,870,noun.plant,flowers
871,871,noun.person,Mateo
873,873,verb.possession,given
879,879,noun.time,week
880,880,noun.time,anniversary
885,885,noun.communication,screams
888,888,verb.motion,brought
890,890,noun.artifact,dorm
891,891,noun.artifact,monitors
894,894,verb.communication,convinced
897,897,verb.body,having
900,900,noun.state,fit
908,908,noun.substance,board
910,910,verb.perception,humming
917,918,verb.change,went on
921,921,noun.quantity,more
922,922,noun.person,Maria
923,923,verb.emotion,ached
925,925,verb.cognition,know
928,928,noun.person,spirits
931,931,verb.cognition,remember
935,935,noun.person,Brandon
936,937,verb.change,wrapped up
939,939,noun.communication,story
941,941,noun.person,Lily
942,942,verb.contact,pulled
945,945,noun.artifact,candles
949,949,noun.artifact,bag
951,951,verb.communication,said
956,956,verb.change,begin
959,959,noun.person,Maria
962,962,verb.stative,hesitate
965,965,verb.stative,was
968,968,noun.person,Brandon
969,969,verb.body,shrugged
971,971,verb.consumption,took
973,973,noun.food,swallow
976,976,noun.artifact,cup
978,978,noun.person,Maria
979,979,verb.change,lit
981,981,noun.artifact,candles
983,983,noun.person,Lily
984,985,verb.contact,set up
987,987,noun.artifact,phone
989,990,noun.artifact,audio recorder
992,992,noun.person,Maria
995,995,verb.emotion,wanted
1004,1005,verb.motion,going back
1010,1010,noun.person,Lily
1012,1012,verb.possession,giving
1015,1015,noun.communication,smile
1020,1020,noun.substance,board
1023,1023,verb.perception,humming
1027,1027,noun.person,Brandon
1028,1028,verb.contact,covered
1030,1030,noun.act,yawn
1032,1032,noun.person,Maria
1033,1034,verb.change,lined up
1036,1036,noun.artifact,candles
1038,1038,verb.cognition,following
1039,1039,noun.communication,instructions
1040,1040,noun.person,Lily
1042,1042,verb.communication,found
1045,1045,noun.communication,website
1047,1047,noun.person,Brandon
1049,1049,verb.communication,designated
1051,1051,noun.communication,note
1054,1054,verb.possession,given
