COREF,start_token,end_token,prop,cat,text
95,2,10,PROP,PER,Becky Albertalli Simon vs. the Homo Sapiens Agenda Leah
96,16,16,PROP,PER,Bray
1,21,22,PROP,ORG,HarperCollins Publishers
95,32,33,PROP,PER,Becky Albertalli
414,40,44,NOM,LOC,the United States of America
2,44,44,PROP,GPE,America
415,85,89,NOM,ORG,a division of HarperCollins Publishers
1,88,89,PROP,ORG,HarperCollins Publishers
3,92,92,PROP,GPE,Broadway
4,94,95,PROP,GPE,New York
97,124,125,PROP,PER,Torborg Davern
416,144,151,NOM,PER,the women who know me way too well
0,148,148,PRON,PER,me
98,153,154,PROP,PER,Caroline Goldstein
99,156,157,PROP,PER,Eileen Thomas
100,159,160,PROP,PER,Adele Thomas
101,162,163,PROP,PER,Gini Albertalli
96,166,167,PROP,PER,Donna Bray
102,176,177,PROP,PER,Molly Goldstein
417,182,182,PRON,PER,you
418,184,194,NOM,FAC,The Up Side of Un Requited Becky Albertalli START OF BOOK
103,190,194,PROP,PER,Becky Albertalli START OF BOOK
5,199,200,PROP,FAC,THE TOILET
419,202,204,NOM,FAC,the 9:30 Club
0,207,207,PRON,PER,I
420,229,230,NOM,FAC,the bathroom
421,231,231,NOM,FAC,here
422,266,267,NOM,FAC,the club
423,272,273,NOM,FAC,a bathroom
417,274,274,PRON,PER,you
0,286,286,PRON,PER,I
0,289,289,PRON,PER,mine
0,291,291,PRON,PER,I
0,303,303,PRON,PER,I
0,306,306,PRON,PER,my
0,312,312,PRON,PER,I
0,324,324,PRON,PER,I
0,329,329,PRON,PER,I
0,334,334,PRON,PER,I
0,340,340,PRON,PER,my
0,347,347,PRON,PER,my
0,357,357,PRON,PER,my
417,365,365,PRON,PER,your
0,384,384,PRON,PER,me
424,399,400,NOM,FAC,the stall
0,412,412,PRON,PER,you
425,414,414,PRON,PER,me
425,420,420,PRON,PER,She
0,424,424,PRON,PER,me
0,428,428,PRON,PER,me
0,441,441,PRON,PER,I
426,450,451,NOM,PER,the girl
425,456,456,PRON,PER,her
0,459,459,PRON,PER,mine
425,461,461,PRON,PER,she
0,468,468,PRON,PER,you
425,471,471,PRON,PER,my
0,475,475,PRON,PER,I
427,483,488,NOM,FAC,the bathroom of the 9:30 Club
419,486,488,NOM,FAC,the 9:30 Club
425,490,490,PRON,PER,She
424,497,498,NOM,FAC,the stall
0,504,504,PRON,PER,I
425,507,507,PRON,PER,her
0,524,524,PRON,PER,I
430,529,530,NOM,PER,most people
