start_token,end_token,supersense_category,text
2,3,noun.person,Becky Albertalli
7,10,noun.group,Homo Sapiens Agenda Leah
14,14,noun.person,Balzer
15,16,noun.group,+ Bray
17,17,verb.stative,is
19,19,noun.cognition,imprint
21,22,noun.group,HarperCollins Publishers
32,33,noun.person,Becky Albertalli
36,36,verb.possession,reserved
41,42,noun.location,United States
44,44,noun.location,America
47,47,noun.relation,part
50,50,noun.communication,book
53,53,verb.consumption,used
55,55,verb.social,reproduced
58,58,noun.attribute,manner
61,62,noun.communication,written permission
66,66,noun.state,case
69,69,noun.communication,quotations
70,70,verb.stative,embodied
73,73,noun.communication,articles
75,75,noun.communication,reviews
78,78,noun.cognition,information
79,79,verb.communication,address
80,83,noun.group,HarperCollins Children ’s Books
86,86,noun.cognition,division
88,89,noun.group,HarperCollins Publishers
92,92,noun.location,Broadway
94,95,noun.location,New York
97,98,noun.location,NY 10007
105,108,noun.group,Library of Congress Control
109,109,noun.communication,Number
121,121,noun.quantity,5
122,122,noun.communication,Typography
124,125,noun.person,Torborg Davern
131,131,noun.group,LSCC
139,139,noun.communication,paperback
140,140,noun.communication,edition
145,145,noun.person,women
147,147,verb.cognition,know
153,154,noun.person,Caroline Goldstein
156,157,noun.person,Eileen Thomas
159,160,noun.person,Adele Thomas
162,163,noun.person,Gini Albertalli
166,167,noun.person,Donna Bray
174,174,noun.cognition,memory
176,177,noun.person,Molly Goldstein
190,191,noun.person,Becky Albertalli
195,195,noun.communication,CHAPTER
209,209,verb.cognition,wondering
211,211,noun.animal,mermaids
212,212,verb.consumption,pee
215,215,verb.stative,is
222,222,noun.animal,mermaid
223,223,noun.artifact,Barbie
227,227,noun.artifact,door
230,230,noun.artifact,bathroom
234,234,verb.stative,is
238,238,noun.cognition,choice
241,241,noun.artifact,bathroom
242,242,noun.person,mascot
249,249,noun.artifact,thing
251,251,noun.artifact,Bathroom
252,252,noun.person,mascots
256,256,noun.artifact,door
257,257,verb.contact,opens
259,260,verb.communication,letting in
262,262,noun.act,burst
264,264,noun.communication,music
267,267,noun.group,club
270,270,verb.stative,is
273,273,noun.artifact,bathroom
276,276,verb.social,enter
280,280,noun.artifact,stall
281,281,noun.artifact,door
282,283,verb.motion,clicks shut
288,288,verb.contact,opening
292,292,verb.motion,step
296,296,verb.stative,are
297,297,noun.artifact,mirrors
301,301,noun.artifact,sinks
304,304,verb.body,suck
307,307,noun.body,cheeks
310,310,verb.perception,looks
313,313,verb.possession,have
314,314,noun.body,cheekbones
318,318,verb.stative,’s
321,321,noun.event,transformation
325,325,verb.possession,have
327,327,noun.cognition,idea
331,331,verb.consumption,maintain
336,336,verb.stative,spend
338,338,noun.relation,rest
341,341,noun.time,life
343,343,verb.contact,biting
345,345,noun.location,insides
348,348,noun.body,cheeks
353,353,noun.communication,fact
356,356,verb.change,makes
358,358,noun.body,lips
359,359,verb.perception,look
364,364,verb.contact,biting
366,366,noun.body,cheeks
371,371,noun.act,way
373,373,verb.communication,talking
388,388,noun.person,cheekbones
391,391,noun.communication,Shit
397,397,noun.communication,voice
400,400,noun.artifact,stall
413,413,verb.possession,hand
416,417,noun.artifact,toilet paper
422,422,verb.communication,talking
427,427,verb.possession,takes
430,430,noun.time,moment
432,432,verb.cognition,realize
442,442,verb.contact,grab
444,444,noun.possession,wad
448,448,verb.contact,pass
451,451,noun.person,girl
453,453,noun.artifact,door
457,457,noun.body,hand
458,458,verb.contact,brushes
462,462,verb.social,takes
470,470,verb.social,saved
472,472,noun.state,life
476,476,verb.possession,saved
478,478,noun.state,life
484,484,noun.artifact,bathroom
491,491,verb.body,flushes
494,494,verb.motion,steps
498,498,noun.artifact,stall
503,503,noun.communication,thing
505,505,verb.perception,notice
506,506,verb.stative,is
508,508,noun.artifact,shirt
511,511,noun.artifact,cotton
517,517,noun.artifact,rendering
520,520,noun.communication,letters
521,521,noun.communication,G
528,528,verb.cognition,think
530,530,noun.group,people
532,532,verb.cognition,recognize
535,535,noun.communication,letters
545,546,noun.person,Georgie James
547,547,noun.artifact,shirt
551,551,noun.person,girl
552,552,verb.communication,raises
554,554,noun.body,eyebrows
556,556,verb.body,smiling
560,560,verb.cognition,know
561,562,noun.person,Georgie James
570,570,verb.body,smile
573,574,noun.person,Georgie James
577,577,verb.stative,were
580,580,noun.group,DC
581,581,noun.group,band
585,586,verb.change,broke up
587,587,noun.time,years
593,593,verb.cognition,expect
595,595,verb.social,meet
598,598,noun.time,age
601,601,verb.cognition,heard
607,607,noun.person,sister
614,614,noun.person,girl
615,615,verb.motion,shakes
617,617,noun.body,head
621,621,verb.stative,is
627,627,verb.stative,is
633,633,verb.communication,say
637,637,noun.person,girl
638,638,verb.body,laughs
644,644,noun.communication,laughs
646,646,verb.motion,bubbles
650,650,noun.body,throat
655,655,verb.perception,look
663,663,verb.stative,’s
666,666,noun.location,This
667,667,noun.person,girl
670,670,verb.stative,’s
675,676,noun.person,East Asian
680,680,noun.body,hair
681,681,verb.stative,is
685,685,noun.attribute,shade
697,697,verb.contact,framed
699,699,noun.artifact,glasses
707,707,noun.attribute,shape
710,710,noun.body,lips
713,713,verb.stative,has
718,718,noun.body,lips
720,720,noun.person,Cassie
723,723,verb.stative,be
728,728,noun.artifact,glasses
734,735,noun.person,Georgie James
736,736,noun.artifact,shirt
741,741,noun.communication,thanks
743,743,verb.social,saving
745,745,noun.body,butt
751,751,verb.motion,shakes
753,753,noun.body,head
760,760,noun.artifact,butt
764,764,verb.body,giggle
768,768,verb.stative,’s
773,773,noun.communication,Thanks
775,775,verb.social,saving
777,777,noun.artifact,labia
781,781,verb.body,shrug
783,783,verb.body,smile
794,794,noun.cognition,kind
796,796,noun.time,moment
800,800,noun.shape,thread
801,801,verb.stative,connecting
806,806,noun.person,stranger
