COREF,start_token,end_token,prop,cat,text
77,9,9,PROP,PER,Arnold
1,19,19,PROP,GPE,California
1791,19,20,NOM,FAC,California neighborhoods
1792,26,31,NOM,FAC,a high - kill animal shelter
78,33,33,PROP,PER,Nina
2,41,41,PROP,GPE,Rome
1793,41,45,NOM,FAC,Rome ’s brutalized virgin martyrs
78,51,51,PROP,PER,Nina
78,83,83,PROP,PER,Nina
1794,88,88,PRON,PER,her
79,92,92,PROP,PER,Seth
1794,99,99,PRON,PER,her
1795,99,101,NOM,PER,her fickle parents
1796,142,145,NOM,PER,women of all ages
1797,149,149,NOM,PER,teenagers
80,153,153,PROP,PER,Popsugar
1798,155,156,NOM,PER,Teen girls
81,171,171,PROP,PER,VOYA
1799,195,195,NOM,PER,girls
1800,204,205,NOM,PER,a girl
1800,208,209,NOM,PER,a girl
1800,224,225,NOM,PER,a girl
77,232,234,PROP,PER,Elana K. Arnold
1803,249,249,NOM,PER,readers
82,253,254,PROP,PER,Brandy Colbert
188,256,265,NOM,PER,author of Stonewall Book Award - winner Little & Lion
1804,267,267,PRON,PER,We
1804,269,269,PRON,PER,we
1799,272,272,NOM,PER,girls
77,282,284,PROP,PER,Elana K. Arnold
1806,315,315,NOM,PER,women
1807,321,321,PRON,PER,your
83,327,328,PROP,PER,Martha Brockenbrough
189,330,340,NOM,PER,author of Kirkus Prize Finalist The Game of Love and Death
77,366,366,PROP,PER,Arnold
1804,371,371,PRON,PER,us
1804,379,379,PRON,PER,us
1799,381,381,NOM,PER,girls
1792,386,391,NOM,FAC,a high - kill animal shelter
1810,393,395,NOM,FAC,an abortion clinic
1811,402,403,NOM,PER,adventure seekers
3,413,413,PROP,GPE,Italy
1804,425,425,PRON,PER,our
1812,425,426,NOM,PER,our narrator
78,427,427,PROP,PER,Nina
1813,443,444,NOM,PER,a woman
1814,449,449,PRON,PER,you
1800,457,458,NOM,PER,a girl
1800,465,465,PRON,PER,her
84,475,476,PROP,PER,Carrie Mesrobian
4,502,504,PROP,FAC,ARNOLD Holiday House
190,506,508,NOM,GPE,new york Text
4,515,517,PROP,FAC,Arnold HOLIDAY HOUSE
5,535,536,PROP,FAC,Maple Press
6,538,538,PROP,GPE,York
7,540,540,PROP,GPE,PA
8,542,542,PROP,GPE,USA
9,555,556,PROP,ORG,Carolrhoda Lab
191,558,563,NOM,ORG,a division of Lerner Publishing Group
10,561,563,PROP,ORG,Lerner Publishing Group
11,568,570,PROP,FAC,First Avenue North
12,572,572,PROP,GPE,Minneapolis
13,574,574,PROP,GPE,MN
10,623,625,PROP,FAC,Lerner Publishing Group
192,639,639,PRON,PER,their
193,639,641,NOM,PER,their respective owners
15,643,645,PROP,ORG,Library of Congress
77,654,654,PROP,PER,Arnold
77,656,656,PROP,GPE,Elana
194,659,659,NOM,PER,author
1799,664,664,NOM,PER,girls
0,668,668,PRON,PER,I
12,676,676,PROP,GPE,Minneapolis
9,678,679,PROP,FAC,Carolrhoda Lab
78,690,691,PROP,PER,Nina Faye
0,711,711,PRON,PER,I
0,726,726,PRON,PER,I
0,743,743,PRON,PER,I
0,753,753,PRON,PER,I
0,768,768,PRON,PER,I
0,796,796,PRON,PER,MY
0,801,801,PRON,PER,I
