start_token,end_token,supersense_category,text
9,9,noun.person,Arnold
10,10,verb.contact,interweaves
12,12,noun.location,landscapes
17,17,noun.state,affluence
19,19,noun.location,California
20,20,noun.artifact,neighborhoods
24,24,noun.feeling,sadness
29,29,noun.artifact,kill
30,31,noun.artifact,animal shelter
33,33,noun.person,Nina
34,34,verb.consumption,volunteers
39,39,noun.location,terrain
41,41,noun.location,Rome
45,45,noun.person,martyrs
49,49,noun.attribute,physicality
51,51,noun.person,Nina
54,54,noun.body,body
58,58,noun.communication,narrative
59,59,noun.state,wholeness
61,61,verb.stative,is
65,65,noun.cognition,parts
71,71,noun.person,girl
81,81,noun.cognition,review
83,83,noun.person,Nina
86,86,noun.communication,musings
90,90,noun.state,relationship
92,92,noun.person,Seth
97,97,noun.state,relationship
101,101,noun.person,parents
103,103,verb.perception,demonstrate
106,106,noun.cognition,sense
108,108,noun.cognition,introspection
110,110,noun.cognition,self
112,112,noun.feeling,respect
122,122,verb.stative,is
129,129,noun.state,crags
132,132,noun.state,courtship
140,140,verb.cognition,read
142,142,noun.person,women
149,149,noun.person,teenagers
156,156,noun.person,girls
158,158,verb.cognition,read
160,160,noun.communication,book
165,165,verb.stative,is
176,176,noun.attribute,honesty
178,178,noun.attribute,depth
186,186,verb.cognition,examines
188,188,noun.attribute,strength
190,190,noun.act,determination
193,193,noun.state,vulnerability
195,195,noun.person,girls
198,198,noun.communication,book
199,199,verb.stative,is
203,203,verb.stative,is
205,205,noun.person,girl
207,207,verb.stative,was
209,209,noun.person,girl
212,212,verb.emotion,wishes
214,214,verb.perception,glimpse
217,217,noun.attribute,beauty
219,219,noun.state,pain
221,221,verb.stative,comes
223,223,verb.stative,being
225,225,noun.person,girl
230,230,noun.communication,prose
232,234,noun.person,Elana K. Arnold
236,236,verb.creation,created
238,238,noun.artifact,masterpiece
240,240,verb.stative,is
243,243,verb.stative,live
247,247,noun.cognition,memory
249,249,noun.person,readers
253,254,noun.person,Brandy Colbert
256,256,noun.person,author
268,268,verb.cognition,think
270,270,verb.cognition,know
272,272,noun.person,girls
274,274,verb.social,made
282,284,noun.person,Elana K. Arnold
285,285,verb.change,removes
287,287,noun.artifact,veil
290,290,verb.stative,is
297,297,verb.stative,is
305,305,verb.perception,shows
313,313,noun.attribute,complexity
315,315,noun.person,women
320,320,verb.contact,rip
322,322,noun.cognition,heart
327,328,noun.person,Martha Brockenbrough
330,330,noun.person,author
347,347,noun.communication,book
349,349,verb.stative,is
351,351,noun.person,girl
357,357,noun.feeling,gore
359,359,noun.attribute,grace
361,362,verb.body,growing up
366,366,noun.person,Arnold
369,369,noun.communication,prose
370,370,verb.motion,takes
374,374,noun.cognition,sorts
376,376,noun.location,places
378,378,verb.perception,show
381,381,noun.person,girls
383,384,verb.creation,made of
389,389,noun.time,kill
390,391,noun.artifact,animal shelter
394,395,noun.artifact,abortion clinic
398,398,noun.artifact,bridge
402,402,noun.act,adventure
403,403,noun.person,seekers
404,404,noun.artifact,bungee
405,405,verb.motion,jump
413,413,noun.location,Italy
417,417,noun.location,sites
422,422,noun.artifact,art
426,426,noun.person,narrator
427,427,noun.person,Nina
428,428,verb.cognition,learns
431,431,noun.cognition,tradition
434,434,noun.communication,stories
436,436,verb.communication,told
439,439,noun.act,contortion
441,441,noun.feeling,pain
444,444,noun.person,woman
446,446,noun.body,body
451,451,verb.cognition,looking
453,453,verb.motion,enter
455,455,noun.body,mind
458,458,noun.person,girl
459,459,verb.social,navigating
460,460,noun.act,sex
462,462,noun.feeling,love
467,467,noun.attribute,physicality
469,469,verb.perception,look
475,476,noun.person,Carrie Mesrobian
478,478,noun.person,author
500,504,noun.group,ELANA K. ARNOLD Holiday House
506,507,noun.location,new york
508,508,noun.communication,Text
509,509,noun.communication,copyright
513,517,noun.group,Elana K. Arnold HOLIDAY HOUSE
519,519,verb.communication,registered
522,526,noun.group,U.S. Patent and Trademark Office
532,532,noun.time,November
535,536,noun.group,Maple Press
538,538,noun.location,York
540,540,noun.location,PA
542,542,noun.location,USA
544,544,noun.communication,www.holidayhouse.com
549,549,noun.communication,editions
551,551,verb.creation,published
553,553,noun.group,arrangement
555,556,noun.group,Carolrhoda Lab
559,559,noun.group,division
561,565,noun.group,"Lerner Publishing Group , Inc."
568,570,noun.location,First Avenue North
572,572,noun.location,Minneapolis
574,574,noun.location,MN
576,577,noun.group,U.S.A. All
578,578,noun.communication,rights
582,582,noun.relation,part
585,585,noun.communication,edition
588,588,verb.contact,reproduced
590,590,verb.contact,stored
593,594,noun.artifact,retrieval system
597,597,verb.contact,transmitted
600,600,noun.cognition,form
610,610,noun.communication,photocopying
612,612,noun.artifact,recording
621,621,noun.communication,permission
623,625,noun.group,Lerner Publishing Group
629,629,noun.possession,copyrights
631,631,noun.communication,logos
634,634,noun.communication,trademarks
635,635,verb.stative,are
637,637,noun.possession,property
641,641,noun.person,owners
643,645,noun.group,Library of Congress
656,657,noun.person,Elana K.
661,661,noun.communication,Title
664,664,noun.person,girls
666,666,verb.creation,made
674,674,noun.communication,Description
676,676,noun.location,Minneapolis
678,679,noun.group,Carolrhoda Lab
687,687,noun.time,year
690,691,noun.person,Nina Faye
692,692,verb.consumption,navigates
695,695,noun.state,world
698,698,noun.state,relationships
701,701,noun.group,family
702,702,noun.cognition,dynamics
704,704,noun.communication,Identifiers
706,706,noun.group,LCCN
709,709,noun.communication,print
715,715,noun.communication,ebook
724,724,noun.substance,paper
731,731,noun.communication,pdf
733,733,noun.communication,Subjects
746,746,noun.communication,Fiction
748,749,noun.state,Family problems
751,751,noun.communication,Fiction
755,755,noun.state,life
757,757,noun.communication,Fiction
766,766,noun.communication,print
772,772,noun.communication,ebook
778,778,verb.communication,record
791,791,noun.quantity,7
793,793,noun.artifact,paperback
833,833,verb.stative,was
837,837,noun.person,mother
838,838,verb.communication,told
844,844,noun.event,thing
847,847,noun.feeling,love
853,853,verb.emotion,loving
857,857,noun.time,time
861,861,noun.person,mother
862,862,verb.communication,said
866,866,verb.contact,folding
867,867,noun.artifact,laundry
870,870,noun.artifact,sheet
875,875,noun.location,end
888,888,noun.artifact,dancers
891,891,verb.contact,brought
893,893,noun.body,hands
896,896,verb.stative,bisect
900,900,noun.communication,sheet
903,903,verb.motion,stepped
909,909,noun.artifact,fabric
910,910,verb.motion,collapsing
926,926,noun.state,mess
928,928,verb.contact,sorted
934,934,noun.shape,rectangle
937,937,verb.stative,was
941,941,noun.artifact,dryer
943,943,verb.perception,smelled
945,945,noun.substance,chemical
946,946,noun.substance,flowers
951,951,verb.emotion,loves
953,953,noun.state,conditions
957,957,verb.communication,said
960,960,verb.communication,nodded
962,963,verb.motion,set aside
965,965,noun.communication,sheet
967,967,verb.contact,reached
970,970,noun.artifact,basket
975,975,verb.contact,snapped
980,980,verb.contact,caught
983,983,noun.location,end
987,987,noun.person,father
989,989,noun.feeling,love
992,992,verb.stative,is
997,997,verb.communication,continued
1001,1001,noun.feeling,love
1002,1002,verb.stative,is
1005,1005,noun.quantity,lots
1007,1007,noun.cognition,things
1010,1010,noun.attribute,willingness
1012,1012,verb.perception,listen
1015,1016,verb.communication,talk about
1018,1018,noun.time,day
1021,1021,noun.act,cooking
1025,1026,verb.motion,came together
1032,1032,verb.stative,was
1038,1038,verb.stative,was
1043,1043,noun.attribute,beauty
1048,1048,noun.attribute,beauty
1052,1052,noun.feeling,Love
1055,1055,noun.person,woman
1059,1059,noun.person,mother
1060,1060,verb.communication,said
1063,1063,verb.stative,is
1068,1068,noun.attribute,beauty
1074,1074,verb.communication,said
1077,1077,noun.body,fingers
1078,1078,verb.contact,grazing
1083,1083,noun.artifact,fold
1087,1087,noun.act,sex
1093,1094,verb.cognition,sorting out
1096,1096,noun.cognition,truth
1098,1098,noun.cognition,things
1106,1106,verb.contact,smoothed
1108,1108,noun.shape,wrinkles
1111,1111,noun.communication,sheets
1113,1113,verb.possession,taking
1119,1119,verb.contact,rearranging
1124,1124,noun.artifact,package
1132,1132,verb.communication,said
1136,1136,noun.feeling,love
1139,1139,noun.person,father
1140,1140,verb.possession,has
1141,1141,noun.state,conditions
1147,1147,verb.cognition,knew
1150,1150,verb.communication,telling
1156,1156,noun.state,conditions
1157,1157,verb.stative,were
1160,1160,noun.possession,money
1162,1162,verb.possession,made
1164,1165,noun.possession,real estate
1168,1168,noun.act,deference
1171,1171,noun.cognition,preferences
1176,1176,noun.artifact,car
1177,1177,verb.possession,purchased
1180,1180,noun.time,years
1186,1186,verb.consumption,needed
1187,1187,noun.act,replacing
1192,1192,verb.body,donning
1201,1201,noun.artifact,apron
1203,1203,noun.time,Sunday
1204,1204,noun.time,afternoon
1207,1208,verb.motion,going into
1210,1210,noun.artifact,backyard
1212,1212,verb.change,light
1214,1214,noun.artifact,grill
1218,1218,noun.artifact,kitchen
1221,1221,noun.attribute,way
1223,1223,verb.change,cooked
1225,1225,noun.food,meat
1230,1230,noun.location,middle
1233,1233,noun.attribute,red
1238,1238,verb.communication,make
1241,1241,verb.emotion,loving
1246,1246,verb.communication,asked
1252,1252,noun.quantity,number
1254,1254,noun.cognition,things
1258,1258,verb.communication,said
1265,1265,verb.social,do
1274,1274,verb.stative,matter
1278,1278,verb.emotion,wanted
1280,1280,verb.cognition,know
1283,1283,verb.stative,were
1288,1288,noun.act,sins
1294,1294,verb.communication,tell
1302,1302,noun.communication,question
1306,1306,verb.communication,said
1308,1308,verb.contact,stacking
1311,1311,noun.artifact,sheets
1314,1314,noun.artifact,basket
1316,1316,verb.contact,thrusting
1322,1322,noun.artifact,basket
1323,1323,verb.stative,was
1327,1327,verb.contact,took
1336,1336,verb.stative,been
1338,1338,noun.person,kids
1344,1344,verb.cognition,remember
1346,1346,noun.person,mother
1348,1348,noun.state,pregnancies
1353,1353,noun.time,year
1357,1357,verb.stative,was
1362,1362,verb.stative,turned
1363,1363,noun.quantity,ten
1367,1367,verb.cognition,suppose
1369,1369,verb.cognition,decided
1371,1371,verb.stative,was
1377,1377,noun.act,pregnancies
1378,1378,verb.stative,ended
1381,1381,noun.attribute,way
1389,1389,verb.perception,look
1396,1396,verb.stative,was
1401,1401,verb.stative,was
1405,1405,verb.cognition,knew
1409,1409,noun.person,baby
1414,1414,noun.substance,glass
1415,1415,verb.change,disappeared
1417,1417,noun.food,dinner
1422,1422,noun.substance,crystal
1424,1424,verb.consumption,filled
1427,1427,noun.quantity,fingers
1429,1429,noun.food,vodka
1431,1431,verb.contact,topped
1433,1433,noun.food,diet
1434,1435,noun.substance,tonic water
1438,1438,verb.cognition,knew
1440,1440,noun.person,baby
1441,1441,verb.stative,was
1446,1446,noun.artifact,glass
1447,1447,verb.change,reappeared
1450,1450,verb.stative,stopped
1451,1451,verb.communication,telling
1455,1455,noun.state,pregnancies
1459,1459,noun.event,miscarriage
1464,1464,verb.cognition,learned
1466,1466,verb.perception,notice
1472,1472,noun.artifact,cup
1473,1473,verb.change,disappeared
1475,1475,verb.cognition,understanding
1478,1478,noun.event,disappearance
1479,1479,verb.communication,meant
1483,1483,noun.person,baby
1489,1489,verb.stative,was
1497,1498,verb.communication,talk about
1500,1500,noun.state,pregnancies
1503,1503,noun.state,luck
1506,1506,verb.cognition,guess
1515,1515,noun.event,time
1517,1517,noun.substance,glass
1518,1518,verb.change,disappeared
1522,1523,verb.creation,make up
1524,1524,noun.communication,names
1526,1526,noun.communication,stories
1528,1528,verb.cognition,decide
1531,1531,verb.stative,was
1533,1533,noun.person,girl
1536,1536,noun.person,boy
1544,1544,noun.state,pregnancy
1548,1548,verb.stative,was
1550,1550,noun.time,years
1553,1553,verb.change,progressed
