COREF,start_token,end_token,prop,cat,text
40,4,5,PROP,PER,Alex Bertie
41,9,10,PROP,PER,Adam Lawrence
1,12,14,PROP,ORG,Hachette Book Group
101,34,34,NOM,PER,writers
102,36,36,NOM,PER,artists
103,44,44,PRON,PER,our
104,63,64,NOM,PER,the author
105,70,70,PRON,PER,you
105,93,93,PRON,PER,you
105,95,95,PRON,PER,your
104,98,99,NOM,PER,the author
2,105,105,PROP,GPE,Brown
1,108,110,PROP,ORG,Hachette Book Group
3,112,115,PROP,FAC,Avenue of the Americas
4,114,115,PROP,LOC,the Americas
5,117,118,PROP,GPE,New York
6,120,120,PROP,GPE,NY
103,123,123,PRON,PER,us
7,125,125,PROP,ORG,LBYR.com
42,131,131,PROP,PER,Wren
8,133,133,PROP,GPE,Rook
9,135,136,PROP,GPE,Great Britain
43,153,153,PROP,PER,Little
2,155,155,PROP,PER,Brown
107,157,157,NOM,PER,Company
108,159,164,NOM,ORG,a division of Hachette Book Group
1,162,164,PROP,ORG,Hachette Book Group
109,177,179,NOM,ORG,Hachette Book Group
110,182,183,NOM,PER,The publisher
111,191,191,PRON,PER,their
110,199,200,NOM,PER,the publisher
10,202,205,PROP,ORG,The Library of Congress
45,216,216,PROP,PER,Bertie
40,218,218,PROP,PER,Alex
113,221,221,NOM,PER,author
0,228,228,PRON,PER,my
40,234,235,PROP,PER,Alex Bertie
5,244,245,PROP,GPE,New York
43,247,247,PROP,PER,Little
2,249,249,PROP,GPE,Brown
11,251,251,PROP,GPE,Company
12,262,264,PROP,FAC,Wren & Rook
9,266,267,PROP,GPE,Great Britain
114,276,279,NOM,PER,Ages 12 and up
40,310,310,PROP,PER,Alex
115,314,315,NOM,PER,Transgender people
9,317,318,PROP,GPE,Great Britain
116,326,327,NOM,PER,Transgender youth
9,329,330,PROP,GPE,Great Britain
115,338,339,NOM,PER,Transgender people
13,392,396,PROP,GPE,the United States of America
14,408,408,PROP,GPE,YORK
15,409,409,PROP,GPE,BOSTON
0,450,450,PRON,PER,MY
0,455,455,PRON,PER,MY
0,468,468,PRON,PER,MY
118,500,500,PRON,PER,OUR
16,503,504,PROP,LOC,THE WORLD
0,510,510,PRON,PER,MY
119,515,516,NOM,PER,TRANS PEOPLE
0,536,536,PRON,PER,I
0,541,541,PRON,PER,my
120,541,542,NOM,PER,my dad
47,546,546,PROP,PER,Dad
0,551,551,PRON,PER,I
48,553,553,PROP,PER,Mum
0,558,558,PRON,PER,I
47,560,560,PRON,PER,you
118,566,566,PRON,PER,we
0,577,577,PRON,PER,I
0,581,581,PRON,PER,I
0,588,588,PRON,PER,I
47,591,591,PRON,PER,your
47,597,597,PRON,PER,you
0,599,599,PRON,PER,my
120,599,600,NOM,PER,my dad
0,602,602,PRON,PER,I
0,604,604,PRON,PER,I
47,613,613,PRON,PER,you
47,618,618,PRON,PER,you
0,622,622,PRON,PER,me
48,633,633,PROP,PER,Mum
0,637,637,PRON,PER,my
0,641,641,PRON,PER,I
0,663,663,PRON,PER,myself
0,671,671,PRON,PER,my
0,682,682,PRON,PER,I
0,687,687,PRON,PER,I
0,689,689,PRON,PER,myself
0,693,693,PRON,PER,I
122,702,703,NOM,PER,a girl
0,706,706,PRON,PER,me
123,712,712,NOM,PER,people
124,714,714,PRON,PER,she
124,721,721,PRON,PER,her
125,723,723,NOM,PER,daughter
126,725,725,NOM,PER,girls
0,730,730,PRON,PER,me
0,734,734,PRON,PER,I
0,743,743,PRON,PER,I
0,755,755,PRON,PER,I
127,764,765,NOM,PER,new people
0,771,771,PRON,PER,I
0,783,783,PRON,PER,my
0,790,790,PRON,PER,my
0,796,796,PRON,PER,I
0,801,801,PRON,PER,I
0,814,814,PRON,PER,my
128,814,816,NOM,PER,my own family
129,819,819,NOM,PER,someone
0,821,821,PRON,PER,me
130,823,824,NOM,PER,a boy
0,826,826,PRON,PER,I
0,828,828,PRON,PER,I
0,836,836,PRON,PER,I
0,847,847,PRON,PER,I
131,852,856,NOM,PER,a disgrace to our family
132,855,855,PRON,PER,our
133,855,856,NOM,PER,our family
0,877,877,PRON,PER,I
0,885,885,PRON,PER,I
0,895,895,PRON,PER,myself
0,899,899,PRON,PER,I
0,904,904,PRON,PER,I
