start_token,end_token,supersense_category,text
4,5,noun.person,Alex Bertie
7,7,noun.act,photography
9,10,noun.person,Adam Lawrence
15,15,verb.social,supports
17,17,noun.attribute,right
20,20,noun.communication,expression
23,23,noun.attribute,value
25,25,noun.communication,copyright
28,28,noun.cognition,purpose
30,30,noun.communication,copyright
31,31,verb.stative,is
33,33,verb.social,encourage
34,34,noun.person,writers
36,36,noun.person,artists
38,38,verb.creation,produce
41,41,noun.artifact,works
43,43,verb.change,enrich
45,45,noun.group,culture
48,48,noun.act,scanning
50,50,verb.possession,uploading
53,53,noun.act,distribution
56,56,noun.communication,book
58,58,noun.communication,permission
59,59,verb.stative,is
61,61,noun.act,theft
64,64,noun.person,author
67,67,noun.possession,property
72,72,verb.emotion,like
73,73,noun.communication,permission
75,75,verb.consumption,use
76,76,noun.communication,material
79,79,noun.communication,book
84,84,noun.cognition,review
85,85,noun.cognition,purposes
89,89,verb.communication,contact
92,93,noun.communication,Thank you
96,96,noun.act,support
99,99,noun.person,author
101,101,noun.attribute,rights
105,110,noun.group,Brown and Company Hachette Book Group
112,115,noun.location,Avenue of the Americas
117,118,noun.location,New York
120,120,noun.location,NY
125,126,noun.group,LBYR.com Originally
127,127,verb.creation,published
131,133,noun.group,Wren & Rook
135,136,noun.location,Great Britain
138,141,noun.group,First U.S. Hardcover Edition
143,143,noun.time,May
146,149,noun.group,U.S. Trade Paperback Edition
151,151,noun.time,May
155,157,noun.group,Brown and Company
158,158,verb.stative,is
160,160,noun.cognition,division
162,164,noun.group,Hachette Book Group
166,168,noun.group,Inc. The Little
170,170,noun.group,Brown
171,171,noun.communication,name
173,173,noun.communication,logo
175,175,noun.communication,trademarks
177,179,noun.group,Hachette Book Group
181,181,noun.group,Inc.
183,183,noun.group,publisher
188,188,noun.artifact,websites
192,192,noun.communication,content
197,197,verb.possession,owned
200,200,noun.group,publisher
203,205,noun.group,Library of Congress
207,207,verb.communication,cataloged
209,209,noun.artifact,hardcover
210,210,noun.communication,edition
214,214,noun.communication,Names
216,216,noun.person,Bertie
218,218,noun.person,Alex
221,221,noun.person,author
223,223,noun.communication,Title
226,226,noun.act,mission
229,229,noun.act,quest
232,232,noun.artifact,beard
234,235,noun.person,Alex Bertie
237,237,noun.communication,Description
241,241,noun.communication,edition
244,245,noun.location,New York
247,247,noun.person,Little
249,251,noun.group,Brown and Company
258,258,verb.creation,published
262,264,noun.group,Wren & Rook
266,267,noun.location,Great Britain
270,270,noun.communication,Title
271,271,noun.communication,verso
274,274,noun.group,Audience
281,281,noun.communication,Identifiers
288,288,noun.artifact,hardcover
294,294,noun.communication,ebook
300,301,noun.artifact,library edition
302,302,noun.communication,ebook
306,306,noun.person,LCSH
308,308,noun.person,Bertie
310,310,noun.person,Alex
315,315,noun.group,people
317,318,noun.location,Great Britain
320,320,noun.communication,Biography
323,323,noun.communication,literature
327,327,noun.person,youth
329,330,noun.location,Great Britain
332,332,noun.communication,Biography
335,335,noun.communication,literature
339,339,noun.group,people
341,341,noun.attribute,Identity
344,344,noun.communication,literature
346,346,noun.act,Classification
358,358,noun.communication,record
386,386,noun.quantity,7
388,388,noun.communication,ebook
393,394,noun.location,United States
396,397,noun.location,America LSC
399,399,noun.quantity,C
404,411,noun.group,BROWN AND COMPANY NEW YORK BOSTON CONTENTS PROLOGUE
420,427,noun.group,STRAIGHT CHILDHOOD 3 BECOMING A TEEN L| PUBERTY
448,451,noun.group,OUT TO MY FAMILY
460,462,noun.group,STEALTH AT COLLEGE
466,467,noun.group,SUPPORT STARTING
480,481,noun.substance,BOTTOM SURGERY
483,483,noun.act,DATING
489,489,noun.location,INTIMACY
492,492,noun.communication,VIDEOS
508,508,noun.communication,MESSAGE
533,533,noun.time,years
537,537,verb.possession,left
539,539,noun.communication,note
542,542,noun.person,dad
544,544,noun.artifact,desk
546,546,noun.person,Dad
552,552,verb.communication,wrote
553,553,noun.person,Mum
555,555,noun.communication,letter
559,559,verb.cognition,know
561,561,verb.cognition,read
568,569,verb.communication,spoke about
579,579,verb.emotion,wanted
583,583,verb.emotion,want
585,585,verb.stative,be
590,590,verb.consumption,need
592,592,noun.act,support
598,598,verb.stative,'re
600,600,noun.person,dad
603,603,verb.cognition,guess
609,609,noun.person,Scared
611,611,verb.communication,talking
620,621,verb.cognition,think of
631,631,noun.communication,letter
633,633,noun.person,Mum
634,634,verb.stative,was
638,638,noun.communication,gender
643,643,verb.communication,questioning
647,647,verb.stative,been
652,652,noun.time,years
658,658,verb.change,gets
661,661,verb.stative,live
665,665,verb.perception,having
668,668,noun.state,problem
669,669,verb.stative,hanging
672,672,noun.body,head
680,680,verb.stative,is
683,683,verb.body,feel
688,688,verb.perception,see
696,696,verb.emotion,felt
701,701,verb.stative,being
703,703,noun.person,girl
705,705,verb.change,makes
707,707,verb.body,cringe
709,709,verb.emotion,hurt
711,711,verb.perception,Hearing
712,712,noun.group,people
713,713,verb.communication,say
717,717,noun.time,Birth
718,718,noun.communication,name
723,723,noun.person,daughter
725,725,noun.person,girls
729,729,verb.change,makes
736,736,verb.cognition,find
740,740,verb.cognition,respond
744,744,verb.stative,'m
749,749,noun.feeling,pain
750,750,verb.stative,living
753,753,noun.body,body
756,756,verb.cognition,find
758,758,noun.cognition,idea
760,760,noun.act,swimming
761,761,verb.emotion,daunting
763,763,verb.social,meeting
765,765,noun.group,people
766,766,verb.stative,is
769,769,noun.feeling,fear
774,774,verb.possession,have
776,776,noun.cognition,confidence
778,778,verb.social,apply
781,781,noun.act,job
784,784,noun.time,period
785,785,verb.stative,is
788,788,noun.communication,reminder
791,791,noun.body,body
794,794,verb.stative,match
797,797,verb.stative,am
805,805,verb.communication,bear
807,807,noun.cognition,thought
809,810,verb.motion,going out
812,812,noun.group,public
816,816,noun.group,family
820,820,verb.cognition,mistakes
824,824,noun.person,boy
827,827,verb.emotion,wish
842,842,verb.communication,write
845,845,noun.communication,letter
848,848,verb.emotion,feel
853,853,noun.person,disgrace
856,856,noun.group,family
859,859,verb.stative,is
864,864,verb.change,happened
869,869,verb.stative,been
878,878,verb.communication,said
884,884,noun.time,years
888,888,verb.social,trying
890,891,verb.social,come to
892,892,verb.communication,terms
900,900,verb.cognition,accepted
902,902,noun.communication,fact
905,905,verb.stative,was
911,911,noun.feeling,feelings
913,913,verb.change,change
918,918,verb.cognition,know
921,921,verb.emotion,want
926,926,verb.cognition,see
928,928,noun.time,future
931,931,noun.attribute,way
935,935,verb.cognition,understand
938,938,verb.stative,is
945,945,verb.cognition,realize
949,949,verb.stative,be
955,955,verb.cognition,trust
961,961,verb.cognition,choose
962,962,verb.cognition,feeling
964,964,noun.attribute,way
971,971,verb.cognition,know
974,974,verb.stative,is
980,981,verb.cognition,sorted out
1000,1000,verb.change,happen
1003,1003,verb.stative,'m
1010,1010,verb.emotion,want
1013,1013,verb.emotion,worry
1016,1016,verb.emotion,want
1019,1019,verb.cognition,know
1022,1022,verb.stative,'m
1028,1028,verb.change,comes
1033,1033,noun.phenomenon,effect
1036,1036,verb.possession,have
1039,1039,noun.time,future
1046,1047,verb.communication,talk about
1055,1055,verb.cognition,expect
1058,1058,verb.change,change
1063,1063,verb.emotion,wanted
1066,1066,verb.cognition,know
1076,1076,verb.change,Frankensteined
1078,1078,noun.body,head
1083,1083,noun.body,body
1094,1094,verb.communication,screw
1102,1102,noun.communication,name
1104,1105,noun.person,Alex Bertie
1108,1108,verb.emotion,like
1109,1109,noun.communication,pugs
1111,1111,noun.food,doughnuts
1115,1116,noun.act,video games
1119,1119,verb.possession,have
1120,1120,noun.communication,tattoos
1123,1123,verb.creation,make
1124,1124,noun.communication,YouTube
1125,1125,noun.communication,videos
1129,1129,verb.body,sleep
1132,1132,noun.artifact,socks
1136,1136,verb.stative,'m
1143,1143,verb.stative,'s
1146,1146,noun.cognition,part
1148,1148,verb.social,throws
1149,1149,noun.group,people
1153,1153,verb.cognition,categorized
1156,1156,noun.person,girl
1158,1158,noun.time,birth
1160,1161,verb.cognition,identified as
1165,1165,verb.stative,was
1171,1171,verb.cognition,realized
1173,1173,verb.stative,was
1176,1176,noun.person,man
1179,1179,verb.change,makes
1181,1181,verb.perception,sound
1185,1185,verb.perception,had
1187,1188,noun.cognition,light bulb
1189,1189,noun.time,moment
1196,1196,verb.change,coming
1201,1201,noun.communication,identity
1202,1202,verb.communication,meant
1203,1203,noun.time,years
1205,1205,noun.state,confusion
1207,1207,noun.cognition,self
1209,1209,noun.feeling,hate
1214,1215,verb.change,came out
1224,1224,verb.change,make
1226,1226,verb.cognition,feel
1231,1231,noun.body,body
1234,1234,verb.cognition,decided
1236,1236,verb.change,transition
1243,1243,verb.stative,was
1246,1246,noun.act,process
1250,1250,verb.contact,seeking
1251,1251,noun.body,hormone
1252,1252,noun.act,replacement
1254,1254,verb.body,having
1255,1255,noun.act,surgery
1264,1264,verb.communication,told
1266,1266,noun.person,friends
1268,1268,noun.group,family
1271,1271,verb.change,changed
1273,1273,noun.communication,name
1280,1280,noun.location,center
1284,1284,noun.state,problems
1288,1288,noun.person,person
1289,1289,verb.stative,is
1290,1291,noun.body,body dysphoria
1297,1297,noun.motive,reason
1299,1299,verb.stative,needed
1301,1301,verb.change,transition
1304,1304,verb.stative,is
1306,1306,noun.cognition,feeling
1309,1309,noun.body,body
1316,1316,verb.stative,match
1318,1318,noun.communication,gender
1319,1319,noun.attribute,identity
1322,1322,noun.body,head
1325,1325,verb.stative,has
1327,1327,noun.communication,triggers
1329,1329,noun.state,dysphoria
1337,1337,verb.stative,were
1339,1339,noun.body,chest
1341,1341,noun.body,genitalia
1343,1343,noun.state,lack
1345,1345,noun.body,body
1346,1346,noun.body,hair
1349,1349,noun.attribute,voice
1351,1351,noun.body,face
1353,1353,noun.body,body
1354,1354,noun.attribute,shape
1357,1357,verb.perception,hearing
1360,1360,noun.communication,name
1364,1364,verb.communication,name
1372,1372,verb.perception,experienced
1377,1377,verb.cognition,think
1389,1389,noun.body,body
1394,1395,verb.social,deal with
1401,1401,verb.stative,being
1407,1407,noun.state,dysphoria
1408,1408,verb.stative,is
1413,1413,verb.emotion,disliking
1415,1415,noun.relation,part
1418,1418,noun.body,body
1421,1421,verb.stative,'s
1424,1424,noun.cognition,feeling
1426,1426,noun.cognition,self
1428,1428,noun.feeling,hate
1431,1431,noun.body,back
1434,1434,noun.body,brain
1437,1437,noun.event,times
1442,1442,verb.social,try
1444,1444,verb.change,suppress
1446,1446,verb.emotion,pacify
1454,1455,verb.contact,tucked away
1458,1458,noun.artifact,corner
1461,1461,noun.cognition,mind
1465,1465,verb.creation,triggers
1469,1469,verb.contact,punches
1473,1473,noun.body,face
1479,1480,verb.cognition,think about
1481,1481,verb.stative,is
1483,1483,noun.cognition,thing
1487,1487,verb.stative,is
1496,1496,verb.emotion,felt
1497,1497,verb.emotion,repulsed
1501,1501,noun.body,skin
1507,1507,noun.state,problem
1510,1510,verb.stative,'s
1513,1513,noun.body,skin
1518,1519,verb.motion,get out
1529,1529,verb.cognition,realize
1532,1532,verb.perception,sound
1539,1539,verb.communication,assure
1542,1542,noun.communication,story
1543,1543,verb.stative,is
1552,1552,noun.cognition,memories
1556,1556,verb.emotion,like
1558,1558,verb.communication,show
1564,1564,verb.competition,faced
1567,1567,noun.cognition,challenges
1570,1570,verb.stative,'m
1577,1577,verb.social,been
1583,1584,verb.motion,get out
1587,1587,noun.body,skin
1594,1594,verb.social,make
1597,1597,noun.phenomenon,changes
1603,1603,noun.time,years
1607,1607,verb.communication,told
1609,1609,noun.group,family
1611,1611,noun.person,friends
1615,1615,noun.attribute,identity
1617,1617,verb.change,changed
1619,1619,noun.communication,name
1621,1621,verb.social,battled
1623,1625,noun.artifact,health care system
1627,1627,verb.change,started
1628,1628,verb.body,taking
1630,1630,noun.animal,hormones
1633,1633,verb.body,had
1634,1634,noun.artifact,surgery
1637,1637,noun.body,chest
1642,1642,verb.stative,been
1645,1645,noun.act,ride
1649,1650,verb.body,wake up
1652,1652,verb.body,feeling
1657,1657,noun.body,body
1658,1658,verb.stative,is
1661,1661,noun.communication,blessing
1666,1666,verb.communication,lying
1669,1669,verb.communication,said
1672,1672,noun.attribute,transliness
1677,1677,verb.consumption,need
1679,1679,noun.communication,noun
1681,1681,verb.stative,being
1686,1686,verb.cognition,chosen
1688,1688,verb.consumption,use
1690,1690,noun.attribute,transliness
1693,1693,verb.stative,was
1697,1697,noun.quantity,deal
1703,1703,verb.stative,matter
1708,1708,noun.artifact,segment
1711,1711,noun.attribute,identity
1713,1713,verb.social,played
1716,1716,noun.act,part
1718,1718,verb.creation,shaping
1721,1721,verb.stative,am
1724,1724,noun.person,person
1729,1729,verb.change,become
1733,1733,noun.cognition,part
1739,1739,verb.creation,imagined
1744,1744,noun.time,years
1746,1746,noun.cognition,self
1748,1748,noun.act,discovery
1753,1753,verb.communication,uploading
1754,1754,noun.communication,videos
1757,1757,noun.time,life
1759,1759,noun.communication,YouTube
1762,1762,noun.communication,channel
1764,1764,verb.possession,gained
1767,1767,noun.group,following
1771,1771,verb.creation,imagined
1776,1776,verb.change,become
1778,1778,noun.cognition,passion
1780,1780,verb.possession,share
1782,1782,noun.act,transition
1783,1783,noun.communication,story
1788,1788,verb.communication,beat
1790,1790,noun.Tops,feeling
1792,1792,verb.perception,get
1796,1796,verb.motion,approached
1799,1799,verb.communication,saying
1801,1801,noun.communication,videos
1803,1803,verb.social,helped
1811,1811,noun.communication,YouTube
1812,1812,noun.state,life
1814,1814,verb.perception,experience
1825,1825,noun.person,dude
1826,1826,verb.social,working
1833,1833,noun.act,job
1835,1835,verb.social,trying
1837,1837,verb.stative,live
1839,1839,noun.time,life
1850,1850,noun.person,writer
1855,1855,verb.perception,had
1858,1858,noun.cognition,experiences
1863,1863,verb.emotion,like
1865,1865,noun.object,world
1867,1867,verb.cognition,know
1873,1873,noun.communication,information
1877,1877,verb.possession,find
1879,1879,noun.communication,TV
1880,1880,noun.communication,shows
1883,1883,noun.communication,news
1884,1884,noun.communication,articles
1887,1887,noun.group,people
1890,1890,verb.stative,'s
1893,1893,noun.communication,stuff
1896,1896,noun.feeling,emotions
1899,1899,noun.cognition,practicalities
1902,1902,noun.cognition,self
1904,1904,noun.feeling,doubt
1907,1907,noun.communication,stuff
1909,1909,verb.stative,ca
1911,1911,verb.contact,cram
1914,1914,noun.time,minutes
