COREF,start_token,end_token,prop,cat,text
96,44,46,PROP,PER,Little & Lion
97,56,56,PROP,PER,Brandy
0,110,110,PRON,PER,I
98,120,120,PRON,PER,I
98,127,128,PROP,PER,Bill Konigsberg
99,152,153,PROP,PER,Sara Farizan
97,223,223,PROP,PER,Colbert
1,240,241,PROP,GPE,Los Angeles
2075,265,270,NOM,PER,readers of all walks of life
2076,314,328,NOM,PER,"readers who like thoughtful , edgy stories with no easy answers . ” — VOYA"
97,334,334,PROP,PER,Colbert
100,336,336,PROP,PER,Suzette
2077,341,341,PRON,PER,her
101,344,344,PROP,PER,Lionel
101,355,355,PRON,PER,his
218,369,371,NOM,PER,The Horn Book
219,372,374,NOM,PER,little & LION
97,377,378,PROP,PER,Brandy Colbert
220,402,403,NOM,PER,the author
97,433,434,PROP,PER,Brandy Colbert
102,438,438,PROP,PER,Yvonne
103,451,452,PROP,PER,Erin Robinson
104,457,458,PROP,PER,Marcie Lawrence
2,465,467,PROP,ORG,Hachette Book Group
2,470,472,PROP,ORG,Hachette Book Group
221,492,492,NOM,PER,writers
222,494,494,NOM,PER,artists
223,502,502,PRON,PER,our
220,521,522,NOM,PER,the author
225,528,528,PRON,PER,you
225,551,551,PRON,PER,you
225,553,553,PRON,PER,your
220,556,557,NOM,PER,the author
105,563,563,PROP,PER,Brown
3,565,570,PROP,FAC,Company Hachette Book Group 1290 Avenue
4,572,573,PROP,LOC,the Americas
5,575,576,PROP,GPE,New York
6,578,579,PROP,FAC,NY 10104
223,581,581,PRON,PER,us
105,593,593,PROP,PER,Brown
2,615,617,PROP,FAC,Hachette Book Group
105,623,623,PROP,PER,Brown
2,630,632,PROP,PER,Hachette Book Group
8,634,634,PROP,GPE,Inc.
227,635,636,NOM,PER,The publisher
2,644,644,PRON,PER,their
227,652,653,NOM,PER,the publisher
9,655,658,PROP,ORG,The Library of Congress
97,669,669,PROP,PER,Colbert
97,671,671,PROP,PER,Brandy
229,673,673,NOM,PER,author
0,680,680,PRON,PER,I
97,682,683,PROP,PER,Brandy Colbert
5,697,698,PROP,GPE,New York
10,700,700,PROP,GPE,Boston
230,702,706,NOM,PER,"Little , Brown and Company"
100,714,714,PROP,PER,Suzette
2078,716,716,NOM,FAC,home
1,718,719,PROP,GPE,Los Angeles
2079,721,722,NOM,FAC,boarding school
2080,726,726,PRON,PER,her
2080,730,730,PRON,PER,she
2080,732,732,PRON,PER,her
2081,732,733,NOM,PER,her brother
101,734,734,PROP,PER,Lionel
2082,739,741,NOM,PER,the same girl
101,744,744,PROP,PER,Lionel
100,755,755,PROP,PER,Suzette
2080,758,758,PRON,PER,her
231,766,766,NOM,PER,publisher
232,796,796,NOM,PER,Brothers
233,798,798,NOM,PER,sisters
11,806,806,PROP,GPE,California
11,836,836,PROP,GPE,California
234,884,887,NOM,GPE,the United States of
12,888,888,PROP,GPE,America
107,897,897,PROP,PER,Lena
235,899,901,NOM,PER,the best person
236,903,906,NOM,PER,friend START OF BOOK
237,918,923,NOM,PER,the person who knows me best
0,922,922,PRON,PER,me
101,935,935,PROP,PER,Lionel
0,937,937,PRON,PER,me
0,939,939,PRON,PER,I
13,943,943,PROP,GPE,LAX
0,954,954,PRON,PER,my
238,954,955,NOM,PER,my brother
239,956,960,NOM,VEH,’s navy - blue sedan
0,972,972,PRON,PER,me
238,977,977,PRON,PER,he
0,984,984,PRON,PER,I
2078,996,996,NOM,FAC,home
238,1000,1000,PRON,PER,he
0,1004,1004,PRON,PER,my
0,1016,1016,PRON,PER,my
101,1025,1025,PROP,PER,Lionel
241,1028,1029,NOM,VEH,the car
0,1034,1034,PRON,PER,me
101,1036,1036,PRON,PER,he
0,1057,1057,PRON,PER,my
101,1061,1061,PRON,PER,I
101,1067,1067,PRON,PER,he
2083,1071,1072,NOM,FAC,The freeway
14,1088,1088,PROP,GPE,Avalon
15,1090,1090,PROP,GPE,Massachusetts
242,1092,1092,NOM,PER,People
242,1096,1096,PRON,PER,their
242,1099,1099,PRON,PER,They
243,1108,1108,NOM,PER,neighbors
243,1110,1110,PRON,PER,their
244,1110,1111,NOM,VEH,their Volvos
245,1115,1121,NOM,FAC,the middle of tree - lined streets
246,1118,1121,NOM,FAC,tree - lined streets
247,1125,1125,NOM,PER,friends
248,1129,1130,NOM,FAC,the road
249,1132,1134,NOM,PER,no one else
16,1138,1138,PROP,GPE,L.A.
250,1139,1139,NOM,PER,drivers
250,1143,1143,PRON,PER,their
0,1156,1156,PRON,PER,I
101,1161,1161,PROP,PER,Lionel
0,1163,1163,PRON,PER,my
0,1177,1177,PRON,PER,me
0,1189,1189,PRON,PER,me
101,1192,1192,PRON,PER,his
0,1195,1195,PRON,PER,I
251,1201,1201,NOM,PER,strangers
0,1203,1203,PRON,PER,I
0,1208,1208,PRON,PER,I
101,1210,1210,PRON,PER,he
101,1215,1215,PRON,PER,he
252,1225,1225,PRON,PER,our
253,1225,1226,NOM,FAC,our house
101,1231,1231,PRON,PER,his
254,1231,1232,NOM,VEH,his car
0,1245,1245,PRON,PER,I
2078,1255,1255,NOM,FAC,home
101,1260,1260,PROP,PER,Lionel
0,1281,1281,PRON,PER,I
2078,1283,1283,NOM,FAC,home
0,1292,1292,PRON,PER,you
96,1294,1294,PROP,PER,Little
101,1297,1297,PRON,PER,he
101,1303,1303,PRON,PER,he
0,1316,1316,PRON,PER,my
0,1326,1326,PRON,PER,My
238,1326,1327,NOM,PER,My brother
0,1329,1329,PRON,PER,me
100,1330,1330,PROP,PER,Suzette
238,1333,1333,PRON,PER,he
0,1339,1339,PRON,PER,I
238,1343,1343,PRON,PER,he
0,1351,1351,PRON,PER,I
0,1356,1356,PRON,PER,I
238,1364,1364,PRON,PER,him
0,1371,1371,PRON,PER,I
17,1376,1377,PROP,LOC,East Coast
0,1382,1382,PRON,PER,I
238,1386,1386,PRON,PER,his
0,1417,1417,PRON,PER,I
238,1427,1427,PRON,PER,He
0,1430,1430,PRON,PER,me
238,1435,1435,PRON,PER,his
2084,1441,1441,PRON,PER,They
0,1445,1445,PRON,PER,you
0,1448,1448,PRON,PER,You
0,1454,1454,PRON,PER,you
0,1459,1459,PRON,PER,My
0,1470,1470,PRON,PER,my
258,1487,1502,NOM,PER,the girl who put the needle through my nose at the only tattoo parlor in Avalon
0,1494,1494,PRON,PER,my
259,1497,1502,NOM,FAC,the only tattoo parlor in Avalon
14,1502,1502,PROP,GPE,Avalon
0,1506,1506,PRON,PER,you
238,1511,1511,PRON,PER,He
238,1515,1515,PRON,PER,his
0,1529,1529,PRON,PER,you
238,1532,1532,PRON,PER,I
108,1537,1537,PROP,PER,Nadine
108,1541,1541,PROP,PER,Nadine
108,1546,1546,PRON,PER,She
0,1548,1548,PRON,PER,my
260,1548,1549,NOM,PER,my mother
108,1551,1551,PRON,PER,she
101,1555,1555,PROP,PER,Lionel
261,1555,1557,NOM,PER,Lionel ’s father
109,1559,1559,PROP,PER,Saul
0,1562,1562,PRON,PER,I
96,1566,1566,PROP,PER,Lion
262,1570,1570,PRON,PER,we
101,1577,1577,PROP,PER,Lionel
0,1579,1579,PRON,PER,I
263,1582,1583,NOM,PER,each other
264,1584,1584,NOM,PER,brother
265,1586,1586,NOM,PER,sister
266,1593,1594,NOM,PER,some people
101,1599,1599,PRON,PER,he
0,1603,1603,PRON,PER,I
262,1608,1608,PRON,PER,we
267,1614,1615,NOM,PER,best friends
262,1618,1618,PRON,PER,our
2079,1627,1628,NOM,ORG,boarding school
242,1640,1640,NOM,PER,people
269,1643,1649,NOM,PER,a sturdy man wearing a fluorescent vest
270,1659,1662,NOM,FAC,the lanes surrounding us
262,1662,1662,PRON,PER,us
262,1665,1665,PRON,PER,We
262,1668,1668,PRON,PER,our
241,1672,1673,NOM,VEH,the car
101,1681,1681,PROP,PER,Lionel
262,1684,1684,PRON,PER,us
2086,1704,1705,NOM,PER,The parents
262,1709,1709,PRON,PER,us
101,1712,1712,PRON,PER,he
101,1717,1717,PRON,PER,I
0,1722,1722,PRON,PER,you
0,1737,1737,PRON,PER,I
0,1744,1744,PRON,PER,my
0,1759,1759,PRON,PER,I
101,1779,1779,PRON,PER,he
0,1781,1781,PRON,PER,my
272,1781,1784,NOM,VEH,my favorite taco truck
0,1786,1786,PRON,PER,I
0,1789,1789,PRON,PER,my
273,1793,1795,NOM,PER,People back East
18,1795,1795,PROP,GPE,East
0,1799,1799,PRON,PER,I
11,1804,1804,PROP,GPE,California
0,1807,1807,PRON,PER,I
0,1817,1817,PRON,PER,I
0,1819,1819,PRON,PER,my
274,1819,1820,NOM,PER,my family
0,1835,1835,PRON,PER,I
109,1843,1843,PROP,PER,Saul
110,1845,1846,PROP,PER,Barry Manilow
109,1849,1849,PRON,PER,he
0,1853,1853,PRON,PER,I
0,1865,1865,PRON,PER,I
0,1890,1890,PRON,PER,I
275,1902,1903,NOM,PER,nobody here
276,1909,1910,NOM,PER,anyone else
277,1925,1925,PRON,PER,your
96,1931,1931,PRON,PER,you
0,1934,1934,PRON,PER,I
96,1940,1940,PROP,PER,Lion
96,1942,1942,PRON,PER,His
96,1954,1954,PRON,PER,he
111,1958,1958,PROP,PER,Healthy
96,1960,1960,PRON,PER,His
0,1967,1967,PRON,PER,I
0,1970,1970,PRON,PER,I
101,1977,1977,PROP,PER,Lionel
0,1978,1978,PRON,PER,I
0,1984,1984,PRON,PER,I
101,1993,1993,PRON,PER,he
0,2016,2016,PRON,PER,You
0,2026,2026,PRON,PER,I
101,2028,2028,PRON,PER,him
101,2038,2038,PRON,PER,he
101,2053,2053,PRON,PER,his
278,2053,2054,NOM,FAC,his closet
0,2056,2056,PRON,PER,I
0,2058,2058,PRON,PER,my
0,2069,2069,PRON,PER,I
2087,2073,2073,PRON,PER,yours
101,2076,2076,PRON,PER,He
101,2078,2078,PRON,PER,his
0,2086,2086,PRON,PER,my
0,2090,2090,PRON,PER,I
0,2093,2093,PRON,PER,I
101,2099,2099,PRON,PER,his
101,2105,2105,PRON,PER,I
0,2121,2121,PRON,PER,I
101,2134,2134,PROP,PER,Lionel
19,2138,2139,PROP,FAC,La Cienega
101,2146,2146,PRON,PER,his
0,2153,2153,PRON,PER,you
279,2159,2161,NOM,FAC,the same house
280,2169,2171,NOM,PER,a big reader
101,2174,2174,PROP,PER,Lionel
281,2182,2182,NOM,FAC,libraries
282,2184,2184,NOM,FAC,bookstores
0,2191,2191,PRON,PER,me
0,2193,2193,PRON,PER,I
20,2196,2197,PROP,FAC,Dinsmore Hall
0,2202,2202,PRON,PER,me
0,2204,2204,PRON,PER,my
238,2204,2205,NOM,PER,my brother
0,2215,2215,PRON,PER,I
0,2221,2221,PRON,PER,I
0,2225,2225,PRON,PER,I
238,2243,2243,PRON,PER,He
0,2245,2245,PRON,PER,me
21,2251,2254,PROP,LOC,the Cuckoo ’s Nest
0,2261,2261,PRON,PER,I
0,2269,2269,PRON,PER,my
284,2269,2270,NOM,FAC,my closet
0,2278,2278,PRON,PER,my
96,2282,2282,PROP,PER,Lion
0,2294,2294,PRON,PER,me
238,2296,2296,PRON,PER,he
238,2309,2309,PRON,PER,him
0,2312,2312,PRON,PER,I
238,2323,2323,PRON,PER,You
0,2332,2332,PRON,PER,I
0,2336,2336,PRON,PER,I
0,2340,2340,PRON,PER,I
238,2348,2348,PRON,PER,He
0,2380,2380,PRON,PER,I
0,2387,2387,PRON,PER,I
0,2390,2390,PRON,PER,my
238,2390,2391,NOM,PER,my brother
0,2394,2394,PRON,PER,I
286,2409,2412,NOM,PER,a girl named Iris
112,2412,2412,PROP,PER,Iris
0,2420,2420,PRON,PER,you
238,2433,2433,PRON,PER,he
101,2443,2443,PROP,PER,Lionel
0,2451,2451,PRON,PER,I
0,2460,2460,PRON,PER,I
238,2466,2466,PRON,PER,him
0,2475,2475,PRON,PER,my
238,2489,2489,PRON,PER,him
0,2494,2494,PRON,PER,I
238,2498,2498,PRON,PER,him
0,2506,2506,PRON,PER,I
238,2508,2508,PRON,PER,he
0,2511,2511,PRON,PER,I
238,2517,2517,PRON,PER,him
238,2519,2519,PRON,PER,He
0,2525,2525,PRON,PER,me
0,2529,2529,PRON,PER,you
0,2539,2539,PRON,PER,I
0,2543,2543,PRON,PER,I
0,2545,2545,PRON,PER,my
11,2553,2553,PROP,GPE,California
0,2556,2556,PRON,PER,my
0,2560,2560,PRON,PER,I
0,2566,2566,PRON,PER,you
0,2569,2569,PRON,PER,you
0,2578,2578,PRON,PER,you
96,2591,2591,PROP,PER,Little
238,2594,2594,PRON,PER,he
238,2606,2606,PRON,PER,I
241,2610,2611,NOM,VEH,The car
0,2629,2629,PRON,PER,I
0,2632,2632,PRON,PER,my
288,2638,2638,PRON,PER,we
288,2640,2640,PRON,PER,our
289,2643,2648,NOM,LOC,the west side of the city
290,2647,2648,NOM,GPE,the city
0,2656,2656,PRON,PER,I
0,2662,2662,PRON,PER,I
2078,2664,2664,NOM,FAC,home
113,2666,2667,PROP,PER,Hug DeeDee
101,2672,2672,PROP,PER,Lionel
0,2682,2682,PRON,PER,I
101,2686,2686,PRON,PER,he
101,2691,2691,PRON,PER,he
0,2696,2696,PRON,PER,I
101,2700,2700,PRON,PER,he
0,2706,2706,PRON,PER,I
15,2712,2712,PROP,GPE,Massachusetts
0,2717,2717,PRON,PER,I
0,2733,2733,PRON,PER,My
288,2739,2739,PRON,PER,we
292,2742,2744,NOM,VEH,the taco truck
0,2747,2747,PRON,PER,I
293,2759,2759,NOM,FAC,parking
16,2771,2771,PROP,GPE,L.A.
288,2774,2774,PRON,PER,we
101,2785,2785,PROP,PER,Lionel
294,2788,2789,NOM,FAC,the space
288,2791,2791,PRON,PER,we
241,2794,2795,NOM,VEH,the car
296,2811,2812,NOM,FAC,the sidewalk
297,2825,2826,NOM,VEH,the truck
101,2843,2843,PROP,PER,Lionel
288,2845,2845,PRON,PER,our
288,2849,2849,PRON,PER,we
101,2855,2855,PRON,PER,his
254,2855,2856,NOM,VEH,his car
0,2858,2858,PRON,PER,I
101,2879,2879,PROP,PER,Lionel
288,2890,2890,PRON,PER,us
288,2893,2893,PRON,PER,we
0,2907,2907,PRON,PER,I
101,2912,2912,PROP,PER,Lionel
101,2918,2918,PRON,PER,his
101,2926,2926,PRON,PER,me
0,2931,2931,PRON,PER,I
0,2942,2942,PRON,PER,my
101,2955,2955,PRON,PER,I
101,2971,2971,PRON,PER,you
22,2977,2977,PROP,GPE,England
96,2981,2981,PROP,PER,Lion
96,2984,2984,PRON,PER,his
0,2996,2996,PRON,PER,my
96,2999,2999,PRON,PER,He
260,3018,3018,PRON,PER,me
0,3026,3026,PRON,PER,My
260,3026,3027,NOM,PER,My mother
288,3030,3030,PRON,PER,we
288,3034,3034,PRON,PER,our
288,3040,3040,PRON,PER,we
288,3043,3043,PRON,PER,our
0,3049,3049,PRON,PER,me
2078,3054,3054,NOM,FAC,home
0,3057,3057,PRON,PER,myself
260,3059,3059,PRON,PER,her
0,3070,3070,PRON,PER,me
0,3079,3079,PRON,PER,I
260,3082,3082,PRON,PER,she
0,3084,3084,PRON,PER,me
