start_token,end_token,supersense_category,text
2,2,noun.communication,PRAISE
6,8,noun.group,Lion A Stonewall
47,47,verb.stative,is
56,56,noun.person,Brandy
58,58,noun.attribute,ability
60,60,verb.possession,find
62,62,noun.communication,meaning
65,65,noun.time,moments
66,66,verb.stative,is
67,67,noun.quantity,nothing
81,82,noun.location,New York
83,83,noun.group,Times
85,85,noun.person,author
92,92,verb.stative,is
96,96,noun.communication,novel
103,104,noun.location,Mw York
107,107,noun.person,author
114,114,verb.stative,is
116,116,noun.communication,book
119,119,noun.person,protagonist
123,123,verb.cognition,remember
127,128,noun.person,Bill Konigsberg
133,133,noun.person,author
142,142,noun.communication,book
146,146,noun.feeling,love
148,148,noun.attribute,courage
152,153,noun.person,Sara Farizan
155,155,noun.person,author
157,157,verb.communication,Tell
164,164,verb.emotion,Feel
170,170,noun.communication,novel
171,171,verb.change,teems
174,174,noun.attribute,depth
177,177,verb.stative,is
179,179,verb.stative,balanced
181,181,noun.state,romance
185,185,noun.state,freedom
187,187,noun.time,summer
194,194,noun.communication,review
201,201,noun.communication,exploration
204,204,noun.cognition,challenges
206,207,verb.social,growing up
211,211,noun.attribute,nature
213,213,noun.attribute,loyalty
220,220,noun.communication,review
223,223,noun.person,Colbert
225,225,verb.communication,confronts
226,226,noun.cognition,misconceptions
228,229,noun.state,mental illness
231,231,noun.attribute,bisexuality
235,235,noun.attribute,identity
240,241,noun.location,Los Angeles
249,249,noun.act,review
254,254,noun.artifact,threads
256,256,noun.feeling,love
258,258,noun.state,romance
261,261,verb.social,redefining
262,262,noun.group,family
263,263,noun.state,life
265,265,noun.person,readers
268,270,noun.cognition,walks of life
272,272,verb.possession,find
274,275,noun.communication,entry point
278,278,noun.communication,title
286,286,noun.communication,review
294,294,noun.communication,examination
296,296,noun.attribute,secrecy
298,298,noun.attribute,trust
301,301,noun.attribute,intimacy
305,306,noun.group,Publishers Weekly
314,314,noun.person,readers
316,316,verb.emotion,like
320,320,noun.communication,stories
324,324,noun.communication,answers
332,332,noun.attribute,honesty
334,334,noun.person,Colbert
335,335,verb.creation,portrays
336,336,noun.person,Suzette
339,339,noun.cognition,understanding
342,342,noun.attribute,sexuality
344,344,noun.person,Lionel
346,346,noun.feeling,longing
348,348,noun.cognition,self
350,350,noun.state,sufficiency
353,353,noun.cognition,challenges
356,357,noun.state,mental illness
361,361,noun.act,difficulty
363,363,verb.change,shifting
365,365,noun.Tops,relationships
374,374,noun.person,LION
377,381,noun.group,Brandy Colbert Pointe Finding Yvonne
383,383,noun.communication,book
384,384,verb.stative,is
386,386,noun.artifact,work
388,388,noun.communication,fiction
390,390,noun.communication,Names
392,392,noun.communication,characters
394,394,noun.location,places
397,397,noun.event,incidents
398,398,verb.stative,are
400,400,noun.artifact,product
403,403,noun.person,author
405,405,noun.cognition,imagination
408,408,verb.consumption,used
412,412,noun.attribute,resemblance
415,415,noun.event,events
417,417,noun.communication,locales
420,420,noun.person,persons
422,422,verb.stative,living
426,426,verb.stative,is
429,429,noun.communication,Copyright
433,434,noun.person,Brandy Colbert
439,439,noun.communication,copyright
443,444,noun.person,Brandy Colbert
446,446,noun.artifact,art
451,452,noun.person,Erin Robinson
454,454,noun.artifact,Cover
455,455,noun.act,design
457,458,noun.person,Marcie Lawrence
461,461,noun.communication,copyright
465,467,noun.group,Hachette Book Group
469,472,noun.group,Inc. Hachette Book Group
473,473,verb.social,supports
475,475,noun.attribute,right
477,478,noun.communication,free expression
481,481,noun.attribute,value
483,483,noun.communication,copyright
486,486,noun.cognition,purpose
488,488,noun.communication,copyright
489,489,verb.stative,is
491,491,verb.social,encourage
492,492,noun.person,writers
494,494,noun.person,artists
496,496,verb.creation,produce
499,499,noun.artifact,works
501,501,verb.change,enrich
503,503,noun.group,culture
506,506,noun.act,scanning
508,508,noun.communication,uploading
511,511,noun.communication,distribution
514,514,noun.communication,book
516,516,noun.communication,permission
517,517,verb.stative,is
519,519,noun.act,theft
522,522,noun.person,author
524,525,noun.possession,intellectual property
530,530,verb.emotion,like
531,531,noun.communication,permission
533,533,verb.consumption,use
534,534,noun.communication,material
537,537,noun.communication,book
542,542,noun.cognition,review
543,543,noun.cognition,purposes
547,547,verb.communication,contact
550,551,noun.communication,Thank you
554,554,noun.act,support
557,557,noun.person,author
559,559,noun.attribute,rights
563,568,noun.group,Brown and Company Hachette Book Group
570,573,noun.location,Avenue of the Americas
575,576,noun.location,New York
578,578,noun.location,NY
580,581,noun.location,Visit us
585,585,verb.creation,published
589,589,noun.communication,ebook
604,604,noun.time,July
608,610,noun.group,Brown and Company
611,611,verb.stative,is
613,613,noun.cognition,division
615,617,noun.group,Hachette Book Group
619,621,noun.group,Inc. The Little
623,623,noun.person,Brown
624,624,noun.communication,name
626,626,noun.communication,logo
627,627,verb.stative,are
628,628,noun.communication,trademarks
630,632,noun.group,Hachette Book Group
636,636,noun.group,publisher
637,637,verb.stative,is
641,641,noun.artifact,websites
645,645,noun.communication,content
648,648,verb.stative,are
650,650,verb.possession,owned
653,653,noun.group,publisher
656,658,noun.group,Library of Congress
660,660,verb.communication,cataloged
662,662,noun.communication,hardcover
663,663,noun.communication,edition
667,667,noun.communication,Names
671,671,noun.person,Brandy
673,673,noun.person,author
675,675,noun.communication,Title
686,686,noun.communication,titles
694,694,noun.communication,edition
697,698,noun.location,New York
700,700,noun.location,Boston
702,702,noun.person,Little
704,706,noun.group,Brown and Company
711,711,noun.communication,Summary
714,714,noun.person,Suzette
715,716,verb.motion,returns home
718,719,noun.location,Los Angeles
721,722,noun.group,boarding school
724,724,verb.emotion,grapples
728,728,noun.attribute,identity
733,733,noun.person,brother
734,734,noun.person,Lionel
735,737,verb.change,fall in love
741,741,noun.person,girl
743,743,verb.motion,pushing
744,744,noun.person,Lionel
746,747,noun.state,bipolar disorder
749,749,verb.motion,spin
752,752,noun.attribute,control
754,754,verb.communication,forcing
755,755,noun.person,Suzette
757,757,verb.competition,confront
760,760,noun.feeling,demons
766,766,noun.group,publisher
768,768,noun.communication,Identifiers
770,770,noun.group,LCCN
776,776,noun.artifact,hardcover
782,782,noun.communication,ebook
788,788,noun.communication,edition
789,789,noun.communication,ebook
791,791,noun.communication,Subjects
794,794,noun.group,CYAC
796,796,noun.person,Brothers
798,798,noun.person,sisters
800,800,noun.communication,Fiction
804,804,noun.state,life
806,806,noun.location,California
808,808,noun.communication,Fiction
817,817,noun.state,Bisexuality
819,819,noun.communication,Fiction
825,825,noun.state,illness
830,831,noun.state,Mental illness
833,833,noun.communication,Fiction
836,836,noun.location,California
840,840,noun.group,Classification
842,842,noun.group,LCC
849,850,noun.group,Fic]—dc23 LC
851,851,noun.communication,record
867,867,noun.communication,paperback
878,878,noun.quantity,0
880,880,noun.communication,ebook
882,882,verb.creation,Printed
885,886,noun.location,United States
887,892,noun.group,of America LSC - H Printing
901,901,noun.person,person
903,903,noun.person,friend
913,913,verb.stative,be
917,917,verb.perception,seeing
919,919,noun.person,person
921,921,verb.cognition,knows
928,928,noun.time,year
931,931,verb.stative,been
935,935,noun.person,Lionel
941,941,verb.contact,standing
943,943,noun.location,LAX
949,949,noun.time,afternoon
952,952,noun.time,June
955,955,noun.person,brother
960,960,noun.artifact,sedan
961,961,verb.motion,screeches
964,964,noun.location,halt
967,967,noun.quantity,feet
970,970,noun.relation,Part
975,975,verb.cognition,mind
980,980,noun.time,minutes
985,985,verb.stative,needed
986,986,noun.time,time
988,988,verb.change,get
992,992,noun.cognition,idea
994,994,verb.stative,being
996,996,noun.location,home
1005,1005,noun.body,heart
1007,1007,verb.motion,thumping
1013,1013,verb.motion,jump
1017,1017,noun.body,mouth
1023,1023,verb.motion,go
1025,1025,noun.person,Lionel
1026,1026,verb.motion,bolts
1029,1029,noun.artifact,car
1032,1032,verb.perception,looks
1037,1037,verb.change,starts
1038,1038,verb.perception,rummaging
1042,1042,noun.plant,trunk
1044,1045,verb.motion,shoving aside
1047,1047,noun.substance,plastic
1048,1048,noun.artifact,crate
