COREF,start_token,end_token,prop,cat,text
143,2,4,PROP,PER,SARAH J. MAAS
1,6,10,PROP,FAC,COURT OF THORNS AND ROSES
143,13,13,PROP,PER,Maas
1,15,15,PRON,PER,her
6537,22,22,NOM,PER,people
6538,25,25,NOM,PER,someone
1,28,28,PRON,PER,her
6537,30,30,PRON,PER,they
6537,38,38,PRON,PER,them
144,47,48,PROP,PER,Christina Lauren
2,63,63,PROP,GPE,York
145,67,68,PROP,PER,Sarah MacLean
6539,149,156,NOM,PER,"fans of dark , lush , sexy fantasy"
469,187,197,NOM,FAC,THE COURT OF THORNS AND ROSES SERIES A Court of Thorns
3,199,199,PROP,GPE,Roses
470,200,228,NOM,GPE,A Court of Mist and Fury A Court of Wings and Ruin A Court of Frost and Starlight A Court of Silver Flames A Court of Thorns and Roses
471,235,248,NOM,PER,House of Earth and Blood House of Sky and Breath THE THRONE OF GLASS
472,250,277,NOM,GPE,The Assassins Blade Throne of Glass Crown of Midnight Heir of Fire Queen of Shadows Empire of Storms Tower of Dawn Kingdom of Ash The Throne of Glass
473,280,292,NOM,GPE,"BLOOMSBURY PUBLISHING Bloomsbury Publishing Inc. 1385 Broadway , New York , NY 10018"
4,294,294,PROP,GPE,USA
5,296,297,PROP,FAC,Earlsfort Terrace
6,299,299,PROP,GPE,Dublin
7,302,303,PROP,GPE,Ireland BLOOMSBURY
474,321,323,NOM,GPE,the United States
146,332,334,PROP,PER,Sarah J. Maas
147,340,342,PROP,PER,Kelly de Groot
475,390,391,NOM,PER,the publishers
148,393,395,PROP,PER,Bloomsbury Publishing Pic
476,436,437,NOM,PER,The author
477,439,439,NOM,PER,publisher
8,525,526,PROP,GPE,Great Britain
478,528,532,NOM,ORG,CPI ( UK ) Ltd
9,534,534,PROP,GPE,Croydon
479,543,543,PRON,PER,our
480,543,544,NOM,PER,our authors
479,554,554,PRON,PER,our
10,560,560,PROP,GPE,Bloomsbury
149,588,588,PROP,PER,Josh
150,590,590,PROP,PER,Annie
11,599,610,PROP,FAC,A COURT OF WINGS AND RUIN Sarah J. Mass START OF BOOK
481,633,635,NOM,LOC,The killing field
482,694,694,PRON,PER,They
0,704,704,PRON,PER,I
0,706,706,PRON,PER,my
483,709,713,NOM,LOC,the once - grassy plain
0,730,730,PRON,PER,my
0,735,735,PRON,PER,my
0,744,744,PRON,PER,My
0,757,757,PRON,PER,I
484,765,768,NOM,PER,the mortals beside me
0,768,768,PRON,PER,me
479,781,781,PRON,PER,We
12,787,787,PROP,GPE,Ravennia
485,787,789,NOM,PER,Ravennia ’s legions
479,795,795,PRON,PER,we
0,802,802,PRON,PER,I
0,809,809,PRON,PER,my
486,809,810,NOM,PER,my father
0,813,813,PRON,PER,I
0,815,815,PRON,PER,I
479,829,829,PRON,PER,our
487,835,840,NOM,FAC,The keep looming at my back
0,839,839,PRON,PER,my
488,848,852,NOM,FAC,the SARAH J. MAAS Loyalists
487,857,857,PRON,FAC,its
489,860,864,NOM,LOC,the heart of the continent
490,863,864,NOM,LOC,the continent
487,870,870,PRON,FAC,it
491,874,884,NOM,FAC,the forges that smoldered day and night on its western side
487,882,882,PRON,FAC,its
479,889,889,PRON,PER,our
492,889,890,NOM,PER,our forces
493,895,896,NOM,FAC,those forges
0,906,906,PRON,PER,me
0,908,908,PRON,PER,I
494,916,917,NOM,PER,the dead
0,919,919,PRON,PER,I
495,925,936,NOM,PER,any soldiers who could stomach it to claim weapons from either army
496,935,936,NOM,PER,either army
479,938,938,PRON,PER,We
497,940,940,PRON,PER,them
498,964,965,NOM,FAC,the battlefield
499,983,985,NOM,PER,The Loyalist army
499,993,993,PRON,PER,their
0,999,999,PRON,PER,I
500,1019,1019,PRON,PER,his
501,1023,1024,NOM,PER,The rider
502,1030,1031,NOM,PER,the man
503,1057,1058,NOM,GPE,The kingdoms
503,1063,1063,PRON,PER,their
504,1063,1065,NOM,PER,their human slaves
503,1072,1072,PRON,PER,they
479,1084,1084,PRON,PER,We
503,1096,1096,PRON,PER,they
