start_token,end_token,supersense_category,text
2,4,noun.group,SARAH J. MAAS
6,8,noun.group,COURT OF THORNS
11,11,noun.communication,SERIES
13,13,noun.person,Maas
14,14,verb.change,transcends
16,16,noun.cognition,genre
22,22,noun.group,people
23,23,verb.communication,ask
27,27,verb.cognition,read
31,31,verb.communication,ask
33,33,noun.communication,book
34,34,verb.change,started
42,43,noun.location,New York
46,46,noun.person,author
47,48,noun.person,Christina Lauren
62,64,noun.group,New York Times
66,66,noun.person,author
67,68,noun.person,Sarah MacLean
81,81,verb.emotion,dazzles
88,88,noun.act,review
103,103,noun.communication,Suspense
105,105,noun.state,romance
107,107,noun.feeling,intrigue
109,109,noun.act,action
112,112,verb.stative,is
115,115,noun.communication,book
135,135,noun.event,feast
138,138,noun.cognition,senses
142,142,noun.location,USA
147,147,noun.location,spot
149,149,noun.person,fans
156,156,noun.cognition,fantasy
167,167,noun.communication,read
171,172,noun.group,Publishers Weekly
203,203,noun.substance,Mist
213,213,noun.location,Court
215,215,noun.substance,Frost
219,219,noun.location,Court
221,222,noun.substance,Silver Flames
229,230,noun.substance,Coloring Book
232,233,noun.location,CRESCENT CITY
235,236,noun.location,House of
237,237,noun.substance,Earth
239,240,noun.substance,Blood House
244,244,noun.substance,Breath
251,252,noun.substance,Assassins Blade
253,253,noun.artifact,Throne
255,255,noun.substance,Glass
258,259,noun.substance,Midnight Heir
261,262,noun.substance,Fire Queen
264,265,noun.substance,Shadows Empire
267,268,noun.location,Storms Tower
270,271,noun.location,Dawn Kingdom
273,273,noun.location,Ash
275,276,noun.location,Throne of
277,284,noun.group,Glass Coloring Book BLOOMSBURY PUBLISHING Bloomsbury Publishing Inc.
286,286,noun.location,Broadway
288,289,noun.location,New York
291,291,noun.location,NY
294,294,noun.location,USA
296,297,noun.location,Earlsfort Terrace
299,299,noun.location,Dublin
302,303,noun.location,Ireland BLOOMSBURY
305,306,noun.location,BLOOMSBURY PUBLISHING
311,311,noun.communication,logo
312,312,verb.stative,are
313,313,noun.communication,trademarks
315,317,noun.group,Bloomsbury Publishing Pic
319,319,verb.creation,published
322,323,noun.location,United States
326,326,noun.communication,paperback
327,327,noun.communication,edition
328,328,verb.social,published
332,334,noun.person,Sarah J. Maas
338,338,noun.communication,copyright
340,342,noun.person,Kelly de Groot
350,350,noun.relation,part
353,353,noun.communication,publication
356,356,verb.contact,reproduced
358,358,verb.contact,transmitted
361,361,noun.communication,form
371,371,verb.stative,including
372,372,verb.contact,photocopying
374,374,noun.artifact,recording
378,378,noun.communication,information
379,379,noun.artifact,storage
381,382,noun.artifact,retrieval system
386,386,noun.communication,permission
391,391,noun.person,publishers
398,398,verb.possession,have
400,400,noun.relation,control
404,404,noun.act,responsibility
410,410,noun.group,party
411,411,noun.artifact,websites
412,412,verb.communication,referred
417,417,noun.communication,book
421,421,noun.location,addresses
422,422,verb.possession,given
425,425,noun.communication,book
426,426,verb.stative,were
430,430,noun.event,time
432,433,verb.motion,going to
434,434,noun.group,press
437,437,noun.person,author
439,439,noun.person,publisher
440,440,verb.emotion,regret
442,442,noun.state,inconvenience
443,443,verb.creation,caused
445,445,noun.communication,addresses
447,447,verb.change,changed
449,449,noun.location,sites
451,451,verb.change,ceased
453,453,verb.stative,exist
457,457,verb.possession,accept
459,459,noun.act,responsibility
463,463,noun.relation,changes
477,477,noun.quantity,0
479,479,noun.person,PB
502,504,noun.group,Library of Congress
509,509,noun.communication,Publication
511,511,verb.stative,is
516,516,noun.communication,Typeset
518,519,noun.location,Westchester Publishing
525,526,noun.location,Great Britain
528,530,noun.location,CPI ( UK
534,535,noun.location,Croydon CR0
540,540,verb.cognition,learn
544,544,noun.person,authors
546,546,noun.communication,books
551,552,verb.communication,sign up
558,558,noun.communication,newsletter
561,561,noun.communication,books
564,564,verb.possession,purchased
572,572,noun.communication,information
575,575,noun.act,purchases
577,577,verb.communication,contact
582,583,noun.group,Sales Department
585,585,noun.group,specialmarkets@macmillan.com
593,593,noun.possession,gift
600,602,noun.location,COURT OF WINGS
604,606,noun.location,RUIN Sarah J.
613,613,noun.time,Years
616,616,noun.location,Wall
619,619,noun.animal,flies
622,622,noun.person,survivors
626,626,verb.motion,replaced
629,629,noun.act,war
631,631,noun.artifact,drums
635,635,noun.location,field
636,636,verb.stative,was
640,640,noun.location,sprawl
642,642,noun.animal,corpses
644,644,noun.animal,human
646,646,noun.animal,faerie
649,649,verb.change,interrupted
653,653,noun.animal,wings
654,654,verb.stative,jutting
658,658,noun.object,sky
662,662,noun.attribute,bulk
666,666,noun.animal,horse
670,670,noun.phenomenon,heat
675,675,noun.phenomenon,cloud
676,676,noun.object,cover
679,679,noun.cognition,smell
682,682,verb.stative,be
685,685,noun.animal,Flies
687,687,verb.motion,crawled
689,689,noun.body,eyes
690,690,verb.perception,gazing
697,697,verb.cognition,differentiate
702,702,noun.body,flesh
705,705,verb.contact,picked
707,707,noun.location,way
713,713,noun.object,plain
715,715,verb.cognition,marking
717,717,noun.artifact,banners
720,720,verb.contact,buried
722,722,noun.substance,mud
724,724,noun.body,gore
727,727,verb.possession,took
732,732,noun.attribute,strength
734,734,verb.stative,keep
736,736,noun.animal,wings
738,738,verb.motion,dragging
740,740,noun.body,corpse
742,742,noun.artifact,armor
746,746,noun.attribute,power
749,749,verb.change,depleted
753,753,noun.act,carnage
755,755,verb.stative,stopped
759,759,verb.stative,spent
762,762,noun.time,hours
763,763,verb.competition,fighting
766,766,noun.person,mortals
772,772,noun.artifact,sword
774,774,noun.body,fist
779,779,noun.attribute,focus
783,783,verb.contact,held
785,785,noun.group,lines
787,787,noun.person,Ravennia
789,789,noun.group,legions
791,791,noun.time,hour
793,793,noun.time,hour
797,797,verb.contact,held
799,799,noun.group,lines
805,805,verb.communication,ordered
807,807,verb.social,do
810,810,noun.person,father
814,814,verb.cognition,knew
817,817,verb.social,do
820,820,verb.motion,falter
824,824,verb.stative,been
826,827,noun.act,killing blow
833,833,noun.act,resistance
836,836,noun.possession,keep
837,837,verb.stative,looming
840,840,noun.body,back
841,841,verb.stative,was
846,846,verb.possession,yielded
849,850,noun.location,SARAH J.
851,852,noun.group,MAAS Loyalists
858,858,noun.location,location
861,861,noun.location,heart
864,864,noun.object,continent
869,869,noun.possession,supplies
871,871,verb.possession,guarded
875,875,noun.artifact,forges
877,877,verb.weather,smoldered
878,878,noun.time,day
880,880,noun.time,night
884,884,noun.location,side
886,886,verb.stative,toiling
888,888,verb.possession,stock
890,890,noun.group,forces
893,893,noun.phenomenon,smoke
896,896,noun.artifact,forges
898,898,verb.change,blended
901,901,noun.artifact,pyres
909,909,verb.stative,kept
910,910,verb.motion,walking
912,912,verb.perception,scanning
914,914,noun.body,faces
917,917,noun.group,dead
920,920,verb.social,made
922,922,noun.communication,note
924,924,verb.motion,dispatch
926,926,noun.person,soldiers
929,929,verb.consumption,stomach
932,932,verb.possession,claim
933,933,noun.artifact,weapons
936,936,noun.group,army
939,939,verb.consumption,needed
944,944,verb.social,bother
946,946,noun.attribute,honor
952,952,noun.location,side
955,955,verb.social,bother
965,965,noun.location,battlefield
966,966,verb.stative,was
970,970,verb.cognition,compared
973,973,noun.act,slaughter
975,975,noun.state,chaos
979,979,verb.stative,halted
980,980,noun.time,hours
985,985,noun.group,army
987,987,verb.motion,retreated
990,990,verb.competition,surrender
992,992,verb.change,leaving
994,994,noun.substance,dead
997,997,noun.animal,crows
1000,1000,verb.motion,edged
1004,1004,noun.artifact,bay
1005,1005,noun.animal,gelding
1009,1009,noun.person,beast
1011,1011,noun.body,eyes
1015,1015,noun.feeling,terror
1017,1017,noun.animal,flies
1018,1018,verb.contact,crusting
1021,1021,noun.location,flank
1024,1024,noun.person,rider
1026,1026,verb.contact,twisted
1031,1031,noun.person,man
1033,1033,noun.body,head
1035,1035,verb.contact,severed
1040,1041,noun.act,sword blow
1047,1047,noun.artifact,gashes
1048,1048,verb.stative,were
1049,1049,noun.body,claws
1054,1054,verb.competition,yield
1058,1058,noun.location,kingdoms
1060,1060,noun.location,territories
1062,1062,verb.emotion,wanted
1065,1065,noun.animal,slaves
1068,1068,verb.possession,lose
1070,1070,noun.act,war
1073,1073,verb.possession,had
1076,1076,noun.cognition,choice
1086,1086,verb.cognition,learned
1089,1089,noun.act,way
1097,1097,verb.possession,had
1099,1099,noun.cognition,regard
1103,1103,noun.cognition,rules
1105,1105,noun.communication,rites
1107,1107,noun.act,battle
1113,1113,noun.location,territories
1115,1115,verb.competition,fought
1118,1118,noun.person,warriors
1126,1126,verb.motion,stomped
1129,1129,noun.animal,vermin
1132,1133,verb.communication,waved away
1135,1135,noun.animal,fly
1137,1137,verb.motion,buzzed
1140,1140,noun.body,ear
1143,1143,noun.body,hand
1144,1144,verb.contact,caked
1146,1146,noun.body,blood
1156,1156,verb.cognition,thought
1157,1157,noun.phenomenon,death
1159,1159,verb.stative,be
1164,1164,noun.act,homecoming
1170,1170,noun.communication,lullaby
1172,1172,verb.motion,usher
1176,1176,verb.stative,waited
1180,1180,verb.contact,crunched
1185,1185,noun.artifact,boot
1188,1188,noun.artifact,flagpole
1192,1192,noun.person,standard
1194,1194,noun.person,bearer
1196,1196,verb.contact,smearing
1198,1198,noun.substance,mud
1201,1201,noun.animal,tusked
1202,1202,noun.animal,boar
1203,1203,verb.body,embroidered
1207,1207,noun.artifact,flag
1211,1211,verb.cognition,wondered
1214,1214,noun.communication,lullaby
1216,1216,noun.phenomenon,death
1217,1217,verb.stative,was
1221,1221,noun.communication,song
1225,1225,noun.communication,droning
1227,1227,noun.animal,flies
1230,1230,noun.animal,flies
1232,1232,noun.animal,maggots
1233,1233,verb.stative,were
1235,1235,noun.state,Death
1237,1237,noun.person,handmaidens
1240,1240,noun.location,battlefield
1241,1241,verb.stative,stretched
1244,1244,noun.location,horizon
1247,1247,noun.location,direction
1250,1250,noun.artifact,keep
1253,1253,noun.body,back
1257,1259,noun.group,COURT OF WINGS
1263,1263,noun.time,days
1267,1267,verb.social,held
1272,1272,noun.time,days
1276,1276,verb.competition,fought
1278,1278,verb.change,died
1284,1284,verb.contact,held
1286,1286,noun.group,lines
1294,1294,verb.contact,rallied
1297,1297,noun.person,faerie
1300,1300,verb.communication,refused
1302,1302,verb.social,let
1304,1304,noun.person,Loyalists
1305,1306,verb.motion,break through
1312,1312,verb.motion,hammered
1316,1316,noun.group,flank
1319,1319,noun.group,troops
1323,1323,noun.time,day
1327,1327,verb.consumption,used
1329,1329,noun.attribute,power
1332,1332,verb.stative,was
1333,1333,noun.quantity,nothing
1335,1335,noun.substance,smoke
1338,1338,noun.body,veins
1344,1344,verb.consumption,used
1347,1347,noun.act,training
1349,1349,verb.contact,swinging
1351,1351,noun.artifact,shield
1353,1353,noun.artifact,sword
1354,1354,verb.stative,was
1357,1357,verb.cognition,knew
1362,1362,verb.social,manage
1365,1365,noun.person,hordes
1372,1372,noun.animal,wing
1373,1373,verb.stative,jutted
1376,1376,noun.group,cluster
1378,1379,noun.location,High Fae
1380,1380,noun.body,corpses
1386,1386,verb.possession,taken
1392,1392,verb.contact,bring
1394,1394,noun.person,warrior
1401,1401,verb.motion,taken
1409,1409,noun.event,heartbeat
1410,1410,verb.perception,pounded
1414,1414,noun.body,body
1417,1418,verb.contact,hauled away
1420,1420,verb.contact,piled
1421,1421,noun.body,corpses
1423,1423,noun.communication,Reinforcements
1425,1425,verb.motion,arrived
1427,1427,noun.time,dawn
1433,1433,noun.time,day
1435,1435,verb.motion,sent
1438,1438,noun.person,father
1441,1441,noun.communication,plea
1443,1443,noun.act,aid
1451,1451,noun.act,battle
