COREF,start_token,end_token,prop,cat,text
3191,22,22,PRON,PER,you
3192,42,64,NOM,PER,"people interested in their queer forebears , or for anyone who does n’t already know the majesty of Elagabalus , empress of Rome"
3192,45,45,PRON,PER,their
3193,45,47,NOM,PER,their queer forebears
313,60,60,PROP,PER,Elagabalus
3194,62,64,NOM,PER,empress of Rome
1,64,64,PROP,GPE,Rome
314,68,69,PROP,PER,Meredith Russo
0,79,79,PRON,PER,I
728,81,81,PRON,PER,Your
729,81,82,NOM,PER,Your Girl
3195,116,116,PRON,PER,our
3195,129,129,PRON,PER,us
315,137,138,PROP,PER,Sarah McCarry
730,148,149,NOM,PER,a Girl
3195,157,157,PRON,PER,we
3195,161,161,PRON,PER,we
3195,169,169,PRON,PER,we
3196,175,176,NOM,PER,queer kids
3196,181,181,PRON,PER,their
3197,186,186,NOM,GPE,There
3198,195,200,NOM,PER,all those queer kids out there
3198,203,203,PRON,PER,them
3198,205,205,PRON,PER,they
3198,211,211,PRON,PER,them
3198,213,213,PRON,PER,they
316,229,230,PROP,PER,Justin Sayre
731,232,234,NOM,PER,"writer , performer"
3195,257,257,PRON,PER,we
318,267,267,PRON,PER,I
317,280,281,PROP,PER,Sarah Prager
3195,287,287,PRON,PER,us
318,298,300,PROP,PER,Leila J. Rupp
732,314,328,NOM,PER,"coeditor of Understanding and Teaching U.S. Lesbian , Gay , Bisexual , and Transgender History"
733,331,335,NOM,PER,professor at UC Santa Barbara
2,333,335,PROP,GPE,UC Santa Barbara
3199,345,353,NOM,PER,a really good ( and really smart ) friend
319,396,398,PROP,PER,Shane Bitney Crone
734,400,400,NOM,PER,activist
317,418,419,PROP,PER,Sarah Prager
317,424,424,PRON,PER,she
3200,439,440,NOM,PER,young readers
317,442,442,PROP,PER,Prager
3195,444,444,PRON,PER,us
320,461,462,PROP,PER,Abraham Lincoln
3201,469,474,NOM,PER,figures who history has nearly forgotten
3202,477,480,NOM,PER,the Roman emperor Elagabalus
3203,491,492,NOM,PER,the reader
317,508,508,PROP,PER,Prager
321,528,529,PROP,PER,Kevin Jennings
735,531,533,NOM,PER,founder of GLSEN
3,533,533,PROP,GPE,GLSEN
736,535,544,NOM,PER,former assistant deputy secretary of the US Department of Education
737,540,544,NOM,ORG,the US Department of Education
738,552,553,NOM,PER,A Reader
739,560,561,NOM,ORG,High School
740,563,564,NOM,ORG,College Students
3204,581,592,NOM,PER,twenty - three LGBTQ people who made important contributions to our society
3195,591,591,PRON,PER,our
3205,601,602,NOM,LOC,the world
3195,604,604,PRON,PER,our
3206,604,607,NOM,PER,our LGBTQheroes and leaders
3207,607,607,NOM,PER,leaders
322,611,612,PROP,PER,Jose Gutierrez
317,636,636,PROP,PER,Prager
3195,638,638,PRON,PER,us
3208,640,666,NOM,PER,a wide and diverse assortment of twenty - three historical figures who challenged the gender and/or sexuality norms of their time and place and changed the world
3209,646,658,NOM,PER,twenty - three historical figures who challenged the gender and/or sexuality norms of
3209,659,659,PRON,PER,their
3205,665,666,NOM,LOC,the world
323,668,668,PRON,PER,I
323,675,676,PROP,PER,Robyn Ochs
741,678,678,NOM,PER,educator
742,680,687,NOM,PER,coeditor of Getting Bi : Voices of Bisexuals
4,689,690,PROP,LOC,the World
3211,698,709,NOM,PER,some remarkable people who show us the actual diversity of real life
3195,703,703,PRON,PER,us
3212,718,719,NOM,PER,most people
324,726,728,PROP,PER,Dr. Susan Stryker
5,743,743,PROP,GPE,Queens
6,748,756,PROP,FAC,Compton ’s Cafeteria Awards for New York Public Library
7,760,763,PROP,FAC,Teens Chicago Public Library
743,770,775,NOM,PER,Teens Shelf Awareness Best Book QUEER
8,777,777,PROP,GPE,THERE
4,785,786,PROP,LOC,THE WORLD
317,788,789,PROP,PER,Sarah Prager
325,792,792,PROP,PER,Zoe
744,795,795,PRON,PER,We
9,807,810,PROP,GPE,Ines de la Cruz
745,812,813,NOM,PER,Sor Juana
326,815,816,PROP,PER,Sor Juana
327,823,824,PROP,PER,Joan Larkin
328,826,827,PROP,PER,Jaime Manrique
746,832,841,NOM,ORG,the Board of Regents of the University of Wisconsin System
10,837,841,PROP,ORG,the University of Wisconsin System
11,847,851,PROP,ORG,The University of Wisconsin Press
8,855,855,PROP,GPE,There
4,864,865,PROP,LOC,the World
317,871,872,PROP,PER,Sarah Prager
747,887,891,NOM,GPE,the United States of America
12,891,891,PROP,GPE,America
748,932,936,NOM,ORG,a division of HarperCollins Publishers
13,935,936,PROP,FAC,HarperCollins Publishers
14,939,939,PROP,GPE,Broadway
15,941,942,PROP,GPE,New York
16,944,944,PROP,GPE,NY
329,960,961,PROP,PER,Torborg Davern
330,965,966,PROP,PER,Alison Klapthor
331,985,985,PROP,PER,Liz
749,988,993,NOM,PER,all the queer activists making tomorrow
313,1006,1006,PROP,PER,Elagabalus
332,1008,1009,PROP,PER,Jeanne D’Arc
333,1011,1012,PROP,PER,Kristina Vasa
