start_token,end_token,supersense_category,text
6,6,verb.stative,is
18,18,noun.attribute,sensibilities
21,21,verb.communication,tricks
24,24,verb.cognition,forgetting
28,28,noun.group,series
34,34,noun.communication,biographies
40,40,verb.cognition,read
42,42,noun.group,people
47,47,noun.person,forebears
56,56,verb.cognition,know
58,58,noun.attribute,majesty
60,60,noun.person,Elagabalus
62,62,noun.person,empress
64,64,noun.location,Rome
68,69,noun.person,Meredith Russo
71,71,noun.person,author
90,90,verb.communication,researched
105,105,noun.act,survey
108,108,noun.communication,histories
109,109,verb.stative,is
114,114,noun.artifact,addition
117,117,noun.group,arsenal
120,120,noun.state,possibilities
123,123,verb.stative,be
125,125,noun.cognition,reading
137,138,noun.person,Sarah McCarry
140,140,noun.person,author
149,149,noun.person,Girl
152,152,verb.stative,is
158,158,verb.stative,are
162,162,verb.stative,are
165,165,verb.stative,become
170,170,verb.stative,live
173,173,noun.time,time
176,176,noun.person,kids
179,179,verb.social,participate
182,182,noun.time,history
186,186,noun.location,There
190,190,verb.stative,is
193,193,noun.possession,resource
198,198,noun.person,kids
202,202,verb.communication,Let
204,204,verb.cognition,know
206,206,verb.stative,are
210,210,verb.social,Let
212,212,verb.cognition,know
214,214,verb.possession,have
216,216,noun.communication,history
219,219,noun.communication,book
220,220,verb.stative,is
222,222,noun.time,lifeline
225,225,noun.possession,gift
229,230,noun.person,Justin Sayre
232,232,noun.person,writer
234,234,noun.person,performer
237,237,noun.person,author
244,244,verb.stative,is
248,248,verb.communication,tell
249,249,noun.communication,stories
252,252,noun.time,time
256,256,noun.cognition,lives
260,260,verb.communication,call
275,275,noun.communication,book
278,278,noun.attribute,way
280,281,noun.person,Sarah Prager
286,286,verb.perception,showing
292,292,verb.stative,live
298,300,noun.person,Leila J. Rupp
302,302,noun.person,author
312,312,noun.person,Women
314,314,noun.person,coeditor
318,320,noun.person,Teaching U.S. Lesbian
322,322,noun.person,Gay
331,331,noun.person,professor
333,335,noun.group,UC Santa Barbara
337,337,noun.communication,Reading
339,339,noun.communication,book
340,340,verb.stative,is
342,342,verb.communication,discussing
343,343,noun.time,history
353,353,noun.person,friend
357,357,noun.attribute,pretentiousness
361,361,noun.attribute,wisdom
369,369,noun.attribute,way
377,377,verb.stative,is
384,384,noun.act,breath
392,392,verb.cognition,read
396,398,noun.person,Shane Bitney Crone
400,400,noun.person,activist
402,402,noun.person,producer
404,404,noun.communication,subject
408,408,noun.communication,documentary
418,419,noun.person,Sarah Prager
425,425,verb.cognition,takes
427,427,noun.time,millennia
431,431,noun.time,history
433,433,verb.change,makes
440,440,noun.person,readers
442,442,noun.person,Prager
443,443,verb.communication,tells
449,449,noun.communication,stories
455,455,noun.communication,twists
461,462,noun.person,Abraham Lincoln
469,469,noun.person,figures
471,471,noun.time,history
474,474,verb.cognition,forgotten
478,478,noun.communication,Roman
479,479,noun.person,emperor
480,480,noun.person,Elagabalus
483,483,verb.cognition,mixing
485,485,noun.communication,humor
488,488,noun.communication,scholarship
492,492,noun.person,reader
493,493,verb.stative,keeps
494,494,verb.motion,turning
496,496,noun.communication,page
498,498,verb.cognition,see
508,508,noun.person,Prager
509,509,verb.change,combines
510,510,noun.communication,fun
512,512,noun.cognition,facts
514,514,verb.communication,present
517,517,noun.communication,overview
521,521,noun.time,years
524,524,noun.time,history
528,529,noun.person,Kevin Jennings
531,531,noun.person,founder
533,533,noun.person,GLSEN
537,538,noun.person,deputy secretary
541,544,noun.group,US Department of Education
547,547,noun.person,author
553,553,noun.person,Reader
560,561,noun.group,High School
563,564,noun.group,College Students
572,572,verb.stative,is
576,576,noun.communication,book
579,579,noun.state,lives
585,585,noun.group,people
587,587,verb.social,made
589,589,noun.act,contributions
592,592,noun.group,society
595,595,verb.stative,is
598,598,noun.communication,tool
600,600,verb.social,educate
602,602,noun.group,world
605,605,noun.person,LGBTQheroes
607,607,noun.person,leaders
611,612,noun.person,Jose Gutierrez
614,614,noun.person,founder
617,620,noun.group,Latino GLBT History Project
622,622,noun.person,cofounder
625,627,noun.group,Rainbow History Project
634,634,noun.communication,book
636,636,noun.person,Prager
637,637,verb.communication,introduces
644,644,noun.group,assortment
650,650,noun.person,figures
652,652,verb.communication,challenged
654,654,noun.communication,gender
656,656,noun.attribute,sexuality
657,657,noun.cognition,norms
660,660,noun.time,time
662,662,noun.location,place
664,664,verb.change,changed
666,666,noun.group,world
669,669,verb.consumption,enjoyed
671,671,noun.communication,story
675,676,noun.person,Robyn Ochs
678,678,noun.person,educator
680,680,noun.person,coeditor
693,693,verb.stative,is
696,696,noun.communication,book
700,700,noun.group,people
702,702,verb.perception,show
706,706,noun.attribute,diversity
709,709,noun.state,life
712,712,verb.stative,is
719,719,noun.group,people
720,720,verb.communication,pretend
722,722,verb.stative,is
726,728,noun.person,Dr. Susan Stryker
730,730,noun.person,author
733,733,noun.time,History
738,738,noun.communication,Emmy
741,741,noun.communication,film
748,748,noun.location,Compton
753,754,noun.location,New York
755,756,noun.group,Public Library
760,763,noun.group,Teens Chicago Public Library
770,772,noun.group,Teens Shelf Awareness
797,797,verb.communication,acknowledge
798,798,noun.communication,permission
800,800,verb.communication,reprint
802,802,noun.communication,poem
804,804,noun.communication,page
807,810,noun.person,Ines de la Cruz
812,813,noun.person,Sor Juana
815,816,noun.person,Sor Juana
821,821,verb.cognition,Translated
823,824,noun.person,Joan Larkin
826,827,noun.person,Jaime Manrique
833,835,noun.group,Board of Regents
838,841,noun.group,University of Wisconsin System
845,845,noun.communication,permission
847,851,noun.group,The University of Wisconsin Press
853,853,noun.communication,Queer
855,855,noun.location,There
861,861,noun.group,People
865,865,noun.communication,World
866,866,noun.communication,Text
871,873,noun.person,Sarah Prager Illustrations
874,874,noun.communication,copyright
878,878,noun.person,Zoe
888,891,noun.location,United States of America
894,894,noun.relation,part
897,897,noun.communication,book
900,900,verb.consumption,used
902,902,verb.creation,reproduced
905,905,noun.attribute,manner
909,909,noun.communication,permission
913,913,noun.state,case
916,916,noun.communication,quotations
917,917,verb.communication,embodied
920,920,noun.communication,articles
922,922,noun.communication,reviews
926,926,noun.communication,address
933,933,noun.group,division
935,936,noun.group,HarperCollins Publishers
939,939,noun.location,Broadway
941,942,noun.location,New York
944,944,noun.location,NY
958,958,noun.communication,Typography
960,961,noun.person,Torborg Davern
962,963,noun.cognition,Art direction
965,966,noun.person,Alison Klapthor
980,980,noun.communication,paperback
981,981,noun.communication,edition
991,991,noun.person,activists
992,992,verb.creation,making
993,993,noun.time,tomorrow
995,995,noun.time,history
997,997,noun.group,table
999,999,noun.communication,contents
1011,1012,noun.person,Kristina Vasa
1014,1018,noun.person,Juana Ines de la Cruz
1020,1021,noun.person,Abraham Lincoln
1023,1024,noun.person,Albert Cashier
1026,1026,noun.person,Gertrude
1030,1030,noun.person,Rainey
1032,1033,noun.person,Lili Elbe
1035,1036,noun.person,Frida Kahlo
1038,1040,noun.person,Mercedes de Acosta
1042,1043,noun.person,Eleanor Roosevelt
1045,1046,noun.person,Bayard Rustin
1048,1049,noun.person,Alan Turing
1051,1052,noun.person,Josef Kohout
1054,1055,noun.person,Jose Sarria
1057,1058,noun.person,Del Martin
