COREF,start_token,end_token,prop,cat,text
1,2,12,PROP,FAC,THE NOWHERE GIRLS New York Public Library Best Books for Teens
2,5,6,PROP,GPE,New York
3,7,8,PROP,ORG,Public Library
383,12,12,NOM,PER,Teens
4,15,15,PROP,GPE,Chicago
5,15,19,PROP,FAC,Chicago Public Library Best Teen
129,23,24,PROP,PER,Amelia Bloomer
130,28,30,PROP,PER,Amelia Elizabeth Walden
131,53,53,PROP,PER,SMITH
2,55,56,PROP,GPE,New York
0,63,63,PRON,PER,I
3573,87,94,NOM,PER,everyone out there who wants to fight back
384,141,143,NOM,FAC,SCHOOL LIBRARY JOURNAL
132,182,185,PROP,PER,AMY REED BeAvTiFvi CRAZY
385,187,187,PRON,PER,YOU
386,188,188,PRON,PER,OUR
386,191,191,PRON,PER,OUR
6,194,194,PROP,GPE,PA
7,194,229,PROP,GPE,"PA AU1HORS 6(1 RIAL ABOU1 INJUSTICE , EMPOWERMENT ANP GROWING UP EEMAEE IN AMERICA ^Boy , DD^ ° Broke * WR}J ) SIMON PULSE NEW YORK LONDON TORONTO SYDNEY NEW DELHI The Nowhere Girls Amy Reed"
8,207,207,PROP,GPE,AMERICA
9,210,214,PROP,FAC,DD^ ° Broke * WR}J
10,219,219,PROP,GPE,YORK
11,220,220,PROP,GPE,LONDON
12,221,221,PROP,GPE,TORONTO
387,222,223,NOM,GPE,SYDNEY NEW
13,224,224,PROP,GPE,DELHI
388,225,229,NOM,PER,The Nowhere Girls Amy Reed
389,244,245,NOM,PER,real people
390,279,283,NOM,PER,"persons , living or dead"
14,296,304,PROP,FAC,Schuster Childrens Publishing Division 1230 Avenue of the Americas
15,303,304,PROP,LOC,the Americas
2,306,307,PROP,GPE,New York
2,309,310,PROP,GPE,New York
132,324,325,PROP,PER,Amy Reed
16,332,333,PROP,FAC,Ulla Puggaard
133,361,362,PROP,PER,SIMON PULSE
391,401,406,NOM,FAC,The Simon & Schuster Speakers Bureau
392,409,409,NOM,PER,authors
393,411,411,PRON,PER,your
391,424,429,NOM,PER,the Simon & Schuster Speakers Bureau
395,440,440,PRON,PER,our
134,448,449,PROP,PER,Heather Palisi
135,453,454,PROP,PER,Greg Stadnyk
17,463,463,PROP,GPE,Garamond
396,467,471,NOM,LOC,the United States of America
8,471,471,PROP,GPE,America
18,475,478,PROP,ORG,The Library of Congress
132,489,489,PROP,PER,Reed
136,491,492,PROP,PER,Amy Lynn
397,494,494,NOM,PER,author
132,503,504,PROP,PER,Amy Reed
2,515,516,PROP,GPE,New York
19,518,519,PROP,FAC,Simon Pulse
3574,527,529,NOM,PER,Three misfit girls
3575,537,541,NOM,PER,a girl none of them
3574,541,541,PRON,PER,them
3576,555,559,NOM,PER,everyone around them”—Provided by publisher
398,578,578,PRON,PER,he
399,609,610,NOM,ORG,High schools
20,623,623,PROP,GPE,Oregon
20,628,628,PROP,GPE,Oregon
400,664,664,PRON,PER,us
401,666,666,PRON,PER,You
401,668,668,PRON,PER,yourself
401,670,670,PRON,PER,you
137,675,676,PROP,PER,Alice Sebold
21,678,679,PROP,GPE,Lucky Prescott
20,681,681,PROP,GPE,Oregon
22,699,699,PROP,GPE,Eugene
402,701,704,NOM,GPE,the University of Oregon
403,706,712,NOM,LOC,One hundred thirty miles southeast of Portland
23,712,712,PROP,GPE,Portland
404,716,718,NOM,GPE,a farm town
405,720,721,NOM,GPE,a suburb
406,723,729,NOM,FAC,Home of the Spartans ( Go Spartans
407,725,729,NOM,PER,the Spartans ( Go Spartans
408,733,737,NOM,FAC,Home of so many girls
409,735,737,NOM,PER,so many girls
410,741,745,NOM,PER,so many almost - women
410,749,749,PRON,PER,their
411,754,758,NOM,VEH,The U - Haul truck
411,760,760,PRON,FAC,its
138,768,768,PROP,PER,Adeline
24,770,770,PROP,GPE,Kentucky
412,777,788,NOM,FAC,the small southern town that used to be Grace Salter ’s home
140,785,786,PROP,PER,Grace Salter
140,792,792,PRON,PER,her
413,792,793,NOM,PER,her mother
414,796,800,NOM,PER,a dutiful Baptist church leader
3577,805,807,NOM,PER,a “ pastor
415,812,822,NOM,PER,a woman in a church belonging to the Southern Baptist Convention
416,815,822,NOM,FAC,a church belonging to the Southern Baptist Convention
413,824,824,PRON,PER,she
417,834,834,PRON,PER,its
413,842,842,PRON,PER,her
140,857,857,PROP,PER,Grace
140,862,862,PROP,PER,Mom
140,869,869,PRON,PER,her
418,873,873,PRON,PER,US
140,885,885,PROP,PER,Mom
140,892,892,PRON,PER,her
140,896,896,PRON,PER,her
419,902,903,NOM,PER,the Lord
140,908,908,PROP,PER,Grace
420,915,915,PRON,PER,them
138,919,919,PROP,GPE,Adeline
420,922,922,PRON,PER,their
420,933,933,PRON,PER,their
421,937,939,NOM,FAC,the new house
140,941,941,PROP,PER,Grace
422,941,943,NOM,PER,Grace ’s mother
423,946,947,NOM,FAC,the kitchen
141,949,949,PROP,PER,Dad
141,952,952,PRON,PER,his
140,958,958,PROP,PER,Grace
424,965,972,NOM,FAC,the room she has never seen before today
140,967,967,PRON,PER,she
425,974,978,NOM,FAC,the room Mom and Dad
140,976,976,PROP,PER,Mom
141,978,978,PROP,PER,Dad
420,983,983,PRON,PER,their
426,983,986,NOM,PER,their real estate agent
420,988,988,PRON,PER,them
427,990,1008,NOM,FAC,the room she knows is meant to be hers because of the yellow wall paint and purple flower decals
140,992,992,PRON,PER,she
140,998,998,PRON,PER,hers
140,1010,1010,PRON,PER,She
140,1017,1017,PRON,PER,she
140,1021,1021,PRON,PER,she
140,1037,1037,PRON,PER,she
140,1042,1042,PRON,PER,her
428,1058,1059,NOM,FAC,motel rooms
140,1061,1061,PRON,PER,her
429,1061,1062,NOM,PER,her parents
140,1064,1064,PRON,PER,she
140,1080,1080,PRON,PER,she
140,1099,1099,PRON,PER,She
140,1102,1102,PRON,PER,her
140,1111,1111,PRON,PER,She
20,1131,1131,PROP,GPE,Oregon
20,1135,1135,PRON,FAC,its
140,1142,1142,PROP,PER,Grace
140,1145,1145,PRON,PER,her
140,1150,1150,PRON,PER,She
140,1153,1153,PRON,PER,she
430,1179,1181,NOM,PER,the Boy Scout
140,1184,1184,PRON,PER,She
140,1189,1189,PRON,PER,she
431,1192,1194,NOM,PER,a Girl Scout
140,1196,1196,PRON,PER,Her
432,1196,1197,NOM,PER,Her troop
