COREF,start_token,end_token,prop,cat,text
373,3,3,PRON,PER,YOUR
136,7,10,PROP,PER,ERIKA L. SANCHEZ EMBER
374,31,32,NOM,PER,the author
136,63,65,PROP,PER,Erika L. Sanchez
137,72,73,PROP,PER,Connie Gabbert
1,80,82,PROP,GPE,the United States
136,84,84,PROP,PER,Ember
2,89,93,PROP,FAC,Random House Children ’s Books
375,95,101,NOM,ORG,a division of Penguin Random House LLC
3,103,104,PROP,GPE,New York
1,111,113,PROP,LOC,the United States
5,115,117,PROP,FAC,Alfred A. Knopf
6,122,123,PROP,FAC,Random House
375,128,134,NOM,ORG,a division of Penguin Random House LLC
7,131,134,PROP,ORG,Penguin Random House LLC
3,136,137,PROP,GPE,New York
136,142,142,PROP,PER,Ember
377,157,157,PRON,PER,us
378,162,165,NOM,PER,GetUnderlined.com Educators and librarians
379,165,165,NOM,PER,librarians
377,175,175,PRON,PER,us
8,178,181,PROP,ORG,The Library of Congress
136,193,193,PROP,PER,Sanchez
136,195,196,PROP,PER,Erika L.
380,198,198,NOM,PER,author
0,200,200,PRON,PER,I
381,203,203,PRON,PER,your
382,203,206,NOM,PER,your perfect Mexican daughter
136,208,210,PROP,PER,Erika L. Sanchez
3,215,216,PROP,GPE,New York
5,218,220,PROP,PER,Alfred A. Knopf
1,302,305,PROP,GPE,the United States of
10,306,306,PROP,GPE,America
0,329,329,PRON,PER,my
383,329,330,NOM,PER,my parents
0,336,336,PRON,PER,me
0,340,340,PRON,PER,my
384,340,341,NOM,PER,my sister
384,348,348,PRON,PER,her
384,351,351,PRON,PER,Her
385,362,362,NOM,PER,someone
384,366,366,PRON,PER,her
384,378,378,PRON,PER,her
384,384,384,PRON,PER,she
385,389,389,NOM,PER,someone
0,404,404,PRON,PER,I
139,407,407,PROP,PER,Olga
0,418,418,PRON,PER,I
139,420,420,PRON,PER,her
139,431,431,PRON,PER,her
139,436,436,PRON,PER,her
140,441,441,PROP,PER,Ama
0,451,451,PRON,PER,I
139,463,463,PROP,PER,Olga
139,467,467,PRON,PER,her
0,475,475,PRON,PER,I
139,481,481,PRON,PER,Her
0,497,497,PRON,PER,me
387,499,501,NOM,PER,a rich lady
139,509,509,PRON,PER,her
139,519,519,PRON,PER,her
139,531,531,PRON,PER,her
139,537,537,PRON,PER,she
388,550,550,PRON,PER,they
389,552,552,PRON,PER,your
389,560,560,PRON,PER,your
389,569,569,PRON,PER,your
388,579,579,PRON,PER,they
390,581,582,NOM,PER,this mortician
391,584,586,NOM,FAC,the flea market
0,588,588,PRON,PER,My
392,588,591,NOM,PER,My poor older sister
392,598,598,PRON,PER,herself
392,602,602,PRON,PER,She
392,612,612,PRON,PER,she
392,625,625,PRON,PER,Her
0,643,643,PRON,PER,I
0,654,654,PRON,PER,I
393,661,662,NOM,PER,the elderly
392,665,665,PRON,PER,she
392,681,681,PRON,PER,her
139,684,684,PROP,PER,Olga
394,690,698,NOM,PER,a normal twenty - two - year - old
0,702,702,PRON,PER,me
139,707,707,PRON,PER,she
395,710,714,NOM,PER,a grown - ass woman
139,718,718,PRON,PER,she
396,727,727,NOM,FAC,home
397,729,729,PRON,PER,our
398,729,730,NOM,PER,our parents
399,739,742,NOM,FAC,the local community college
139,750,750,PRON,PER,she
140,755,755,PROP,PER,Ama
139,761,761,PRON,PER,her
400,761,763,NOM,PER,her best friend
141,765,765,PROP,PER,Angie
401,773,790,NOM,PER,clumsy but adorable blond women who fall in love with architects in the streets of New York City
402,785,790,NOM,FAC,the streets of New York City
11,788,790,PROP,GPE,New York City
139,801,801,PRON,PER,she
139,807,807,PRON,PER,she
403,815,816,NOM,LOC,the world
0,823,823,PRON,PER,I
0,830,830,PRON,PER,I
404,835,837,NOM,PER,a famous writer
0,839,839,PRON,PER,I
405,846,846,NOM,PER,people
0,848,848,PRON,PER,me
406,850,851,NOM,FAC,the street
0,861,861,PRON,PER,you
142,862,863,PROP,PER,Julia Reyes
2494,865,873,NOM,PER,the best writer who has ever graced this earth
2495,872,873,NOM,LOC,this earth
0,877,877,PRON,PER,I
0,881,881,PRON,PER,I
0,886,886,PRON,PER,my
0,889,889,PRON,PER,I
139,904,904,PROP,PER,Olga
139,906,907,PROP,PER,Saint Olga
407,909,912,NOM,PER,the perfect Mexican daughter
0,915,915,PRON,PER,I
139,920,920,PRON,PER,her
139,926,926,PRON,PER,her
0,933,933,PRON,PER,I
139,936,936,PRON,PER,her
139,938,938,PRON,PER,she
408,946,948,NOM,FAC,a real college
139,950,950,PRON,PER,she
0,952,952,PRON,PER,me
139,955,955,PRON,PER,her
0,965,965,PRON,PER,I
139,970,970,PRON,PER,her
0,974,974,PRON,PER,I
139,979,979,PROP,PER,Olga
139,985,985,PRON,PER,she
409,989,989,PRON,PER,us
0,993,993,PRON,PER,I
0,1003,1003,PRON,PER,my
410,1003,1005,NOM,PER,my dead sister
0,1017,1017,PRON,PER,I
0,1022,1022,PRON,PER,I
0,1025,1025,PRON,PER,I
0,1030,1030,PRON,PER,I
0,1043,1043,PRON,PER,I
0,1046,1046,PRON,PER,my
0,1060,1060,PRON,PER,I
140,1062,1062,PROP,PER,Ama
140,1065,1065,PRON,PER,She
140,1068,1068,PRON,PER,her
144,1076,1076,PROP,PER,Mija
2496,1078,1078,NOM,PER,mija
140,1081,1081,PRON,PER,she
140,1084,1084,PRON,PER,she
145,1091,1091,PROP,PER,Apa
140,1098,1098,PRON,PER,her
0,1101,1101,PRON,PER,I
145,1105,1105,PRON,PER,him
145,1109,1109,PRON,PER,he
140,1113,1113,PRON,PER,her
140,1120,1120,PROP,PER,Ama
140,1124,1124,PRON,PER,her
140,1127,1127,PRON,PER,she
145,1129,1129,PRON,PER,him
0,1134,1134,PRON,PER,I
145,1136,1136,PRON,PER,he
140,1141,1141,PRON,PER,her
140,1146,1146,PRON,PER,She
140,1149,1149,PRON,PER,herself
0,1153,1153,PRON,PER,I
411,1156,1156,NOM,PER,babies
145,1160,1160,PROP,PER,Apa
412,1168,1169,NOM,FAC,the room
413,1177,1177,NOM,PER,anyone
145,1185,1185,PRON,PER,he
0,1190,1190,PRON,PER,I
0,1192,1192,PRON,PER,I
145,1194,1194,PRON,PER,his
145,1200,1200,PRON,PER,his
0,1209,1209,PRON,PER,I
140,1213,1213,PROP,PER,Ama
140,1216,1216,PRON,PER,her
0,1235,1235,PRON,PER,I
0,1241,1241,PRON,PER,I
0,1250,1250,PRON,PER,I
0,1253,1253,PRON,PER,my
140,1262,1262,PROP,PER,Ama
0,1264,1264,PRON,PER,I
0,1273,1273,PRON,PER,I
414,1277,1277,PRON,PER,We
414,1285,1285,PRON,PER,I
140,1287,1287,PRON,PER,you
415,1295,1309,NOM,PER,boring white families who live in two - story houses and talk about their feelings
