start_token,end_token,supersense_category,text
7,9,noun.person,ERIKA L. SANCHEZ
12,12,verb.stative,is
14,14,noun.artifact,work
16,16,noun.communication,fiction
18,18,noun.communication,Names
20,20,noun.attribute,characters
22,22,noun.location,places
25,25,noun.event,incidents
27,27,verb.stative,are
29,29,noun.artifact,product
32,32,noun.person,author
34,34,noun.cognition,imagination
37,37,verb.consumption,used
41,41,noun.attribute,resemblance
44,44,noun.Tops,persons
48,48,noun.time,dead
50,50,noun.event,events
53,53,noun.location,locales
54,54,verb.stative,is
58,58,noun.communication,Text
59,59,noun.communication,copyright
63,65,noun.person,Erika L. Sanchez
68,68,noun.communication,copyright
72,73,noun.person,Connie Gabbert
81,82,noun.location,United States
84,84,noun.person,Ember
87,87,noun.cognition,imprint
89,90,noun.group,Random House
96,96,noun.cognition,division
98,101,noun.group,Penguin Random House LLC
103,104,noun.location,New York
107,107,verb.creation,published
109,109,noun.communication,hardcover
112,113,noun.location,United States
115,117,noun.person,Alfred A. Knopf
120,120,noun.cognition,imprint
122,126,noun.group,Random House Children ’s Books
129,129,noun.cognition,division
131,134,noun.group,Penguin Random House LLC
136,137,noun.location,New York
142,142,noun.person,Ember
146,146,noun.artifact,colophon
149,149,noun.communication,trademarks
151,154,noun.group,Penguin Random House LLC
160,160,noun.group,Web
163,163,noun.person,Educators
165,165,noun.person,librarians
169,169,noun.group,variety
171,172,noun.cognition,teaching tools
174,174,verb.social,visit
177,177,noun.person,RHTeachersLibrarians.com
179,181,noun.group,Library of Congress
183,183,verb.communication,cataloged
185,185,noun.communication,hardcover
186,186,noun.communication,edition
189,189,noun.artifact,work
193,193,noun.person,Sanchez
195,196,noun.person,Erika L.
198,198,noun.person,author
201,201,verb.stative,am
206,206,noun.person,daughter
208,210,noun.person,Erika L. Sanchez
215,216,noun.location,New York
218,220,noun.person,Alfred A. Knopf
223,223,noun.communication,imprint
237,237,noun.quantity,pages
255,255,noun.communication,hardcover
269,269,noun.artifact,library
270,270,noun.act,binding
273,273,noun.communication,ISBN
284,284,noun.communication,ebook
303,304,noun.location,United States
306,306,noun.location,America
317,317,verb.social,supports
319,320,noun.communication,First Amendment
322,322,verb.social,celebrates
324,324,noun.attribute,right
326,326,verb.social,read
332,332,noun.quantity,1
335,335,verb.emotion,surprised
337,337,noun.quantity,most
339,339,verb.perception,seeing
341,341,noun.person,sister
343,343,verb.stative,is
346,346,noun.attribute,smirk
349,349,noun.body,face
353,353,noun.body,lips
355,356,verb.motion,turned up
364,365,verb.change,filled in
368,368,noun.body,eyebrows
372,372,noun.artifact,pencil
376,376,noun.quantity,half
379,379,noun.body,face
380,380,verb.stative,is
388,388,verb.social,stab
395,395,verb.stative,is
400,400,verb.stative,is
403,403,noun.person,Olga
405,405,verb.cognition,knew
407,407,noun.person,Olga
408,408,verb.stative,was
415,415,noun.animal,baby
416,416,noun.animal,bird
419,419,verb.emotion,wanted
422,422,verb.body,wear
426,426,noun.artifact,dress
430,430,verb.perception,hide
432,432,noun.body,body
438,438,noun.artifact,outfits
441,441,noun.person,Ama
442,442,verb.cognition,chose
450,450,noun.plant,flowers
454,454,verb.emotion,hated
457,457,verb.stative,was
466,466,verb.change,made
472,472,noun.time,years
478,478,verb.cognition,decide
482,482,noun.body,hair
483,483,verb.stative,is
489,489,noun.artifact,dress
494,494,noun.body,curls
496,496,verb.cognition,remind
501,501,noun.person,lady
503,503,noun.animal,poodle
508,508,verb.communication,let
510,510,verb.perception,look
515,515,noun.body,bruises
517,517,noun.body,gashes
520,520,noun.body,cheeks
522,522,verb.change,masked
525,525,noun.artifact,coats
528,528,noun.substance,foundation
530,530,verb.change,making
532,532,noun.body,face
538,538,verb.stative,is
540,540,verb.stative,was
551,551,verb.body,pump
553,553,noun.body,body
557,557,noun.substance,chemicals
559,559,verb.social,prevent
561,561,noun.body,skin
563,563,verb.body,stretching
565,565,verb.change,puckering
