COREF,start_token,end_token,prop,cat,text
1,4,13,PROP,FAC,THE END ADAM SILVERA Quill Tree Books Quill Tree Books
387,15,19,NOM,ORG,an imprint of HarperCollins Publishers
2,18,19,PROP,ORG,HarperCollins Publishers
388,21,21,PRON,PER,They
152,31,32,PROP,PER,Adam Silvera
3,39,43,PROP,GPE,the United States of America
4,80,82,PROP,FAC,Children ’s Books
389,84,88,NOM,ORG,a division of HarperCollins Publishers
2,87,88,PROP,ORG,HarperCollins Publishers
5,91,91,PROP,GPE,Broadway
6,93,94,PROP,GPE,New York
153,112,113,PROP,PER,Erin Fitzsimmons
390,131,140,NOM,PER,those who need a reminder to make every day count
154,146,146,PROP,PER,Mom
155,152,152,PROP,PER,Cecilia
0,159,159,PRON,PER,I
391,180,181,NOM,LOC,the world
392,183,184,NOM,PER,Most people
393,199,203,NOM,PER,a m. Death - Cast
0,213,213,PRON,PER,I’m
394,239,240,NOM,VEH,a car
395,247,248,NOM,FAC,the street
396,253,253,PRON,PER,their
396,257,257,PRON,PER,them
0,293,293,PRON,PER,my
397,300,301,NOM,FAC,the room
0,303,303,PRON,PER,I
0,317,317,PRON,PER,me
0,319,319,PRON,PER,I
398,325,329,NOM,PER,a first - time skydiver
398,332,332,PRON,PER,she
399,337,338,NOM,VEH,a plane
400,341,342,NOM,PER,a pianist
400,344,344,PRON,PER,his
0,350,350,PRON,PER,I
0,364,364,PRON,PER,I
156,372,372,PROP,PER,CountDoumers
157,375,375,PROP,PER,Deckers
157,377,377,PRON,PER,their
401,392,394,NOM,PER,a college junior
402,398,399,NOM,FAC,a home
403,401,401,PRON,PER,THEY
401,408,408,PRON,PER,his
0,414,414,PRON,PER,I
0,420,420,PRON,PER,I
0,435,435,PRON,PER,My
0,439,439,PRON,PER,I
0,444,444,PRON,PER,I
0,452,452,PRON,PER,I
0,457,457,PRON,PER,I
0,476,476,PRON,PER,I
158,481,481,PROP,PER,Dad
0,488,488,PRON,PER,my
0,491,491,PRON,PER,I
0,494,494,PRON,PER,I
404,514,515,NOM,PER,the hero
0,529,529,PRON,PER,my
0,552,552,PRON,PER,me
0,553,553,PRON,PER,I
