start_token,end_token,supersense_category,text
5,13,noun.group,END ADAM SILVERA Quill Tree Books Quill Tree Books
14,14,verb.stative,is
16,16,noun.cognition,imprint
18,19,noun.group,HarperCollins Publishers
27,27,noun.communication,Copyright
31,31,noun.person,Adam
40,41,noun.location,United States
43,43,noun.location,America
46,46,noun.relation,part
49,49,noun.communication,book
52,52,verb.consumption,used
54,54,verb.contact,reproduced
57,57,noun.attribute,manner
60,61,noun.communication,written permission
65,65,noun.state,case
68,68,noun.communication,quotations
69,69,verb.communication,embodied
72,72,noun.communication,articles
74,74,noun.communication,reviews
78,78,noun.communication,address
85,85,noun.cognition,division
87,88,noun.group,HarperCollins Publishers
91,91,noun.location,Broadway
93,94,noun.location,New York
96,97,noun.location,NY 10007
110,110,noun.communication,Typography
112,113,noun.person,Erin Fitzsimmons
126,126,noun.communication,paperback
127,127,noun.communication,edition
133,133,verb.consumption,need
135,135,noun.communication,reminder
137,137,verb.change,make
139,139,noun.time,day
140,140,verb.stative,count
142,142,verb.communication,Shout
146,146,noun.location,Mom
150,150,noun.feeling,love
152,152,noun.location,Cecilia
157,157,noun.feeling,love
162,162,verb.consumption,needed
172,173,noun.group,Cast Tb
175,175,verb.stative,is
178,178,noun.act,tiling
181,181,noun.group,world
184,184,noun.group,people
185,185,verb.stative,exist
192,192,noun.time,September
196,197,noun.location,MATEO TORREZ
203,203,noun.group,Cast
205,205,verb.communication,calling
208,208,noun.communication,warning
211,211,noun.time,lifetime
216,216,verb.change,die
217,217,noun.time,today
219,219,verb.cognition,Forget
223,223,noun.communication,warning
225,225,verb.stative,is
229,229,noun.communication,word
231,231,noun.communication,warnings
232,232,verb.communication,suggest
236,236,verb.social,avoided
240,240,noun.artifact,car
241,241,verb.perception,honking
246,246,verb.motion,crossing
248,248,noun.artifact,street
251,251,verb.stative,is
254,254,noun.artifact,light
256,256,verb.possession,giving
259,259,noun.state,chance
261,262,verb.motion,step back
265,265,verb.stative,is
269,271,noun.act,heads - up
