COREF,start_token,end_token,prop,cat,text
1,3,7,PROP,FAC,DASHKA SLATER Farrar Straus Giroux
372,10,11,NOM,PER,Young Readers
2,15,17,PROP,ORG,Macmillan Publishing Group
3,21,22,PROP,FAC,Fifth Avenue
4,24,25,PROP,GPE,New York
145,33,34,PROP,PER,Dashka Slater
373,40,44,NOM,LOC,the United States of America
5,44,44,PROP,GPE,America
146,47,48,PROP,PER,Anne Diebel
6,55,57,PROP,ORG,Library of Congress
145,66,66,PROP,PER,Slater
145,68,68,PROP,PER,Dashka
374,70,70,NOM,PER,author
375,74,79,NOM,FAC,The 57 bus / Dashka Slater
145,78,79,PROP,FAC,Dashka Slater
376,84,88,NOM,FAC,Fifty - seven bus Description
4,94,95,PROP,GPE,New York
8,97,99,PROP,GPE,Farrar Straus Giroux
147,140,140,PROP,PER,Fleischman
198,142,142,PROP,PER,Sasha
149,145,145,PROP,PER,Thomas
150,147,147,PROP,PER,Richard
9,155,155,PROP,GPE,California
9,164,164,PROP,GPE,California
377,170,171,NOM,PER,Asexual people
9,173,173,PROP,GPE,California
378,182,184,NOM,PER,Victims of crimes
9,186,186,PROP,GPE,California
379,216,216,PRON,PER,Our
380,232,232,PRON,PER,your
381,232,234,NOM,PER,your local bookseller
382,236,242,NOM,ORG,the Macmillan Corporate and Premium Sales Department
10,272,272,PROP,GPE,Oakland
9,274,274,PROP,GPE,California
198,279,279,PROP,PER,Sasha
151,290,290,PROP,PER,Luke
151,292,292,PROP,PER,Samantha
380,300,300,PRON,PER,You
380,304,304,PRON,PER,You
198,321,321,PROP,PER,Sasha
198,326,326,PROP,PER,Sasha
11,330,331,PROP,FAC,Bathrooms Revisited
383,337,338,NOM,GPE,The Petition
198,349,349,PROP,PER,Sasha
152,351,351,PROP,PER,Nemo
150,356,356,PROP,PER,Richard
384,358,360,NOM,PER,Book of Faces
385,365,367,NOM,PER,An Old Friend
12,369,371,PROP,FAC,Oakland High School
153,373,374,PROP,PER,Miss Kaprice
386,376,378,NOM,PER,The Princess of
13,379,380,PROP,GPE,East Oakland
154,389,389,PROP,PER,Prayers
387,392,392,PRON,PER,He
388,397,397,PRON,PER,It
14,418,418,PROP,GPE,Stripped
155,423,423,PROP,PER,Resolve
389,449,453,NOM,PER,The Man with the Mustache
15,458,462,PROP,FAC,The Rim Fire ’s Revenge
156,474,474,PROP,PER,Shyam
0,476,476,PRON,PER,I
0,478,478,PRON,PER,My
157,479,479,PROP,PER,Baby
158,487,488,PROP,PER,Miranda Warning
390,502,507,NOM,PER,A Man in a Kilt 144
