start_token,end_token,supersense_category,text
13,13,noun.cognition,imprint
15,17,noun.group,Macmillan Publishing Group
21,22,noun.location,Fifth Avenue
24,25,noun.location,New York
27,27,noun.location,NY
33,34,noun.person,Dashka Slater
41,42,noun.location,United States
44,45,noun.location,America Designed
47,48,noun.person,Anne Diebel
50,50,noun.communication,edition
54,57,noun.group,fiercereads.com Library of Congress
64,64,noun.communication,Names
66,66,noun.person,Slater
70,70,noun.person,author
72,72,noun.communication,Title
76,76,noun.artifact,bus
82,82,noun.communication,titles
87,87,noun.artifact,bus
94,95,noun.location,New York
97,99,noun.location,Farrar Straus Giroux
107,107,noun.attribute,Age
111,111,noun.communication,Identifiers
113,113,noun.group,LCCN
116,116,noun.communication,print
119,119,noun.group,LCCN
122,122,noun.communication,ebook
128,128,noun.communication,ebook
134,134,noun.artifact,hardcover
136,136,noun.communication,Subjects
138,138,noun.location,LCSH
140,140,noun.person,Fleischman
142,142,noun.location,Sasha
147,147,noun.person,Richard
151,151,noun.act,Assault
153,153,noun.group,battery
155,155,noun.location,California
158,158,noun.communication,literature
161,162,noun.act,Hate crimes
164,164,noun.location,California
167,167,noun.communication,literature
171,171,noun.group,people
173,173,noun.location,California
179,179,noun.communication,literature
182,182,noun.group,Victims
184,184,noun.act,crimes
186,186,noun.location,California
189,189,noun.communication,literature
193,193,noun.group,LCC
196,196,noun.communication,ebook
204,204,noun.communication,print
212,212,noun.communication,record
217,217,noun.communication,books
220,220,verb.possession,purchased
227,227,noun.act,business
231,231,verb.communication,contact
234,234,noun.person,bookseller
237,238,noun.group,Macmillan Corporate
241,242,noun.group,Sales Department
255,255,noun.communication,email
263,263,noun.communication,Note
265,265,noun.time,Monday
267,267,noun.time,November
272,272,noun.location,Oakland
274,274,noun.location,California
276,276,noun.communication,PART
279,279,noun.person,Sasha
281,281,noun.act,Tumbling
292,292,noun.person,Samantha
310,310,noun.person,Gender
316,316,noun.state,Romance
319,319,noun.communication,Terms
321,321,noun.person,Sasha
333,333,noun.communication,Skirts
335,335,noun.act,Running
340,340,noun.communication,Clipboards
369,369,noun.location,Oakland
379,380,noun.location,East Oakland
425,425,noun.communication,PART
431,431,noun.time,Monday
433,433,noun.time,November
453,453,noun.communication,Mustache
455,456,noun.act,Phone Call
465,466,noun.location,Ten O’Clock
499,499,noun.communication,Part
538,538,noun.time,Adolescence
608,608,noun.time,Days
613,613,noun.communication,PART
616,616,noun.communication,Justice
627,627,noun.location,Juvie
638,638,verb.communication,Say
649,649,noun.act,Dancing
680,680,noun.communication,Bargaining
730,730,noun.attribute,Level
739,739,noun.communication,Birthdays
754,754,noun.communication,Milestones
757,757,noun.communication,Numbers
765,765,noun.communication,Credits
768,768,verb.stative,is
771,771,noun.communication,Story
775,775,noun.group,people
778,778,noun.communication,book
779,779,verb.stative,are
785,785,noun.event,cases
786,786,noun.communication,pseudonyms
788,788,noun.communication,initials
790,790,verb.consumption,used
792,793,noun.person,Young people
795,795,verb.cognition,identified
798,798,noun.communication,name
802,802,noun.cognition,details
805,805,noun.communication,story
807,807,verb.cognition,pieced
811,811,noun.group,variety
813,813,noun.communication,sources
816,816,noun.communication,interviews
818,818,noun.communication,documents
820,820,noun.communication,letters
822,822,noun.communication,videos
824,824,noun.communication,diaries
826,827,noun.communication,social media
828,828,noun.communication,posts
832,832,noun.communication,records
834,834,noun.communication,Quotes
837,837,noun.communication,sources
838,838,verb.stative,are
844,844,noun.event,cases
