COREF,start_token,end_token,prop,cat,text
373,2,41,NOM,PER,A NEW YORK TIMES BESTSELLER A WILLIAM C. MORRIS AWARD FINALIST A KIDS1 INDIE NEXT LIST PICK A TEEN CHOICE BOOK AWARDS NOMINEE A BOOKEXPO EDITORS ’ BUZZ SELECTION A BUZZFEED BEST YA BOOK OF THE YEAR AS FEATURED IN
1,42,45,PROP,GPE,THE NEW YORK TIMES
374,47,56,NOM,PER,"THE ATLANTIC , BUZZFEED , BUSTLE , HYPABLE , HUFFPOST"
2,59,59,PROP,GPE,ATLANTA
3,88,88,PROP,GPE,America
86,92,93,PROP,PER,John Green
4,97,98,PROP,GPE,New York
5,99,99,PROP,ORG,Times
6,103,107,PROP,FAC,Turtles All the Way Down
1599,111,111,PRON,PER,your
1599,116,116,PRON,PER,your
87,123,124,PROP,PER,Becky Albertalli
88,128,128,PROP,PER,Simon
375,130,133,NOM,FAC,the Homo Sapiens Agenda
1600,144,144,PRON,PER,us
89,158,159,PROP,PER,Daniel Handler
90,161,162,PROP,PER,Lemony Snicket
4,165,166,PROP,GPE,New York
91,182,183,PROP,PER,Brendan Kiely
376,185,190,NOM,PER,bestselling coauthor of All American Boys
92,201,202,PROP,PER,Jeff Zentner
93,219,220,PROP,PER,Dhonielle Clayton
1601,222,225,NOM,PER,author of The Belles
94,237,238,PROP,PER,Jay Coles
377,249,249,NOM,PER,readers
7,288,289,PROP,LOC,The Atlantic
95,302,302,PROP,PER,HelloGiggles
378,333,333,PRON,PER,you
378,336,336,PRON,PER,you
96,351,351,PROP,PER,Bustle
378,358,358,PRON,PER,you
378,371,371,PRON,PER,you
8,387,388,PROP,FAC,Justine Magazine
379,405,417,NOM,PER,"a young man reckoning with the ugly , persistent violence of social injustice"
97,425,426,PROP,PER,Dear Martin
98,465,466,PROP,PER,Jason Reynolds
91,469,470,PROP,PER,Brendan Kiely
99,476,477,PROP,PER,Kekla Magoon
380,480,480,PRON,PER,It
381,488,488,NOM,PER,Teens
382,498,507,NOM,PER,an author who so clearly respects their voices and concerns
381,504,504,PRON,PER,their
97,515,515,PROP,PER,Stone
97,532,539,PROP,PER,The Horn Book DEAR MARTIN NIC STONE EMBER
383,560,561,NOM,PER,the author
384,572,573,NOM,PER,actual persons
100,592,594,PROP,PER,Andrea Nicole Livingstone
385,598,598,NOM,PER,boy
101,603,604,PROP,PER,Nigel Livingstone
386,611,613,NOM,GPE,the United States
97,615,615,PROP,PER,Ember
387,620,622,NOM,PER,Random House Children
388,626,632,NOM,ORG,a division of Penguin Random House LLC
389,629,632,NOM,PER,Penguin Random House LLC
4,634,635,PROP,GPE,New York
9,642,644,PROP,LOC,the United States
10,646,647,PROP,ORG,Crown Books
390,649,650,NOM,PER,Young Readers
4,652,653,PROP,GPE,New York
97,658,658,PROP,PER,Ember
11,667,670,PROP,FAC,Penguin Random House LLC
391,673,673,PRON,PER,us
392,681,681,NOM,PER,librarians
391,691,691,PRON,PER,us
12,694,697,PROP,ORG,The Library of Congress
97,713,713,PROP,PER,Nic
393,715,715,NOM,PER,author
97,719,723,PROP,PER,Dear Martin / Nic Stone
0,730,730,PRON,PER,I
4,731,732,PROP,GPE,New York
390,737,738,NOM,PER,Young Readers
395,749,755,NOM,PER,the late Dr. Martin Luther King Jr.
396,757,766,NOM,PER,seventeen - year - old college - bound Justyce McAllister
149,765,766,PROP,PER,Justyce McAllister
397,778,778,PRON,PER,they
149,781,781,PRON,PER,him
0,787,787,PRON,PER,I
0,801,801,PRON,PER,I
0,817,817,PRON,PER,I
0,833,833,PRON,PER,I
0,841,841,PRON,PER,I
0,846,846,PRON,PER,I
398,850,851,NOM,ORG,law enforcement
0,855,855,PRON,PER,I
0,861,861,PRON,PER,I
0,867,867,PRON,PER,I
103,870,873,PROP,PER,"Martin Luther , Jr."
13,915,915,PROP,GPE,Germany
399,945,945,PRON,PER,K
400,949,949,PRON,PER,your
401,949,950,NOM,PER,your besi
104,954,956,PROP,PER,Mr. Casey Weeks
0,960,960,PRON,PER,my
0,963,963,PRON,PER,I
402,980,987,PROP,PER,Reverend Dr. Martin Luther King Jr. Nobel Peace
149,1005,1005,PRON,PER,he
403,1009,1010,NOM,FAC,the street
149,1012,1012,PROP,PER,Justyce
404,1015,1015,PRON,PER,her
105,1017,1018,PROP,PER,Melo Taylor
405,1020,1022,NOM,PER,ex - girlfriend
404,1027,1027,PRON,PER,her
406,1030,1037,NOM,LOC,the damp concrete of the FarmFresh parking lot
407,1034,1037,NOM,FAC,the FarmFresh parking lot
404,1039,1039,PRON,PER,She
404,1049,1049,PRON,PER,her
404,1054,1054,PRON,PER,her
408,1059,1062,NOM,PER,a pulled party popper
149,1064,1064,PRON,PER,He
404,1066,1066,PRON,PER,she
404,1079,1079,PRON,PER,her
149,1081,1081,PROP,PER,Jus
149,1083,1083,PRON,PER,his
149,1091,1091,PRON,PER,his
409,1091,1093,NOM,PER,his best friend
107,1094,1094,PROP,PER,Manny
149,1098,1098,PRON,PER,he
107,1100,1100,PROP,PER,Manny
410,1100,1102,NOM,FAC,Manny ’s house
149,1114,1114,PRON,PER,he
404,1117,1117,PRON,PER,she
404,1119,1119,PRON,PER,her
149,1123,1123,PRON,PER,he
149,1127,1127,PRON,PER,his
404,1135,1135,PRON,PER,her
149,1143,1143,PRON,PER,you
1602,1145,1145,NOM,FAC,here
149,1148,1148,PROP,PER,Justyce
149,1150,1150,PRON,PER,himself
149,1155,1155,PRON,PER,he
404,1157,1157,PRON,PER,her
404,1166,1166,PRON,PER,her
404,1169,1169,PRON,PER,She
404,1175,1175,PRON,PER,her
149,1182,1182,PRON,PER,He
404,1188,1188,PRON,PER,her
105,1207,1207,PROP,PER,Melo
105,1210,1210,PRON,PER,you
404,1214,1214,PRON,PER,She
149,1216,1216,PRON,PER,his
105,1223,1223,PRON,PER,you
108,1227,1227,PROP,PER,Stung
149,1229,1229,PROP,PER,Justyce
149,1235,1235,PRON,PER,He
149,1243,1243,PRON,PER,he
149,1247,1247,PRON,PER,he
107,1255,1255,PROP,PER,Manny
410,1255,1257,NOM,FAC,Manny ’s house
107,1264,1264,PROP,PER,Manny
105,1270,1270,PROP,PER,Melo
149,1281,1281,PROP,PER,Jus
149,1286,1286,PRON,PER,he
149,1290,1290,PRON,PER,his
412,1290,1291,NOM,PER,his boy
149,1299,1299,PRON,PER,his
413,1303,1304,NOM,PER,an ex
149,1308,1308,PRON,PER,He
149,1315,1315,PROP,PER,Justyce
149,1319,1319,PRON,PER,he
109,1324,1324,PROP,PER,Jessa
149,1326,1326,PRON,PER,me
149,1329,1329,PRON,PER,he
105,1331,1331,PRON,PER,her
1603,1334,1335,NOM,PER,That skank
1604,1345,1345,NOM,PER,babe
109,1347,1347,PRON,PER,She
109,1350,1350,PRON,PER,me
109,1352,1352,PRON,PER,she
1604,1355,1355,PRON,PER,you
109,1358,1358,PROP,PER,Jessa
105,1363,1363,PROP,PER,Melo
414,1364,1364,NOM,FAC,home
109,1365,1365,PRON,PER,herself
110,1368,1368,PROP,PER,Mel
415,1372,1373,NOM,PER,the cops
110,1376,1376,PRON,PER,she
109,1381,1381,PROP,PER,Jessa
110,1385,1385,PRON,PER,her
109,1387,1387,PRON,PER,her
416,1387,1388,NOM,VEH,her car
105,1390,1390,PROP,PER,Melo
105,1397,1397,PRON,PER,she
105,1402,1402,PRON,PER,I
105,1406,1406,PRON,PER,her
105,1409,1409,PRON,PER,she
1605,1423,1424,NOM,PER,Nosy bitch
149,1427,1427,PROP,PER,Justyce
149,1429,1429,PRON,PER,his
149,1434,1434,PRON,PER,I
105,1440,1440,PRON,PER,you
414,1442,1442,NOM,FAC,home
149,1451,1451,PROP,PER,Justyce
149,1454,1454,PRON,PER,he
105,1459,1459,PROP,PER,Melo
414,1460,1460,NOM,FAC,home
149,1462,1462,PRON,PER,he
149,1467,1467,PRON,PER,he
149,1472,1472,PRON,PER,He
149,1474,1474,PRON,PER,his
107,1477,1477,PROP,PER,Manny
149,1482,1482,PRON,PER,his
418,1485,1492,NOM,PER,This Captain Save - A - Ho thing
149,1497,1497,PRON,PER,you
