start_token,end_token,supersense_category,text
2,18,noun.group,A NEW YORK TIMES BESTSELLER A WILLIAM C. MORRIS AWARD FINALIST A KIDS1 INDIE NEXT LIST PICK
22,23,noun.group,BOOK AWARDS
43,48,noun.group,"NEW YORK TIMES , THE ATLANTIC"
56,56,noun.group,HUFFPOST
59,64,noun.group,"ATLANTA JOURNALCONSTITUTION , AND BOOK RIOT"
74,74,noun.communication,story
76,77,verb.communication,lays bare
79,79,noun.time,history
83,83,noun.time,present
86,86,noun.cognition,racism
88,88,noun.location,America
92,93,noun.person,John Green
97,99,noun.group,New York Times
101,101,noun.person,author
103,104,noun.group,Turtles All
106,107,noun.location,Way Down
110,110,verb.emotion,charm
112,112,noun.artifact,socks
115,115,verb.contact,smash
117,117,noun.body,heart
123,124,noun.person,Becky Albertalli
126,126,noun.person,author
131,133,noun.group,Homo Sapiens Agenda
139,139,noun.attribute,voice
143,143,verb.cognition,takes
154,154,noun.cognition,place
158,159,noun.person,Daniel Handler
161,162,noun.person,Lemony Snicket
165,167,noun.group,New York Times
169,169,noun.person,author
173,173,noun.quantity,drop
175,175,noun.state,truth
182,183,noun.person,Brendan Kiely
186,186,noun.person,coauthor
195,195,noun.attribute,grace
197,197,noun.communication,humor
201,202,noun.person,Jeff Zentner
207,207,noun.person,author
219,220,noun.person,Dhonielle Clayton
222,222,noun.person,author
237,238,noun.person,Jay Coles
240,240,noun.person,author
242,243,noun.person,Tyler Johnson
249,249,noun.person,readers
251,251,verb.social,grapple
254,254,noun.process,evolution
257,257,noun.act,struggle
259,260,noun.group,civil rights
265,265,verb.communication,question
269,269,verb.stative,was
272,272,verb.stative,is
279,279,noun.act,way
281,281,verb.social,attain
282,282,noun.attribute,equality
288,289,noun.location,The Atlantic
297,298,noun.location,U Give
305,305,noun.communication,story
307,307,verb.social,goes
309,309,verb.stative,being
313,313,verb.stative,’s
315,315,noun.communication,story
317,317,verb.stative,is
328,328,noun.communication,read
331,331,verb.stative,stay
337,337,verb.change,finish
347,347,noun.act,debut
353,353,verb.communication,Dismantles
355,355,noun.cognition,idea
359,359,verb.stative,’re
367,367,noun.cognition,racism
370,370,verb.emotion,affect
403,403,noun.communication,portrait
406,407,noun.person,young man
408,408,verb.cognition,reckoning
414,414,noun.act,violence
417,417,noun.act,injustice
421,422,noun.group,Publishers Weekly
425,426,noun.person,Dear Martin
428,429,verb.stative,stands apart
432,432,noun.communication,literature
436,436,verb.perception,finds
440,440,verb.perception,look
442,442,noun.cognition,truths
445,445,noun.act,face
447,447,verb.cognition,Take
448,448,noun.cognition,interest
450,450,verb.communication,ask
451,451,noun.communication,questions
460,460,noun.artifact,work
463,463,verb.cognition,read
465,466,noun.person,Jason Reynolds
469,470,noun.person,Brendan Kiely
472,474,noun.group,All American Boys
476,477,noun.group,Kekla Magoon
488,488,noun.location,Teens
491,491,verb.emotion,delighted
493,493,verb.motion,speed
496,496,noun.communication,book
499,499,noun.person,author
503,503,verb.cognition,respects
505,505,noun.communication,voices
507,507,noun.feeling,concerns
511,511,noun.person,Shelf
516,516,verb.motion,veers
520,520,noun.state,resolutions
522,522,verb.social,allowing
523,523,noun.feeling,hope
525,525,verb.stative,reside
528,528,noun.location,places
535,539,noun.person,DEAR MARTIN NIC STONE EMBER
