COREF,start_token,end_token,prop,cat,text
597,15,32,PROP,PER,Michael L. Printz Honor Book Coretta Scott King Honor Book 2018 Carnegie Medal Nominee 2018 Edgar Allan Poe
1,61,68,PROP,FAC,Kids ’ Indie Next List Pick New York
598,95,98,NOM,PER,Young Adult and Children
127,109,110,PROP,PER,Angie Thomas
599,130,130,PRON,PER,our
128,135,136,PROP,PER,JOHN GREEN
599,143,143,PRON,PER,Our
2,143,144,PROP,FAC,Our Stars
599,147,147,PRON,PER,we
3,160,160,PROP,GPE,America
129,179,180,PROP,PER,JASON REYNOLDS
600,182,186,NOM,PER,coauthor of All American Boys
3405,194,194,NOM,PER,Everyone
130,202,203,PROP,PER,BECKY ALBERTALLI
131,207,207,PROP,PER,Simon
132,241,241,PROP,PER,Starr
133,245,246,PROP,PER,ADAM SILVERA
132,262,262,PROP,PER,Starr
3406,284,284,NOM,PER,readers
132,287,287,PROP,PER,Starr
3406,290,290,PRON,PER,their
132,293,293,PRON,PER,her
3407,293,294,NOM,PER,her friends
3408,296,296,NOM,PER,family
127,318,318,PROP,PER,Thomas
3409,334,336,NOM,PER,a teenage girl
132,338,338,PRON,PER,her
3410,338,340,NOM,PER,her loving family
132,343,343,PRON,PER,her
132,348,348,PRON,PER,she
3406,354,354,PRON,PER,their
132,385,385,PROP,PER,Starr
129,433,434,PROP,PER,Jason Reynolds
134,436,437,PROP,PER,Brendan Kiely
4,439,441,PROP,ORG,All American Boys
3411,479,484,NOM,GPE,the world today ’s teens inhabit
3412,481,483,NOM,PER,today ’s teens
3413,483,483,NOM,PER,teens
132,486,486,PROP,PER,Starr
127,495,495,PROP,PER,Thomas
127,533,533,PROP,PER,Thomas
3414,541,542,NOM,PER,multiple characters
132,545,545,PRON,PER,she
132,550,550,PROP,PER,Starr
127,555,555,PROP,PER,Thomas
3415,563,563,PRON,PER,your
135,573,574,PROP,PER,Kekla Magoon
129,581,582,PROP,PER,Jason Reynolds
134,584,585,PROP,PER,Brendan Kiely
3416,584,589,NOM,PER,Brendan Kiely ’s All American Boys
3417,621,626,NOM,PER,all young people concerned with fairness
132,629,629,PROP,PER,Starr
3418,635,643,NOM,PER,readers who know Starr ’s life like their own
132,638,638,PROP,PER,Starr
3418,642,642,PRON,PER,their
3419,648,648,NOM,PER,others
132,659,659,PRON,PER,her
127,663,664,PROP,PER,Angie Thomas
127,691,691,PROP,PER,Thomas
136,720,724,PROP,PER,THE HATE ANGIE THOMAS BALZER
5,726,726,PROP,GPE,BRAY
6,730,733,PROP,FAC,HarperCollinsPublishers U GIVE Balzer
5,735,735,PROP,GPE,Bray
127,751,752,PROP,PER,Angela Thomas
137,757,758,PROP,PER,Amandla Stenberg
601,765,769,NOM,LOC,the United States of America
3,769,769,PROP,GPE,America
7,805,808,PROP,FAC,HarperCollins Children ’s Books
602,810,814,NOM,ORG,a division of HarperCollins Publishers
8,813,814,PROP,FAC,HarperCollins Publishers
9,817,817,PROP,GPE,Broadway
10,819,820,PROP,GPE,New York
138,845,848,PROP,PER,Jenna Stempel - Lobell
139,865,865,PROP,PER,Grandma
0,869,869,PRON,PER,me
0,878,878,PRON,PER,I
603,881,883,NOM,PER,the advance reader
0,892,892,PRON,PER,my
0,908,908,PRON,PER,my
604,908,910,NOM,PER,my big sister
140,923,925,PROP,PER,the Easter Bunny
605,972,972,PRON,PER,It
0,974,974,PRON,PER,my
606,979,980,NOM,FAC,first apartment
0,998,998,PRON,PER,I
0,1012,1012,PRON,PER,I
141,1019,1020,PROP,PER,Starr Carter
607,1025,1025,PRON,PER,"2016,1"
608,1028,1043,NOM,FAC,the long car rides between my black neighborhood and the private school I attended across town
0,1033,1033,PRON,PER,my
609,1033,1035,NOM,FAC,my black neighborhood
610,1037,1043,NOM,FAC,the private school I attended across town
0,1040,1040,PRON,PER,I
611,1043,1043,NOM,GPE,town
0,1046,1046,PRON,PER,my
612,1051,1053,NOM,PER,unarmed black people
613,1057,1057,NOM,PER,police
