start_token,end_token,supersense_category,text
4,9,noun.group,U GIVE William C. Morris Award
59,59,noun.time,Spring
67,68,noun.location,New York
90,90,noun.time,Year
107,107,noun.time,Year
109,110,noun.person,Angie Thomas
112,112,verb.creation,written
121,121,noun.communication,novel
125,125,verb.cognition,remembered
128,128,noun.artifact,classic
131,131,noun.time,time
135,136,noun.person,JOHN GREEN
138,138,noun.person,author
148,148,verb.stative,continue
150,150,verb.competition,fight
152,152,noun.act,battle
154,154,noun.group,police
155,155,noun.attribute,brutality
158,158,noun.cognition,racism
160,160,noun.location,America
164,165,noun.location,U Give
166,166,verb.stative,serves
172,172,noun.artifact,ramrod
179,180,noun.person,JASON REYNOLDS
182,182,noun.person,coauthor
184,186,noun.group,All American Boys
196,196,verb.cognition,read
198,198,noun.communication,book
202,203,noun.person,BECKY ALBERTALLI
205,205,noun.person,author
207,207,noun.person,Simon
224,225,noun.act,prayer for
226,226,noun.event,change
230,231,verb.perception,look away
235,235,noun.act,battle
237,237,noun.attribute,justice
239,239,noun.act,Rally
241,241,noun.group,Starr
245,246,noun.person,ADAM SILVERA
248,248,noun.person,author
259,259,noun.communication,prose
260,260,verb.creation,delivered
262,262,noun.person,Starr
267,267,noun.attribute,voice
271,271,noun.attribute,characters
277,277,noun.state,relationship
278,278,noun.cognition,dynamics
281,281,noun.communication,novel
283,283,verb.communication,have
284,284,noun.person,readers
285,286,verb.emotion,rooting for
287,287,noun.person,Starr
289,289,verb.change,opening
291,291,noun.cognition,hearts
294,294,noun.person,friends
296,296,noun.group,family
299,299,noun.communication,story
300,300,verb.stative,is
304,304,noun.communication,story
305,305,verb.stative,is
314,314,noun.cognition,review
318,318,noun.person,Thomas
320,320,noun.communication,story
321,321,verb.stative,is
327,327,noun.attribute,strength
328,328,verb.stative,is
332,332,noun.communication,depiction
336,336,noun.person,girl
340,340,noun.group,family
344,344,noun.act,attempts
346,346,verb.change,reconcile
349,349,verb.cognition,knows
351,351,verb.stative,be
355,355,noun.time,lives
358,358,noun.attribute,way
360,360,noun.cognition,lives
362,362,verb.communication,depicted
369,369,noun.group,society
375,376,noun.group,PUBLISHERS WEEKLY
379,379,noun.cognition,review
383,383,verb.creation,written
385,385,noun.person,Starr
391,391,noun.communication,voice
394,394,verb.stative,is
396,396,noun.event,marvel
398,398,noun.attribute,verisimilitude
402,402,verb.cognition,examines
404,404,noun.group,worlds
406,406,noun.event,collision
411,411,noun.communication,book
413,413,verb.stative,demands
417,417,noun.group,readership
425,425,noun.communication,review
428,428,verb.social,Pair
431,431,noun.act,debut
433,434,noun.person,Jason Reynolds
436,437,noun.person,Brendan Kiely
443,443,verb.change,start
445,445,noun.communication,conversation
447,447,noun.cognition,racism
449,449,noun.group,police
450,450,noun.act,brutality
454,456,noun.group,Black Lives Matter
457,457,noun.event,movement
464,464,noun.communication,review
469,470,noun.location,U Give
471,471,verb.stative,is
476,476,noun.communication,novel
478,478,verb.perception,reflects
480,480,noun.group,world
481,481,noun.time,today
483,483,noun.person,teens
484,484,verb.stative,inhabit
486,486,noun.person,Starr
488,488,noun.act,struggles
489,489,verb.creation,create
492,492,noun.person,character
495,495,noun.person,Thomas
497,497,verb.cognition,tackles
498,498,noun.communication,topics
500,500,noun.cognition,racism
502,502,noun.group,gangs
504,504,noun.group,police
505,505,noun.act,violence
509,509,noun.act,dating
515,515,noun.communication,story
516,516,verb.stative,is
521,521,noun.group,libraries
525,525,noun.communication,VOYA
528,528,noun.communication,review
532,533,noun.person,author Thomas
534,534,verb.stative,is
537,537,verb.perception,capturing
539,539,noun.communication,voices
542,542,noun.person,characters
547,547,verb.social,succeeds
549,549,verb.change,restoring
550,550,noun.person,Starr
553,553,noun.attribute,voice
555,555,noun.person,Thomas
557,557,verb.creation,penned
566,566,noun.communication,novel
570,570,verb.emotion,galvanize
571,571,noun.person,fans
573,574,noun.person,Kekla Magoon
581,582,noun.person,Jason Reynolds
584,585,noun.person,Brendan Kiely
598,598,noun.cognition,review
603,603,noun.communication,book
604,604,verb.communication,emphasizes
606,606,noun.state,need
608,609,verb.communication,speak up
610,610,verb.creation,about
611,611,noun.act,injustice
616,616,noun.communication,message
619,619,verb.emotion,resonate
623,623,noun.group,people
626,626,noun.attribute,fairness
629,629,noun.person,Starr
631,631,noun.cognition,experience
633,633,verb.communication,speak
635,635,noun.person,readers
637,637,verb.cognition,know
638,638,noun.person,Starr
640,640,noun.state,life
645,645,verb.possession,provide
646,646,noun.cognition,perspective
655,655,noun.cognition,review
661,661,noun.communication,novel
663,664,noun.person,Angie Thomas
665,665,verb.creation,creates
668,668,verb.stative,be
672,672,noun.time,decade
676,676,noun.communication,voices
678,678,noun.communication,YA
679,679,noun.communication,fiction
684,684,noun.communication,scenario
685,685,verb.creation,depicted
687,687,verb.stative,is
691,691,noun.person,Thomas
696,696,noun.communication,writing
697,697,verb.change,moves
699,700,noun.communication,sound bites
702,702,verb.communication,represent
705,705,noun.group,people
707,707,noun.group,communities
710,710,noun.communication,headlines
718,718,noun.communication,review
736,736,verb.stative,is
738,738,noun.cognition,imprint
751,752,noun.person,Angela Thomas
757,758,noun.person,Amandla Stenberg
766,767,noun.location,United States
772,772,noun.relation,part
775,775,noun.communication,book
778,778,verb.consumption,used
780,780,verb.social,reproduced
783,783,noun.attribute,manner
786,787,noun.communication,written permission
791,791,noun.state,case
794,794,noun.communication,quotations
795,795,verb.communication,embodied
798,798,noun.communication,articles
800,800,noun.communication,reviews
803,803,noun.communication,information
804,804,verb.communication,address
805,808,noun.group,HarperCollins Children ’s Books
811,811,noun.cognition,division
813,814,noun.group,HarperCollins Publishers
817,817,noun.location,Broadway
819,820,noun.location,New York
822,822,noun.location,NY
826,830,noun.group,Library of Congress Control Number
842,842,noun.quantity,0
843,843,noun.communication,Typography
845,846,noun.person,Jenna Stempel
860,860,noun.communication,paperback
861,861,noun.communication,edition
868,868,verb.perception,showed
872,872,verb.stative,be
873,873,noun.state,light
876,876,noun.state,darkness
880,880,verb.possession,have
883,883,noun.person,reader
885,885,noun.communication,copy
893,893,noun.artifact,bookshelf
897,897,verb.contact,sits
910,910,noun.person,sister
912,912,verb.communication,say
915,915,noun.body,spine
916,916,verb.stative,is
920,920,noun.communication,pages
921,922,verb.stative,look like
924,925,noun.person,Easter Bunny
926,927,verb.stative,went to
928,928,noun.group,college
930,930,noun.attribute,streaks
932,932,noun.attribute,pink
938,938,verb.change,highlight
941,941,noun.communication,line
945,945,noun.communication,notes
946,946,verb.communication,scribbled
949,949,noun.communication,margins
950,950,verb.stative,are
952,953,noun.communication,exclamation marks
956,956,noun.communication,outcries
960,960,noun.communication,PART
966,966,noun.communication,copy
968,968,verb.stative,been
973,973,verb.perception,witnessed
975,976,noun.group,high school
977,977,noun.act,graduation
980,980,noun.artifact,apartment
984,984,noun.feeling,heartbreak
990,990,noun.communication,streaks
994,994,verb.stative,come
997,997,noun.time,weeks
999,999,verb.motion,carried
1004,1004,noun.communication,film
1005,1005,noun.communication,set
1008,1010,noun.group,Hate U Give
1013,1013,verb.perception,had
1016,1016,noun.attribute,honor
1018,1018,verb.communication,portraying
1019,1020,noun.person,Starr Carter
1023,1023,noun.time,February
1027,1027,verb.consumption,using
1030,1030,noun.artifact,car
1031,1031,verb.motion,rides
1035,1035,noun.group,neighborhood
1038,1039,noun.group,private school
1041,1041,verb.stative,attended
1043,1043,noun.location,town
1045,1045,verb.change,finish
1047,1047,noun.act,homework
1049,1049,noun.communication,Reports
1053,1053,noun.group,people
1055,1055,verb.competition,shot
1057,1057,noun.group,police
1058,1058,verb.perception,blared
1061,1061,noun.communication,radio
1064,1064,verb.body,winced
1067,1067,noun.person,reporters
1068,1068,verb.creation,painted
1070,1070,noun.person,victims
1072,1072,noun.person,thugs
1074,1074,verb.consumption,used
1076,1076,noun.communication,word
1078,1078,noun.act,riot
1081,1081,verb.communication,describe
1083,1083,noun.act,protests
1084,1084,verb.change,happening
1087,1087,noun.location,neighborhood
1091,1091,noun.group,community
1095,1095,verb.emotion,release
1097,1097,noun.feeling,grief
1099,1099,noun.feeling,anguish
1102,1102,verb.competition,battling
1104,1105,noun.cognition,calculus equations
1109,1109,verb.social,join
1111,1111,noun.event,upsurge
1113,1113,noun.communication,voices
1116,1116,verb.communication,say
1125,1125,noun.event,time
1128,1128,noun.communication,manuscript
1130,1131,verb.communication,shaking up
1133,1133,noun.act,publishing
1134,1134,noun.group,world
1137,1137,noun.person,mother
1138,1138,verb.cognition,read
1140,1140,noun.communication,article
1142,1143,noun.person,Angie Thomas
1146,1146,noun.person,author
1149,1149,noun.communication,book
1150,1150,verb.stative,was
1155,1155,noun.group,publishers
1157,1157,verb.competition,competed
1161,1161,noun.act,auction
1163,1163,verb.possession,buy
1167,1167,noun.person,mother
1169,1169,verb.emotion,struck
1172,1172,noun.communication,description
1175,1175,noun.communication,book
1177,1177,noun.person,protagonist
1179,1180,noun.person,Starr Carter
1185,1185,noun.time,year
1188,1188,noun.person,girl
1190,1190,verb.communication,code
1192,1192,verb.motion,switched
1195,1195,noun.cognition,worlds
1199,1199,noun.group,neighborhood
1204,1205,noun.group,private school
1214,1214,noun.person,girls
1216,1216,noun.person,Starr
1218,1218,verb.cognition,learning
1220,1220,verb.consumption,use
1222,1222,noun.attribute,voice
1225,1225,noun.attribute,face
1227,1227,noun.group,police
1228,1228,noun.attribute,brutality
1231,1231,noun.person,Amandla
1235,1235,verb.communication,said
1239,1239,verb.perception,sounds
1245,1245,noun.person,mama
1250,1250,noun.state,situation
1254,1254,verb.stative,been
1257,1257,verb.change,turn
1258,1258,noun.food,lemons
1260,1260,noun.food,lemonade
1263,1263,verb.cognition,think
1265,1265,verb.possession,got
