COREF,start_token,end_token,prop,cat,text
59,6,8,PROP,PER,ELIZABETH ACEVEDO HarperTeen
1,13,14,PROP,ORG,HarperCollins Publishers
59,22,23,PROP,PER,Elizabeth Acevedo
2,30,34,PROP,GPE,the United States of America
177,75,79,NOM,ORG,a division of HarperCollins Publishers
1,78,79,PROP,FAC,HarperCollins Publishers
4,82,82,PROP,GPE,Broadway
5,84,85,PROP,GPE,New York
6,87,87,PROP,GPE,NY
60,110,111,PROP,PER,Erin Fitzsimmons
61,124,125,PROP,PER,Katherine Bolanos
0,127,127,PRON,PER,my
178,127,129,NOM,PER,my former students
7,131,134,PROP,FAC,Buck Lodge Middle School
179,141,143,NOM,PER,the little sisters
179,147,147,PRON,PER,themselves
180,151,151,PRON,PER,you
8,167,169,PROP,FAC,Stoop - Sitting
9,189,189,PROP,GPE,Harlem
0,197,197,PRON,PER,I
181,200,201,NOM,FAC,this block
0,202,202,PRON,PER,I
182,206,206,NOM,FAC,home
183,209,212,NOM,PER,the old church ladies
183,220,220,PRON,PER,their
183,230,230,PRON,PER,they
0,232,232,PRON,PER,he
184,235,235,PRON,PER,she
185,242,243,NOM,FAC,the block
0,245,245,PRON,PER,he
186,251,253,NOM,PER,the little kids
187,263,264,NOM,VEH,honking cabs
187,269,269,PRON,PER,their
188,277,279,NOM,FAC,the Little Park
189,283,284,NOM,PER,the viejos
0,286,286,PRON,PER,my
190,286,287,NOM,PER,my father
189,292,292,PRON,PER,their
0,307,307,PRON,PER,my
191,311,318,NOM,PER,the drug dealers posted up near the building
192,317,318,NOM,FAC,the building
191,325,325,PRON,PER,their
193,338,345,NOM,PER,the girls in summer dresses and short shorts
62,350,350,PROP,PER,Xiomara
0,352,352,PRON,PER,you
0,365,365,PRON,PER,you
870,374,374,NOM,FAC,school
0,380,380,PRON,PER,you
871,380,382,NOM,PER,you church girls
872,381,382,NOM,PER,church girls
873,384,385,NOM,PER,all freaks
0,389,389,PRON,PER,I
191,391,391,PRON,PER,their
0,409,409,PRON,PER,me
63,411,411,PROP,PER,Mami
182,414,414,NOM,FAC,home
195,424,424,NOM,FAC,upstairs
0,430,430,PRON,PER,I
0,439,439,PRON,PER,my
190,439,440,NOM,PER,my father
63,444,444,PROP,PER,Mami
