start_token,end_token,supersense_category,text
9,9,verb.stative,is
11,11,noun.cognition,imprint
13,14,noun.group,HarperCollins Publishers
22,23,noun.person,Elizabeth Acevedo
31,32,noun.location,United States
34,34,noun.location,America
37,37,noun.relation,part
40,40,noun.communication,book
43,43,verb.consumption,used
45,45,verb.creation,reproduced
48,48,noun.attribute,manner
51,52,noun.communication,written permission
56,56,noun.state,case
59,59,noun.communication,quotations
60,60,verb.stative,embodied
63,63,noun.communication,articles
65,65,noun.communication,reviews
69,69,verb.communication,address
76,76,noun.group,division
78,79,noun.group,HarperCollins Publishers
82,82,noun.location,Broadway
84,85,noun.location,New York
87,88,noun.location,NY 10007
90,95,noun.group,www.epicreads.com Library of Congress Control Number
108,108,noun.communication,Typography
110,111,noun.person,Erin Fitzsimmons
119,119,noun.communication,paperback
120,120,noun.communication,edition
124,125,noun.person,Katherine Bolanos
129,129,noun.person,students
131,134,noun.group,Buck Lodge Middle School
143,143,noun.person,sisters
144,144,verb.emotion,yearning
146,146,verb.perception,see
152,152,verb.change,START
154,154,noun.communication,BOOK
159,160,noun.location,Beginning Was
163,163,noun.time,Friday
165,165,noun.time,August
167,167,noun.act,Stoop
169,169,noun.act,Sitting
171,171,noun.time,summer
173,173,verb.social,made
175,175,noun.act,stoop
177,177,noun.act,sitting
184,184,noun.time,week
186,186,noun.group,school
187,187,verb.change,starts
189,189,noun.location,Harlem
191,191,verb.contact,opening
193,193,noun.body,eyes
195,195,noun.time,September
198,198,verb.perception,scope
201,201,noun.artifact,block
208,208,verb.social,Watch
211,211,noun.artifact,church
212,212,noun.person,ladies
214,214,noun.person,chancletas
215,215,verb.perception,flapping
218,218,noun.artifact,pavement
221,221,noun.body,mouths
222,223,verb.stative,letting loose
225,225,noun.artifact,train
227,228,noun.communication,island Spanish
231,231,verb.contact,spread
233,233,verb.communication,said
236,236,verb.communication,said
238,239,noun.person,Peep Papote
243,243,noun.artifact,block
246,246,verb.contact,opens
248,249,noun.artifact,fire hydrant
253,253,noun.person,kids
254,254,verb.possession,have
256,256,noun.artifact,sprinkler
258,259,verb.motion,run through
261,261,verb.perception,Listen
264,264,noun.artifact,cabs
266,266,noun.communication,bachata
267,267,noun.event,blaring
271,271,noun.artifact,windows
272,272,verb.stative,compete
274,274,noun.artifact,basketballs
275,275,verb.perception,echoing
278,279,noun.location,Little Park
281,281,verb.communication,Laugh
284,284,noun.person,viejos
287,287,noun.person,father
289,289,verb.stative,included
291,291,verb.change,finishing
293,293,noun.artifact,dominoes
294,294,noun.event,tournament
297,297,noun.act,slaps
299,299,noun.communication,yells
302,302,noun.communication,Capicu
306,306,verb.body,Shake
308,308,noun.body,head
312,313,noun.person,drug dealers
314,314,verb.contact,posted
318,318,noun.artifact,building
319,319,verb.body,smile
323,323,noun.time,summer
327,327,noun.communication,scowls
328,328,verb.change,softening
330,330,noun.substance,glue
333,333,noun.body,stares
336,336,noun.location,direction
339,339,noun.person,girls
341,341,noun.time,summer
342,342,noun.artifact,dresses
345,345,noun.artifact,shorts
348,348,noun.communication,Ayo
350,350,noun.person,Xiomara
355,355,verb.change,start
