COREF,start_token,end_token,prop,cat,text
373,2,4,PROP,PER,BECKY ALBERTALLI Simon
374,6,18,NOM,PER,the Homo Sapiens Agenda William C. Morris YA Debut Award Winner National Book
375,26,26,PRON,PER,Our
1880,35,43,NOM,PER,The love child of John Green and Rainbow Rowell
99,39,40,PROP,PER,John Green
100,42,43,PROP,PER,Rainbow Rowell
1881,67,67,NOM,PER,Readers
111,74,74,PROP,PER,Simon
1,78,79,PROP,FAC,Publishers Weekly
374,85,85,PRON,PER,I
2,95,95,PROP,GPE,LaCour
375,103,103,PRON,PER,We
373,138,138,PRON,PER,she
373,154,154,PRON,PER,her
102,157,157,PROP,PER,Molly
373,161,161,PRON,PER,her
1882,181,181,PRON,PER,you
103,192,192,PRON,PER,I
103,220,220,PROP,PER,Murphy
104,240,240,PRON,PER,I
104,250,251,PROP,PER,Stephanie Perkins
3,254,254,PROP,GPE,York
105,259,259,PROP,PER,Anna
106,261,263,PROP,PER,the French Kiss
1883,276,276,NOM,PER,families
376,290,292,PROP,PER,Becky Albertalli Simon
377,294,301,NOM,PER,the Homo Sapiens Agenda The Upside of Unrequited
378,304,304,PRON,PER,It
379,306,306,PRON,PER,Us
107,309,310,PROP,PER,Adam Silvera
108,312,312,PROP,PER,LEAH
109,317,319,PROP,PER,Becky Albertalli BALZER
4,325,326,PROP,FAC,HarperCollins Publishers
380,328,334,NOM,PER,the readers who knew something was up
0,338,338,PRON,PER,I
5,341,341,PROP,GPE,Balzer
248,343,343,PROP,GPE,Bray
4,348,349,PROP,FAC,HarperCollins Publishers
108,351,351,PROP,PER,Leah
109,359,360,PROP,PER,Becky Albertalli
7,367,371,PROP,GPE,the United States of America
381,412,416,NOM,ORG,a division of HarperCollins Publishers
4,415,416,PROP,FAC,HarperCollins Publishers
8,419,419,PROP,GPE,Broadway
9,421,422,PROP,GPE,New York
382,428,432,NOM,ORG,Library of Congress Control Number
110,447,448,PROP,PER,Torborg Davern
0,471,471,PRON,PER,I
111,479,479,PROP,PER,God
0,481,481,PRON,PER,me
112,483,483,PROP,PER,Morgan
383,485,485,PRON,PER,our
384,489,490,NOM,PER,That girl
385,492,494,NOM,PER,a suburban dad
386,499,502,NOM,PER,a high school senior
384,510,510,PRON,PER,she
384,529,529,PRON,PER,her
0,538,538,PRON,PER,I
387,540,543,NOM,PER,a very tolerant person
388,547,548,NOM,PER,an American
389,550,551,NOM,PER,a musician
390,554,559,NOM,PER,a self - respecting human being
0,564,564,PRON,PER,my
0,567,567,PRON,PER,my
0,575,575,PRON,PER,I
0,579,579,PRON,PER,my
384,584,584,PRON,PER,her
113,588,590,PROP,PER,No Bon Jovi
112,603,603,PROP,PER,Morgan
1884,606,606,NOM,PER,People
1884,618,618,NOM,PER,People
1886,623,623,PRON,PER,we
105,629,629,PROP,PER,Anna
105,631,631,PRON,PER,her
108,635,635,PROP,PER,Leah
108,638,638,PRON,PER,you
0,644,644,PRON,PER,I
0,657,657,PRON,PER,I
0,666,666,PRON,PER,I
105,670,670,PROP,PER,Anna
112,672,672,PROP,PER,Morgan
391,680,680,PRON,PER,It
392,687,687,PRON,PER,we
384,690,690,PRON,PER,she
384,695,695,PRON,PER,her
384,700,700,PRON,PER,I
0,717,717,PRON,PER,I
105,729,729,PRON,PER,I
105,735,735,PROP,PER,Anna
1887,739,739,PRON,PER,They
1887,750,750,PRON,PER,they
1888,761,763,NOM,VEH,a midnight train
393,771,771,PRON,PER,They
384,784,784,PRON,PER,she
108,794,796,PROP,PER,Leah Catherine Burke
394,798,800,NOM,PER,an actual genius
392,803,803,PRON,PER,we
108,808,808,PRON,PER,her
112,813,813,PRON,PER,I
392,815,815,PRON,PER,we
114,822,822,PROP,PER,Taylor
115,824,824,PROP,PER,Nora
112,829,829,PROP,PER,Morgan
112,833,833,PRON,PER,she
114,842,842,PROP,PER,Taylor
115,844,844,PROP,PER,Nora
395,854,857,NOM,PER,the rest of us
392,857,857,PRON,PER,us
396,871,871,PRON,PER,your
397,871,875,NOM,PER,your singer and lead guitarist
398,874,875,NOM,PER,lead guitarist
105,881,881,PROP,PER,Anna
105,886,886,PRON,PER,I
392,888,888,PRON,PER,we
1889,891,891,NOM,FAC,here
0,902,902,PRON,PER,I
0,904,904,PRON,PER,I
116,910,910,PROP,PER,Journey
0,914,914,PRON,PER,I
0,918,918,PRON,PER,I
0,922,922,PRON,PER,I
0,932,932,PRON,PER,I
392,936,936,PRON,PER,we
112,961,961,PROP,PER,Morgan
105,968,968,PROP,PER,Anna
105,971,971,PRON,PER,her
399,971,972,NOM,PER,her mom
105,975,975,PRON,PER,her
0,978,978,PRON,PER,I
0,985,985,PRON,PER,My
400,985,986,NOM,PER,My mom
1889,990,990,NOM,FAC,here
0,997,997,PRON,PER,I
402,1000,1002,NOM,FAC,the music room
403,1005,1005,PRON,PER,they
0,1008,1008,PRON,PER,I
0,1022,1022,PRON,PER,I
0,1024,1024,PRON,PER,my
0,1069,1069,PRON,PER,I
0,1074,1074,PRON,PER,my
0,1088,1088,PRON,PER,my
400,1088,1089,NOM,PER,my mom
400,1091,1091,PRON,PER,She
405,1102,1102,PRON,PER,You
400,1105,1105,PRON,PER,she
400,1115,1115,PRON,PER,she
0,1121,1121,PRON,PER,I
0,1132,1132,PRON,PER,I
405,1135,1135,PRON,PER,your
117,1138,1140,PROP,PER,Slytherin Rory Gilmore
0,1142,1142,PRON,PER,I
118,1152,1152,PROP,PER,Mom
0,1155,1155,PRON,PER,me
406,1172,1172,NOM,PER,sweetie
0,1174,1174,PRON,PER,I
406,1180,1180,PRON,PER,you
407,1182,1183,NOM,VEH,the bus
0,1188,1188,PRON,PER,I
406,1192,1192,PRON,PER,You
118,1200,1200,PROP,PER,Mom
408,1200,1202,NOM,PER,Mom ’s boss
409,1204,1208,NOM,PER,an unstoppable robot workaholic lawyer
118,1222,1222,PRON,PER,she
410,1235,1236,NOM,PER,a mom
0,1242,1242,PRON,PER,I
118,1248,1248,PRON,PER,she
411,1251,1254,NOM,PER,some guy named Wells
119,1254,1254,PROP,PER,Wells
411,1262,1262,PRON,PER,He
0,1274,1274,PRON,PER,I
411,1276,1276,PRON,PER,he
0,1281,1281,PRON,PER,I
411,1283,1283,PRON,PER,him
411,1290,1290,PRON,PER,he
0,1305,1305,PRON,PER,I
412,1309,1310,NOM,VEH,a car
0,1321,1321,PRON,PER,I
118,1323,1323,PROP,PER,Mom
413,1324,1324,NOM,FAC,home
0,1326,1326,PRON,PER,I
0,1330,1330,PRON,PER,myself
414,1333,1334,NOM,FAC,the garage
118,1337,1337,PROP,PER,Mom
415,1337,1339,NOM,VEH,Mom ’s car
0,1345,1345,PRON,PER,my
416,1345,1346,NOM,VEH,my car
118,1348,1348,PRON,PER,her
417,1348,1349,NOM,VEH,her car
0,1353,1353,PRON,PER,I
413,1357,1357,NOM,FAC,home
419,1359,1362,NOM,PER,thirty - five freshmen
0,1366,1366,PRON,PER,I
420,1370,1370,PRON,PER,We
402,1377,1379,NOM,FAC,the music room
0,1384,1384,PRON,PER,I
422,1393,1395,NOM,FAC,the storage closet
0,1401,1401,PRON,PER,I
423,1403,1410,NOM,PER,the only one who uses the school kit
424,1412,1415,NOM,PER,Everyone else who plays
424,1417,1417,PRON,PER,their
424,1425,1425,PRON,PER,their
425,1425,1427,NOM,FAC,their personal mansions
0,1429,1429,PRON,PER,My
426,1429,1430,NOM,PER,My friend
120,1431,1431,PROP,PER,Nick
120,1443,1443,PRON,PER,he
0,1449,1449,PRON,PER,I
29,1462,1463,PROP,LOC,Shady Creek
427,1465,1467,NOM,VEH,The late bus
0,1477,1477,PRON,PER,I
0,1479,1479,PRON,PER,I
428,1482,1484,NOM,PER,a theater groupie
429,1486,1487,NOM,PER,No one
0,1491,1491,PRON,PER,I
0,1506,1506,PRON,PER,I
0,1512,1512,PRON,PER,I
1884,1514,1514,NOM,PER,people
0,1516,1516,PRON,PER,I
431,1523,1526,NOM,PER,Most of my friends
0,1525,1525,PRON,PER,my
432,1525,1526,NOM,PER,my friends
120,1530,1530,PROP,PER,Nick
120,1539,1539,PRON,PER,his
0,1544,1544,PRON,PER,I
120,1548,1548,PRON,PER,he
120,1556,1556,PRON,PER,his
433,1556,1559,NOM,PER,his sickeningly adorable girlfriend
120,1563,1563,PRON,PER,he
434,1565,1567,NOM,PER,a true legend
120,1569,1569,PRON,PER,he
0,1577,1577,PRON,PER,I
435,1579,1585,NOM,FAC,the side hallway that leads directly backstage
436,1585,1585,NOM,FAC,backstage
437,1595,1599,NOM,PER,the first person I see
0,1598,1598,PRON,PER,I
437,1603,1603,PRON,PER,himself
0,1605,1605,PRON,PER,my
438,1605,1608,NOM,PER,my number one bro
439,1610,1612,NOM,PER,demolisher of Oreos
121,1612,1612,PROP,PER,Oreos
111,1614,1615,PROP,PER,Simon Spier
108,1619,1619,PROP,PER,Leah
437,1622,1622,PRON,PER,He
440,1635,1635,NOM,PER,dudes
122,1640,1641,PROP,PER,Ms. Albright
441,1643,1645,NOM,PER,so many guys
111,1651,1651,PROP,PER,Simon
441,1655,1655,PRON,PER,them
0,1658,1658,PRON,PER,You
111,1664,1664,PRON,PER,my
437,1669,1669,PRON,PER,I
437,1675,1675,PRON,PER,You
437,1684,1684,PRON,PER,I
0,1686,1686,PRON,PER,you
437,1689,1689,PRON,PER,He
0,1691,1691,PRON,PER,me
0,1696,1696,PRON,PER,me
437,1701,1701,PRON,PER,I
0,1703,1703,PRON,PER,you
0,1706,1706,PRON,PER,I
0,1710,1710,PRON,PER,you
0,1714,1714,PRON,PER,I
437,1718,1718,PRON,PER,you
0,1723,1723,PRON,PER,me
0,1727,1727,PRON,PER,I
0,1743,1743,PRON,PER,I
1890,1750,1751,NOM,PER,the boys
0,1764,1764,PRON,PER,I
1890,1770,1770,PRON,PER,them
123,1777,1777,PROP,PER,Joseph
1891,1779,1782,NOM,PER,the Amazing Technicolor Dreamcoat
1892,1785,1789,NOM,PER,all of Joseph ’s brothers
123,1787,1787,PROP,PER,Joseph
1893,1787,1789,NOM,PER,Joseph ’s brothers
0,1797,1797,PRON,PER,I
0,1819,1819,PRON,PER,me
111,1823,1823,PROP,PER,Simon
0,1828,1828,PRON,PER,me
111,1836,1836,PROP,PER,Simon
111,1838,1838,PRON,PER,you
407,1855,1856,NOM,VEH,the bus
443,1858,1858,PRON,PER,We
11,1862,1863,PROP,FAC,Waffle House
1890,1872,1873,NOM,PER,The boys
0,1878,1878,PRON,PER,I
0,1892,1892,PRON,PER,I
124,1895,1896,PROP,PER,Cal Price
1895,1898,1900,NOM,PER,the stage manager
125,1913,1913,PROP,PER,Red
124,1920,1920,PRON,PER,he
125,1922,1922,PRON,PER,me
125,1926,1926,PRON,PER,I
1896,1929,1930,NOM,PER,a redhead
124,1936,1936,PROP,PER,Cal
124,1945,1945,PRON,PER,he
125,1954,1954,PRON,PER,my
125,1957,1957,PRON,PER,My
1897,1957,1958,NOM,PER,My dad
125,1962,1962,PRON,PER,me
125,1963,1963,PROP,PER,Red
1897,1967,1967,PRON,PER,he
125,1971,1971,PRON,PER,me
125,1975,1975,PRON,PER,you
124,1981,1981,PROP,PER,Cal
125,1985,1985,PRON,PER,I
125,1987,1987,PRON,PER,my
124,1990,1990,PRON,PER,He
124,1992,1992,PRON,PER,his
1898,1995,1996,NOM,FAC,the stage
125,2001,2001,PRON,PER,I
1890,2008,2009,NOM,PER,The boys
125,2013,2013,PRON,PER,I
1900,2024,2026,NOM,PER,The choir teacher
111,2039,2039,PROP,PER,Simon
111,2045,2045,PRON,PER,his
125,2050,2050,PRON,PER,you
12,2056,2056,PROP,GPE,Canaan
444,2059,2059,PRON,PER,His
444,2069,2069,PRON,PER,his
444,2077,2077,PRON,PER,he
444,2087,2087,PRON,PER,his
444,2091,2091,PRON,PER,his
0,2097,2097,PRON,PER,I
115,2120,2120,PROP,PER,Nora
0,2124,2124,PRON,PER,me
115,2131,2131,PRON,PER,I
444,2134,2134,PRON,PER,him
444,2138,2138,PRON,PER,his
1901,2138,2139,NOM,FAC,his bedroom
115,2145,2145,PRON,PER,me
444,2146,2146,PRON,PER,he
111,2150,2150,PRON,PER,you
444,2153,2153,PRON,PER,him
444,2157,2157,PRON,PER,He
115,2161,2161,PRON,PER,I
444,2164,2164,PRON,PER,him
111,2169,2169,PROP,PER,Simon
111,2172,2172,PRON,PER,you
111,2178,2178,PRON,PER,you
0,2185,2185,PRON,PER,I
111,2189,2189,PRON,PER,you
111,2198,2198,PROP,PER,Simon
0,2207,2207,PRON,PER,I
111,2215,2215,PRON,PER,him
0,2232,2232,PRON,PER,I
445,2238,2239,NOM,PER,a Spier
446,2242,2243,NOM,PER,that family
0,2248,2248,PRON,PER,I
115,2251,2251,PROP,PER,Nora
0,2253,2253,PRON,PER,my
447,2253,2258,NOM,PER,my sister - in - law
448,2262,2267,NOM,PER,an awesome older sister in college
126,2270,2271,PROP,PER,the Spiers
449,2274,2288,NOM,FAC,"this huge , gorgeous house that does n’t have clothes and clutter on every surface"
0,2290,2290,PRON,PER,I
126,2293,2293,PRON,PER,their
0,2301,2301,PRON,PER,I
450,2311,2312,NOM,FAC,the auditorium
451,2316,2318,NOM,PER,the theater kids
127,2324,2324,PROP,PER,Alley
0,2327,2327,PRON,PER,I
452,2344,2345,NOM,FAC,the room
0,2347,2347,PRON,PER,I
118,2357,2357,PROP,PER,Mom
0,2363,2363,PRON,PER,me
453,2373,2373,PRON,PER,You
429,2385,2386,NOM,PER,no one
453,2392,2392,PRON,PER,You
402,2397,2399,NOM,FAC,the music room
453,2401,2401,PRON,PER,you
453,2413,2413,PRON,PER,you
453,2426,2426,PRON,PER,You
456,2428,2429,NOM,PER,an audience
456,2434,2435,NOM,PER,an audience
128,2442,2443,PROP,PER,Abby Suso
128,2458,2458,PRON,PER,she
128,2462,2462,PRON,PER,She
128,2469,2469,PRON,PER,She
120,2479,2479,PROP,PER,Nick
114,2481,2481,PROP,PER,Taylor
128,2484,2484,PRON,PER,she
128,2491,2491,PRON,PER,she
128,2500,2500,PRON,PER,She
122,2513,2514,PROP,PER,Ms. Albright
1884,2533,2533,NOM,PER,people
453,2538,2538,PRON,PER,you
122,2540,2541,PROP,PER,Ms. Albright
128,2551,2551,PROP,PER,Abby
0,2558,2558,PRON,PER,I
0,2562,2562,PRON,PER,my
128,2565,2565,PRON,PER,her
122,2572,2573,PROP,PER,Ms. Albright
459,2575,2576,NOM,PER,the cast
460,2581,2581,NOM,PER,Everyone
460,2583,2583,PRON,PER,themselves
461,2586,2587,NOM,FAC,the platforms
111,2591,2591,PROP,PER,Simon
120,2593,2593,PROP,PER,Nick
1898,2599,2600,NOM,FAC,the stage
128,2604,2604,PROP,PER,Abby
120,2609,2609,PROP,PER,Nick
120,2611,2611,PRON,PER,his
128,2614,2614,PRON,PER,her
128,2618,2618,PRON,PER,she
120,2623,2623,PRON,PER,him
1889,2636,2636,NOM,FAC,here
0,2639,2639,PRON,PER,I
122,2644,2645,PROP,PER,Ms. Albright
114,2658,2659,PROP,PER,Taylor Metternich
464,2662,2662,PRON,PER,yourself
464,2665,2665,PRON,PER,your
0,2668,2668,PRON,PER,I
114,2673,2673,PROP,PER,Taylor
465,2681,2681,PRON,PER,her
0,2685,2685,PRON,PER,I
465,2689,2689,PRON,PER,she
466,2697,2697,PRON,PER,our
122,2700,2701,PROP,PER,Ms. Albright
460,2708,2708,NOM,PER,everyone
450,2712,2713,NOM,FAC,the auditorium
111,2722,2722,PROP,PER,Simon
120,2724,2724,PROP,PER,Nick
128,2727,2727,PROP,PER,Abby
469,2733,2735,NOM,FAC,the orchestra pit
0,2737,2737,PRON,PER,I
470,2744,2745,NOM,FAC,the aisle
471,2748,2748,PRON,PER,them
0,2754,2754,PRON,PER,me
471,2761,2761,PRON,PER,them
0,2766,2766,PRON,PER,me
108,2780,2780,PROP,PER,Leah
128,2791,2792,PROP,PER,Abby Suso
0,2794,2794,PRON,PER,me
0,2799,2799,PRON,PER,I
111,2803,2803,PROP,PER,Simon
111,2806,2806,PRON,PER,You
128,2812,2812,PRON,PER,I
108,2817,2817,PRON,PER,you
1889,2819,2819,NOM,FAC,here
128,2822,2822,PROP,PER,Abby
128,2829,2829,PRON,PER,she
108,2845,2845,PRON,PER,you
108,2849,2849,PROP,PER,Leah
0,2854,2854,PRON,PER,I
108,2859,2859,PRON,PER,you
108,2861,2861,PRON,PER,you
0,2868,2868,PRON,PER,I
0,2873,2873,PRON,PER,I
128,2884,2884,PROP,PER,Abby
0,2886,2886,PRON,PER,I
0,2890,2890,PRON,PER,I
1903,2892,2892,PRON,PER,you
1904,2892,2893,NOM,PER,you guys
11,2897,2898,PROP,FAC,Waffle House
129,2904,2904,PRON,PER,I
1904,2906,2906,PRON,PER,we
115,2911,2911,PROP,PER,Nora
129,2915,2916,PROP,PER,Martin Addison
130,2923,2923,PROP,PER,Simeon
129,2926,2926,PRON,PER,he
131,2932,2932,PROP,PER,Reuben
111,2936,2936,PROP,PER,Simon
111,2941,2941,PRON,PER,his
472,2946,2946,PRON,PER,their
473,2946,2947,NOM,PER,their characters
111,2954,2954,PROP,PER,Simon
474,2956,2959,NOM,PER,a guy named Simeon
130,2959,2959,PROP,PER,Simeon
0,2962,2962,PRON,PER,I
