start_token,end_token,supersense_category,text
2,3,noun.person,BECKY ALBERTALLI
7,13,noun.group,Homo Sapiens Agenda William C. Morris YA
29,29,noun.state,level
30,30,noun.act,obsession
37,37,noun.person,child
39,40,noun.person,John Green
42,43,noun.person,Rainbow Rowell
63,63,noun.cognition,review
67,67,noun.person,Readers
69,69,verb.motion,fall
72,72,noun.feeling,love
74,74,noun.person,Simon
78,79,noun.group,Publishers Weekly
82,82,noun.communication,review
86,86,verb.stative,am
92,92,noun.communication,book
95,95,noun.person,LaCour
101,101,noun.person,author
117,117,noun.communication,kisses
120,120,noun.feeling,loves
126,126,noun.cognition,experiences
130,130,verb.communication,dealt
134,134,noun.cognition,form
139,139,verb.cognition,tackles
142,142,noun.event,milestones
148,148,noun.attribute,aplomb
155,155,noun.act,exploration
157,157,noun.person,Molly
159,159,noun.cognition,worries
163,163,noun.attribute,weight
165,165,verb.stative,results
168,168,noun.cognition,character
170,170,verb.stative,is
177,177,verb.cognition,feels
183,183,verb.perception,had
185,185,noun.attribute,crushes
193,193,verb.perception,have
196,196,noun.cognition,crush
199,199,noun.communication,book
205,205,noun.quantity,one
209,209,verb.cognition,read
213,213,verb.stative,’s
220,220,noun.person,Murphy
222,223,noun.location,New York
226,226,noun.person,author
244,244,verb.body,hugging
246,246,noun.communication,book
250,251,noun.person,Stephanie Perkins
253,254,noun.location,New York
257,257,noun.person,author
259,259,noun.person,Anna
272,272,noun.communication,look
274,274,noun.act,dating
276,276,noun.group,families
279,279,noun.state,friendship
286,286,noun.communication,review
290,292,noun.person,Becky Albertalli Simon
306,306,noun.location,Us
309,310,noun.person,Adam Silvera
317,318,noun.person,Becky Albertalli
320,321,noun.group,+ BRAY
325,326,noun.group,HarperCollins Publishers
329,329,noun.person,readers
331,331,verb.cognition,knew
333,333,verb.stative,was
341,341,noun.person,Balzer
344,344,verb.stative,is
346,346,noun.cognition,imprint
348,349,noun.group,HarperCollins Publishers
359,359,noun.person,Becky
363,363,verb.possession,reserved
368,371,noun.location,United States of America
374,374,noun.relation,part
377,377,noun.communication,book
380,380,verb.consumption,used
