start_token,end_token,supersense_category,text
1,1,noun.person,ALBERTALLI
3,4,noun.person,ADAM SILVERA
10,10,noun.person,BALZER
12,13,noun.person,BRAY Quill
16,16,noun.person,Balzer
23,23,verb.stative,are
38,39,noun.person,Becky Albertalli
41,42,noun.person,Adam Silvera
50,53,noun.location,United States of America
56,56,noun.relation,part
59,59,noun.communication,book
62,62,verb.consumption,used
64,64,verb.contact,reproduced
67,67,noun.attribute,manner
70,71,noun.communication,written permission
75,75,noun.state,case
78,78,noun.communication,quotations
79,79,verb.change,embodied
82,82,noun.communication,articles
84,84,noun.communication,reviews
87,87,noun.communication,information
88,88,verb.communication,address
92,92,noun.group,Books
95,95,noun.cognition,division
97,98,noun.group,HarperCollins Publishers
100,101,noun.group,195 Broadway
103,104,noun.location,New York
106,106,noun.location,NY
109,113,noun.group,www.epicreads.com Library of Congress Cataloging
117,119,noun.group,Publication Data Names
121,121,noun.person,Albertalli
123,123,noun.person,Becky
125,125,noun.person,author
128,128,noun.person,Silvera
130,130,noun.person,Adam
132,132,noun.person,author
134,134,noun.communication,Title
142,143,noun.person,Becky Albertalli
145,146,noun.person,Adam Silvera
149,149,noun.communication,titles
154,154,verb.stative,is
156,156,noun.communication,Description
159,159,noun.communication,edition
162,163,noun.location,New York
165,165,noun.location,NY
167,167,noun.group,HarperTeen
170,170,noun.communication,imprint
178,178,noun.communication,Summary
183,183,noun.communication,voices
186,186,noun.person,Arthur
189,189,noun.time,summer
190,190,noun.person,intern
192,192,noun.location,Georgia
195,195,noun.person,Ben
199,200,noun.location,New Yorker
204,204,verb.perception,seems
206,206,noun.event,fate
211,211,noun.act,attempts
213,213,noun.communication,dating
214,214,verb.social,fail
216,216,verb.cognition,wonder
219,219,noun.object,universe
221,221,verb.contact,pushing
227,227,noun.communication,Identifiers
235,235,noun.communication,hardback
242,242,noun.communication,edition
248,249,noun.communication,special edition
255,256,noun.communication,special edition
262,262,noun.communication,paperback
277,277,noun.cognition,fatalism
279,279,noun.communication,Fiction
282,282,noun.group,Gays
284,284,noun.communication,Fiction
287,288,noun.location,New York
290,290,noun.location,N.Y.)—Fiction
294,295,noun.group,LCC PZ7.A434
301,301,noun.group,Fic
306,306,noun.communication,record
310,310,noun.communication,Typography
312,313,noun.person,Erin Fitzsimmons
327,327,noun.communication,edition
331,332,noun.person,Andrew Eliopulos
334,335,noun.person,Donna Bray
338,338,verb.change,made
340,340,noun.object,universe
345,345,noun.communication,BOOK
350,350,noun.communication,CHAPTER
352,352,noun.location,ARTHUR
353,353,noun.time,Monday
355,355,noun.time,July
358,358,verb.stative,am
361,362,noun.location,New Yorker
366,366,verb.emotion,want
368,369,verb.motion,go home
372,372,verb.stative,are
376,376,noun.communication,rules
379,379,verb.stative,live
384,384,noun.attribute,way
390,390,verb.motion,stop
393,393,noun.location,middle
396,396,noun.artifact,sidewalk
398,398,verb.perception,stare
403,403,noun.artifact,buildings
405,405,verb.change,pause
407,407,verb.cognition,read
408,408,noun.communication,graffiti
412,412,verb.contact,folding
413,413,noun.artifact,maps
416,417,noun.artifact,fanny packs
420,421,noun.artifact,eye contact
424,424,noun.act,humming
425,425,noun.communication,songs
427,429,noun.person,Dear Evan Hansen
431,431,noun.group,public
440,440,verb.cognition,take
441,441,noun.act,selfies
443,444,noun.artifact,street corners
451,453,noun.artifact,hot dog stand
457,457,noun.group,line
460,460,noun.artifact,taxis
463,463,noun.location,background
466,466,verb.stative,is
471,471,verb.communication,pictured
472,473,noun.location,New York
477,477,verb.communication,allowed
480,480,verb.cognition,appreciate
487,487,verb.stative,be
494,494,verb.cognition,tell
500,500,noun.cognition,point
502,503,noun.location,New York
505,505,verb.stative,being
516,516,noun.time,morning
519,519,verb.social,made
521,521,noun.act,mistake
523,523,verb.perception,glancing
527,527,noun.object,sky
532,532,noun.time,moment
539,539,verb.body,unstick
541,541,noun.body,eyes
543,543,verb.stative,Looking
547,547,noun.shape,angle
553,553,noun.object,world
555,555,verb.motion,tipping
559,560,noun.artifact,tall buildings
564,565,noun.phenomenon,fireball sun
568,568,verb.stative,’s
574,575,noun.location,New York
576,576,noun.communication,credit
581,581,verb.stative,’s
588,588,noun.quantity,nothing
590,590,noun.location,Georgia
593,593,verb.motion,tilt
595,595,noun.artifact,phone
597,597,verb.communication,snap
599,599,noun.artifact,picture
604,604,noun.communication,Story
607,607,noun.artifact,filters
618,618,noun.artifact,picture
621,621,noun.person,pedestrian
622,622,noun.event,rage
624,624,noun.person,Jesus
629,629,noun.location,MOVE
632,632,noun.person,tourists
634,634,noun.person,Literally
637,637,verb.social,take
641,641,noun.time,second
642,642,noun.artifact,photograph
649,649,verb.stative,personified
656,656,noun.artifact,subway
657,657,noun.time,delay
660,660,noun.artifact,road
661,661,noun.act,closure
665,665,noun.Tops,phenomenon
667,667,noun.phenomenon,wind
668,668,noun.act,resistance
671,671,noun.person,tourists
674,674,verb.stative,’m
678,678,noun.person,tourist
682,682,verb.stative,live
689,689,noun.time,summer
697,697,verb.social,taking
700,700,noun.act,sightseeing
701,701,noun.act,stroll
703,703,noun.time,noon
706,706,noun.time,Monday
709,709,verb.stative,’m
714,714,verb.communication,mean
720,720,noun.person,Starbucks
721,721,noun.act,run
725,725,verb.stative,counts
731,731,verb.motion,taking
734,734,noun.location,way
738,738,verb.consumption,need
742,742,noun.time,minutes
745,745,noun.person,Mom
747,747,noun.artifact,office
751,751,verb.stative,being
753,753,noun.person,intern
754,754,verb.stative,is
761,761,noun.time,today
767,767,verb.cognition,know
769,769,noun.cognition,kind
771,771,noun.time,day
774,774,noun.communication,printer
775,775,verb.change,runs
778,778,noun.substance,paper
786,787,noun.artifact,supply room
791,791,verb.social,try
793,793,verb.possession,steal
797,797,noun.artifact,copier
803,803,verb.change,get
805,805,noun.artifact,drawer
806,806,verb.contact,open
811,811,verb.contact,push
814,814,noun.artifact,button
817,817,noun.artifact,copier
819,819,verb.change,starts
820,820,verb.perception,beeping
825,825,verb.contact,standing
827,827,verb.cognition,thinking
830,830,verb.creation,invented
831,832,noun.artifact,copy machines
833,833,verb.stative,is
837,837,verb.change,getting
839,839,noun.body,ass
840,840,verb.contact,kicked
849,849,noun.quantity,foot
853,853,noun.person,kid
855,855,noun.state,ADHD
858,858,noun.event,rage
861,861,noun.event,tornado
864,864,noun.cognition,kind
866,866,noun.time,day
875,875,verb.social,do
876,876,verb.stative,is
877,877,verb.communication,vent
879,879,noun.person,Ethan
881,881,noun.person,Jessie
888,889,verb.cognition,figured out
892,892,verb.communication,text
894,894,verb.motion,walking
897,897,verb.motion,step
900,900,noun.artifact,sidewalk
904,904,noun.artifact,entrance
907,908,noun.artifact,post office
916,916,verb.creation,make
917,918,noun.artifact,post offices
922,922,noun.location,Milton
924,924,noun.location,Georgia
928,928,verb.possession,got
931,931,noun.substance,stone
932,932,noun.artifact,exterior
934,934,noun.artifact,pillars
936,936,noun.substance,brass
937,937,noun.artifact,accents
948,948,verb.body,feel
949,949,verb.body,underdressed
954,954,verb.body,wearing
956,956,noun.artifact,tie
959,959,verb.communication,text
961,962,noun.location,sunny street
963,963,noun.artifact,picture
965,965,noun.person,Ethan
967,967,noun.person,Jessie
969,969,noun.state,Rough
970,970,noun.time,day
973,973,noun.artifact,office
975,975,noun.person,Jessie
976,976,verb.communication,writes
981,981,verb.emotion,hate
985,985,verb.emotion,want
987,987,verb.stative,be
993,993,noun.communication,thing
995,995,noun.person,Jessie
997,997,noun.person,Ethan
999,999,verb.stative,been
1002,1002,noun.person,friends
1005,1005,noun.time,dawn
1007,1007,noun.time,time
1014,1015,noun.person,Real Arthur
1019,1021,noun.person,Lonely Messy Arthur
1027,1028,noun.group,Instagram Arthur
1033,1033,noun.motive,reason
1036,1036,verb.consumption,need
1039,1039,verb.cognition,think
1041,1042,noun.location,New York
1043,1043,noun.state,life
1044,1044,verb.stative,is
1055,1055,verb.communication,sending
1057,1059,noun.person,Upbeat Instagram Arthur
1060,1060,noun.communication,texts
1062,1062,noun.time,weeks
1067,1067,verb.cognition,know
1072,1072,verb.possession,selling
1079,1079,verb.emotion,miss
1082,1082,noun.person,Jessie
1083,1083,verb.communication,writes
1085,1086,verb.contact,throwing down
1089,1089,noun.communication,line
1092,1092,noun.communication,emojis
1098,1098,noun.person,bubbe
1103,1103,noun.time,year
1106,1106,noun.body,body
1110,1110,verb.communication,text
1112,1113,noun.artifact,lipstick smudge
1116,1116,noun.body,cheek
1123,1123,noun.communication,thing
1124,1124,verb.stative,is
1129,1129,verb.body,had
1137,1137,noun.event,friendships
1143,1143,noun.time,prom
1144,1144,noun.time,night
1147,1147,verb.change,happens
1149,1149,verb.stative,be
1151,1151,noun.time,night
1153,1153,verb.communication,told
1154,1154,noun.person,Jessie
1156,1156,noun.person,Ethan
1161,1161,verb.emotion,miss
1163,1163,noun.person,guys
1168,1168,verb.communication,admit
1173,1173,noun.person,ARTHUR
1177,1177,noun.time,weeks
1183,1183,verb.communication,counting
1185,1185,noun.person,Ethan
1187,1188,verb.communication,chimes in
1195,1195,noun.communication,emojis
1198,1198,noun.communication,grimace
1206,1206,noun.communication,grimace
1209,1210,noun.person,postprom Jessie
1211,1211,noun.communication,texts
1214,1214,noun.person,bubbe
1218,1218,noun.time,prom
1219,1219,noun.person,Ethan
1220,1220,verb.communication,texts
1223,1223,noun.person,mime
1233,1233,noun.group,group
1234,1234,noun.communication,text
1250,1250,verb.communication,say
1252,1252,noun.artifact,phone
1253,1253,verb.stative,stopped
1254,1255,verb.change,blowing up
1258,1258,noun.communication,texts
1261,1261,noun.time,seconds
1264,1265,verb.change,came out
1272,1272,verb.communication,lie
1278,1278,noun.state,feeling
1284,1284,noun.time,days
1290,1290,verb.communication,call
1299,1299,verb.stative,be
1304,1304,noun.time,today
1311,1312,noun.artifact,post office
1313,1313,noun.artifact,door
1314,1314,verb.perception,swings
1317,1317,verb.perception,revealing
1320,1320,noun.communication,joke
1323,1323,noun.group,pair
1327,1327,noun.person,men
