COREF,start_token,end_token,prop,cat,text
235,12,13,PROP,PER,Jonathan Evison
235,25,25,PRON,PER,his
1,29,30,PROP,FAC,Lawn Boy
2658,48,48,NOM,PER,everyone
2,53,53,PROP,GPE,Washington
235,56,56,PROP,PER,Evison
235,63,63,PRON,PER,his
409,72,72,PROP,PER,Mike
235,94,94,PROP,PER,Evison
235,116,116,PRON,PER,his
409,120,121,PROP,PER,Mike Munoz
235,123,123,PROP,PER,Evison
409,153,154,PROP,PER,Mike Munoz
2659,164,181,NOM,PER,"a tenthgeneration peasant with a Mexican last name , raised by a single mom on an Indian reservation"
2660,175,177,NOM,PER,a single mom
2661,179,181,NOM,GPE,an Indian reservation
235,183,183,PROP,PER,Evison
235,187,187,PRON,PER,his
2662,199,200,NOM,PER,the reader
2663,209,212,NOM,LOC,working - class America
3,212,212,PROP,GPE,America
235,217,217,PRON,PER,His
235,239,239,PRON,PER,his
4,246,246,PROP,FAC,Walmart
2664,248,249,NOM,FAC,puppy mills
2665,251,255,NOM,PER,"inbred , rich white folks"
235,258,258,PRON,PER,he
5,260,262,PROP,FAC,the American Dream
409,264,264,PROP,PER,Mike
2666,270,270,NOM,FAC,kitchen
235,290,290,PRON,PER,his
2667,298,313,NOM,PER,"a laughing , sometimes teary , audience who stay with him until the very last page"
235,308,308,PRON,PER,him
235,339,340,PROP,PER,... Evison
511,351,353,NOM,GPE,The Providence Journal
235,359,359,PROP,PER,Evison
3,369,369,PROP,GPE,America
2668,369,372,NOM,PER,America ’s working poor
409,374,374,PROP,PER,Mike
2669,396,399,NOM,VEH,broken - down trucks
2670,401,402,NOM,FAC,trailer parks
2671,405,406,NOM,FAC,strip malls
2672,410,420,NOM,PER,the workers who will only ever be welcome in gated communities
2673,419,420,NOM,GPE,gated communities
2674,422,423,NOM,PER,hired help
235,425,425,PROP,PER,Evison
2675,446,447,NOM,PER,Few authors
2675,449,449,PRON,PER,their
2676,449,450,NOM,PER,their characters
235,460,461,PROP,PER,Jonathan Evison
235,464,464,PRON,PER,His
1,469,470,PROP,FAC,Lawn Boy
409,481,482,PROP,PER,Mike Munoz
2677,484,490,NOM,PER,a young Chicano landscaper in Washington State
6,489,490,PROP,GPE,Washington State
1,497,498,PROP,FAC,Lawn Boy
2678,524,524,PRON,PER,oneself
235,530,531,PROP,PER,Jonathan Evison
237,544,544,PRON,PER,I
235,548,548,PRON,PER,he
2679,551,552,NOM,PER,working men
237,556,556,PRON,PER,I
2680,563,563,PRON,PER,you
235,567,567,PRON,PER,he
237,583,585,PROP,PER,Luis Alberto Urrea
512,589,593,NOM,FAC,The House of Broken Angels
235,595,595,PROP,PER,Evison
235,599,599,PRON,PER,his
2681,599,600,NOM,PER,his protagonist
235,602,602,PRON,PER,his
2680,623,623,PRON,PER,your
2680,627,627,PRON,PER,you
2680,631,631,PRON,PER,your
2682,631,632,NOM,LOC,your world
7,641,641,PROP,GPE,Seattle
235,646,647,PROP,PER,Jonathan Evison
235,654,654,PRON,PER,He
2683,656,659,NOM,PER,a consummate world builder
235,662,662,PRON,PER,his
1,681,682,PROP,FAC,Lawn Boy
235,702,702,PROP,PER,Evison
2684,709,711,NOM,PER,one young man
235,718,718,PRON,PER,he
235,727,727,PRON,PER,his
2680,734,734,PRON,PER,you
2680,744,744,PRON,PER,you
238,751,752,PROP,PER,Kristin Hannah
235,774,774,PROP,PER,Evison
235,782,782,PRON,PER,his
2681,782,783,NOM,PER,his protagonist
235,787,787,PRON,PER,his
2686,790,815,NOM,PER,"a believable young man whose future we want to see go well , but for whom life and present - day culture may have other plans"
