start_token,end_token,supersense_category,text
10,10,noun.time,Month
14,14,verb.change,takes
16,17,noun.act,battering ram
19,19,noun.feeling,stereotypes
21,21,noun.group,race
23,23,noun.group,class
27,27,noun.communication,novel
34,34,noun.communication,humor
36,36,noun.quantity,lots
38,38,noun.feeling,hope
42,42,noun.communication,novel
44,44,noun.feeling,hope
47,47,verb.emotion,enlighten
53,54,noun.group,Washington Post
56,56,noun.location,Evison
57,57,verb.stative,excels
59,59,verb.possession,finding
61,61,noun.attribute,humanity
64,64,noun.cognition,characters
71,71,verb.stative,follows
72,72,noun.person,Mike
75,75,noun.event,setback
80,80,noun.act,interaction
81,81,verb.stative,involving
87,87,noun.communication,dialogue
91,91,verb.creation,conveys
92,92,noun.attribute,vulnerability
94,94,noun.person,Evison
96,96,verb.creation,weaves
98,99,noun.communication,American Dream
103,104,noun.communication,social novel
106,106,verb.communication,illustrate
108,108,noun.group,race
110,110,noun.group,class
112,112,verb.social,thwart
113,113,noun.act,aspiration
118,118,noun.communication,portrayal
120,121,noun.person,Mike Munoz
123,123,noun.person,Evison
125,125,verb.creation,created
129,129,noun.attribute,spirit
130,130,noun.cognition,content
132,132,verb.stative,live
138,138,verb.stative,prove
140,140,verb.stative,be
143,144,noun.location,American Dream
151,151,noun.cognition,review
153,154,noun.person,Mike Munoz
155,155,verb.stative,is
157,158,noun.person,Holden Caulfield
162,162,noun.time,millennium
166,166,noun.person,peasant
170,171,noun.communication,last name
173,173,verb.motion,raised
177,177,noun.person,mom
181,181,noun.location,reservation
183,183,noun.person,Evison
190,190,noun.communication,novels
192,192,verb.stative,has
195,195,noun.communication,touch
198,198,verb.social,guides
200,200,noun.person,reader
203,203,noun.event,time
206,206,noun.location,minefield
208,208,verb.stative,is
212,212,noun.location,America
219,220,noun.communication,subject matter
222,222,noun.communication,wit
223,223,verb.stative,are
226,226,noun.act,departure
231,231,noun.person,MFA
232,232,noun.possession,trust
235,235,noun.communication,prose
242,242,noun.person,targets
246,246,noun.group,Walmart
248,249,noun.group,puppy mills
255,255,noun.group,folks
259,259,verb.motion,chases
261,262,noun.act,American Dream
264,264,noun.person,Mike
265,265,verb.possession,loses
267,267,noun.body,teeth
270,270,noun.artifact,kitchen
271,271,noun.act,extraction
272,272,noun.event,scene
275,275,noun.possession,insurance
279,279,verb.possession,gains
286,286,noun.motive,conscience
288,288,noun.state,romance
291,291,noun.state,niche
293,293,noun.state,life
297,297,verb.communication,mention
304,304,noun.group,audience
306,306,verb.stative,stay
313,313,noun.communication,page
318,319,noun.location,New York
320,322,noun.group,Times Book Review
325,325,noun.act,roller
328,328,noun.act,ride
331,331,noun.communication,novel
338,338,verb.creation,written
342,342,verb.creation,evokes
347,347,noun.group,world
352,353,noun.group,Providence Journal
355,355,noun.location,Moving
361,361,verb.creation,evokes
364,364,noun.event,disasters
366,366,noun.act,humiliations
368,368,verb.emotion,beset
369,369,noun.location,America
374,374,noun.person,Mike
377,377,noun.process,growth
379,381,noun.cognition,self - awareness
383,383,verb.stative,punctuated
