COREF,start_token,end_token,prop,cat,text
370,23,23,PRON,PER,you
371,25,25,PRON,PER,them
112,27,27,PROP,PER,Claudia
370,30,30,PRON,PER,you
370,33,33,PRON,PER,you
372,43,43,PRON,PER,they
0,45,45,PRON,PER,me
373,60,61,NOM,PER,no one
134,70,70,PROP,PER,Monday
370,76,76,PRON,PER,you
372,96,96,PRON,PER,they
0,98,98,PRON,PER,me
374,99,100,NOM,PER,a liar
0,107,107,PRON,PER,my
375,107,109,NOM,PER,my best friend
134,112,112,PROP,PER,Monday
134,117,117,PRON,PER,she
370,128,128,PRON,PER,you
134,132,132,PRON,PER,her
376,139,140,NOM,FAC,the room
0,146,146,PRON,PER,I
0,154,154,PRON,PER,me
1,178,179,PROP,ORG,HarperCollins Publishers
377,198,202,NOM,LOC,the United States of America
2,202,202,PROP,GPE,America
3,238,241,PROP,FAC,HarperCollins Children ’s Books
378,243,247,NOM,ORG,a division of HarperCollins Publishers
1,246,247,PROP,FAC,HarperCollins Publishers
5,250,250,PROP,GPE,Broadway
6,252,253,PROP,GPE,New York
7,255,255,PROP,GPE,NY
379,259,261,NOM,GPE,Library of Congress
114,278,279,PROP,PER,Erin Fitzsimmons
0,298,298,PRON,PER,my
380,298,299,NOM,PER,my daddy
0,301,301,PRON,PER,my
115,301,315,PROP,PER,my Pop - Pop who let me fly but were always there to catch me
0,307,307,PRON,PER,me
0,315,315,PRON,PER,me
0,327,327,PRON,PER,my
375,327,329,NOM,PER,my best friend
382,333,333,NOM,PER,nobody
375,335,335,PRON,PER,she
0,339,339,PRON,PER,me
382,343,343,NOM,PER,nobody
384,346,346,PRON,PER,they
375,348,348,PRON,PER,her
0,356,356,PRON,PER,I
385,359,359,PRON,PER,you
386,365,367,NOM,PER,a whole person
387,369,370,NOM,PER,a kid
373,374,375,NOM,PER,no one
385,392,392,PRON,PER,you
389,395,395,NOM,PER,someone
116,404,404,PROP,PER,Ma
390,410,410,NOM,PER,everyone
0,416,416,PRON,PER,I
116,420,420,PRON,PER,she
134,425,425,PROP,PER,Monday
385,429,429,PRON,PER,You
8,439,439,PROP,GPE,Washington
9,441,441,PROP,GPE,DC
391,443,453,NOM,GPE,a city full of the most powerful people in the world
392,452,453,NOM,LOC,the world
373,455,456,NOM,PER,No one
394,462,463,NOM,PER,the president
395,462,465,NOM,FAC,the president ’s backyard
396,471,471,PRON,PER,us
397,471,474,NOM,PER,us folks in Southeast
10,474,474,PROP,GPE,Southeast
397,479,479,PRON,PER,they
396,481,481,PRON,PER,we
398,487,488,NOM,GPE,the nation
