start_token,end_token,supersense_category,text
1,1,noun.artifact,flags
7,8,noun.attribute,orange red
10,10,noun.food,wine
13,14,noun.attribute,ruby red
20,20,noun.artifact,flags
24,24,verb.perception,see
27,27,noun.location,Claudia
34,34,verb.perception,see
36,37,noun.attribute,red flags
42,42,noun.communication,question
44,44,verb.communication,asked
51,51,verb.emotion,hoping
53,53,verb.possession,find
54,54,noun.communication,answers
56,56,verb.emotion,Hoping
58,58,verb.cognition,understand
64,64,noun.person,Signs
69,69,noun.communication,signs
70,70,noun.time,Monday
71,71,verb.stative,was
73,73,noun.state,trouble
77,77,verb.perception,see
87,87,noun.communication,No
94,94,noun.communication,words
97,97,verb.communication,called
100,100,noun.person,liar
103,103,verb.emotion,hurt
104,104,noun.quantity,more
106,106,verb.possession,losing
108,109,noun.person,best friend
112,112,noun.time,Monday
113,113,verb.stative,were
115,115,noun.attribute,color
119,119,verb.stative,be
131,131,verb.emotion,miss
137,137,noun.body,eye
140,140,noun.artifact,room
144,144,noun.process,flame
147,147,verb.perception,saw
153,153,verb.perception,blinded
157,157,noun.artifact,flags
167,173,noun.person,V Katherine Jegen Book/ Katherine Tegen Books
174,174,verb.stative,is
176,176,noun.cognition,imprint
178,179,noun.group,HarperCollins Publishers
185,185,noun.communication,Copyright
189,191,noun.person,Tiffany D. Jackson
199,200,noun.location,United States
202,202,noun.location,America
205,205,noun.relation,part
208,208,noun.communication,book
211,211,verb.consumption,used
213,213,verb.social,reproduced
216,216,noun.attribute,manner
219,220,noun.communication,written permission
224,224,noun.state,case
227,227,noun.communication,quotations
228,228,verb.stative,embodied
231,231,noun.communication,articles
233,233,noun.communication,reviews
237,237,noun.communication,address
244,244,noun.group,division
246,247,noun.group,HarperCollins Publishers
250,250,noun.location,Broadway
252,253,noun.location,New York
255,255,noun.location,NY
259,262,noun.group,Library of Congress Control
276,276,noun.communication,Typography
278,279,noun.person,Erin Fitzsimmons
293,293,noun.communication,paperback
294,294,noun.communication,edition
299,299,noun.person,daddy
302,302,noun.person,Pop
304,304,noun.person,Pop
306,306,verb.social,let
308,308,verb.motion,fly
314,314,verb.contact,catch
322,322,verb.stative,is
324,324,noun.communication,story
328,329,noun.person,best friend
330,330,verb.change,disappeared
334,334,verb.perception,noticed
336,336,verb.stative,was
344,344,verb.emotion,cared
347,347,verb.possession,found
353,353,noun.time,year
357,357,verb.cognition,know
361,361,verb.cognition,thinking
367,367,noun.person,person
370,370,noun.person,kid
372,372,verb.change,disappear
376,376,verb.communication,say
378,378,noun.communication,word
384,384,noun.object,sun
388,388,verb.motion,left
390,390,noun.time,day
394,394,verb.cognition,think
397,397,verb.perception,sound
399,399,noun.event,alarm
404,404,noun.person,Ma
407,407,verb.communication,say
411,411,verb.perception,circles
414,414,noun.cognition,sun
418,418,verb.cognition,knew
421,421,verb.communication,meant
425,425,noun.time,Monday
426,426,verb.change,went
432,432,verb.cognition,think
437,437,verb.change,happen
439,439,noun.location,Washington
441,441,noun.location,DC
444,444,noun.location,city
450,450,noun.group,people
453,453,noun.group,world
